codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
01140,47.99A,40,46.116667,4.866667
01140,47.99A,40,46.166667,4.8
01140,47.99A,40,46.15,4.866667
01140,47.99A,40,46.166667,4.816667
01140,47.99A,40,46.116667,4.816667
01140,47.99A,40,46.133333,4.816667
01140,47.99A,40,46.183333,4.883333
01140,47.99A,40,46.2,4.833333
01140,31.03Z,8,46.116667,4.866667
01140,31.03Z,8,46.166667,4.8
01140,31.03Z,8,46.15,4.866667
01140,31.03Z,8,46.166667,4.816667
01140,31.03Z,8,46.116667,4.816667
01140,31.03Z,8,46.133333,4.816667
01140,31.03Z,8,46.183333,4.883333
01140,31.03Z,8,46.2,4.833333
01140,02.10Z,16,46.116667,4.866667
01140,02.10Z,16,46.166667,4.8
01140,02.10Z,16,46.15,4.866667
01140,02.10Z,16,46.166667,4.816667
01140,02.10Z,16,46.116667,4.816667
01140,02.10Z,16,46.133333,4.816667
01140,02.10Z,16,46.183333,4.883333
01140,02.10Z,16,46.2,4.833333
01140,01.11Z,56,46.116667,4.866667
01140,01.11Z,56,46.166667,4.8
01140,01.11Z,56,46.15,4.866667
01140,01.11Z,56,46.166667,4.816667
01140,01.11Z,56,46.116667,4.816667
01140,01.11Z,56,46.133333,4.816667
01140,01.11Z,56,46.183333,4.883333
01140,01.11Z,56,46.2,4.833333
01140,95.29Z,8,46.116667,4.866667
01140,95.29Z,8,46.166667,4.8
01140,95.29Z,8,46.15,4.866667
01140,95.29Z,8,46.166667,4.816667
01140,95.29Z,8,46.116667,4.816667
01140,95.29Z,8,46.133333,4.816667
01140,95.29Z,8,46.183333,4.883333
01140,95.29Z,8,46.2,4.833333
01140,68.20A,16,46.116667,4.866667
01140,68.20A,16,46.166667,4.8
01140,68.20A,16,46.15,4.866667
01140,68.20A,16,46.166667,4.816667
01140,68.20A,16,46.116667,4.816667
01140,68.20A,16,46.133333,4.816667
01140,68.20A,16,46.183333,4.883333
01140,68.20A,16,46.2,4.833333
01140,49.32Z,8,46.116667,4.866667
01140,49.32Z,8,46.166667,4.8
01140,49.32Z,8,46.15,4.866667
01140,49.32Z,8,46.166667,4.816667
01140,49.32Z,8,46.116667,4.816667
01140,49.32Z,8,46.133333,4.816667
01140,49.32Z,8,46.183333,4.883333
01140,49.32Z,8,46.2,4.833333
01140,01.2E,16,46.116667,4.866667
01140,01.2E,16,46.166667,4.8
01140,01.2E,16,46.15,4.866667
01140,01.2E,16,46.166667,4.816667
01140,01.2E,16,46.116667,4.816667
01140,01.2E,16,46.133333,4.816667
01140,01.2E,16,46.183333,4.883333
01140,01.2E,16,46.2,4.833333
01140,01.47Z,8,46.116667,4.866667
01140,01.47Z,8,46.166667,4.8
01140,01.47Z,8,46.15,4.866667
01140,01.47Z,8,46.166667,4.816667
01140,01.47Z,8,46.116667,4.816667
01140,01.47Z,8,46.133333,4.816667
01140,01.47Z,8,46.183333,4.883333
01140,01.47Z,8,46.2,4.833333
01140,77.32Z,8,46.116667,4.866667
01140,77.32Z,8,46.166667,4.8
01140,77.32Z,8,46.15,4.866667
01140,77.32Z,8,46.166667,4.816667
01140,77.32Z,8,46.116667,4.816667
01140,77.32Z,8,46.133333,4.816667
01140,77.32Z,8,46.183333,4.883333
01140,77.32Z,8,46.2,4.833333
01140,81.29B,8,46.116667,4.866667
01140,81.29B,8,46.166667,4.8
01140,81.29B,8,46.15,4.866667
01140,81.29B,8,46.166667,4.816667
01140,81.29B,8,46.116667,4.816667
01140,81.29B,8,46.133333,4.816667
01140,81.29B,8,46.183333,4.883333
01140,81.29B,8,46.2,4.833333
01140,93.0N,8,46.116667,4.866667
01140,93.0N,8,46.166667,4.8
01140,93.0N,8,46.15,4.866667
01140,93.0N,8,46.166667,4.816667
01140,93.0N,8,46.116667,4.816667
01140,93.0N,8,46.133333,4.816667
01140,93.0N,8,46.183333,4.883333
01140,93.0N,8,46.2,4.833333
01140,59.13,16,46.116667,4.866667
01140,59.13,16,46.166667,4.8
01140,59.13,16,46.15,4.866667
01140,59.13,16,46.166667,4.816667
01140,59.13,16,46.116667,4.816667
01140,59.13,16,46.133333,4.816667
01140,59.13,16,46.183333,4.883333
01140,59.13,16,46.2,4.833333
01140,43.32B,8,46.116667,4.866667
01140,43.32B,8,46.166667,4.8
01140,43.32B,8,46.15,4.866667
01140,43.32B,8,46.166667,4.816667
01140,43.32B,8,46.116667,4.816667
01140,43.32B,8,46.133333,4.816667
01140,43.32B,8,46.183333,4.883333
01140,43.32B,8,46.2,4.833333
01140,74.10Z,8,46.116667,4.866667
01140,74.10Z,8,46.166667,4.8
01140,74.10Z,8,46.15,4.866667
01140,74.10Z,8,46.166667,4.816667
01140,74.10Z,8,46.116667,4.816667
01140,74.10Z,8,46.133333,4.816667
01140,74.10Z,8,46.183333,4.883333
01140,74.10Z,8,46.2,4.833333
01140,43.91A,8,46.116667,4.866667
01140,43.91A,8,46.166667,4.8
01140,43.91A,8,46.15,4.866667
01140,43.91A,8,46.166667,4.816667
01140,43.91A,8,46.116667,4.816667
01140,43.91A,8,46.133333,4.816667
01140,43.91A,8,46.183333,4.883333
01140,43.91A,8,46.2,4.833333
01140,82.11Z,8,46.116667,4.866667
01140,82.11Z,8,46.166667,4.8
01140,82.11Z,8,46.15,4.866667
01140,82.11Z,8,46.166667,4.816667
01140,82.11Z,8,46.116667,4.816667
01140,82.11Z,8,46.133333,4.816667
01140,82.11Z,8,46.183333,4.883333
01140,82.11Z,8,46.2,4.833333
01140,84.11Z,56,46.116667,4.866667
01140,84.11Z,56,46.166667,4.8
01140,84.11Z,56,46.15,4.866667
01140,84.11Z,56,46.166667,4.816667
01140,84.11Z,56,46.116667,4.816667
01140,84.11Z,56,46.133333,4.816667
01140,84.11Z,56,46.183333,4.883333
01140,84.11Z,56,46.2,4.833333
01140,25.2G,8,46.116667,4.866667
01140,25.2G,8,46.166667,4.8
01140,25.2G,8,46.15,4.866667
01140,25.2G,8,46.166667,4.816667
01140,25.2G,8,46.116667,4.816667
01140,25.2G,8,46.133333,4.816667
01140,25.2G,8,46.183333,4.883333
01140,25.2G,8,46.2,4.833333
01140,01.3Z,64,46.116667,4.866667
01140,01.3Z,64,46.166667,4.8
01140,01.3Z,64,46.15,4.866667
01140,01.3Z,64,46.166667,4.816667
01140,01.3Z,64,46.116667,4.816667
01140,01.3Z,64,46.133333,4.816667
01140,01.3Z,64,46.183333,4.883333
01140,01.3Z,64,46.2,4.833333
01140,93.12Z,16,46.116667,4.866667
01140,93.12Z,16,46.166667,4.8
01140,93.12Z,16,46.15,4.866667
01140,93.12Z,16,46.166667,4.816667
01140,93.12Z,16,46.116667,4.816667
01140,93.12Z,16,46.133333,4.816667
01140,93.12Z,16,46.183333,4.883333
01140,93.12Z,16,46.2,4.833333
01140,43.22B,8,46.116667,4.866667
01140,43.22B,8,46.166667,4.8
01140,43.22B,8,46.15,4.866667
01140,43.22B,8,46.166667,4.816667
01140,43.22B,8,46.116667,4.816667
01140,43.22B,8,46.133333,4.816667
01140,43.22B,8,46.183333,4.883333
01140,43.22B,8,46.2,4.833333
01140,43.32A,24,46.116667,4.866667
01140,43.32A,24,46.166667,4.8
01140,43.32A,24,46.15,4.866667
01140,43.32A,24,46.166667,4.816667
01140,43.32A,24,46.116667,4.816667
01140,43.32A,24,46.133333,4.816667
01140,43.32A,24,46.183333,4.883333
01140,43.32A,24,46.2,4.833333
01140,01.2G,8,46.116667,4.866667
01140,01.2G,8,46.166667,4.8
01140,01.2G,8,46.15,4.866667
01140,01.2G,8,46.166667,4.816667
01140,01.2G,8,46.116667,4.816667
01140,01.2G,8,46.133333,4.816667
01140,01.2G,8,46.183333,4.883333
01140,01.2G,8,46.2,4.833333
01140,56.29B,8,46.116667,4.866667
01140,56.29B,8,46.166667,4.8
01140,56.29B,8,46.15,4.866667
01140,56.29B,8,46.166667,4.816667
01140,56.29B,8,46.116667,4.816667
01140,56.29B,8,46.133333,4.816667
01140,56.29B,8,46.183333,4.883333
01140,56.29B,8,46.2,4.833333
01140,25.62B,8,46.116667,4.866667
01140,25.62B,8,46.166667,4.8
01140,25.62B,8,46.15,4.866667
01140,25.62B,8,46.166667,4.816667
01140,25.62B,8,46.116667,4.816667
01140,25.62B,8,46.133333,4.816667
01140,25.62B,8,46.183333,4.883333
01140,25.62B,8,46.2,4.833333
01140,52.6E,8,46.116667,4.866667
01140,52.6E,8,46.166667,4.8
01140,52.6E,8,46.15,4.866667
01140,52.6E,8,46.166667,4.816667
01140,52.6E,8,46.116667,4.816667
01140,52.6E,8,46.133333,4.816667
01140,52.6E,8,46.183333,4.883333
01140,52.6E,8,46.2,4.833333
01140,43.33Z,32,46.116667,4.866667
01140,43.33Z,32,46.166667,4.8
01140,43.33Z,32,46.15,4.866667
01140,43.33Z,32,46.166667,4.816667
01140,43.33Z,32,46.116667,4.816667
01140,43.33Z,32,46.133333,4.816667
01140,43.33Z,32,46.183333,4.883333
01140,43.33Z,32,46.2,4.833333
01140,01.80,8,46.116667,4.866667
01140,01.80,8,46.166667,4.8
01140,01.80,8,46.15,4.866667
01140,01.80,8,46.166667,4.816667
01140,01.80,8,46.116667,4.816667
01140,01.80,8,46.133333,4.816667
01140,01.80,8,46.183333,4.883333
01140,01.80,8,46.2,4.833333
01140,74.20Z,16,46.116667,4.866667
01140,74.20Z,16,46.166667,4.8
01140,74.20Z,16,46.15,4.866667
01140,74.20Z,16,46.166667,4.816667
01140,74.20Z,16,46.116667,4.816667
01140,74.20Z,16,46.133333,4.816667
01140,74.20Z,16,46.183333,4.883333
01140,74.20Z,16,46.2,4.833333
01140,56.10A,24,46.116667,4.866667
01140,56.10A,24,46.166667,4.8
01140,56.10A,24,46.15,4.866667
01140,56.10A,24,46.166667,4.816667
01140,56.10A,24,46.116667,4.816667
01140,56.10A,24,46.133333,4.816667
01140,56.10A,24,46.183333,4.883333
01140,56.10A,24,46.2,4.833333
01140,46.19B,24,46.116667,4.866667
01140,46.19B,24,46.166667,4.8
01140,46.19B,24,46.15,4.866667
01140,46.19B,24,46.166667,4.816667
01140,46.19B,24,46.116667,4.816667
01140,46.19B,24,46.133333,4.816667
01140,46.19B,24,46.183333,4.883333
01140,46.19B,24,46.2,4.833333
01140,31.09B,24,46.116667,4.866667
01140,31.09B,24,46.166667,4.8
01140,31.09B,24,46.15,4.866667
01140,31.09B,24,46.166667,4.816667
01140,31.09B,24,46.116667,4.816667
01140,31.09B,24,46.133333,4.816667
01140,31.09B,24,46.183333,4.883333
01140,31.09B,24,46.2,4.833333
01140,33.19Z,8,46.116667,4.866667
01140,33.19Z,8,46.166667,4.8
01140,33.19Z,8,46.15,4.866667
01140,33.19Z,8,46.166667,4.816667
01140,33.19Z,8,46.116667,4.816667
01140,33.19Z,8,46.133333,4.816667
01140,33.19Z,8,46.183333,4.883333
01140,33.19Z,8,46.2,4.833333
01140,01.00,24,46.116667,4.866667
01140,01.00,24,46.166667,4.8
01140,01.00,24,46.15,4.866667
01140,01.00,24,46.166667,4.816667
01140,01.00,24,46.116667,4.816667
01140,01.00,24,46.133333,4.816667
01140,01.00,24,46.183333,4.883333
01140,01.00,24,46.2,4.833333
01140,64.24,8,46.116667,4.866667
01140,64.24,8,46.166667,4.8
01140,64.24,8,46.15,4.866667
01140,64.24,8,46.166667,4.816667
01140,64.24,8,46.116667,4.816667
01140,64.24,8,46.133333,4.816667
01140,64.24,8,46.183333,4.883333
01140,64.24,8,46.2,4.833333
01140,43.91B,8,46.116667,4.866667
01140,43.91B,8,46.166667,4.8
01140,43.91B,8,46.15,4.866667
01140,43.91B,8,46.166667,4.816667
01140,43.91B,8,46.116667,4.816667
01140,43.91B,8,46.133333,4.816667
01140,43.91B,8,46.183333,4.883333
01140,43.91B,8,46.2,4.833333
01140,94.99Z,16,46.116667,4.866667
01140,94.99Z,16,46.166667,4.8
01140,94.99Z,16,46.15,4.866667
01140,94.99Z,16,46.166667,4.816667
01140,94.99Z,16,46.116667,4.816667
01140,94.99Z,16,46.133333,4.816667
01140,94.99Z,16,46.183333,4.883333
01140,94.99Z,16,46.2,4.833333
01140,78.10Z,8,46.116667,4.866667
01140,78.10Z,8,46.166667,4.8
01140,78.10Z,8,46.15,4.866667
01140,78.10Z,8,46.166667,4.816667
01140,78.10Z,8,46.116667,4.816667
01140,78.10Z,8,46.133333,4.816667
01140,78.10Z,8,46.183333,4.883333
01140,78.10Z,8,46.2,4.833333
01140,15.12Z,8,46.116667,4.866667
01140,15.12Z,8,46.166667,4.8
01140,15.12Z,8,46.15,4.866667
01140,15.12Z,8,46.166667,4.816667
01140,15.12Z,8,46.116667,4.816667
01140,15.12Z,8,46.133333,4.816667
01140,15.12Z,8,46.183333,4.883333
01140,15.12Z,8,46.2,4.833333
01140,56.29A,8,46.116667,4.866667
01140,56.29A,8,46.166667,4.8
01140,56.29A,8,46.15,4.866667
01140,56.29A,8,46.166667,4.816667
01140,56.29A,8,46.116667,4.816667
01140,56.29A,8,46.133333,4.816667
01140,56.29A,8,46.183333,4.883333
01140,56.29A,8,46.2,4.833333
01140,67.01,16,46.116667,4.866667
01140,67.01,16,46.166667,4.8
01140,67.01,16,46.15,4.866667
01140,67.01,16,46.166667,4.816667
01140,67.01,16,46.116667,4.816667
01140,67.01,16,46.133333,4.816667
01140,67.01,16,46.183333,4.883333
01140,67.01,16,46.2,4.833333
01140,46.63Z,8,46.116667,4.866667
01140,46.63Z,8,46.166667,4.8
01140,46.63Z,8,46.15,4.866667
01140,46.63Z,8,46.166667,4.816667
01140,46.63Z,8,46.116667,4.816667
01140,46.63Z,8,46.133333,4.816667
01140,46.63Z,8,46.183333,4.883333
01140,46.63Z,8,46.2,4.833333
01140,75.1E,8,46.116667,4.866667
01140,75.1E,8,46.166667,4.8
01140,75.1E,8,46.15,4.866667
01140,75.1E,8,46.166667,4.816667
01140,75.1E,8,46.116667,4.816667
01140,75.1E,8,46.133333,4.816667
01140,75.1E,8,46.183333,4.883333
01140,75.1E,8,46.2,4.833333
01140,90.12,8,46.116667,4.866667
01140,90.12,8,46.166667,4.8
01140,90.12,8,46.15,4.866667
01140,90.12,8,46.166667,4.816667
01140,90.12,8,46.116667,4.816667
01140,90.12,8,46.133333,4.816667
01140,90.12,8,46.183333,4.883333
01140,90.12,8,46.2,4.833333
01140,01.50Z,16,46.116667,4.866667
01140,01.50Z,16,46.166667,4.8
01140,01.50Z,16,46.15,4.866667
01140,01.50Z,16,46.166667,4.816667
01140,01.50Z,16,46.116667,4.816667
01140,01.50Z,16,46.133333,4.816667
01140,01.50Z,16,46.183333,4.883333
01140,01.50Z,16,46.2,4.833333
01140,62.41,8,46.116667,4.866667
01140,62.41,8,46.166667,4.8
01140,62.41,8,46.15,4.866667
