codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
01170,47.99A,96,46.35,6.083333
01170,47.99A,96,46.3,6.083333
01170,47.99A,96,46.366667,6
01170,47.99A,96,46.333333,6.066667
01170,47.99A,96,46.316667,6.033333
01170,47.99A,96,"",""
01170,47.99A,96,46.283333,6.033333
01170,47.99A,96,46.316667,6.066667
01170,46.45Z,8,46.35,6.083333
01170,46.45Z,8,46.3,6.083333
01170,46.45Z,8,46.366667,6
01170,46.45Z,8,46.333333,6.066667
01170,46.45Z,8,46.316667,6.033333
01170,46.45Z,8,"",""
01170,46.45Z,8,46.283333,6.033333
01170,46.45Z,8,46.316667,6.066667
01170,41.10A,8,46.35,6.083333
01170,41.10A,8,46.3,6.083333
01170,41.10A,8,46.366667,6
01170,41.10A,8,46.333333,6.066667
01170,41.10A,8,46.316667,6.033333
01170,41.10A,8,"",""
01170,41.10A,8,46.283333,6.033333
01170,41.10A,8,46.316667,6.066667
01170,67.05,8,46.35,6.083333
01170,67.05,8,46.3,6.083333
01170,67.05,8,46.366667,6
01170,67.05,8,46.333333,6.066667
01170,67.05,8,46.316667,6.033333
01170,67.05,8,"",""
01170,67.05,8,46.283333,6.033333
01170,67.05,8,46.316667,6.066667
01170,01.11Z,8,46.35,6.083333
01170,01.11Z,8,46.3,6.083333
01170,01.11Z,8,46.366667,6
01170,01.11Z,8,46.333333,6.066667
01170,01.11Z,8,46.316667,6.033333
01170,01.11Z,8,"",""
01170,01.11Z,8,46.283333,6.033333
01170,01.11Z,8,46.316667,6.066667
01170,00.97,8,46.35,6.083333
01170,00.97,8,46.3,6.083333
01170,00.97,8,46.366667,6
01170,00.97,8,46.333333,6.066667
01170,00.97,8,46.316667,6.033333
01170,00.97,8,"",""
01170,00.97,8,46.283333,6.033333
01170,00.97,8,46.316667,6.066667
01170,68.20A,16,46.35,6.083333
01170,68.20A,16,46.3,6.083333
01170,68.20A,16,46.366667,6
01170,68.20A,16,46.333333,6.066667
01170,68.20A,16,46.316667,6.033333
01170,68.20A,16,"",""
01170,68.20A,16,46.283333,6.033333
01170,68.20A,16,46.316667,6.066667
01170,55.40,8,46.35,6.083333
01170,55.40,8,46.3,6.083333
01170,55.40,8,46.366667,6
01170,55.40,8,46.333333,6.066667
01170,55.40,8,46.316667,6.033333
01170,55.40,8,"",""
