codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
01230,47.99A,11,45.916667,5.4
01230,47.99A,11,45.916667,5.5
01230,47.99A,11,45.95,5.433333
01230,47.99A,11,45.95,5.466667
01230,47.99A,11,45.983333,5.433333
01230,47.99A,11,45.958333,5.5
01230,47.99A,11,45.883333,5.466667
01230,47.99A,11,45.9,5.433333
01230,47.99A,11,45.95,5.533333
01230,47.99A,11,45.933333,5.483333
01230,47.99A,11,45.9,5.483333
01230,55.3A,11,45.916667,5.4
01230,55.3A,11,45.916667,5.5
01230,55.3A,11,45.95,5.433333
01230,55.3A,11,45.95,5.466667
01230,55.3A,11,45.983333,5.433333
01230,55.3A,11,45.958333,5.5
01230,55.3A,11,45.883333,5.466667
01230,55.3A,11,45.9,5.433333
01230,55.3A,11,45.95,5.533333
01230,55.3A,11,45.933333,5.483333
01230,55.3A,11,45.9,5.483333
01230,01.11Z,55,45.916667,5.4
01230,01.11Z,55,45.916667,5.5
01230,01.11Z,55,45.95,5.433333
01230,01.11Z,55,45.95,5.466667
01230,01.11Z,55,45.983333,5.433333
01230,01.11Z,55,45.958333,5.5
01230,01.11Z,55,45.883333,5.466667
01230,01.11Z,55,45.9,5.433333
01230,01.11Z,55,45.95,5.533333
01230,01.11Z,55,45.933333,5.483333
01230,01.11Z,55,45.9,5.483333
01230,49.41A,11,45.916667,5.4
01230,49.41A,11,45.916667,5.5
01230,49.41A,11,45.95,5.433333
01230,49.41A,11,45.95,5.466667
01230,49.41A,11,45.983333,5.433333
01230,49.41A,11,45.958333,5.5
01230,49.41A,11,45.883333,5.466667
01230,49.41A,11,45.9,5.433333
01230,49.41A,11,45.95,5.533333
01230,49.41A,11,45.933333,5.483333
01230,49.41A,11,45.9,5.483333
01230,68.20A,22,45.916667,5.4
01230,68.20A,22,45.916667,5.5
01230,68.20A,22,45.95,5.433333
01230,68.20A,22,45.95,5.466667
01230,68.20A,22,45.983333,5.433333
01230,68.20A,22,45.958333,5.5
01230,68.20A,22,45.883333,5.466667
01230,68.20A,22,45.9,5.433333
01230,68.20A,22,45.95,5.533333
01230,68.20A,22,45.933333,5.483333
01230,68.20A,22,45.9,5.483333
01230,50.2Z,11,45.916667,5.4
01230,50.2Z,11,45.916667,5.5
01230,50.2Z,11,45.95,5.433333
01230,50.2Z,11,45.95,5.466667
01230,50.2Z,11,45.983333,5.433333
01230,50.2Z,11,45.958333,5.5
01230,50.2Z,11,45.883333,5.466667
01230,50.2Z,11,45.9,5.433333
01230,50.2Z,11,45.95,5.533333
01230,50.2Z,11,45.933333,5.483333
01230,50.2Z,11,45.9,5.483333
01230,01.47Z,22,45.916667,5.4
01230,01.47Z,22,45.916667,5.5
01230,01.47Z,22,45.95,5.433333
01230,01.47Z,22,45.95,5.466667
01230,01.47Z,22,45.983333,5.433333
01230,01.47Z,22,45.958333,5.5
01230,01.47Z,22,45.883333,5.466667
01230,01.47Z,22,45.9,5.433333
01230,01.47Z,22,45.95,5.533333
01230,01.47Z,22,45.933333,5.483333
01230,01.47Z,22,45.9,5.483333
01230,93.19Z,11,45.916667,5.4
01230,93.19Z,11,45.916667,5.5
01230,93.19Z,11,45.95,5.433333
01230,93.19Z,11,45.95,5.466667
01230,93.19Z,11,45.983333,5.433333
01230,93.19Z,11,45.958333,5.5
01230,93.19Z,11,45.883333,5.466667
01230,93.19Z,11,45.9,5.433333
01230,93.19Z,11,45.95,5.533333
01230,93.19Z,11,45.933333,5.483333
01230,93.19Z,11,45.9,5.483333
01230,03.22Z,11,45.916667,5.4
01230,03.22Z,11,45.916667,5.5
01230,03.22Z,11,45.95,5.433333
01230,03.22Z,11,45.95,5.466667
01230,03.22Z,11,45.983333,5.433333
01230,03.22Z,11,45.958333,5.5
01230,03.22Z,11,45.883333,5.466667
01230,03.22Z,11,45.9,5.433333
01230,03.22Z,11,45.95,5.533333
01230,03.22Z,11,45.933333,5.483333
01230,03.22Z,11,45.9,5.483333
01230,01.07,11,45.916667,5.4
01230,01.07,11,45.916667,5.5
01230,01.07,11,45.95,5.433333
01230,01.07,11,45.95,5.466667
01230,01.07,11,45.983333,5.433333
01230,01.07,11,45.958333,5.5
01230,01.07,11,45.883333,5.466667
01230,01.07,11,45.9,5.433333
01230,01.07,11,45.95,5.533333
01230,01.07,11,45.933333,5.483333
01230,01.07,11,45.9,5.483333
01230,84.11Z,55,45.916667,5.4
01230,84.11Z,55,45.916667,5.5
01230,84.11Z,55,45.95,5.433333
01230,84.11Z,55,45.95,5.466667
01230,84.11Z,55,45.983333,5.433333
01230,84.11Z,55,45.958333,5.5
01230,84.11Z,55,45.883333,5.466667
01230,84.11Z,55,45.9,5.433333
01230,84.11Z,55,45.95,5.533333
01230,84.11Z,55,45.933333,5.483333
01230,84.11Z,55,45.9,5.483333
01230,33.11Z,22,45.916667,5.4
01230,33.11Z,22,45.916667,5.5
01230,33.11Z,22,45.95,5.433333
01230,33.11Z,22,45.95,5.466667
01230,33.11Z,22,45.983333,5.433333
01230,33.11Z,22,45.958333,5.5
01230,33.11Z,22,45.883333,5.466667
01230,33.11Z,22,45.9,5.433333
01230,33.11Z,22,45.95,5.533333
01230,33.11Z,22,45.933333,5.483333
01230,33.11Z,22,45.9,5.483333
01230,01.3Z,33,45.916667,5.4
01230,01.3Z,33,45.916667,5.5
01230,01.3Z,33,45.95,5.433333
01230,01.3Z,33,45.95,5.466667
01230,01.3Z,33,45.983333,5.433333
01230,01.3Z,33,45.958333,5.5
01230,01.3Z,33,45.883333,5.466667
01230,01.3Z,33,45.9,5.433333
01230,01.3Z,33,45.95,5.533333
01230,01.3Z,33,45.933333,5.483333
01230,01.3Z,33,45.9,5.483333
01230,43.39Z,22,45.916667,5.4
01230,43.39Z,22,45.916667,5.5
01230,43.39Z,22,45.95,5.433333
01230,43.39Z,22,45.95,5.466667
01230,43.39Z,22,45.983333,5.433333
01230,43.39Z,22,45.958333,5.5
01230,43.39Z,22,45.883333,5.466667
01230,43.39Z,22,45.9,5.433333
01230,43.39Z,22,45.95,5.533333
01230,43.39Z,22,45.933333,5.483333
01230,43.39Z,22,45.9,5.483333
01230,55.20Z,11,45.916667,5.4
01230,55.20Z,11,45.916667,5.5
01230,55.20Z,11,45.95,5.433333
