codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
01310,47.99A,16,46.183333,5.166667
01310,47.99A,16,46.283333,5.116667
01310,47.99A,16,46.25,5.133333
01310,47.99A,16,46.183333,5.116667
01310,47.99A,16,46.2,5.116667
01310,47.99A,16,46.266667,5.083333
01310,47.99A,16,46.266667,5.066667
01310,47.99A,16,46.2,5.133333
01310,55.3A,8,46.183333,5.166667
01310,55.3A,8,46.283333,5.116667
01310,55.3A,8,46.25,5.133333
01310,55.3A,8,46.183333,5.116667
01310,55.3A,8,46.2,5.116667
01310,55.3A,8,46.266667,5.083333
01310,55.3A,8,46.266667,5.066667
01310,55.3A,8,46.2,5.133333
01310,47.79Z,8,46.183333,5.166667
01310,47.79Z,8,46.283333,5.116667
01310,47.79Z,8,46.25,5.133333
01310,47.79Z,8,46.183333,5.116667
01310,47.79Z,8,46.2,5.116667
01310,47.79Z,8,46.266667,5.083333
01310,47.79Z,8,46.266667,5.066667
01310,47.79Z,8,46.2,5.133333
01310,95.29Z,8,46.183333,5.166667
01310,95.29Z,8,46.283333,5.116667
01310,95.29Z,8,46.25,5.133333
01310,95.29Z,8,46.183333,5.116667
01310,95.29Z,8,46.2,5.116667
01310,95.29Z,8,46.266667,5.083333
01310,95.29Z,8,46.266667,5.066667
01310,95.29Z,8,46.2,5.133333
01310,15.8B,8,46.183333,5.166667
01310,15.8B,8,46.283333,5.116667
01310,15.8B,8,46.25,5.133333
01310,15.8B,8,46.183333,5.116667
01310,15.8B,8,46.2,5.116667
01310,15.8B,8,46.266667,5.083333
01310,15.8B,8,46.266667,5.066667
01310,15.8B,8,46.2,5.133333
01310,01.43Z,8,46.183333,5.166667
01310,01.43Z,8,46.283333,5.116667
01310,01.43Z,8,46.25,5.133333
01310,01.43Z,8,46.183333,5.116667
01310,01.43Z,8,46.2,5.116667
01310,01.43Z,8,46.266667,5.083333
01310,01.43Z,8,46.266667,5.066667
01310,01.43Z,8,46.2,5.133333
01310,56.10C,8,46.183333,5.166667
01310,56.10C,8,46.283333,5.116667
01310,56.10C,8,46.25,5.133333
01310,56.10C,8,46.183333,5.116667
01310,56.10C,8,46.2,5.116667
01310,56.10C,8,46.266667,5.083333
01310,56.10C,8,46.266667,5.066667
01310,56.10C,8,46.2,5.133333
01310,86.10Z,24,46.183333,5.166667
01310,86.10Z,24,46.283333,5.116667
01310,86.10Z,24,46.25,5.133333
01310,86.10Z,24,46.183333,5.116667
01310,86.10Z,24,46.2,5.116667
01310,86.10Z,24,46.266667,5.083333
01310,86.10Z,24,46.266667,5.066667
01310,86.10Z,24,46.2,5.133333
01310,84.11Z,16,46.183333,5.166667
01310,84.11Z,16,46.283333,5.116667
01310,84.11Z,16,46.25,5.133333
01310,84.11Z,16,46.183333,5.116667
01310,84.11Z,16,46.2,5.116667
01310,84.11Z,16,46.266667,5.083333
01310,84.11Z,16,46.266667,5.066667
01310,84.11Z,16,46.2,5.133333
01310,70.2B,8,46.183333,5.166667
01310,70.2B,8,46.283333,5.116667
01310,70.2B,8,46.25,5.133333
01310,70.2B,8,46.183333,5.116667
01310,70.2B,8,46.2,5.116667
01310,70.2B,8,46.266667,5.083333
01310,70.2B,8,46.266667,5.066667
01310,70.2B,8,46.2,5.133333
01310,74.1J,8,46.183333,5.166667
01310,74.1J,8,46.283333,5.116667
01310,74.1J,8,46.25,5.133333
01310,74.1J,8,46.183333,5.116667
01310,74.1J,8,46.2,5.116667
01310,74.1J,8,46.266667,5.083333
01310,74.1J,8,46.266667,5.066667
01310,74.1J,8,46.2,5.133333
01310,56.10A,8,46.183333,5.166667
01310,56.10A,8,46.283333,5.116667
01310,56.10A,8,46.25,5.133333
01310,56.10A,8,46.183333,5.116667
01310,56.10A,8,46.2,5.116667
01310,56.10A,8,46.266667,5.083333
01310,56.10A,8,46.266667,5.066667
01310,56.10A,8,46.2,5.133333
01310,96.02A,8,46.183333,5.166667
01310,96.02A,8,46.283333,5.116667
