codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
02240,67.05,17,49.783333,3.5
02240,67.05,17,49.733333,3.45
02240,67.05,17,49.8,3.433333
02240,67.05,17,49.766667,3.416667
02240,67.05,17,49.8,3.466667
02240,67.05,17,49.716667,3.45
02240,67.05,17,49.816667,3.416667
02240,67.05,17,49.783333,3.516667
02240,67.05,17,49.766667,3.55
02240,67.05,17,49.766667,3.4
02240,67.05,17,49.8,3.35
02240,67.05,17,49.783333,3.4
02240,67.05,17,49.75,3.333333
02240,67.05,17,"",""
02240,67.05,17,49.716667,3.366667
02240,67.05,17,49.766667,3.383333
02240,67.05,17,49.75,3.366667
02240,01.11Z,102,49.783333,3.5
02240,01.11Z,102,49.733333,3.45
02240,01.11Z,102,49.8,3.433333
02240,01.11Z,102,49.766667,3.416667
02240,01.11Z,102,49.8,3.466667
02240,01.11Z,102,49.716667,3.45
02240,01.11Z,102,49.816667,3.416667
02240,01.11Z,102,49.783333,3.516667
02240,01.11Z,102,49.766667,3.55
02240,01.11Z,102,49.766667,3.4
02240,01.11Z,102,49.8,3.35
02240,01.11Z,102,49.783333,3.4
02240,01.11Z,102,49.75,3.333333
02240,01.11Z,102,"",""
02240,01.11Z,102,49.716667,3.366667
02240,01.11Z,102,49.766667,3.383333
02240,01.11Z,102,49.75,3.366667
02240,95.29Z,17,49.783333,3.5
02240,95.29Z,17,49.733333,3.45
02240,95.29Z,17,49.8,3.433333
02240,95.29Z,17,49.766667,3.416667
02240,95.29Z,17,49.8,3.466667
02240,95.29Z,17,49.716667,3.45
02240,95.29Z,17,49.816667,3.416667
02240,95.29Z,17,49.783333,3.516667
02240,95.29Z,17,49.766667,3.55
02240,95.29Z,17,49.766667,3.4
02240,95.29Z,17,49.8,3.35
02240,95.29Z,17,49.783333,3.4
02240,95.29Z,17,49.75,3.333333
02240,95.29Z,17,"",""
02240,95.29Z,17,49.716667,3.366667
02240,95.29Z,17,49.766667,3.383333
02240,95.29Z,17,49.75,3.366667
02240,21.08,17,49.783333,3.5
02240,21.08,17,49.733333,3.45
02240,21.08,17,49.8,3.433333
02240,21.08,17,49.766667,3.416667
02240,21.08,17,49.8,3.466667
02240,21.08,17,49.716667,3.45
02240,21.08,17,49.816667,3.416667
02240,21.08,17,49.783333,3.516667
02240,21.08,17,49.766667,3.55
02240,21.08,17,49.766667,3.4
02240,21.08,17,49.8,3.35
02240,21.08,17,49.783333,3.4
02240,21.08,17,49.75,3.333333
02240,21.08,17,"",""
02240,21.08,17,49.716667,3.366667
02240,21.08,17,49.766667,3.383333
02240,21.08,17,49.75,3.366667
02240,36.00Z,17,49.783333,3.5
02240,36.00Z,17,49.733333,3.45
02240,36.00Z,17,49.8,3.433333
02240,36.00Z,17,49.766667,3.416667
02240,36.00Z,17,49.8,3.466667
02240,36.00Z,17,49.716667,3.45
02240,36.00Z,17,49.816667,3.416667
02240,36.00Z,17,49.783333,3.516667
02240,36.00Z,17,49.766667,3.55
02240,36.00Z,17,49.766667,3.4
02240,36.00Z,17,49.8,3.35
02240,36.00Z,17,49.783333,3.4
02240,36.00Z,17,49.75,3.333333
02240,36.00Z,17,"",""
02240,36.00Z,17,49.716667,3.366667
02240,36.00Z,17,49.766667,3.383333
02240,36.00Z,17,49.75,3.366667
02240,64.20Z,17,49.783333,3.5
02240,64.20Z,17,49.733333,3.45
02240,64.20Z,17,49.8,3.433333
02240,64.20Z,17,49.766667,3.416667
02240,64.20Z,17,49.8,3.466667
02240,64.20Z,17,49.716667,3.45
02240,64.20Z,17,49.816667,3.416667
02240,64.20Z,17,49.783333,3.516667
02240,64.20Z,17,49.766667,3.55
02240,64.20Z,17,49.766667,3.4
02240,64.20Z,17,49.8,3.35
02240,64.20Z,17,49.783333,3.4
02240,64.20Z,17,49.75,3.333333
02240,64.20Z,17,"",""
02240,64.20Z,17,49.716667,3.366667
02240,64.20Z,17,49.766667,3.383333
02240,64.20Z,17,49.75,3.366667
02240,81.30Z,17,49.783333,3.5
02240,81.30Z,17,49.733333,3.45
02240,81.30Z,17,49.8,3.433333
02240,81.30Z,17,49.766667,3.416667
02240,81.30Z,17,49.8,3.466667
02240,81.30Z,17,49.716667,3.45
02240,81.30Z,17,49.816667,3.416667
02240,81.30Z,17,49.783333,3.516667
02240,81.30Z,17,49.766667,3.55
02240,81.30Z,17,49.766667,3.4
02240,81.30Z,17,49.8,3.35
02240,81.30Z,17,49.783333,3.4
02240,81.30Z,17,49.75,3.333333
02240,81.30Z,17,"",""
02240,81.30Z,17,49.716667,3.366667
02240,81.30Z,17,49.766667,3.383333
02240,81.30Z,17,49.75,3.366667
02240,84.11Z,34,49.783333,3.5
02240,84.11Z,34,49.733333,3.45
02240,84.11Z,34,49.8,3.433333
02240,84.11Z,34,49.766667,3.416667
02240,84.11Z,34,49.8,3.466667
02240,84.11Z,34,49.716667,3.45
02240,84.11Z,34,49.816667,3.416667
02240,84.11Z,34,49.783333,3.516667
02240,84.11Z,34,49.766667,3.55
02240,84.11Z,34,49.766667,3.4
02240,84.11Z,34,49.8,3.35
02240,84.11Z,34,49.783333,3.4
02240,84.11Z,34,49.75,3.333333
02240,84.11Z,34,"",""
02240,84.11Z,34,49.716667,3.366667
02240,84.11Z,34,49.766667,3.383333
02240,84.11Z,34,49.75,3.366667
02240,70.2B,17,49.783333,3.5
02240,70.2B,17,49.733333,3.45
02240,70.2B,17,49.8,3.433333
02240,70.2B,17,49.766667,3.416667
02240,70.2B,17,49.8,3.466667
02240,70.2B,17,49.716667,3.45
02240,70.2B,17,49.816667,3.416667
02240,70.2B,17,49.783333,3.516667
02240,70.2B,17,49.766667,3.55
02240,70.2B,17,49.766667,3.4
02240,70.2B,17,49.8,3.35
02240,70.2B,17,49.783333,3.4
02240,70.2B,17,49.75,3.333333
02240,70.2B,17,"",""
02240,70.2B,17,49.716667,3.366667
02240,70.2B,17,49.766667,3.383333
02240,70.2B,17,49.75,3.366667
02240,01.3Z,51,49.783333,3.5
02240,01.3Z,51,49.733333,3.45
02240,01.3Z,51,49.8,3.433333
02240,01.3Z,51,49.766667,3.416667
02240,01.3Z,51,49.8,3.466667
02240,01.3Z,51,49.716667,3.45
02240,01.3Z,51,49.816667,3.416667
02240,01.3Z,51,49.783333,3.516667
02240,01.3Z,51,49.766667,3.55
02240,01.3Z,51,49.766667,3.4
02240,01.3Z,51,49.8,3.35
02240,01.3Z,51,49.783333,3.4
02240,01.3Z,51,49.75,3.333333
02240,01.3Z,51,"",""
02240,01.3Z,51,49.716667,3.366667
02240,01.3Z,51,49.766667,3.383333
02240,01.3Z,51,49.75,3.366667
02240,43.22B,17,49.783333,3.5
02240,43.22B,17,49.733333,3.45
02240,43.22B,17,49.8,3.433333
02240,43.22B,17,49.766667,3.416667
02240,43.22B,17,49.8,3.466667
02240,43.22B,17,49.716667,3.45
02240,43.22B,17,49.816667,3.416667
02240,43.22B,17,49.783333,3.516667
02240,43.22B,17,49.766667,3.55
02240,43.22B,17,49.766667,3.4
02240,43.22B,17,49.8,3.35
02240,43.22B,17,49.783333,3.4
02240,43.22B,17,49.75,3.333333
02240,43.22B,17,"",""
02240,43.22B,17,49.716667,3.366667
02240,43.22B,17,49.766667,3.383333
02240,43.22B,17,49.75,3.366667
02240,74.30Z,17,49.783333,3.5
02240,74.30Z,17,49.733333,3.45
02240,74.30Z,17,49.8,3.433333
02240,74.30Z,17,49.766667,3.416667
02240,74.30Z,17,49.8,3.466667
02240,74.30Z,17,49.716667,3.45
02240,74.30Z,17,49.816667,3.416667
02240,74.30Z,17,49.783333,3.516667
02240,74.30Z,17,49.766667,3.55
02240,74.30Z,17,49.766667,3.4
02240,74.30Z,17,49.8,3.35
02240,74.30Z,17,49.783333,3.4
02240,74.30Z,17,49.75,3.333333
02240,74.30Z,17,"",""
02240,74.30Z,17,49.716667,3.366667
02240,74.30Z,17,49.766667,3.383333
02240,74.30Z,17,49.75,3.366667
02240,55.4B,17,49.783333,3.5
02240,55.4B,17,49.733333,3.45
02240,55.4B,17,49.8,3.433333
02240,55.4B,17,49.766667,3.416667
02240,55.4B,17,49.8,3.466667
02240,55.4B,17,49.716667,3.45
02240,55.4B,17,49.816667,3.416667
02240,55.4B,17,49.783333,3.516667
02240,55.4B,17,49.766667,3.55
02240,55.4B,17,49.766667,3.4
02240,55.4B,17,49.8,3.35
02240,55.4B,17,49.783333,3.4
02240,55.4B,17,49.75,3.333333
02240,55.4B,17,"",""
02240,55.4B,17,49.716667,3.366667
02240,55.4B,17,49.766667,3.383333
02240,55.4B,17,49.75,3.366667
02240,14.13Z,17,49.783333,3.5
02240,14.13Z,17,49.733333,3.45
02240,14.13Z,17,49.8,3.433333
02240,14.13Z,17,49.766667,3.416667
02240,14.13Z,17,49.8,3.466667
02240,14.13Z,17,49.716667,3.45
02240,14.13Z,17,49.816667,3.416667
02240,14.13Z,17,49.783333,3.516667
02240,14.13Z,17,49.766667,3.55
02240,14.13Z,17,49.766667,3.4
02240,14.13Z,17,49.8,3.35
02240,14.13Z,17,49.783333,3.4
02240,14.13Z,17,49.75,3.333333
02240,14.13Z,17,"",""
02240,14.13Z,17,49.716667,3.366667
02240,14.13Z,17,49.766667,3.383333
02240,14.13Z,17,49.75,3.366667
02240,46.21Z,17,49.783333,3.5
02240,46.21Z,17,49.733333,3.45
02240,46.21Z,17,49.8,3.433333
02240,46.21Z,17,49.766667,3.416667
02240,46.21Z,17,49.8,3.466667
02240,46.21Z,17,49.716667,3.45
02240,46.21Z,17,49.816667,3.416667
02240,46.21Z,17,49.783333,3.516667
02240,46.21Z,17,49.766667,3.55
02240,46.21Z,17,49.766667,3.4
02240,46.21Z,17,49.8,3.35
02240,46.21Z,17,49.783333,3.4
02240,46.21Z,17,49.75,3.333333
02240,46.21Z,17,"",""
02240,46.21Z,17,49.716667,3.366667
02240,46.21Z,17,49.766667,3.383333
02240,46.21Z,17,49.75,3.366667
02240,62.01Z,17,49.783333,3.5
