codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
02680,47.99A,65,49.8,3.266667
02680,47.99A,65,49.8,3.216667
02680,47.99A,65,49.816667,3.233333
02680,47.99A,65,49.8,3.233333
02680,47.99A,65,49.8,3.233333
02680,33.20A,10,49.8,3.266667
02680,33.20A,10,49.8,3.216667
02680,33.20A,10,49.816667,3.233333
02680,33.20A,10,49.8,3.233333
02680,33.20A,10,49.8,3.233333
02680,70.3A,5,49.8,3.266667
02680,70.3A,5,49.8,3.216667
02680,70.3A,5,49.816667,3.233333
02680,70.3A,5,49.8,3.233333
02680,70.3A,5,49.8,3.233333
02680,87.30A,20,49.8,3.266667
02680,87.30A,20,49.8,3.216667
02680,87.30A,20,49.816667,3.233333
02680,87.30A,20,49.8,3.233333
02680,87.30A,20,49.8,3.233333
02680,55.3A,25,49.8,3.266667
02680,55.3A,25,49.8,3.216667
02680,55.3A,25,49.816667,3.233333
02680,55.3A,25,49.8,3.233333
02680,55.3A,25,49.8,3.233333
02680,43.22A,10,49.8,3.266667
02680,43.22A,10,49.8,3.216667
02680,43.22A,10,49.816667,3.233333
02680,43.22A,10,49.8,3.233333
02680,43.22A,10,49.8,3.233333
02680,16.01,5,49.8,3.266667
02680,16.01,5,49.8,3.216667
02680,16.01,5,49.816667,3.233333
02680,16.01,5,49.8,3.233333
02680,16.01,5,49.8,3.233333
02680,93.0D,15,49.8,3.266667
02680,93.0D,15,49.8,3.216667
02680,93.0D,15,49.816667,3.233333
02680,93.0D,15,49.8,3.233333
02680,93.0D,15,49.8,3.233333
02680,02.10Z,5,49.8,3.266667
02680,02.10Z,5,49.8,3.216667
02680,02.10Z,5,49.816667,3.233333
02680,02.10Z,5,49.8,3.233333
02680,02.10Z,5,49.8,3.233333
02680,52.3A,10,49.8,3.266667
02680,52.3A,10,49.8,3.216667
02680,52.3A,10,49.816667,3.233333
02680,52.3A,10,49.8,3.233333
02680,52.3A,10,49.8,3.233333
02680,47.79Z,5,49.8,3.266667
02680,47.79Z,5,49.8,3.216667
02680,47.79Z,5,49.816667,3.233333
02680,47.79Z,5,49.8,3.233333
02680,47.79Z,5,49.8,3.233333
02680,28.30Z,5,49.8,3.266667
02680,28.30Z,5,49.8,3.216667
02680,28.30Z,5,49.816667,3.233333
02680,28.30Z,5,49.8,3.233333
02680,28.30Z,5,49.8,3.233333
02680,92.3A,15,49.8,3.266667
02680,92.3A,15,49.8,3.216667
02680,92.3A,15,49.816667,3.233333
02680,92.3A,15,49.8,3.233333
02680,92.3A,15,49.8,3.233333
02680,85.1E,5,49.8,3.266667
02680,85.1E,5,49.8,3.216667
02680,85.1E,5,49.816667,3.233333
02680,85.1E,5,49.8,3.233333
02680,85.1E,5,49.8,3.233333
02680,68.20A,90,49.8,3.266667
02680,68.20A,90,49.8,3.216667
02680,68.20A,90,49.816667,3.233333
02680,68.20A,90,49.8,3.233333
02680,68.20A,90,49.8,3.233333
02680,55.40,5,49.8,3.266667
02680,55.40,5,49.8,3.216667
02680,55.40,5,49.816667,3.233333
02680,55.40,5,49.8,3.233333
02680,55.40,5,49.8,3.233333
02680,53.05,5,49.8,3.266667
02680,53.05,5,49.8,3.216667
02680,53.05,5,49.816667,3.233333
02680,53.05,5,49.8,3.233333
02680,53.05,5,49.8,3.233333
02680,45.3E,5,49.8,3.266667
02680,45.3E,5,49.8,3.216667
02680,45.3E,5,49.816667,3.233333
02680,45.3E,5,49.8,3.233333
02680,45.3E,5,49.8,3.233333
02680,49.32Z,5,49.8,3.266667
02680,49.32Z,5,49.8,3.216667
02680,49.32Z,5,49.816667,3.233333
02680,49.32Z,5,49.8,3.233333
02680,49.32Z,5,49.8,3.233333
02680,36.6E,5,49.8,3.266667
02680,36.6E,5,49.8,3.216667
02680,36.6E,5,49.816667,3.233333
02680,36.6E,5,49.8,3.233333
02680,36.6E,5,49.8,3.233333
02680,55.60,25,49.8,3.266667
02680,55.60,25,49.8,3.216667
02680,55.60,25,49.816667,3.233333
02680,55.60,25,49.8,3.233333
02680,55.60,25,49.8,3.233333
02680,56.30Z,25,49.8,3.266667
02680,56.30Z,25,49.8,3.216667
02680,56.30Z,25,49.816667,3.233333
02680,56.30Z,25,49.8,3.233333
02680,56.30Z,25,49.8,3.233333
02680,32.99Z,10,49.8,3.266667
02680,32.99Z,10,49.8,3.216667
02680,32.99Z,10,49.816667,3.233333
02680,32.99Z,10,49.8,3.233333
02680,32.99Z,10,49.8,3.233333
02680,95.11Z,5,49.8,3.266667
02680,95.11Z,5,49.8,3.216667
02680,95.11Z,5,49.816667,3.233333
02680,95.11Z,5,49.8,3.233333
02680,95.11Z,5,49.8,3.233333
02680,56.21Z,15,49.8,3.266667
02680,56.21Z,15,49.8,3.216667
02680,56.21Z,15,49.816667,3.233333
02680,56.21Z,15,49.8,3.233333
02680,56.21Z,15,49.8,3.233333
02680,30.99Z,5,49.8,3.266667
02680,30.99Z,5,49.8,3.216667
02680,30.99Z,5,49.816667,3.233333
02680,30.99Z,5,49.8,3.233333
02680,30.99Z,5,49.8,3.233333
02680,85.1C,15,49.8,3.266667
02680,85.1C,15,49.8,3.216667
02680,85.1C,15,49.816667,3.233333
02680,85.1C,15,49.8,3.233333
02680,85.1C,15,49.8,3.233333
02680,45.4J,5,49.8,3.266667
02680,45.4J,5,49.8,3.216667
02680,45.4J,5,49.816667,3.233333
02680,45.4J,5,49.8,3.233333
02680,45.4J,5,49.8,3.233333
02680,81.22Z,5,49.8,3.266667
02680,81.22Z,5,49.8,3.216667
02680,81.22Z,5,49.816667,3.233333
02680,81.22Z,5,49.8,3.233333
02680,81.22Z,5,49.8,3.233333
02680,80.4D,5,49.8,3.266667
02680,80.4D,5,49.8,3.216667
02680,80.4D,5,49.816667,3.233333
02680,80.4D,5,49.8,3.233333
02680,80.4D,5,49.8,3.233333
02680,43.34Z,15,49.8,3.266667
02680,43.34Z,15,49.8,3.216667
02680,43.34Z,15,49.816667,3.233333
02680,43.34Z,15,49.8,3.233333
02680,43.34Z,15,49.8,3.233333
02680,93.19Z,10,49.8,3.266667
02680,93.19Z,10,49.8,3.216667
02680,93.19Z,10,49.816667,3.233333
02680,93.19Z,10,49.8,3.233333
02680,93.19Z,10,49.8,3.233333
02680,52.4X,10,49.8,3.266667
02680,52.4X,10,49.8,3.216667
02680,52.4X,10,49.816667,3.233333
02680,52.4X,10,49.8,3.233333
02680,52.4X,10,49.8,3.233333
02680,87.10A,20,49.8,3.266667
02680,87.10A,20,49.8,3.216667
02680,87.10A,20,49.816667,3.233333
02680,87.10A,20,49.8,3.233333
02680,87.10A,20,49.8,3.233333
02680,64.20Z,5,49.8,3.266667
02680,64.20Z,5,49.8,3.216667
02680,64.20Z,5,49.816667,3.233333
02680,64.20Z,5,49.8,3.233333
02680,64.20Z,5,49.8,3.233333
02680,25.12Z,5,49.8,3.266667
02680,25.12Z,5,49.8,3.216667
02680,25.12Z,5,49.816667,3.233333
02680,25.12Z,5,49.8,3.233333
02680,25.12Z,5,49.8,3.233333
02680,86.90E,70,49.8,3.266667
02680,86.90E,70,49.8,3.216667
02680,86.90E,70,49.816667,3.233333
02680,86.90E,70,49.8,3.233333
02680,86.90E,70,49.8,3.233333
02680,85.31Z,5,49.8,3.266667
02680,85.31Z,5,49.8,3.216667
02680,85.31Z,5,49.816667,3.233333
02680,85.31Z,5,49.8,3.233333
02680,85.31Z,5,49.8,3.233333
02680,01.43Z,5,49.8,3.266667
02680,01.43Z,5,49.8,3.216667
02680,01.43Z,5,49.816667,3.233333
02680,01.43Z,5,49.8,3.233333
02680,01.43Z,5,49.8,3.233333
02680,90.01Z,10,49.8,3.266667
02680,90.01Z,10,49.8,3.216667
02680,90.01Z,10,49.816667,3.233333
02680,90.01Z,10,49.8,3.233333
02680,90.01Z,10,49.8,3.233333
02680,59.13,10,49.8,3.266667
02680,59.13,10,49.8,3.216667
02680,59.13,10,49.816667,3.233333
02680,59.13,10,49.8,3.233333
02680,59.13,10,49.8,3.233333
02680,43.32B,5,49.8,3.266667
02680,43.32B,5,49.8,3.216667
02680,43.32B,5,49.816667,3.233333
02680,43.32B,5,49.8,3.233333
02680,43.32B,5,49.8,3.233333
02680,80.4C,5,49.8,3.266667
02680,80.4C,5,49.8,3.216667
02680,80.4C,5,49.816667,3.233333
02680,80.4C,5,49.8,3.233333
02680,80.4C,5,49.8,3.233333
02680,47.82Z,5,49.8,3.266667
02680,47.82Z,5,49.8,3.216667
02680,47.82Z,5,49.816667,3.233333
02680,47.82Z,5,49.8,3.233333
02680,47.82Z,5,49.8,3.233333
02680,56.10C,20,49.8,3.266667
02680,56.10C,20,49.8,3.216667
02680,56.10C,20,49.816667,3.233333
02680,56.10C,20,49.8,3.233333
02680,56.10C,20,49.8,3.233333
