codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
03150,47.99A,10,46.316667,3.4
03150,47.99A,10,46.266667,3.466667
03150,47.99A,10,46.35,3.383333
03150,47.99A,10,46.25,3.516667
03150,47.99A,10,46.3,3.45
03150,47.99A,10,46.333333,3.45
03150,47.99A,10,46.3,3.5
03150,47.99A,10,46.266667,3.466667
03150,47.99A,10,46.266667,3.416667
03150,47.99A,10,46.316667,3.483333
03150,67.05,10,46.316667,3.4
03150,67.05,10,46.266667,3.466667
03150,67.05,10,46.35,3.383333
03150,67.05,10,46.25,3.516667
03150,67.05,10,46.3,3.45
03150,67.05,10,46.333333,3.45
03150,67.05,10,46.3,3.5
03150,67.05,10,46.266667,3.466667
03150,67.05,10,46.266667,3.416667
03150,67.05,10,46.316667,3.483333
03150,02.10Z,10,46.316667,3.4
03150,02.10Z,10,46.266667,3.466667
03150,02.10Z,10,46.35,3.383333
03150,02.10Z,10,46.25,3.516667
03150,02.10Z,10,46.3,3.45
03150,02.10Z,10,46.333333,3.45
03150,02.10Z,10,46.3,3.5
03150,02.10Z,10,46.266667,3.466667
03150,02.10Z,10,46.266667,3.416667
03150,02.10Z,10,46.316667,3.483333
03150,01.11Z,60,46.316667,3.4
03150,01.11Z,60,46.266667,3.466667
03150,01.11Z,60,46.35,3.383333
03150,01.11Z,60,46.25,3.516667
03150,01.11Z,60,46.3,3.45
03150,01.11Z,60,46.333333,3.45
03150,01.11Z,60,46.3,3.5
03150,01.11Z,60,46.266667,3.466667
03150,01.11Z,60,46.266667,3.416667
03150,01.11Z,60,46.316667,3.483333
03150,00.97,10,46.316667,3.4
03150,00.97,10,46.266667,3.466667
03150,00.97,10,46.35,3.383333
03150,00.97,10,46.25,3.516667
03150,00.97,10,46.3,3.45
03150,00.97,10,46.333333,3.45
03150,00.97,10,46.3,3.5
03150,00.97,10,46.266667,3.466667
03150,00.97,10,46.266667,3.416667
03150,00.97,10,46.316667,3.483333
03150,68.20A,10,46.316667,3.4
03150,68.20A,10,46.266667,3.466667
03150,68.20A,10,46.35,3.383333
03150,68.20A,10,46.25,3.516667
03150,68.20A,10,46.3,3.45
03150,68.20A,10,46.333333,3.45
03150,68.20A,10,46.3,3.5
03150,68.20A,10,46.266667,3.466667
03150,68.20A,10,46.266667,3.416667
03150,68.20A,10,46.316667,3.483333
03150,62.11,20,46.316667,3.4
03150,62.11,20,46.266667,3.466667
03150,62.11,20,46.35,3.383333
03150,62.11,20,46.25,3.516667
03150,62.11,20,46.3,3.45
03150,62.11,20,46.333333,3.45
03150,62.11,20,46.3,3.5
03150,62.11,20,46.266667,3.466667
03150,62.11,20,46.266667,3.416667
03150,62.11,20,46.316667,3.483333
03150,01.43Z,30,46.316667,3.4
03150,01.43Z,30,46.266667,3.466667
03150,01.43Z,30,46.35,3.383333
03150,01.43Z,30,46.25,3.516667
03150,01.43Z,30,46.3,3.45
03150,01.43Z,30,46.333333,3.45
03150,01.43Z,30,46.3,3.5
03150,01.43Z,30,46.266667,3.466667
03150,01.43Z,30,46.266667,3.416667
03150,01.43Z,30,46.316667,3.483333
03150,86.90E,10,46.316667,3.4
03150,86.90E,10,46.266667,3.466667
03150,86.90E,10,46.35,3.383333
03150,86.90E,10,46.25,3.516667
03150,86.90E,10,46.3,3.45
03150,86.90E,10,46.333333,3.45
03150,86.90E,10,46.3,3.5
03150,86.90E,10,46.266667,3.466667
03150,86.90E,10,46.266667,3.416667
03150,86.90E,10,46.316667,3.483333
03150,01.07,10,46.316667,3.4
03150,01.07,10,46.266667,3.466667
03150,01.07,10,46.35,3.383333
03150,01.07,10,46.25,3.516667
03150,01.07,10,46.3,3.45
03150,01.07,10,46.333333,3.45
03150,01.07,10,46.3,3.5
03150,01.07,10,46.266667,3.466667
03150,01.07,10,46.266667,3.416667
03150,01.07,10,46.316667,3.483333
03150,74.10Z,20,46.316667,3.4
03150,74.10Z,20,46.266667,3.466667
03150,74.10Z,20,46.35,3.383333
03150,74.10Z,20,46.25,3.516667
03150,74.10Z,20,46.3,3.45
03150,74.10Z,20,46.333333,3.45
03150,74.10Z,20,46.3,3.5
03150,74.10Z,20,46.266667,3.466667
03150,74.10Z,20,46.266667,3.416667
03150,74.10Z,20,46.316667,3.483333
03150,43.91A,20,46.316667,3.4
03150,43.91A,20,46.266667,3.466667
03150,43.91A,20,46.35,3.383333
03150,43.91A,20,46.25,3.516667
03150,43.91A,20,46.3,3.45
03150,43.91A,20,46.333333,3.45
03150,43.91A,20,46.3,3.5
03150,43.91A,20,46.266667,3.466667
03150,43.91A,20,46.266667,3.416667
03150,43.91A,20,46.316667,3.483333
03150,81.30Z,20,46.316667,3.4
03150,81.30Z,20,46.266667,3.466667
03150,81.30Z,20,46.35,3.383333
03150,81.30Z,20,46.25,3.516667
03150,81.30Z,20,46.3,3.45
03150,81.30Z,20,46.333333,3.45
03150,81.30Z,20,46.3,3.5
03150,81.30Z,20,46.266667,3.466667
03150,81.30Z,20,46.266667,3.416667
03150,81.30Z,20,46.316667,3.483333
03150,84.11Z,30,46.316667,3.4
03150,84.11Z,30,46.266667,3.466667
03150,84.11Z,30,46.35,3.383333
03150,84.11Z,30,46.25,3.516667
03150,84.11Z,30,46.3,3.45
03150,84.11Z,30,46.333333,3.45
03150,84.11Z,30,46.3,3.5
03150,84.11Z,30,46.266667,3.466667
03150,84.11Z,30,46.266667,3.416667
03150,84.11Z,30,46.316667,3.483333
03150,45.4D,10,46.316667,3.4
03150,45.4D,10,46.266667,3.466667
03150,45.4D,10,46.35,3.383333
03150,45.4D,10,46.25,3.516667
03150,45.4D,10,46.3,3.45
03150,45.4D,10,46.333333,3.45
03150,45.4D,10,46.3,3.5
03150,45.4D,10,46.266667,3.466667
03150,45.4D,10,46.266667,3.416667
03150,45.4D,10,46.316667,3.483333
03150,70.2B,10,46.316667,3.4
03150,70.2B,10,46.266667,3.466667
03150,70.2B,10,46.35,3.383333
03150,70.2B,10,46.25,3.516667
03150,70.2B,10,46.3,3.45
03150,70.2B,10,46.333333,3.45
03150,70.2B,10,46.3,3.5
03150,70.2B,10,46.266667,3.466667
03150,70.2B,10,46.266667,3.416667
03150,70.2B,10,46.316667,3.483333
03150,01.3Z,40,46.316667,3.4
03150,01.3Z,40,46.266667,3.466667
03150,01.3Z,40,46.35,3.383333
03150,01.3Z,40,46.25,3.516667
03150,01.3Z,40,46.3,3.45
03150,01.3Z,40,46.333333,3.45
03150,01.3Z,40,46.3,3.5
03150,01.3Z,40,46.266667,3.466667
03150,01.3Z,40,46.266667,3.416667
03150,01.3Z,40,46.316667,3.483333
03150,43.22B,20,46.316667,3.4
03150,43.22B,20,46.266667,3.466667
03150,43.22B,20,46.35,3.383333
03150,43.22B,20,46.25,3.516667
03150,43.22B,20,46.3,3.45
03150,43.22B,20,46.333333,3.45
03150,43.22B,20,46.3,3.5
03150,43.22B,20,46.266667,3.466667
03150,43.22B,20,46.266667,3.416667
03150,43.22B,20,46.316667,3.483333
03150,93.12Z,10,46.316667,3.4
03150,93.12Z,10,46.266667,3.466667
03150,93.12Z,10,46.35,3.383333
03150,93.12Z,10,46.25,3.516667
03150,93.12Z,10,46.3,3.45
03150,93.12Z,10,46.333333,3.45
03150,93.12Z,10,46.3,3.5
03150,93.12Z,10,46.266667,3.466667
03150,93.12Z,10,46.266667,3.416667
03150,93.12Z,10,46.316667,3.483333
03150,43.32A,10,46.316667,3.4
03150,43.32A,10,46.266667,3.466667
03150,43.32A,10,46.35,3.383333
03150,43.32A,10,46.25,3.516667
03150,43.32A,10,46.3,3.45
03150,43.32A,10,46.333333,3.45
03150,43.32A,10,46.3,3.5
03150,43.32A,10,46.266667,3.466667
03150,43.32A,10,46.266667,3.416667
03150,43.32A,10,46.316667,3.483333
03150,02.20Z,10,46.316667,3.4
03150,02.20Z,10,46.266667,3.466667
03150,02.20Z,10,46.35,3.383333
03150,02.20Z,10,46.25,3.516667
03150,02.20Z,10,46.3,3.45
03150,02.20Z,10,46.333333,3.45
03150,02.20Z,10,46.3,3.5
03150,02.20Z,10,46.266667,3.466667
03150,02.20Z,10,46.266667,3.416667
03150,02.20Z,10,46.316667,3.483333
03150,14.1A,10,46.316667,3.4
03150,14.1A,10,46.266667,3.466667
03150,14.1A,10,46.35,3.383333
03150,14.1A,10,46.25,3.516667
03150,14.1A,10,46.3,3.45
03150,14.1A,10,46.333333,3.45
03150,14.1A,10,46.3,3.5
03150,14.1A,10,46.266667,3.466667
03150,14.1A,10,46.266667,3.416667
03150,14.1A,10,46.316667,3.483333
03150,96.02A,10,46.316667,3.4
03150,96.02A,10,46.266667,3.466667
03150,96.02A,10,46.35,3.383333
03150,96.02A,10,46.25,3.516667
03150,96.02A,10,46.3,3.45
03150,96.02A,10,46.333333,3.45
03150,96.02A,10,46.3,3.5
03150,96.02A,10,46.266667,3.466667
03150,96.02A,10,46.266667,3.416667
03150,96.02A,10,46.316667,3.483333
03150,51.1R,10,46.316667,3.4
03150,51.1R,10,46.266667,3.466667
03150,51.1R,10,46.35,3.383333
03150,51.1R,10,46.25,3.516667
03150,51.1R,10,46.3,3.45
03150,51.1R,10,46.333333,3.45
03150,51.1R,10,46.3,3.5
03150,51.1R,10,46.266667,3.466667
03150,51.1R,10,46.266667,3.416667
03150,51.1R,10,46.316667,3.483333
03150,86.90D,10,46.316667,3.4
03150,86.90D,10,46.266667,3.466667
03150,86.90D,10,46.35,3.383333
03150,86.90D,10,46.25,3.516667
03150,86.90D,10,46.3,3.45
03150,86.90D,10,46.333333,3.45
03150,86.90D,10,46.3,3.5
03150,86.90D,10,46.266667,3.466667
03150,86.90D,10,46.266667,3.416667
03150,86.90D,10,46.316667,3.483333
03150,46.19B,20,46.316667,3.4
03150,46.19B,20,46.266667,3.466667
03150,46.19B,20,46.35,3.383333
03150,46.19B,20,46.25,3.516667
03150,46.19B,20,46.3,3.45
03150,46.19B,20,46.333333,3.45
03150,46.19B,20,46.3,3.5
03150,46.19B,20,46.266667,3.466667
03150,46.19B,20,46.266667,3.416667
03150,46.19B,20,46.316667,3.483333
03150,31.09B,10,46.316667,3.4
03150,31.09B,10,46.266667,3.466667
03150,31.09B,10,46.35,3.383333
03150,31.09B,10,46.25,3.516667
03150,31.09B,10,46.3,3.45
03150,31.09B,10,46.333333,3.45
03150,31.09B,10,46.3,3.5
03150,31.09B,10,46.266667,3.466667
03150,31.09B,10,46.266667,3.416667
03150,31.09B,10,46.316667,3.483333
03150,23.32Z,10,46.316667,3.4
03150,23.32Z,10,46.266667,3.466667
03150,23.32Z,10,46.35,3.383333
03150,23.32Z,10,46.25,3.516667
03150,23.32Z,10,46.3,3.45
03150,23.32Z,10,46.333333,3.45
03150,23.32Z,10,46.3,3.5
03150,23.32Z,10,46.266667,3.466667
03150,23.32Z,10,46.266667,3.416667
03150,23.32Z,10,46.316667,3.483333
03150,55.30Z,20,46.316667,3.4
03150,55.30Z,20,46.266667,3.466667
03150,55.30Z,20,46.35,3.383333
03150,55.30Z,20,46.25,3.516667
03150,55.30Z,20,46.3,3.45
03150,55.30Z,20,46.333333,3.45
03150,55.30Z,20,46.3,3.5
03150,55.30Z,20,46.266667,3.466667
03150,55.30Z,20,46.266667,3.416667
03150,55.30Z,20,46.316667,3.483333
03150,94.99Z,20,46.316667,3.4
03150,94.99Z,20,46.266667,3.466667
03150,94.99Z,20,46.35,3.383333
03150,94.99Z,20,46.25,3.516667
03150,94.99Z,20,46.3,3.45
03150,94.99Z,20,46.333333,3.45
03150,94.99Z,20,46.3,3.5
03150,94.99Z,20,46.266667,3.466667
03150,94.99Z,20,46.266667,3.416667
03150,94.99Z,20,46.316667,3.483333
03150,82.99Z,10,46.316667,3.4
03150,82.99Z,10,46.266667,3.466667
03150,82.99Z,10,46.35,3.383333
03150,82.99Z,10,46.25,3.516667
03150,82.99Z,10,46.3,3.45
03150,82.99Z,10,46.333333,3.45
03150,82.99Z,10,46.3,3.5
03150,82.99Z,10,46.266667,3.466667
03150,82.99Z,10,46.266667,3.416667
03150,82.99Z,10,46.316667,3.483333
03150,86.06,10,46.316667,3.4
03150,86.06,10,46.266667,3.466667
03150,86.06,10,46.35,3.383333
03150,86.06,10,46.25,3.516667
03150,86.06,10,46.3,3.45
03150,86.06,10,46.333333,3.45
03150,86.06,10,46.3,3.5
03150,86.06,10,46.266667,3.466667
03150,86.06,10,46.266667,3.416667
03150,86.06,10,46.316667,3.483333
03150,02.0D,10,46.316667,3.4
03150,02.0D,10,46.266667,3.466667
03150,02.0D,10,46.35,3.383333
03150,02.0D,10,46.25,3.516667
03150,02.0D,10,46.3,3.45
03150,02.0D,10,46.333333,3.45
03150,02.0D,10,46.3,3.5
03150,02.0D,10,46.266667,3.466667
03150,02.0D,10,46.266667,3.416667
03150,02.0D,10,46.316667,3.483333
03150,67.01,10,46.316667,3.4
03150,67.01,10,46.266667,3.466667
03150,67.01,10,46.35,3.383333
03150,67.01,10,46.25,3.516667
03150,67.01,10,46.3,3.45
03150,67.01,10,46.333333,3.45
03150,67.01,10,46.3,3.5
03150,67.01,10,46.266667,3.466667
03150,67.01,10,46.266667,3.416667
03150,67.01,10,46.316667,3.483333
