codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
03200,47.99A,12,46.116667,3.416667
03200,47.99A,12,"",""
03200,47.99A,12,46.1,3.433333
03200,64.11,3,46.116667,3.416667
03200,64.11,3,"",""
03200,64.11,3,46.1,3.433333
03200,55.3A,6,46.116667,3.416667
03200,55.3A,6,"",""
03200,55.3A,6,46.1,3.433333
03200,43.22A,9,46.116667,3.416667
03200,43.22A,9,"",""
03200,43.22A,9,46.1,3.433333
03200,93.0D,3,46.116667,3.416667
03200,93.0D,3,"",""
03200,93.0D,3,46.1,3.433333
03200,02.10Z,3,46.116667,3.416667
03200,02.10Z,3,"",""
03200,02.10Z,3,46.1,3.433333
03200,01.11Z,27,46.116667,3.416667
03200,01.11Z,27,"",""
03200,01.11Z,27,46.1,3.433333
03200,49.41A,6,46.116667,3.416667
03200,49.41A,6,"",""
03200,49.41A,6,46.1,3.433333
03200,46.23Z,3,46.116667,3.416667
03200,46.23Z,3,"",""
03200,46.23Z,3,46.1,3.433333
03200,77.01,3,46.116667,3.416667
03200,77.01,3,"",""
03200,77.01,3,46.1,3.433333
03200,95.29Z,3,46.116667,3.416667
03200,95.29Z,3,"",""
03200,95.29Z,3,46.1,3.433333
03200,92.3A,3,46.116667,3.416667
03200,92.3A,3,"",""
03200,92.3A,3,46.1,3.433333
03200,68.20A,27,46.116667,3.416667
03200,68.20A,27,"",""
03200,68.20A,27,46.1,3.433333
03200,01.50,3,46.116667,3.416667
03200,01.50,3,"",""
03200,01.50,3,46.1,3.433333
03200,55.40,3,46.116667,3.416667
03200,55.40,3,"",""
03200,55.40,3,46.1,3.433333
03200,49.32Z,6,46.116667,3.416667
03200,49.32Z,6,"",""
03200,49.32Z,6,46.1,3.433333
03200,45.3E,6,46.116667,3.416667
03200,45.3E,6,"",""
03200,45.3E,6,46.1,3.433333
03200,60.2E,9,46.116667,3.416667
03200,60.2E,9,"",""
03200,60.2E,9,46.1,3.433333
03200,55.60,6,46.116667,3.416667
03200,55.60,6,"",""
03200,55.60,6,46.1,3.433333
03200,56.30Z,9,46.116667,3.416667
03200,56.30Z,9,"",""
03200,56.30Z,9,46.1,3.433333
03200,21.08,6,46.116667,3.416667
03200,21.08,6,"",""
03200,21.08,6,46.1,3.433333
03200,56.21Z,6,46.116667,3.416667
03200,56.21Z,6,"",""
03200,56.21Z,6,46.1,3.433333
03200,45.4J,3,46.116667,3.416667
03200,45.4J,3,"",""
03200,45.4J,3,46.1,3.433333
03200,43.34Z,15,46.116667,3.416667
03200,43.34Z,15,"",""
03200,43.34Z,15,46.1,3.433333
03200,93.19Z,3,46.116667,3.416667
03200,93.19Z,3,"",""
03200,93.19Z,3,46.1,3.433333
