codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
03210,47.99A,12,46.533333,3.183333
03210,47.99A,12,46.583333,3.15
03210,47.99A,12,46.483333,3.116667
03210,47.99A,12,46.5,3.083333
03210,47.99A,12,46.583333,3.2
03210,47.99A,12,46.5,3.066667
03210,47.99A,12,46.483333,3.316667
03210,47.99A,12,46.466667,3.133333
03210,47.99A,12,46.45,3.25
03210,47.99A,12,46.466667,3.266667
03210,47.99A,12,46.55,3.133333
03210,47.99A,12,46.6,3.15
03210,55.3A,12,46.533333,3.183333
03210,55.3A,12,46.583333,3.15
03210,55.3A,12,46.483333,3.116667
03210,55.3A,12,46.5,3.083333
03210,55.3A,12,46.583333,3.2
03210,55.3A,12,46.5,3.066667
03210,55.3A,12,46.483333,3.316667
03210,55.3A,12,46.466667,3.133333
03210,55.3A,12,46.45,3.25
03210,55.3A,12,46.466667,3.266667
03210,55.3A,12,46.55,3.133333
03210,55.3A,12,46.6,3.15
03210,43.22A,12,46.533333,3.183333
03210,43.22A,12,46.583333,3.15
03210,43.22A,12,46.483333,3.116667
03210,43.22A,12,46.5,3.083333
03210,43.22A,12,46.583333,3.2
03210,43.22A,12,46.5,3.066667
03210,43.22A,12,46.483333,3.316667
03210,43.22A,12,46.466667,3.133333
03210,43.22A,12,46.45,3.25
03210,43.22A,12,46.466667,3.266667
03210,43.22A,12,46.55,3.133333
03210,43.22A,12,46.6,3.15
03210,02.10Z,12,46.533333,3.183333
03210,02.10Z,12,46.583333,3.15
03210,02.10Z,12,46.483333,3.116667
03210,02.10Z,12,46.5,3.083333
03210,02.10Z,12,46.583333,3.2
03210,02.10Z,12,46.5,3.066667
03210,02.10Z,12,46.483333,3.316667
03210,02.10Z,12,46.466667,3.133333
03210,02.10Z,12,46.45,3.25
03210,02.10Z,12,46.466667,3.266667
03210,02.10Z,12,46.55,3.133333
03210,02.10Z,12,46.6,3.15
03210,00.97,12,46.533333,3.183333
03210,00.97,12,46.583333,3.15
03210,00.97,12,46.483333,3.116667
03210,00.97,12,46.5,3.083333
03210,00.97,12,46.583333,3.2
03210,00.97,12,46.5,3.066667
03210,00.97,12,46.483333,3.316667
03210,00.97,12,46.466667,3.133333
03210,00.97,12,46.45,3.25
03210,00.97,12,46.466667,3.266667
03210,00.97,12,46.55,3.133333
03210,00.97,12,46.6,3.15
03210,01.11Z,108,46.533333,3.183333
03210,01.11Z,108,46.583333,3.15
03210,01.11Z,108,46.483333,3.116667
03210,01.11Z,108,46.5,3.083333
03210,01.11Z,108,46.583333,3.2
03210,01.11Z,108,46.5,3.066667
