codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
04210,43.22A,6,43.833333,5.983333
04210,43.22A,6,43.9,6.033333
04210,01.11Z,10,43.833333,5.983333
04210,01.11Z,10,43.9,6.033333
04210,68.20A,6,43.833333,5.983333
04210,68.20A,6,43.9,6.033333
04210,55.60,4,43.833333,5.983333
04210,55.60,4,43.9,6.033333
04210,62.11,6,43.833333,5.983333
04210,62.11,6,43.9,6.033333
04210,81.30Z,2,43.833333,5.983333
04210,81.30Z,2,43.9,6.033333
04210,84.11Z,10,43.833333,5.983333
04210,84.11Z,10,43.9,6.033333
04210,55.5A,2,43.833333,5.983333
04210,55.5A,2,43.9,6.033333
04210,01.3Z,4,43.833333,5.983333
04210,01.3Z,4,43.9,6.033333
04210,47.11B,6,43.833333,5.983333
04210,47.11B,6,43.9,6.033333
04210,52.6E,2,43.833333,5.983333
04210,52.6E,2,43.9,6.033333
04210,96.02A,2,43.833333,5.983333
04210,96.02A,2,43.9,6.033333
04210,82.19Z,2,43.833333,5.983333
04210,82.19Z,2,43.9,6.033333
04210,46.19B,4,43.833333,5.983333
04210,46.19B,4,43.9,6.033333
04210,46.69B,2,43.833333,5.983333
04210,46.69B,2,43.9,6.033333
04210,45.3A,2,43.833333,5.983333
04210,45.3A,2,43.9,6.033333
04210,86.11,2,43.833333,5.983333
04210,86.11,2,43.9,6.033333
04210,15.12Z,2,43.833333,5.983333
04210,15.12Z,2,43.9,6.033333
04210,67.01,2,43.833333,5.983333
04210,67.01,2,43.9,6.033333
04210,47.78C,2,43.833333,5.983333
04210,47.78C,2,43.9,6.033333
04210,01.50Z,4,43.833333,5.983333
04210,01.50Z,4,43.9,6.033333
04210,01.45Z,14,43.833333,5.983333
04210,01.45Z,14,43.9,6.033333
04210,01.1C,2,43.833333,5.983333
04210,01.1C,2,43.9,6.033333
04210,90.03A,4,43.833333,5.983333
04210,90.03A,4,43.9,6.033333
04210,43.99C,6,43.833333,5.983333
04210,43.99C,6,43.9,6.033333
04210,67.04,2,43.833333,5.983333
04210,67.04,2,43.9,6.033333
04210,55.10Z,2,43.833333,5.983333
04210,55.10Z,2,43.9,6.033333
04210,63.2A,2,43.833333,5.983333
04210,63.2A,2,43.9,6.033333
04210,01.1A,2,43.833333,5.983333
04210,01.1A,2,43.9,6.033333
04210,01.19Z,4,43.833333,5.983333
04210,01.19Z,4,43.9,6.033333
04210,70.22Z,2,43.833333,5.983333
04210,70.22Z,2,43.9,6.033333
04210,88.99B,2,43.833333,5.983333
04210,88.99B,2,43.9,6.033333
04210,45.2V,4,43.833333,5.983333
04210,45.2V,4,43.9,6.033333
04210,52.1B,4,43.833333,5.983333
04210,52.1B,4,43.9,6.033333
04210,68.20B,2,43.833333,5.983333
04210,68.20B,2,43.9,6.033333
