codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
05110,47.99A,72,44.433333,5.933333
05110,47.99A,72,44.383333,5.933333
05110,47.99A,72,44.416667,6.016667
05110,47.99A,72,44.433333,5.966667
05110,47.99A,72,"",""
05110,47.99A,72,44.433333,5.916667
05110,47.99A,72,44.433333,6.033333
05110,47.99A,72,44.366667,5.95
05110,70.3A,24,44.433333,5.933333
05110,70.3A,24,44.383333,5.933333
05110,70.3A,24,44.416667,6.016667
05110,70.3A,24,44.433333,5.966667
05110,70.3A,24,"",""
05110,70.3A,24,44.433333,5.916667
05110,70.3A,24,44.433333,6.033333
05110,70.3A,24,44.366667,5.95
05110,55.3A,136,44.433333,5.933333
05110,55.3A,136,44.383333,5.933333
05110,55.3A,136,44.416667,6.016667
05110,55.3A,136,44.433333,5.966667
05110,55.3A,136,"",""
05110,55.3A,136,44.433333,5.916667
05110,55.3A,136,44.433333,6.033333
05110,55.3A,136,44.366667,5.95
05110,93.0D,8,44.433333,5.933333
05110,93.0D,8,44.383333,5.933333
05110,93.0D,8,44.416667,6.016667
05110,93.0D,8,44.433333,5.966667
05110,93.0D,8,"",""
05110,93.0D,8,44.433333,5.916667
05110,93.0D,8,44.433333,6.033333
05110,93.0D,8,44.366667,5.95
05110,47.79Z,16,44.433333,5.933333
05110,47.79Z,16,44.383333,5.933333
05110,47.79Z,16,44.416667,6.016667
05110,47.79Z,16,44.433333,5.966667
05110,47.79Z,16,"",""
05110,47.79Z,16,44.433333,5.916667
05110,47.79Z,16,44.433333,6.033333
05110,47.79Z,16,44.366667,5.95
05110,67.12,8,44.433333,5.933333
05110,67.12,8,44.383333,5.933333
05110,67.12,8,44.416667,6.016667
05110,67.12,8,44.433333,5.966667
05110,67.12,8,"",""
05110,67.12,8,44.433333,5.916667
05110,67.12,8,44.433333,6.033333
05110,67.12,8,44.366667,5.95
05110,01.11Z,16,44.433333,5.933333
05110,01.11Z,16,44.383333,5.933333
05110,01.11Z,16,44.416667,6.016667
05110,01.11Z,16,44.433333,5.966667
05110,01.11Z,16,"",""
05110,01.11Z,16,44.433333,5.916667
05110,01.11Z,16,44.433333,6.033333
05110,01.11Z,16,44.366667,5.95
05110,52.3A,8,44.433333,5.933333
05110,52.3A,8,44.383333,5.933333
05110,52.3A,8,44.416667,6.016667
05110,52.3A,8,44.433333,5.966667
05110,52.3A,8,"",""
05110,52.3A,8,44.433333,5.916667
05110,52.3A,8,44.433333,6.033333
05110,52.3A,8,44.366667,5.95
05110,95.29Z,8,44.433333,5.933333
05110,95.29Z,8,44.383333,5.933333
05110,95.29Z,8,44.416667,6.016667
05110,95.29Z,8,44.433333,5.966667
05110,95.29Z,8,"",""
05110,95.29Z,8,44.433333,5.916667
05110,95.29Z,8,44.433333,6.033333
05110,95.29Z,8,44.366667,5.95
05110,68.20A,1208,44.433333,5.933333
05110,68.20A,1208,44.383333,5.933333
05110,68.20A,1208,44.416667,6.016667
05110,68.20A,1208,44.433333,5.966667
05110,68.20A,1208,"",""
05110,68.20A,1208,44.433333,5.916667
05110,68.20A,1208,44.433333,6.033333
05110,68.20A,1208,44.366667,5.95
05110,49.32Z,16,44.433333,5.933333
05110,49.32Z,16,44.383333,5.933333
05110,49.32Z,16,44.416667,6.016667
05110,49.32Z,16,44.433333,5.966667
05110,49.32Z,16,"",""
05110,49.32Z,16,44.433333,5.916667
05110,49.32Z,16,44.433333,6.033333
05110,49.32Z,16,44.366667,5.95
05110,55.60,8,44.433333,5.933333
05110,55.60,8,44.383333,5.933333
05110,55.60,8,44.416667,6.016667
05110,55.60,8,44.433333,5.966667
05110,55.60,8,"",""
05110,55.60,8,44.433333,5.916667
05110,55.60,8,44.433333,6.033333
05110,55.60,8,44.366667,5.95
05110,56.30Z,56,44.433333,5.933333
05110,56.30Z,56,44.383333,5.933333
05110,56.30Z,56,44.416667,6.016667
05110,56.30Z,56,44.433333,5.966667
05110,56.30Z,56,"",""
05110,56.30Z,56,44.433333,5.916667
05110,56.30Z,56,44.433333,6.033333
05110,56.30Z,56,44.366667,5.95
05110,15.8D,8,44.433333,5.933333
05110,15.8D,8,44.383333,5.933333
05110,15.8D,8,44.416667,6.016667
05110,15.8D,8,44.433333,5.966667
05110,15.8D,8,"",""
05110,15.8D,8,44.433333,5.916667
05110,15.8D,8,44.433333,6.033333
05110,15.8D,8,44.366667,5.95
05110,15.8B,8,44.433333,5.933333
05110,15.8B,8,44.383333,5.933333
05110,15.8B,8,44.416667,6.016667
05110,15.8B,8,44.433333,5.966667
05110,15.8B,8,"",""
05110,15.8B,8,44.433333,5.916667
05110,15.8B,8,44.433333,6.033333
05110,15.8B,8,44.366667,5.95
05110,56.21Z,16,44.433333,5.933333
05110,56.21Z,16,44.383333,5.933333
05110,56.21Z,16,44.416667,6.016667
05110,56.21Z,16,44.433333,5.966667
05110,56.21Z,16,"",""
05110,56.21Z,16,44.433333,5.916667
05110,56.21Z,16,44.433333,6.033333
05110,56.21Z,16,44.366667,5.95
05110,62.11,8,44.433333,5.933333
05110,62.11,8,44.383333,5.933333
05110,62.11,8,44.416667,6.016667
05110,62.11,8,44.433333,5.966667
05110,62.11,8,"",""
05110,62.11,8,44.433333,5.916667
05110,62.11,8,44.433333,6.033333
05110,62.11,8,44.366667,5.95
05110,01.47Z,8,44.433333,5.933333
05110,01.47Z,8,44.383333,5.933333
05110,01.47Z,8,44.416667,6.016667
05110,01.47Z,8,44.433333,5.966667
05110,01.47Z,8,"",""
05110,01.47Z,8,44.433333,5.916667
05110,01.47Z,8,44.433333,6.033333
05110,01.47Z,8,44.366667,5.95
05110,43.34Z,8,44.433333,5.933333
05110,43.34Z,8,44.383333,5.933333
05110,43.34Z,8,44.416667,6.016667
05110,43.34Z,8,44.433333,5.966667
05110,43.34Z,8,"",""
05110,43.34Z,8,44.433333,5.916667
05110,43.34Z,8,44.433333,6.033333
05110,43.34Z,8,44.366667,5.95
05110,93.19Z,120,44.433333,5.933333
05110,93.19Z,120,44.383333,5.933333
05110,93.19Z,120,44.416667,6.016667
05110,93.19Z,120,44.433333,5.966667
05110,93.19Z,120,"",""
05110,93.19Z,120,44.433333,5.916667
05110,93.19Z,120,44.433333,6.033333
05110,93.19Z,120,44.366667,5.95
05110,64.20Z,40,44.433333,5.933333
05110,64.20Z,40,44.383333,5.933333
05110,64.20Z,40,44.416667,6.016667
05110,64.20Z,40,44.433333,5.966667
05110,64.20Z,40,"",""
05110,64.20Z,40,44.433333,5.916667
05110,64.20Z,40,44.433333,6.033333
05110,64.20Z,40,44.366667,5.95
05110,86.90E,48,44.433333,5.933333
05110,86.90E,48,44.383333,5.933333
05110,86.90E,48,44.416667,6.016667
05110,86.90E,48,44.433333,5.966667
05110,86.90E,48,"",""
05110,86.90E,48,44.433333,5.916667
05110,86.90E,48,44.433333,6.033333
05110,86.90E,48,44.366667,5.95
05110,94.91Z,8,44.433333,5.933333
05110,94.91Z,8,44.383333,5.933333
05110,94.91Z,8,44.416667,6.016667
05110,94.91Z,8,44.433333,5.966667
05110,94.91Z,8,"",""
05110,94.91Z,8,44.433333,5.916667
05110,94.91Z,8,44.433333,6.033333
05110,94.91Z,8,44.366667,5.95
05110,56.10C,168,44.433333,5.933333
05110,56.10C,168,44.383333,5.933333
05110,56.10C,168,44.416667,6.016667
05110,56.10C,168,44.433333,5.966667
05110,56.10C,168,"",""
05110,56.10C,168,44.433333,5.916667
05110,56.10C,168,44.433333,6.033333
05110,56.10C,168,44.366667,5.95
05110,74.90A,8,44.433333,5.933333
05110,74.90A,8,44.383333,5.933333
05110,74.90A,8,44.416667,6.016667
05110,74.90A,8,44.433333,5.966667
05110,74.90A,8,"",""
05110,74.90A,8,44.433333,5.916667
05110,74.90A,8,44.433333,6.033333
05110,74.90A,8,44.366667,5.95
05110,43.91A,8,44.433333,5.933333
05110,43.91A,8,44.383333,5.933333
05110,43.91A,8,44.416667,6.016667
05110,43.91A,8,44.433333,5.966667
05110,43.91A,8,"",""
05110,43.91A,8,44.433333,5.916667
05110,43.91A,8,44.433333,6.033333
05110,43.91A,8,44.366667,5.95
05110,81.30Z,16,44.433333,5.933333
05110,81.30Z,16,44.383333,5.933333
05110,81.30Z,16,44.416667,6.016667
05110,81.30Z,16,44.433333,5.966667
05110,81.30Z,16,"",""
05110,81.30Z,16,44.433333,5.916667
05110,81.30Z,16,44.433333,6.033333
05110,81.30Z,16,44.366667,5.95
05110,84.11Z,48,44.433333,5.933333
05110,84.11Z,48,44.383333,5.933333
05110,84.11Z,48,44.416667,6.016667
05110,84.11Z,48,44.433333,5.966667
05110,84.11Z,48,"",""
05110,84.11Z,48,44.433333,5.916667
05110,84.11Z,48,44.433333,6.033333
05110,84.11Z,48,44.366667,5.95
05110,63.3Z,16,44.433333,5.933333
05110,63.3Z,16,44.383333,5.933333
05110,63.3Z,16,44.416667,6.016667
05110,63.3Z,16,44.433333,5.966667
05110,63.3Z,16,"",""
05110,63.3Z,16,44.433333,5.916667
05110,63.3Z,16,44.433333,6.033333
05110,63.3Z,16,44.366667,5.95
05110,01.21Z,8,44.433333,5.933333
05110,01.21Z,8,44.383333,5.933333
05110,01.21Z,8,44.416667,6.016667
05110,01.21Z,8,44.433333,5.966667
05110,01.21Z,8,"",""
05110,01.21Z,8,44.433333,5.916667
05110,01.21Z,8,44.433333,6.033333
05110,01.21Z,8,44.366667,5.95
05110,85.1G,8,44.433333,5.933333
05110,85.1G,8,44.383333,5.933333
05110,85.1G,8,44.416667,6.016667
05110,85.1G,8,44.433333,5.966667
05110,85.1G,8,"",""
05110,85.1G,8,44.433333,5.916667
05110,85.1G,8,44.433333,6.033333
05110,85.1G,8,44.366667,5.95
05110,43.39Z,8,44.433333,5.933333
05110,43.39Z,8,44.383333,5.933333
05110,43.39Z,8,44.416667,6.016667
05110,43.39Z,8,44.433333,5.966667
05110,43.39Z,8,"",""
05110,43.39Z,8,44.433333,5.916667
05110,43.39Z,8,44.433333,6.033333
05110,43.39Z,8,44.366667,5.95
05110,01.3Z,8,44.433333,5.933333
05110,01.3Z,8,44.383333,5.933333
05110,01.3Z,8,44.416667,6.016667
05110,01.3Z,8,44.433333,5.966667
05110,01.3Z,8,"",""
05110,01.3Z,8,44.433333,5.916667
05110,01.3Z,8,44.433333,6.033333
05110,01.3Z,8,44.366667,5.95
05110,87.01,8,44.433333,5.933333
05110,87.01,8,44.383333,5.933333
05110,87.01,8,44.416667,6.016667
05110,87.01,8,44.433333,5.966667
05110,87.01,8,"",""
05110,87.01,8,44.433333,5.916667
05110,87.01,8,44.433333,6.033333
05110,87.01,8,44.366667,5.95
05110,55.20Z,88,44.433333,5.933333
05110,55.20Z,88,44.383333,5.933333
05110,55.20Z,88,44.416667,6.016667
05110,55.20Z,88,44.433333,5.966667
05110,55.20Z,88,"",""
05110,55.20Z,88,44.433333,5.916667
05110,55.20Z,88,44.433333,6.033333
05110,55.20Z,88,44.366667,5.95
05110,93.12Z,32,44.433333,5.933333
05110,93.12Z,32,44.383333,5.933333
05110,93.12Z,32,44.416667,6.016667
05110,93.12Z,32,44.433333,5.966667
05110,93.12Z,32,"",""
05110,93.12Z,32,44.433333,5.916667
05110,93.12Z,32,44.433333,6.033333
05110,93.12Z,32,44.366667,5.95
05110,94.11Z,24,44.433333,5.933333
05110,94.11Z,24,44.383333,5.933333
05110,94.11Z,24,44.416667,6.016667
05110,94.11Z,24,44.433333,5.966667
05110,94.11Z,24,"",""
05110,94.11Z,24,44.433333,5.916667
05110,94.11Z,24,44.433333,6.033333
05110,94.11Z,24,44.366667,5.95
05110,43.32A,16,44.433333,5.933333
05110,43.32A,16,44.383333,5.933333
05110,43.32A,16,44.416667,6.016667
05110,43.32A,16,44.433333,5.966667
05110,43.32A,16,"",""
05110,43.32A,16,44.433333,5.916667
05110,43.32A,16,44.433333,6.033333
05110,43.32A,16,44.366667,5.95
05110,47.11C,64,44.433333,5.933333
05110,47.11C,64,44.383333,5.933333
05110,47.11C,64,44.416667,6.016667
05110,47.11C,64,44.433333,5.966667
05110,47.11C,64,"",""
05110,47.11C,64,44.433333,5.916667
05110,47.11C,64,44.433333,6.033333
05110,47.11C,64,44.366667,5.95
05110,47.11B,40,44.433333,5.933333
05110,47.11B,40,44.383333,5.933333
05110,47.11B,40,44.416667,6.016667
05110,47.11B,40,44.433333,5.966667
05110,47.11B,40,"",""
05110,47.11B,40,44.433333,5.916667
05110,47.11B,40,44.433333,6.033333
05110,47.11B,40,44.366667,5.95
05110,52.2P,8,44.433333,5.933333
05110,52.2P,8,44.383333,5.933333
05110,52.2P,8,44.416667,6.016667
05110,52.2P,8,44.433333,5.966667
05110,52.2P,8,"",""
05110,52.2P,8,44.433333,5.916667
05110,52.2P,8,44.433333,6.033333
05110,52.2P,8,44.366667,5.95
05110,47.61Z,8,44.433333,5.933333
05110,47.61Z,8,44.383333,5.933333
05110,47.61Z,8,44.416667,6.016667
05110,47.61Z,8,44.433333,5.966667
05110,47.61Z,8,"",""
05110,47.61Z,8,44.433333,5.916667
05110,47.61Z,8,44.433333,6.033333
05110,47.61Z,8,44.366667,5.95
05110,64.19Z,8,44.433333,5.933333
05110,64.19Z,8,44.383333,5.933333
05110,64.19Z,8,44.416667,6.016667
05110,64.19Z,8,44.433333,5.966667
05110,64.19Z,8,"",""
05110,64.19Z,8,44.433333,5.916667
05110,64.19Z,8,44.433333,6.033333
05110,64.19Z,8,44.366667,5.95
05110,13.92Z,8,44.433333,5.933333
05110,13.92Z,8,44.383333,5.933333
05110,13.92Z,8,44.416667,6.016667
05110,13.92Z,8,44.433333,5.966667
05110,13.92Z,8,"",""
05110,13.92Z,8,44.433333,5.916667
05110,13.92Z,8,44.433333,6.033333
05110,13.92Z,8,44.366667,5.95
05110,86.23Z,40,44.433333,5.933333
05110,86.23Z,40,44.383333,5.933333
05110,86.23Z,40,44.416667,6.016667
05110,86.23Z,40,44.433333,5.966667
05110,86.23Z,40,"",""
05110,86.23Z,40,44.433333,5.916667
