codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
05130,47.99A,27,44.483333,6.133333
05130,47.99A,27,44.466667,6.05
05130,47.99A,27,44.483333,5.966667
05130,47.99A,27,44.5,6.166667
05130,47.99A,27,44.466667,6.066667
05130,47.99A,27,44.5,6.116667
05130,47.99A,27,44.45,6.016667
05130,47.99A,27,44.45,6.1
05130,47.99A,27,44.45,6.116667
05130,55.3A,9,44.483333,6.133333
05130,55.3A,9,44.466667,6.05
05130,55.3A,9,44.483333,5.966667
05130,55.3A,9,44.5,6.166667
05130,55.3A,9,44.466667,6.066667
05130,55.3A,9,44.5,6.116667
05130,55.3A,9,44.45,6.016667
05130,55.3A,9,44.45,6.1
05130,55.3A,9,44.45,6.116667
05130,01.11Z,27,44.483333,6.133333
05130,01.11Z,27,44.466667,6.05
05130,01.11Z,27,44.483333,5.966667
05130,01.11Z,27,44.5,6.166667
05130,01.11Z,27,44.466667,6.066667
05130,01.11Z,27,44.5,6.116667
05130,01.11Z,27,44.45,6.016667
05130,01.11Z,27,44.45,6.1
05130,01.11Z,27,44.45,6.116667
05130,68.20A,9,44.483333,6.133333
05130,68.20A,9,44.466667,6.05
05130,68.20A,9,44.483333,5.966667
05130,68.20A,9,44.5,6.166667
05130,68.20A,9,44.466667,6.066667
05130,68.20A,9,44.5,6.116667
05130,68.20A,9,44.45,6.016667
05130,68.20A,9,44.45,6.1
05130,68.20A,9,44.45,6.116667
05130,62.11,9,44.483333,6.133333
05130,62.11,9,44.466667,6.05
05130,62.11,9,44.483333,5.966667
05130,62.11,9,44.5,6.166667
05130,62.11,9,44.466667,6.066667
05130,62.11,9,44.5,6.116667
05130,62.11,9,44.45,6.016667
05130,62.11,9,44.45,6.1
05130,62.11,9,44.45,6.116667
05130,93.19Z,18,44.483333,6.133333
05130,93.19Z,18,44.466667,6.05
05130,93.19Z,18,44.483333,5.966667
05130,93.19Z,18,44.5,6.166667
05130,93.19Z,18,44.466667,6.066667
05130,93.19Z,18,44.5,6.116667
05130,93.19Z,18,44.45,6.016667
05130,93.19Z,18,44.45,6.1
05130,93.19Z,18,44.45,6.116667
05130,01.43Z,9,44.483333,6.133333
05130,01.43Z,9,44.466667,6.05
05130,01.43Z,9,44.483333,5.966667
05130,01.43Z,9,44.5,6.166667
05130,01.43Z,9,44.466667,6.066667
05130,01.43Z,9,44.5,6.116667
05130,01.43Z,9,44.45,6.016667
05130,01.43Z,9,44.45,6.1
05130,01.43Z,9,44.45,6.116667
05130,56.10C,18,44.483333,6.133333
05130,56.10C,18,44.466667,6.05
05130,56.10C,18,44.483333,5.966667
05130,56.10C,18,44.5,6.166667
05130,56.10C,18,44.466667,6.066667
05130,56.10C,18,44.5,6.116667
05130,56.10C,18,44.45,6.016667
05130,56.10C,18,44.45,6.1
05130,56.10C,18,44.45,6.116667
05130,84.11Z,27,44.483333,6.133333
05130,84.11Z,27,44.466667,6.05
05130,84.11Z,27,44.483333,5.966667
05130,84.11Z,27,44.5,6.166667
05130,84.11Z,27,44.466667,6.066667
05130,84.11Z,27,44.5,6.116667
05130,84.11Z,27,44.45,6.016667
05130,84.11Z,27,44.45,6.1
05130,84.11Z,27,44.45,6.116667
05130,85.1G,9,44.483333,6.133333
05130,85.1G,9,44.466667,6.05
05130,85.1G,9,44.483333,5.966667
05130,85.1G,9,44.5,6.166667
05130,85.1G,9,44.466667,6.066667
05130,85.1G,9,44.5,6.116667
05130,85.1G,9,44.45,6.016667
05130,85.1G,9,44.45,6.1
05130,85.1G,9,44.45,6.116667
05130,72.19Z,9,44.483333,6.133333
05130,72.19Z,9,44.466667,6.05
05130,72.19Z,9,44.483333,5.966667
05130,72.19Z,9,44.5,6.166667
05130,72.19Z,9,44.466667,6.066667
05130,72.19Z,9,44.5,6.116667
05130,72.19Z,9,44.45,6.016667
05130,72.19Z,9,44.45,6.1
05130,72.19Z,9,44.45,6.116667
05130,55.4B,18,44.483333,6.133333
05130,55.4B,18,44.466667,6.05
05130,55.4B,18,44.483333,5.966667
05130,55.4B,18,44.5,6.166667
05130,55.4B,18,44.466667,6.066667
05130,55.4B,18,44.5,6.116667
05130,55.4B,18,44.45,6.016667
05130,55.4B,18,44.45,6.1
05130,55.4B,18,44.45,6.116667
05130,56.10A,9,44.483333,6.133333
05130,56.10A,9,44.466667,6.05
05130,56.10A,9,44.483333,5.966667
05130,56.10A,9,44.5,6.166667
05130,56.10A,9,44.466667,6.066667
05130,56.10A,9,44.5,6.116667
05130,56.10A,9,44.45,6.016667
05130,56.10A,9,44.45,6.1
05130,56.10A,9,44.45,6.116667
05130,86.90D,9,44.483333,6.133333
05130,86.90D,9,44.466667,6.05
05130,86.90D,9,44.483333,5.966667
05130,86.90D,9,44.5,6.166667
05130,86.90D,9,44.466667,6.066667
05130,86.90D,9,44.5,6.116667
05130,86.90D,9,44.45,6.016667
05130,86.90D,9,44.45,6.1
05130,86.90D,9,44.45,6.116667
05130,55.3B,18,44.483333,6.133333
05130,55.3B,18,44.466667,6.05
05130,55.3B,18,44.483333,5.966667
05130,55.3B,18,44.5,6.166667
05130,55.3B,18,44.466667,6.066667
05130,55.3B,18,44.5,6.116667
05130,55.3B,18,44.45,6.016667
05130,55.3B,18,44.45,6.1
05130,55.3B,18,44.45,6.116667
05130,31.09B,9,44.483333,6.133333
05130,31.09B,9,44.466667,6.05
05130,31.09B,9,44.483333,5.966667
05130,31.09B,9,44.5,6.166667
05130,31.09B,9,44.466667,6.066667
05130,31.09B,9,44.5,6.116667
05130,31.09B,9,44.45,6.016667
05130,31.09B,9,44.45,6.1
05130,31.09B,9,44.45,6.116667
05130,55.30Z,9,44.483333,6.133333
05130,55.30Z,9,44.466667,6.05
05130,55.30Z,9,44.483333,5.966667
05130,55.30Z,9,44.5,6.166667
05130,55.30Z,9,44.466667,6.066667
05130,55.30Z,9,44.5,6.116667
05130,55.30Z,9,44.45,6.016667
05130,55.30Z,9,44.45,6.1
05130,55.30Z,9,44.45,6.116667
05130,94.99Z,18,44.483333,6.133333
05130,94.99Z,18,44.466667,6.05
05130,94.99Z,18,44.483333,5.966667
05130,94.99Z,18,44.5,6.166667
05130,94.99Z,18,44.466667,6.066667
05130,94.99Z,18,44.5,6.116667
05130,94.99Z,18,44.45,6.016667
05130,94.99Z,18,44.45,6.1
05130,94.99Z,18,44.45,6.116667
05130,01.57,9,44.483333,6.133333
05130,01.57,9,44.466667,6.05
05130,01.57,9,44.483333,5.966667
05130,01.57,9,44.5,6.166667
05130,01.57,9,44.466667,6.066667
05130,01.57,9,44.5,6.116667
05130,01.57,9,44.45,6.016667
05130,01.57,9,44.45,6.1
05130,01.57,9,44.45,6.116667
05130,23.41Z,9,44.483333,6.133333
05130,23.41Z,9,44.466667,6.05
05130,23.41Z,9,44.483333,5.966667
05130,23.41Z,9,44.5,6.166667
05130,23.41Z,9,44.466667,6.066667
05130,23.41Z,9,44.5,6.116667
05130,23.41Z,9,44.45,6.016667
05130,23.41Z,9,44.45,6.1
05130,23.41Z,9,44.45,6.116667
05130,36.1K,9,44.483333,6.133333
05130,36.1K,9,44.466667,6.05
05130,36.1K,9,44.483333,5.966667
05130,36.1K,9,44.5,6.166667
05130,36.1K,9,44.466667,6.066667
05130,36.1K,9,44.5,6.116667
05130,36.1K,9,44.45,6.016667
05130,36.1K,9,44.45,6.1
05130,36.1K,9,44.45,6.116667
05130,01.28Z,9,44.483333,6.133333
05130,01.28Z,9,44.466667,6.05
05130,01.28Z,9,44.483333,5.966667
05130,01.28Z,9,44.5,6.166667
05130,01.28Z,9,44.466667,6.066667
05130,01.28Z,9,44.5,6.116667
05130,01.28Z,9,44.45,6.016667
05130,01.28Z,9,44.45,6.1
05130,01.28Z,9,44.45,6.116667
05130,67.01,18,44.483333,6.133333
05130,67.01,18,44.466667,6.05
05130,67.01,18,44.483333,5.966667
05130,67.01,18,44.5,6.166667
05130,67.01,18,44.466667,6.066667
05130,67.01,18,44.5,6.116667
05130,67.01,18,44.45,6.016667
05130,67.01,18,44.45,6.1
05130,67.01,18,44.45,6.116667
05130,45.4A,9,44.483333,6.133333
05130,45.4A,9,44.466667,6.05
05130,45.4A,9,44.483333,5.966667
05130,45.4A,9,44.5,6.166667
05130,45.4A,9,44.466667,6.066667
05130,45.4A,9,44.5,6.116667
05130,45.4A,9,44.45,6.016667
05130,45.4A,9,44.45,6.1
05130,45.4A,9,44.45,6.116667
05130,01.50Z,18,44.483333,6.133333
05130,01.50Z,18,44.466667,6.05
05130,01.50Z,18,44.483333,5.966667
05130,01.50Z,18,44.5,6.166667
05130,01.50Z,18,44.466667,6.066667
05130,01.50Z,18,44.5,6.116667
05130,01.50Z,18,44.45,6.016667
05130,01.50Z,18,44.45,6.1
05130,01.50Z,18,44.45,6.116667
05130,84.12Z,9,44.483333,6.133333
05130,84.12Z,9,44.466667,6.05
05130,84.12Z,9,44.483333,5.966667
05130,84.12Z,9,44.5,6.166667
05130,84.12Z,9,44.466667,6.066667
05130,84.12Z,9,44.5,6.116667
05130,84.12Z,9,44.45,6.016667
05130,84.12Z,9,44.45,6.1
05130,84.12Z,9,44.45,6.116667
05130,01.45Z,18,44.483333,6.133333
05130,01.45Z,18,44.466667,6.05
05130,01.45Z,18,44.483333,5.966667
05130,01.45Z,18,44.5,6.166667
05130,01.45Z,18,44.466667,6.066667
05130,01.45Z,18,44.5,6.116667
05130,01.45Z,18,44.45,6.016667
05130,01.45Z,18,44.45,6.1
05130,01.45Z,18,44.45,6.116667
05130,43.99D,9,44.483333,6.133333
05130,43.99D,9,44.466667,6.05
05130,43.99D,9,44.483333,5.966667
05130,43.99D,9,44.5,6.166667
05130,43.99D,9,44.466667,6.066667
05130,43.99D,9,44.5,6.116667
05130,43.99D,9,44.45,6.016667
05130,43.99D,9,44.45,6.1
05130,43.99D,9,44.45,6.116667
05130,11.05Z,9,44.483333,6.133333
05130,11.05Z,9,44.466667,6.05
05130,11.05Z,9,44.483333,5.966667
05130,11.05Z,9,44.5,6.166667
05130,11.05Z,9,44.466667,6.066667
05130,11.05Z,9,44.5,6.116667
05130,11.05Z,9,44.45,6.016667
05130,11.05Z,9,44.45,6.1
05130,11.05Z,9,44.45,6.116667
05130,16.29Z,9,44.483333,6.133333
05130,16.29Z,9,44.466667,6.05
05130,16.29Z,9,44.483333,5.966667
05130,16.29Z,9,44.5,6.166667
05130,16.29Z,9,44.466667,6.066667
05130,16.29Z,9,44.5,6.116667
05130,16.29Z,9,44.45,6.016667
05130,16.29Z,9,44.45,6.1
05130,16.29Z,9,44.45,6.116667
05130,01.2C,18,44.483333,6.133333
05130,01.2C,18,44.466667,6.05
05130,01.2C,18,44.483333,5.966667
05130,01.2C,18,44.5,6.166667
05130,01.2C,18,44.466667,6.066667
05130,01.2C,18,44.5,6.116667
05130,01.2C,18,44.45,6.016667
05130,01.2C,18,44.45,6.1
05130,01.2C,18,44.45,6.116667
05130,68.31Z,9,44.483333,6.133333
05130,68.31Z,9,44.466667,6.05
05130,68.31Z,9,44.483333,5.966667
05130,68.31Z,9,44.5,6.166667
05130,68.31Z,9,44.466667,6.066667
05130,68.31Z,9,44.5,6.116667
05130,68.31Z,9,44.45,6.016667
05130,68.31Z,9,44.45,6.1
05130,68.31Z,9,44.45,6.116667
05130,41.20A,9,44.483333,6.133333
05130,41.20A,9,44.466667,6.05
05130,41.20A,9,44.483333,5.966667
05130,41.20A,9,44.5,6.166667
05130,41.20A,9,44.466667,6.066667
05130,41.20A,9,44.5,6.116667
05130,41.20A,9,44.45,6.016667
05130,41.20A,9,44.45,6.1
05130,41.20A,9,44.45,6.116667
05130,96.09Z,9,44.483333,6.133333
05130,96.09Z,9,44.466667,6.05
05130,96.09Z,9,44.483333,5.966667
05130,96.09Z,9,44.5,6.166667
05130,96.09Z,9,44.466667,6.066667
05130,96.09Z,9,44.5,6.116667
05130,96.09Z,9,44.45,6.016667
05130,96.09Z,9,44.45,6.1
05130,96.09Z,9,44.45,6.116667
05130,01.13Z,27,44.483333,6.133333
05130,01.13Z,27,44.466667,6.05
05130,01.13Z,27,44.483333,5.966667
05130,01.13Z,27,44.5,6.166667
05130,01.13Z,27,44.466667,6.066667
05130,01.13Z,27,44.5,6.116667
05130,01.13Z,27,44.45,6.016667
05130,01.13Z,27,44.45,6.1
05130,01.13Z,27,44.45,6.116667
05130,01.49Z,9,44.483333,6.133333
05130,01.49Z,9,44.466667,6.05
05130,01.49Z,9,44.483333,5.966667
05130,01.49Z,9,44.5,6.166667
05130,01.49Z,9,44.466667,6.066667
05130,01.49Z,9,44.5,6.116667
05130,01.49Z,9,44.45,6.016667
05130,01.49Z,9,44.45,6.1
05130,01.49Z,9,44.45,6.116667
05130,01.1A,9,44.483333,6.133333
05130,01.1A,9,44.466667,6.05
05130,01.1A,9,44.483333,5.966667
05130,01.1A,9,44.5,6.166667
05130,01.1A,9,44.466667,6.066667
05130,01.1A,9,44.5,6.116667
05130,01.1A,9,44.45,6.016667
05130,01.1A,9,44.45,6.1
05130,01.1A,9,44.45,6.116667
05130,68.32A,9,44.483333,6.133333
05130,68.32A,9,44.466667,6.05
05130,68.32A,9,44.483333,5.966667
05130,68.32A,9,44.5,6.166667
05130,68.32A,9,44.466667,6.066667
05130,68.32A,9,44.5,6.116667
05130,68.32A,9,44.45,6.016667
05130,68.32A,9,44.45,6.1
05130,68.32A,9,44.45,6.116667
05130,70.22Z,9,44.483333,6.133333
05130,70.22Z,9,44.466667,6.05
05130,70.22Z,9,44.483333,5.966667
05130,70.22Z,9,44.5,6.166667
05130,70.22Z,9,44.466667,6.066667
05130,70.22Z,9,44.5,6.116667
05130,70.22Z,9,44.45,6.016667
05130,70.22Z,9,44.45,6.1
05130,70.22Z,9,44.45,6.116667
05130,01.62Z,9,44.483333,6.133333
05130,01.62Z,9,44.466667,6.05
05130,01.62Z,9,44.483333,5.966667
05130,01.62Z,9,44.5,6.166667
05130,01.62Z,9,44.466667,6.066667
05130,01.62Z,9,44.5,6.116667
05130,01.62Z,9,44.45,6.016667
05130,01.62Z,9,44.45,6.1
05130,01.62Z,9,44.45,6.116667
05130,88.99B,18,44.483333,6.133333
05130,88.99B,18,44.466667,6.05
05130,88.99B,18,44.483333,5.966667
05130,88.99B,18,44.5,6.166667
05130,88.99B,18,44.466667,6.066667
05130,88.99B,18,44.5,6.116667
05130,88.99B,18,44.45,6.016667
05130,88.99B,18,44.45,6.1
05130,88.99B,18,44.45,6.116667
05130,93.29Z,9,44.483333,6.133333
05130,93.29Z,9,44.466667,6.05
05130,93.29Z,9,44.483333,5.966667
05130,93.29Z,9,44.5,6.166667
05130,93.29Z,9,44.466667,6.066667
05130,93.29Z,9,44.5,6.116667
05130,93.29Z,9,44.45,6.016667
05130,93.29Z,9,44.45,6.1
05130,93.29Z,9,44.45,6.116667
05130,85.51Z,27,44.483333,6.133333
05130,85.51Z,27,44.466667,6.05
05130,85.51Z,27,44.483333,5.966667
05130,85.51Z,27,44.5,6.166667
05130,85.51Z,27,44.466667,6.066667
05130,85.51Z,27,44.5,6.116667
05130,85.51Z,27,44.45,6.016667
05130,85.51Z,27,44.45,6.1
05130,85.51Z,27,44.45,6.116667
05130,66.19A,9,44.483333,6.133333
05130,66.19A,9,44.466667,6.05
05130,66.19A,9,44.483333,5.966667
05130,66.19A,9,44.5,6.166667
05130,66.19A,9,44.466667,6.066667
05130,66.19A,9,44.5,6.116667
05130,66.19A,9,44.45,6.016667
05130,66.19A,9,44.45,6.1
05130,66.19A,9,44.45,6.116667
05130,74.90B,27,44.483333,6.133333
05130,74.90B,27,44.466667,6.05
05130,74.90B,27,44.483333,5.966667
05130,74.90B,27,44.5,6.166667
05130,74.90B,27,44.466667,6.066667
05130,74.90B,27,44.5,6.116667
05130,74.90B,27,44.45,6.016667
05130,74.90B,27,44.45,6.1
05130,74.90B,27,44.45,6.116667
05130,71.12B,9,44.483333,6.133333
05130,71.12B,9,44.466667,6.05
05130,71.12B,9,44.483333,5.966667
05130,71.12B,9,44.5,6.166667
05130,71.12B,9,44.466667,6.066667
05130,71.12B,9,44.5,6.116667
05130,71.12B,9,44.45,6.016667
05130,71.12B,9,44.45,6.1
05130,71.12B,9,44.45,6.116667
05130,68.20B,72,44.483333,6.133333
05130,68.20B,72,44.466667,6.05
05130,68.20B,72,44.483333,5.966667
05130,68.20B,72,44.5,6.166667
05130,68.20B,72,44.466667,6.066667
05130,68.20B,72,44.5,6.116667
05130,68.20B,72,44.45,6.016667
05130,68.20B,72,44.45,6.1
05130,68.20B,72,44.45,6.116667
