codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
05150,67.01,18,44.366667,5.566667
05150,67.01,18,44.466667,5.475
05150,67.01,18,44.383333,5.516667
05150,67.01,18,44.383333,5.466667
05150,67.01,18,44.416667,5.55
05150,67.01,18,44.4,5.5
05150,67.01,18,44.45,5.55
05150,67.01,18,44.366667,5.6
05150,67.01,18,44.466667,5.516667
05150,81.21,9,44.366667,5.566667
05150,81.21,9,44.466667,5.475
05150,81.21,9,44.383333,5.516667
05150,81.21,9,44.383333,5.466667
05150,81.21,9,44.416667,5.55
05150,81.21,9,44.4,5.5
05150,81.21,9,44.45,5.55
05150,81.21,9,44.366667,5.6
05150,81.21,9,44.466667,5.516667
05150,48.01,18,44.366667,5.566667
05150,48.01,18,44.466667,5.475
05150,48.01,18,44.383333,5.516667
05150,48.01,18,44.383333,5.466667
05150,48.01,18,44.416667,5.55
05150,48.01,18,44.4,5.5
05150,48.01,18,44.45,5.55
05150,48.01,18,44.366667,5.6
05150,48.01,18,44.466667,5.516667
05150,01.1A,9,44.366667,5.566667
05150,01.1A,9,44.466667,5.475
05150,01.1A,9,44.383333,5.516667
05150,01.1A,9,44.383333,5.466667
05150,01.1A,9,44.416667,5.55
05150,01.1A,9,44.4,5.5
05150,01.1A,9,44.45,5.55
05150,01.1A,9,44.366667,5.6
05150,01.1A,9,44.466667,5.516667
05150,65.03,9,44.366667,5.566667
05150,65.03,9,44.466667,5.475
05150,65.03,9,44.383333,5.516667
05150,65.03,9,44.383333,5.466667
05150,65.03,9,44.416667,5.55
05150,65.03,9,44.4,5.5
05150,65.03,9,44.45,5.55
05150,65.03,9,44.366667,5.6
05150,65.03,9,44.466667,5.516667
