codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
08250,47.99A,24,49.3,4.783333
08250,47.99A,24,49.316667,4.833333
08250,47.99A,24,49.316667,4.983333
08250,47.99A,24,49.316667,4.833333
08250,47.99A,24,49.266667,4.733333
08250,47.99A,24,49.333333,4.933333
08250,47.99A,24,"",""
08250,47.99A,24,49.316667,4.783333
08250,47.99A,24,49.283333,4.833333
08250,47.99A,24,49.316667,4.916667
08250,47.99A,24,49.266667,4.883333
08250,47.99A,24,49.333333,4.866667
08250,47.99A,24,49.3,4.866667
08250,47.99A,24,49.3,4.966667
08250,47.99A,24,49.3,5
08250,47.99A,24,49.3,4.95
08250,47.99A,24,49.25,4.85
08250,47.99A,24,49.333333,4.9
08250,47.99A,24,49.283333,4.95
08250,47.99A,24,49.35,4.916667
08250,47.99A,24,49.25,4.766667
08250,47.99A,24,"",""
08250,47.99A,24,49.266667,4.833333
08250,47.99A,24,49.266667,5
08250,70.3A,24,49.3,4.783333
08250,70.3A,24,49.316667,4.833333
08250,70.3A,24,49.316667,4.983333
08250,70.3A,24,49.316667,4.833333
08250,70.3A,24,49.266667,4.733333
08250,70.3A,24,49.333333,4.933333
08250,70.3A,24,"",""
08250,70.3A,24,49.316667,4.783333
08250,70.3A,24,49.283333,4.833333
08250,70.3A,24,49.316667,4.916667
08250,70.3A,24,49.266667,4.883333
08250,70.3A,24,49.333333,4.866667
08250,70.3A,24,49.3,4.866667
08250,70.3A,24,49.3,4.966667
08250,70.3A,24,49.3,5
08250,70.3A,24,49.3,4.95
08250,70.3A,24,49.25,4.85
08250,70.3A,24,49.333333,4.9
08250,70.3A,24,49.283333,4.95
08250,70.3A,24,49.35,4.916667
08250,70.3A,24,49.25,4.766667
08250,70.3A,24,"",""
08250,70.3A,24,49.266667,4.833333
08250,70.3A,24,49.266667,5
08250,55.3A,24,49.3,4.783333
08250,55.3A,24,49.316667,4.833333
08250,55.3A,24,49.316667,4.983333
08250,55.3A,24,49.316667,4.833333
08250,55.3A,24,49.266667,4.733333
08250,55.3A,24,49.333333,4.933333
08250,55.3A,24,"",""
08250,55.3A,24,49.316667,4.783333
08250,55.3A,24,49.283333,4.833333
08250,55.3A,24,49.316667,4.916667
08250,55.3A,24,49.266667,4.883333
08250,55.3A,24,49.333333,4.866667
08250,55.3A,24,49.3,4.866667
08250,55.3A,24,49.3,4.966667
08250,55.3A,24,49.3,5
08250,55.3A,24,49.3,4.95
08250,55.3A,24,49.25,4.85
08250,55.3A,24,49.333333,4.9
08250,55.3A,24,49.283333,4.95
08250,55.3A,24,49.35,4.916667
08250,55.3A,24,49.25,4.766667
08250,55.3A,24,"",""
08250,55.3A,24,49.266667,4.833333
08250,55.3A,24,49.266667,5
08250,67.05,48,49.3,4.783333
08250,67.05,48,49.316667,4.833333
08250,67.05,48,49.316667,4.983333
08250,67.05,48,49.316667,4.833333
08250,67.05,48,49.266667,4.733333
08250,67.05,48,49.333333,4.933333
08250,67.05,48,"",""
08250,67.05,48,49.316667,4.783333
08250,67.05,48,49.283333,4.833333
08250,67.05,48,49.316667,4.916667
08250,67.05,48,49.266667,4.883333
08250,67.05,48,49.333333,4.866667
08250,67.05,48,49.3,4.866667
08250,67.05,48,49.3,4.966667
08250,67.05,48,49.3,5
08250,67.05,48,49.3,4.95
08250,67.05,48,49.25,4.85
08250,67.05,48,49.333333,4.9
08250,67.05,48,49.283333,4.95
08250,67.05,48,49.35,4.916667
08250,67.05,48,49.25,4.766667
08250,67.05,48,"",""
08250,67.05,48,49.266667,4.833333
08250,67.05,48,49.266667,5
08250,93.0D,24,49.3,4.783333
08250,93.0D,24,49.316667,4.833333
08250,93.0D,24,49.316667,4.983333
08250,93.0D,24,49.316667,4.833333
08250,93.0D,24,49.266667,4.733333
08250,93.0D,24,49.333333,4.933333
08250,93.0D,24,"",""
08250,93.0D,24,49.316667,4.783333
08250,93.0D,24,49.283333,4.833333
08250,93.0D,24,49.316667,4.916667
08250,93.0D,24,49.266667,4.883333
08250,93.0D,24,49.333333,4.866667
08250,93.0D,24,49.3,4.866667
08250,93.0D,24,49.3,4.966667
08250,93.0D,24,49.3,5
08250,93.0D,24,49.3,4.95
08250,93.0D,24,49.25,4.85
08250,93.0D,24,49.333333,4.9
08250,93.0D,24,49.283333,4.95
08250,93.0D,24,49.35,4.916667
08250,93.0D,24,49.25,4.766667
08250,93.0D,24,"",""
08250,93.0D,24,49.266667,4.833333
08250,93.0D,24,49.266667,5
08250,02.10Z,24,49.3,4.783333
08250,02.10Z,24,49.316667,4.833333
08250,02.10Z,24,49.316667,4.983333
08250,02.10Z,24,49.316667,4.833333
08250,02.10Z,24,49.266667,4.733333
08250,02.10Z,24,49.333333,4.933333
08250,02.10Z,24,"",""
08250,02.10Z,24,49.316667,4.783333
08250,02.10Z,24,49.283333,4.833333
08250,02.10Z,24,49.316667,4.916667
08250,02.10Z,24,49.266667,4.883333
08250,02.10Z,24,49.333333,4.866667
08250,02.10Z,24,49.3,4.866667
08250,02.10Z,24,49.3,4.966667
08250,02.10Z,24,49.3,5
08250,02.10Z,24,49.3,4.95
08250,02.10Z,24,49.25,4.85
08250,02.10Z,24,49.333333,4.9
08250,02.10Z,24,49.283333,4.95
08250,02.10Z,24,49.35,4.916667
08250,02.10Z,24,49.25,4.766667
08250,02.10Z,24,"",""
08250,02.10Z,24,49.266667,4.833333
08250,02.10Z,24,49.266667,5
08250,01.11Z,600,49.3,4.783333
08250,01.11Z,600,49.316667,4.833333
08250,01.11Z,600,49.316667,4.983333
08250,01.11Z,600,49.316667,4.833333
08250,01.11Z,600,49.266667,4.733333
08250,01.11Z,600,49.333333,4.933333
08250,01.11Z,600,"",""
08250,01.11Z,600,49.316667,4.783333
08250,01.11Z,600,49.283333,4.833333
08250,01.11Z,600,49.316667,4.916667
08250,01.11Z,600,49.266667,4.883333
08250,01.11Z,600,49.333333,4.866667
08250,01.11Z,600,49.3,4.866667
08250,01.11Z,600,49.3,4.966667
08250,01.11Z,600,49.3,5
08250,01.11Z,600,49.3,4.95
08250,01.11Z,600,49.25,4.85
08250,01.11Z,600,49.333333,4.9
08250,01.11Z,600,49.283333,4.95
08250,01.11Z,600,49.35,4.916667
08250,01.11Z,600,49.25,4.766667
08250,01.11Z,600,"",""
08250,01.11Z,600,49.266667,4.833333
08250,01.11Z,600,49.266667,5
08250,36.00Z,24,49.3,4.783333
08250,36.00Z,24,49.316667,4.833333
08250,36.00Z,24,49.316667,4.983333
08250,36.00Z,24,49.316667,4.833333
08250,36.00Z,24,49.266667,4.733333
08250,36.00Z,24,49.333333,4.933333
08250,36.00Z,24,"",""
08250,36.00Z,24,49.316667,4.783333
08250,36.00Z,24,49.283333,4.833333
08250,36.00Z,24,49.316667,4.916667
08250,36.00Z,24,49.266667,4.883333
08250,36.00Z,24,49.333333,4.866667
08250,36.00Z,24,49.3,4.866667
08250,36.00Z,24,49.3,4.966667
08250,36.00Z,24,49.3,5
08250,36.00Z,24,49.3,4.95
08250,36.00Z,24,49.25,4.85
08250,36.00Z,24,49.333333,4.9
08250,36.00Z,24,49.283333,4.95
08250,36.00Z,24,49.35,4.916667
08250,36.00Z,24,49.25,4.766667
08250,36.00Z,24,"",""
08250,36.00Z,24,49.266667,4.833333
08250,36.00Z,24,49.266667,5
08250,56.21Z,24,49.3,4.783333
08250,56.21Z,24,49.316667,4.833333
08250,56.21Z,24,49.316667,4.983333
08250,56.21Z,24,49.316667,4.833333
08250,56.21Z,24,49.266667,4.733333
08250,56.21Z,24,49.333333,4.933333
08250,56.21Z,24,"",""
08250,56.21Z,24,49.316667,4.783333
08250,56.21Z,24,49.283333,4.833333
08250,56.21Z,24,49.316667,4.916667
08250,56.21Z,24,49.266667,4.883333
08250,56.21Z,24,49.333333,4.866667
08250,56.21Z,24,49.3,4.866667
08250,56.21Z,24,49.3,4.966667
08250,56.21Z,24,49.3,5
08250,56.21Z,24,49.3,4.95
08250,56.21Z,24,49.25,4.85
08250,56.21Z,24,49.333333,4.9
08250,56.21Z,24,49.283333,4.95
08250,56.21Z,24,49.35,4.916667
08250,56.21Z,24,49.25,4.766667
08250,56.21Z,24,"",""
08250,56.21Z,24,49.266667,4.833333
08250,56.21Z,24,49.266667,5
08250,01.07,24,49.3,4.783333
08250,01.07,24,49.316667,4.833333
08250,01.07,24,49.316667,4.983333
08250,01.07,24,49.316667,4.833333
08250,01.07,24,49.266667,4.733333
08250,01.07,24,49.333333,4.933333
08250,01.07,24,"",""
08250,01.07,24,49.316667,4.783333
08250,01.07,24,49.283333,4.833333
08250,01.07,24,49.316667,4.916667
08250,01.07,24,49.266667,4.883333
08250,01.07,24,49.333333,4.866667
08250,01.07,24,49.3,4.866667
08250,01.07,24,49.3,4.966667
08250,01.07,24,49.3,5
08250,01.07,24,49.3,4.95
08250,01.07,24,49.25,4.85
08250,01.07,24,49.333333,4.9
08250,01.07,24,49.283333,4.95
08250,01.07,24,49.35,4.916667
08250,01.07,24,49.25,4.766667
08250,01.07,24,"",""
08250,01.07,24,49.266667,4.833333
08250,01.07,24,49.266667,5
08250,43.91A,24,49.3,4.783333
08250,43.91A,24,49.316667,4.833333
08250,43.91A,24,49.316667,4.983333
08250,43.91A,24,49.316667,4.833333
08250,43.91A,24,49.266667,4.733333
08250,43.91A,24,49.333333,4.933333
08250,43.91A,24,"",""
08250,43.91A,24,49.316667,4.783333
08250,43.91A,24,49.283333,4.833333
08250,43.91A,24,49.316667,4.916667
08250,43.91A,24,49.266667,4.883333
08250,43.91A,24,49.333333,4.866667
08250,43.91A,24,49.3,4.866667
08250,43.91A,24,49.3,4.966667
08250,43.91A,24,49.3,5
08250,43.91A,24,49.3,4.95
08250,43.91A,24,49.25,4.85
08250,43.91A,24,49.333333,4.9
08250,43.91A,24,49.283333,4.95
08250,43.91A,24,49.35,4.916667
08250,43.91A,24,49.25,4.766667
08250,43.91A,24,"",""
08250,43.91A,24,49.266667,4.833333
08250,43.91A,24,49.266667,5
08250,84.11Z,48,49.3,4.783333
08250,84.11Z,48,49.316667,4.833333
08250,84.11Z,48,49.316667,4.983333
08250,84.11Z,48,49.316667,4.833333
08250,84.11Z,48,49.266667,4.733333
08250,84.11Z,48,49.333333,4.933333
08250,84.11Z,48,"",""
08250,84.11Z,48,49.316667,4.783333
08250,84.11Z,48,49.283333,4.833333
08250,84.11Z,48,49.316667,4.916667
08250,84.11Z,48,49.266667,4.883333
08250,84.11Z,48,49.333333,4.866667
08250,84.11Z,48,49.3,4.866667
08250,84.11Z,48,49.3,4.966667
08250,84.11Z,48,49.3,5
08250,84.11Z,48,49.3,4.95
08250,84.11Z,48,49.25,4.85
08250,84.11Z,48,49.333333,4.9
08250,84.11Z,48,49.283333,4.95
08250,84.11Z,48,49.35,4.916667
08250,84.11Z,48,49.25,4.766667
08250,84.11Z,48,"",""
08250,84.11Z,48,49.266667,4.833333
08250,84.11Z,48,49.266667,5
08250,77.14,24,49.3,4.783333
08250,77.14,24,49.316667,4.833333
08250,77.14,24,49.316667,4.983333
08250,77.14,24,49.316667,4.833333
08250,77.14,24,49.266667,4.733333
08250,77.14,24,49.333333,4.933333
08250,77.14,24,"",""
08250,77.14,24,49.316667,4.783333
08250,77.14,24,49.283333,4.833333
08250,77.14,24,49.316667,4.916667
08250,77.14,24,49.266667,4.883333
08250,77.14,24,49.333333,4.866667
08250,77.14,24,49.3,4.866667
08250,77.14,24,49.3,4.966667
08250,77.14,24,49.3,5
08250,77.14,24,49.3,4.95
08250,77.14,24,49.25,4.85
08250,77.14,24,49.333333,4.9
08250,77.14,24,49.283333,4.95
08250,77.14,24,49.35,4.916667
08250,77.14,24,49.25,4.766667
08250,77.14,24,"",""
08250,77.14,24,49.266667,4.833333
08250,77.14,24,49.266667,5
08250,01.4A,24,49.3,4.783333
08250,01.4A,24,49.316667,4.833333
08250,01.4A,24,49.316667,4.983333
08250,01.4A,24,49.316667,4.833333
08250,01.4A,24,49.266667,4.733333
08250,01.4A,24,49.333333,4.933333
08250,01.4A,24,"",""
08250,01.4A,24,49.316667,4.783333
08250,01.4A,24,49.283333,4.833333
08250,01.4A,24,49.316667,4.916667
08250,01.4A,24,49.266667,4.883333
08250,01.4A,24,49.333333,4.866667
08250,01.4A,24,49.3,4.866667
08250,01.4A,24,49.3,4.966667
08250,01.4A,24,49.3,5
08250,01.4A,24,49.3,4.95
08250,01.4A,24,49.25,4.85
08250,01.4A,24,49.333333,4.9
08250,01.4A,24,49.283333,4.95
08250,01.4A,24,49.35,4.916667
08250,01.4A,24,49.25,4.766667
08250,01.4A,24,"",""
08250,01.4A,24,49.266667,4.833333
08250,01.4A,24,49.266667,5
08250,55.20Z,48,49.3,4.783333
08250,55.20Z,48,49.316667,4.833333
08250,55.20Z,48,49.316667,4.983333
08250,55.20Z,48,49.316667,4.833333
08250,55.20Z,48,49.266667,4.733333
08250,55.20Z,48,49.333333,4.933333
08250,55.20Z,48,"",""
08250,55.20Z,48,49.316667,4.783333
08250,55.20Z,48,49.283333,4.833333
08250,55.20Z,48,49.316667,4.916667
08250,55.20Z,48,49.266667,4.883333
08250,55.20Z,48,49.333333,4.866667
08250,55.20Z,48,49.3,4.866667
08250,55.20Z,48,49.3,4.966667
08250,55.20Z,48,49.3,5
08250,55.20Z,48,49.3,4.95
08250,55.20Z,48,49.25,4.85
08250,55.20Z,48,49.333333,4.9
08250,55.20Z,48,49.283333,4.95
08250,55.20Z,48,49.35,4.916667
08250,55.20Z,48,49.25,4.766667
08250,55.20Z,48,"",""
