codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
08310,01.11Z,95,49.3,4.45
08310,01.11Z,95,49.316667,4.5
08310,01.11Z,95,49.3,4.433333
08310,01.11Z,95,49.416667,4.5
08310,01.11Z,95,49.383333,4.483333
08310,01.11Z,95,49.35,4.5
08310,01.11Z,95,49.383333,4.55
08310,01.11Z,95,49.3,4.4
08310,01.11Z,95,49.4,4.516667
08310,01.11Z,95,49.35,4.466667
08310,01.11Z,95,49.4,4.45
08310,01.11Z,95,49.366667,4.283333
08310,01.11Z,95,49.433333,4.45
08310,01.11Z,95,"",""
08310,01.11Z,95,49.4,4.383333
08310,01.11Z,95,49.4,4.416667
08310,01.11Z,95,49.35,4.316667
08310,01.11Z,95,49.433333,4.416667
08310,01.11Z,95,49.4,4.35
08310,84.11Z,38,49.3,4.45
08310,84.11Z,38,49.316667,4.5
08310,84.11Z,38,49.3,4.433333
08310,84.11Z,38,49.416667,4.5
08310,84.11Z,38,49.383333,4.483333
08310,84.11Z,38,49.35,4.5
08310,84.11Z,38,49.383333,4.55
08310,84.11Z,38,49.3,4.4
08310,84.11Z,38,49.4,4.516667
08310,84.11Z,38,49.35,4.466667
08310,84.11Z,38,49.4,4.45
08310,84.11Z,38,49.366667,4.283333
08310,84.11Z,38,49.433333,4.45
08310,84.11Z,38,"",""
08310,84.11Z,38,49.4,4.383333
08310,84.11Z,38,49.4,4.416667
08310,84.11Z,38,49.35,4.316667
08310,84.11Z,38,49.433333,4.416667
08310,84.11Z,38,49.4,4.35
08310,01.3Z,19,49.3,4.45
08310,01.3Z,19,49.316667,4.5
08310,01.3Z,19,49.3,4.433333
08310,01.3Z,19,49.416667,4.5
08310,01.3Z,19,49.383333,4.483333
08310,01.3Z,19,49.35,4.5
08310,01.3Z,19,49.383333,4.55
08310,01.3Z,19,49.3,4.4
08310,01.3Z,19,49.4,4.516667
08310,01.3Z,19,49.35,4.466667
08310,01.3Z,19,49.4,4.45
08310,01.3Z,19,49.366667,4.283333
08310,01.3Z,19,49.433333,4.45
08310,01.3Z,19,"",""
08310,01.3Z,19,49.4,4.383333
08310,01.3Z,19,49.4,4.416667
08310,01.3Z,19,49.35,4.316667
08310,01.3Z,19,49.433333,4.416667
08310,01.3Z,19,49.4,4.35
08310,86.90D,19,49.3,4.45
08310,86.90D,19,49.316667,4.5
08310,86.90D,19,49.3,4.433333
08310,86.90D,19,49.416667,4.5
08310,86.90D,19,49.383333,4.483333
08310,86.90D,19,49.35,4.5
08310,86.90D,19,49.383333,4.55
08310,86.90D,19,49.3,4.4
08310,86.90D,19,49.4,4.516667
08310,86.90D,19,49.35,4.466667
08310,86.90D,19,49.4,4.45
08310,86.90D,19,49.366667,4.283333
08310,86.90D,19,49.433333,4.45
08310,86.90D,19,"",""
08310,86.90D,19,49.4,4.383333
08310,86.90D,19,49.4,4.416667
08310,86.90D,19,49.35,4.316667
08310,86.90D,19,49.433333,4.416667
08310,86.90D,19,49.4,4.35
08310,62.45,19,49.3,4.45
08310,62.45,19,49.316667,4.5
08310,62.45,19,49.3,4.433333
08310,62.45,19,49.416667,4.5
08310,62.45,19,49.383333,4.483333
08310,62.45,19,49.35,4.5
08310,62.45,19,49.383333,4.55
08310,62.45,19,49.3,4.4
08310,62.45,19,49.4,4.516667
08310,62.45,19,49.35,4.466667
08310,62.45,19,49.4,4.45
08310,62.45,19,49.366667,4.283333
08310,62.45,19,49.433333,4.45
08310,62.45,19,"",""
08310,62.45,19,49.4,4.383333
08310,62.45,19,49.4,4.416667
08310,62.45,19,49.35,4.316667
08310,62.45,19,49.433333,4.416667
08310,62.45,19,49.4,4.35
08310,42.99Z,19,49.3,4.45
08310,42.99Z,19,49.316667,4.5
08310,42.99Z,19,49.3,4.433333
08310,42.99Z,19,49.416667,4.5
08310,42.99Z,19,49.383333,4.483333
08310,42.99Z,19,49.35,4.5
08310,42.99Z,19,49.383333,4.55
08310,42.99Z,19,49.3,4.4
08310,42.99Z,19,49.4,4.516667
08310,42.99Z,19,49.35,4.466667
08310,42.99Z,19,49.4,4.45
08310,42.99Z,19,49.366667,4.283333
08310,42.99Z,19,49.433333,4.45
08310,42.99Z,19,"",""
08310,42.99Z,19,49.4,4.383333
08310,42.99Z,19,49.4,4.416667
08310,42.99Z,19,49.35,4.316667
08310,42.99Z,19,49.433333,4.416667
08310,42.99Z,19,49.4,4.35
08310,01.50Z,19,49.3,4.45
08310,01.50Z,19,49.316667,4.5
08310,01.50Z,19,49.3,4.433333
08310,01.50Z,19,49.416667,4.5
08310,01.50Z,19,49.383333,4.483333
08310,01.50Z,19,49.35,4.5
08310,01.50Z,19,49.383333,4.55
08310,01.50Z,19,49.3,4.4
08310,01.50Z,19,49.4,4.516667
08310,01.50Z,19,49.35,4.466667
08310,01.50Z,19,49.4,4.45
08310,01.50Z,19,49.366667,4.283333
08310,01.50Z,19,49.433333,4.45
08310,01.50Z,19,"",""
08310,01.50Z,19,49.4,4.383333
08310,01.50Z,19,49.4,4.416667
08310,01.50Z,19,49.35,4.316667
08310,01.50Z,19,49.433333,4.416667
08310,01.50Z,19,49.4,4.35
08310,45.23,19,49.3,4.45
08310,45.23,19,49.316667,4.5
08310,45.23,19,49.3,4.433333
08310,45.23,19,49.416667,4.5
08310,45.23,19,49.383333,4.483333
08310,45.23,19,49.35,4.5
08310,45.23,19,49.383333,4.55
08310,45.23,19,49.3,4.4
08310,45.23,19,49.4,4.516667
08310,45.23,19,49.35,4.466667
08310,45.23,19,49.4,4.45
08310,45.23,19,49.366667,4.283333
08310,45.23,19,49.433333,4.45
08310,45.23,19,"",""
08310,45.23,19,49.4,4.383333
08310,45.23,19,49.4,4.416667
08310,45.23,19,49.35,4.316667
08310,45.23,19,49.433333,4.416667
08310,45.23,19,49.4,4.35
08310,43.99C,19,49.3,4.45
08310,43.99C,19,49.316667,4.5
08310,43.99C,19,49.3,4.433333
08310,43.99C,19,49.416667,4.5
08310,43.99C,19,49.383333,4.483333
08310,43.99C,19,49.35,4.5
08310,43.99C,19,49.383333,4.55
08310,43.99C,19,49.3,4.4
08310,43.99C,19,49.4,4.516667
08310,43.99C,19,49.35,4.466667
08310,43.99C,19,49.4,4.45
08310,43.99C,19,49.366667,4.283333
08310,43.99C,19,49.433333,4.45
08310,43.99C,19,"",""
08310,43.99C,19,49.4,4.383333
08310,43.99C,19,49.4,4.416667
08310,43.99C,19,49.35,4.316667
08310,43.99C,19,49.433333,4.416667
08310,43.99C,19,49.4,4.35
08310,41.0Z,19,49.3,4.45
08310,41.0Z,19,49.316667,4.5
08310,41.0Z,19,49.3,4.433333
08310,41.0Z,19,49.416667,4.5
08310,41.0Z,19,49.383333,4.483333
08310,41.0Z,19,49.35,4.5
08310,41.0Z,19,49.383333,4.55
08310,41.0Z,19,49.3,4.4
08310,41.0Z,19,49.4,4.516667
08310,41.0Z,19,49.35,4.466667
08310,41.0Z,19,49.4,4.45
08310,41.0Z,19,49.366667,4.283333
08310,41.0Z,19,49.433333,4.45
08310,41.0Z,19,"",""
08310,41.0Z,19,49.4,4.383333
08310,41.0Z,19,49.4,4.416667
08310,41.0Z,19,49.35,4.316667
08310,41.0Z,19,49.433333,4.416667
08310,41.0Z,19,49.4,4.35
08310,96.09Z,19,49.3,4.45
08310,96.09Z,19,49.316667,4.5
08310,96.09Z,19,49.3,4.433333
08310,96.09Z,19,49.416667,4.5
08310,96.09Z,19,49.383333,4.483333
08310,96.09Z,19,49.35,4.5
08310,96.09Z,19,49.383333,4.55
08310,96.09Z,19,49.3,4.4
08310,96.09Z,19,49.4,4.516667
08310,96.09Z,19,49.35,4.466667
08310,96.09Z,19,49.4,4.45
08310,96.09Z,19,49.366667,4.283333
08310,96.09Z,19,49.433333,4.45
08310,96.09Z,19,"",""
08310,96.09Z,19,49.4,4.383333
08310,96.09Z,19,49.4,4.416667
08310,96.09Z,19,49.35,4.316667
08310,96.09Z,19,49.433333,4.416667
08310,96.09Z,19,49.4,4.35
08310,35.11Z,38,49.3,4.45
08310,35.11Z,38,49.316667,4.5
08310,35.11Z,38,49.3,4.433333
08310,35.11Z,38,49.416667,4.5
08310,35.11Z,38,49.383333,4.483333
08310,35.11Z,38,49.35,4.5
08310,35.11Z,38,49.383333,4.55
08310,35.11Z,38,49.3,4.4
08310,35.11Z,38,49.4,4.516667
08310,35.11Z,38,49.35,4.466667
08310,35.11Z,38,49.4,4.45
08310,35.11Z,38,49.366667,4.283333
08310,35.11Z,38,49.433333,4.45
08310,35.11Z,38,"",""
08310,35.11Z,38,49.4,4.383333
08310,35.11Z,38,49.4,4.416667
08310,35.11Z,38,49.35,4.316667
08310,35.11Z,38,49.433333,4.416667
08310,35.11Z,38,49.4,4.35
08310,01.1A,19,49.3,4.45
08310,01.1A,19,49.316667,4.5
08310,01.1A,19,49.3,4.433333
08310,01.1A,19,49.416667,4.5
08310,01.1A,19,49.383333,4.483333
08310,01.1A,19,49.35,4.5
08310,01.1A,19,49.383333,4.55
08310,01.1A,19,49.3,4.4
08310,01.1A,19,49.4,4.516667
08310,01.1A,19,49.35,4.466667
08310,01.1A,19,49.4,4.45
08310,01.1A,19,49.366667,4.283333
08310,01.1A,19,49.433333,4.45
08310,01.1A,19,"",""
08310,01.1A,19,49.4,4.383333
08310,01.1A,19,49.4,4.416667
08310,01.1A,19,49.35,4.316667
08310,01.1A,19,49.433333,4.416667
08310,01.1A,19,49.4,4.35
08310,88.99B,19,49.3,4.45
08310,88.99B,19,49.316667,4.5
08310,88.99B,19,49.3,4.433333
