codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
08370,47.99A,26,49.6,5.216667
08370,47.99A,26,49.575,5.3
08370,47.99A,26,49.6,5.3
08370,47.99A,26,49.633333,5.25
08370,47.99A,26,49.6,5.266667
08370,47.99A,26,49.583333,5.266667
08370,47.99A,26,"",""
08370,47.99A,26,49.583333,5.183333
08370,47.99A,26,49.566667,5.233333
08370,47.99A,26,49.6,5.333333
08370,47.99A,26,49.6,5.25
08370,47.99A,26,49.558333,5.266667
08370,47.99A,26,49.616667,5.283333
08370,43.22A,52,49.6,5.216667
08370,43.22A,52,49.575,5.3
08370,43.22A,52,49.6,5.3
08370,43.22A,52,49.633333,5.25
08370,43.22A,52,49.6,5.266667
08370,43.22A,52,49.583333,5.266667
08370,43.22A,52,"",""
08370,43.22A,52,49.583333,5.183333
08370,43.22A,52,49.566667,5.233333
08370,43.22A,52,49.6,5.333333
08370,43.22A,52,49.6,5.25
08370,43.22A,52,49.558333,5.266667
08370,43.22A,52,49.616667,5.283333
08370,47.79Z,13,49.6,5.216667
08370,47.79Z,13,49.575,5.3
08370,47.79Z,13,49.6,5.3
08370,47.79Z,13,49.633333,5.25
08370,47.79Z,13,49.6,5.266667
08370,47.79Z,13,49.583333,5.266667
08370,47.79Z,13,"",""
08370,47.79Z,13,49.583333,5.183333
08370,47.79Z,13,49.566667,5.233333
08370,47.79Z,13,49.6,5.333333
08370,47.79Z,13,49.6,5.25
08370,47.79Z,13,49.558333,5.266667
08370,47.79Z,13,49.616667,5.283333
08370,95.29Z,13,49.6,5.216667
08370,95.29Z,13,49.575,5.3
08370,95.29Z,13,49.6,5.3
08370,95.29Z,13,49.633333,5.25
08370,95.29Z,13,49.6,5.266667
08370,95.29Z,13,49.583333,5.266667
08370,95.29Z,13,"",""
08370,95.29Z,13,49.583333,5.183333
08370,95.29Z,13,49.566667,5.233333
08370,95.29Z,13,49.6,5.333333
08370,95.29Z,13,49.6,5.25
08370,95.29Z,13,49.558333,5.266667
08370,95.29Z,13,49.616667,5.283333
08370,68.20A,52,49.6,5.216667
08370,68.20A,52,49.575,5.3
08370,68.20A,52,49.6,5.3
08370,68.20A,52,49.633333,5.25
08370,68.20A,52,49.6,5.266667
08370,68.20A,52,49.583333,5.266667
08370,68.20A,52,"",""
08370,68.20A,52,49.583333,5.183333
08370,68.20A,52,49.566667,5.233333
08370,68.20A,52,49.6,5.333333
08370,68.20A,52,49.6,5.25
08370,68.20A,52,49.558333,5.266667
08370,68.20A,52,49.616667,5.283333
08370,85.1E,13,49.6,5.216667
08370,85.1E,13,49.575,5.3
08370,85.1E,13,49.6,5.3
08370,85.1E,13,49.633333,5.25
08370,85.1E,13,49.6,5.266667
08370,85.1E,13,49.583333,5.266667
08370,85.1E,13,"",""
08370,85.1E,13,49.583333,5.183333
08370,85.1E,13,49.566667,5.233333
08370,85.1E,13,49.6,5.333333
08370,85.1E,13,49.6,5.25
08370,85.1E,13,49.558333,5.266667
08370,85.1E,13,49.616667,5.283333
08370,49.32Z,13,49.6,5.216667
08370,49.32Z,13,49.575,5.3
08370,49.32Z,13,49.6,5.3
08370,49.32Z,13,49.633333,5.25
08370,49.32Z,13,49.6,5.266667
08370,49.32Z,13,49.583333,5.266667
08370,49.32Z,13,"",""
08370,49.32Z,13,49.583333,5.183333
08370,49.32Z,13,49.566667,5.233333
08370,49.32Z,13,49.6,5.333333
08370,49.32Z,13,49.6,5.25
08370,49.32Z,13,49.558333,5.266667
08370,49.32Z,13,49.616667,5.283333
08370,56.30Z,39,49.6,5.216667
08370,56.30Z,39,49.575,5.3
08370,56.30Z,39,49.6,5.3
08370,56.30Z,39,49.633333,5.25
08370,56.30Z,39,49.6,5.266667
08370,56.30Z,39,49.583333,5.266667
08370,56.30Z,39,"",""
08370,56.30Z,39,49.583333,5.183333
08370,56.30Z,39,49.566667,5.233333
08370,56.30Z,39,49.6,5.333333
08370,56.30Z,39,49.6,5.25
08370,56.30Z,39,49.558333,5.266667
08370,56.30Z,39,49.616667,5.283333
08370,95.11Z,13,49.6,5.216667
08370,95.11Z,13,49.575,5.3
08370,95.11Z,13,49.6,5.3
08370,95.11Z,13,49.633333,5.25
08370,95.11Z,13,49.6,5.266667
08370,95.11Z,13,49.583333,5.266667
08370,95.11Z,13,"",""
08370,95.11Z,13,49.583333,5.183333
08370,95.11Z,13,49.566667,5.233333
08370,95.11Z,13,49.6,5.333333
08370,95.11Z,13,49.6,5.25
08370,95.11Z,13,49.558333,5.266667
08370,95.11Z,13,49.616667,5.283333
08370,50.2Z,13,49.6,5.216667
08370,50.2Z,13,49.575,5.3
08370,50.2Z,13,49.6,5.3
08370,50.2Z,13,49.633333,5.25
08370,50.2Z,13,49.6,5.266667
08370,50.2Z,13,49.583333,5.266667
08370,50.2Z,13,"",""
08370,50.2Z,13,49.583333,5.183333
08370,50.2Z,13,49.566667,5.233333
08370,50.2Z,13,49.6,5.333333
08370,50.2Z,13,49.6,5.25
08370,50.2Z,13,49.558333,5.266667
08370,50.2Z,13,49.616667,5.283333
08370,45.4J,13,49.6,5.216667
08370,45.4J,13,49.575,5.3
08370,45.4J,13,49.6,5.3
08370,45.4J,13,49.633333,5.25
08370,45.4J,13,49.6,5.266667
08370,45.4J,13,49.583333,5.266667
08370,45.4J,13,"",""
08370,45.4J,13,49.583333,5.183333
08370,45.4J,13,49.566667,5.233333
08370,45.4J,13,49.6,5.333333
08370,45.4J,13,49.6,5.25
08370,45.4J,13,49.558333,5.266667
