codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
08430,47.99A,25,49.666667,4.65
08430,47.99A,25,49.666667,4.683333
08430,47.99A,25,49.633333,4.566667
08430,47.99A,25,49.633333,4.733333
08430,47.99A,25,49.666667,4.633333
08430,47.99A,25,49.65,4.683333
08430,47.99A,25,49.7,4.666667
08430,47.99A,25,49.65,4.583333
08430,47.99A,25,49.65,4.65
08430,47.99A,25,49.6,4.733333
08430,47.99A,25,49.633333,4.533333
08430,47.99A,25,49.65,4.616667
08430,47.99A,25,49.716667,4.633333
08430,47.99A,25,"",""
08430,47.99A,25,49.65,4.533333
08430,47.99A,25,49.633333,4.666667
08430,47.99A,25,49.65,4.55
08430,47.99A,25,49.616667,4.566667
08430,47.99A,25,49.683333,4.65
08430,47.99A,25,49.716667,4.6
08430,47.99A,25,49.7,4.65
08430,47.99A,25,49.583333,4.7
08430,47.99A,25,49.583333,4.65
08430,47.99A,25,49.666667,4.566667
08430,47.99A,25,"",""
08430,84.11Z,50,49.666667,4.65
08430,84.11Z,50,49.666667,4.683333
08430,84.11Z,50,49.633333,4.566667
08430,84.11Z,50,49.633333,4.733333
08430,84.11Z,50,49.666667,4.633333
08430,84.11Z,50,49.65,4.683333
08430,84.11Z,50,49.7,4.666667
08430,84.11Z,50,49.65,4.583333
08430,84.11Z,50,49.65,4.65
08430,84.11Z,50,49.6,4.733333
08430,84.11Z,50,49.633333,4.533333
08430,84.11Z,50,49.65,4.616667
08430,84.11Z,50,49.716667,4.633333
08430,84.11Z,50,"",""
08430,84.11Z,50,49.65,4.533333
08430,84.11Z,50,49.633333,4.666667
08430,84.11Z,50,49.65,4.55
08430,84.11Z,50,49.616667,4.566667
08430,84.11Z,50,49.683333,4.65
08430,84.11Z,50,49.716667,4.6
08430,84.11Z,50,49.7,4.65
08430,84.11Z,50,49.583333,4.7
08430,84.11Z,50,49.583333,4.65
08430,84.11Z,50,49.666667,4.566667
08430,84.11Z,50,"",""
08430,95.11,25,49.666667,4.65
08430,95.11,25,49.666667,4.683333
08430,95.11,25,49.633333,4.566667
08430,95.11,25,49.633333,4.733333
08430,95.11,25,49.666667,4.633333
08430,95.11,25,49.65,4.683333
08430,95.11,25,49.7,4.666667
08430,95.11,25,49.65,4.583333
08430,95.11,25,49.65,4.65
08430,95.11,25,49.6,4.733333
08430,95.11,25,49.633333,4.533333
08430,95.11,25,49.65,4.616667
08430,95.11,25,49.716667,4.633333
08430,95.11,25,"",""
08430,95.11,25,49.65,4.533333
08430,95.11,25,49.633333,4.666667
08430,95.11,25,49.65,4.55
08430,95.11,25,49.616667,4.566667
08430,95.11,25,49.683333,4.65
08430,95.11,25,49.716667,4.6
08430,95.11,25,49.7,4.65
08430,95.11,25,49.583333,4.7
08430,95.11,25,49.583333,4.65
08430,95.11,25,49.666667,4.566667
08430,95.11,25,"",""
08430,01.3Z,50,49.666667,4.65
08430,01.3Z,50,49.666667,4.683333
08430,01.3Z,50,49.633333,4.566667
08430,01.3Z,50,49.633333,4.733333
