codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
09240,47.79Z,13,43.033333,1.433333
09240,47.79Z,13,42.966667,1.383333
09240,47.79Z,13,43,1.433333
09240,47.79Z,13,43.016667,1.333333
09240,47.79Z,13,43,1.466667
09240,47.79Z,13,42.983333,1.416667
09240,47.79Z,13,43,1.4
09240,47.79Z,13,43.016667,1.433333
09240,47.79Z,13,43.016667,1.35
09240,47.79Z,13,43.016667,1.5
09240,47.79Z,13,42.983333,1.466667
09240,47.79Z,13,43.033333,1.35
09240,47.79Z,13,43.05,1.466667
09240,68.20A,39,43.033333,1.433333
09240,68.20A,39,42.966667,1.383333
09240,68.20A,39,43,1.433333
09240,68.20A,39,43.016667,1.333333
09240,68.20A,39,43,1.466667
09240,68.20A,39,42.983333,1.416667
09240,68.20A,39,43,1.4
09240,68.20A,39,43.016667,1.433333
09240,68.20A,39,43.016667,1.35
09240,68.20A,39,43.016667,1.5
09240,68.20A,39,42.983333,1.466667
09240,68.20A,39,43.033333,1.35
09240,68.20A,39,43.05,1.466667
09240,49.32Z,13,43.033333,1.433333
09240,49.32Z,13,42.966667,1.383333
09240,49.32Z,13,43,1.433333
09240,49.32Z,13,43.016667,1.333333
09240,49.32Z,13,43,1.466667
09240,49.32Z,13,42.983333,1.416667
09240,49.32Z,13,43,1.4
09240,49.32Z,13,43.016667,1.433333
09240,49.32Z,13,43.016667,1.35
09240,49.32Z,13,43.016667,1.5
09240,49.32Z,13,42.983333,1.466667
09240,49.32Z,13,43.033333,1.35
09240,49.32Z,13,43.05,1.466667
09240,55.60,39,43.033333,1.433333
09240,55.60,39,42.966667,1.383333
09240,55.60,39,43,1.433333
09240,55.60,39,43.016667,1.333333
09240,55.60,39,43,1.466667
09240,55.60,39,42.983333,1.416667
09240,55.60,39,43,1.4
09240,55.60,39,43.016667,1.433333
09240,55.60,39,43.016667,1.35
09240,55.60,39,43.016667,1.5
09240,55.60,39,42.983333,1.466667
09240,55.60,39,43.033333,1.35
09240,55.60,39,43.05,1.466667
09240,93.19Z,13,43.033333,1.433333
09240,93.19Z,13,42.966667,1.383333
09240,93.19Z,13,43,1.433333
09240,93.19Z,13,43.016667,1.333333
09240,93.19Z,13,43,1.466667
09240,93.19Z,13,42.983333,1.416667
09240,93.19Z,13,43,1.4
09240,93.19Z,13,43.016667,1.433333
09240,93.19Z,13,43.016667,1.35
09240,93.19Z,13,43.016667,1.5
09240,93.19Z,13,42.983333,1.466667
09240,93.19Z,13,43.033333,1.35
09240,93.19Z,13,43.05,1.466667
09240,90.01Z,13,43.033333,1.433333
09240,90.01Z,13,42.966667,1.383333
09240,90.01Z,13,43,1.433333
09240,90.01Z,13,43.016667,1.333333
09240,90.01Z,13,43,1.466667
09240,90.01Z,13,42.983333,1.416667
09240,90.01Z,13,43,1.4
09240,90.01Z,13,43.016667,1.433333
09240,90.01Z,13,43.016667,1.35
09240,90.01Z,13,43.016667,1.5
