codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
10140,47.99A,220,48.2,4.383333
10140,47.99A,220,48.25,4.333333
10140,47.99A,220,48.216667,4.35
10140,47.99A,220,48.233333,4.466667
10140,47.99A,220,48.266667,4.533333
10140,47.99A,220,48.333333,4.55
10140,47.99A,220,48.3,4.583333
10140,47.99A,220,48.2,4.433333
10140,47.99A,220,48.216667,4.5
10140,47.99A,220,48.216667,4.55
10140,47.99A,220,48.25,4.566667
10140,47.99A,220,48.25,4.533333
10140,47.99A,220,48.183333,4.516667
10140,47.99A,220,48.233333,4.383333
10140,47.99A,220,48.283333,4.416667
10140,47.99A,220,48.316667,4.566667
10140,47.99A,220,48.3,4.583333
10140,47.99A,220,48.233333,4.4
10140,47.99A,220,48.283333,4.6
10140,47.99A,220,48.183333,4.466667
10140,47.99A,220,48.25,4.6
10140,47.99A,220,48.3,4.516667
10140,64.11,88,48.2,4.383333
10140,64.11,88,48.25,4.333333
10140,64.11,88,48.216667,4.35
10140,64.11,88,48.233333,4.466667
10140,64.11,88,48.266667,4.533333
10140,64.11,88,48.333333,4.55
10140,64.11,88,48.3,4.583333
10140,64.11,88,48.2,4.433333
10140,64.11,88,48.216667,4.5
10140,64.11,88,48.216667,4.55
10140,64.11,88,48.25,4.566667
10140,64.11,88,48.25,4.533333
10140,64.11,88,48.183333,4.516667
10140,64.11,88,48.233333,4.383333
10140,64.11,88,48.283333,4.416667
10140,64.11,88,48.316667,4.566667
10140,64.11,88,48.3,4.583333
10140,64.11,88,48.233333,4.4
10140,64.11,88,48.283333,4.6
10140,64.11,88,48.183333,4.466667
10140,64.11,88,48.25,4.6
10140,64.11,88,48.3,4.516667
10140,55.3A,88,48.2,4.383333
10140,55.3A,88,48.25,4.333333
10140,55.3A,88,48.216667,4.35
10140,55.3A,88,48.233333,4.466667
10140,55.3A,88,48.266667,4.533333
10140,55.3A,88,48.333333,4.55
10140,55.3A,88,48.3,4.583333
10140,55.3A,88,48.2,4.433333
10140,55.3A,88,48.216667,4.5
10140,55.3A,88,48.216667,4.55
10140,55.3A,88,48.25,4.566667
10140,55.3A,88,48.25,4.533333
10140,55.3A,88,48.183333,4.516667
10140,55.3A,88,48.233333,4.383333
10140,55.3A,88,48.283333,4.416667
10140,55.3A,88,48.316667,4.566667
10140,55.3A,88,48.3,4.583333
10140,55.3A,88,48.233333,4.4
10140,55.3A,88,48.283333,4.6
