codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
10190,47.99A,126,48.283333,3.7
10190,47.99A,126,48.3,3.766667
10190,47.99A,126,48.333333,3.833333
10190,47.99A,126,48.316667,3.833333
10190,47.99A,126,48.25,3.733333
10190,47.99A,126,48.216667,3.916667
10190,47.99A,126,48.25,3.95
10190,47.99A,126,"",""
10190,47.99A,126,48.266667,3.9
10190,47.99A,126,48.283333,3.866667
10190,47.99A,126,48.266667,3.816667
10190,47.99A,126,48.216667,3.85
10190,47.99A,126,48.266667,3.866667
10190,47.99A,126,48.216667,3.883333
10190,43.22A,14,48.283333,3.7
10190,43.22A,14,48.3,3.766667
10190,43.22A,14,48.333333,3.833333
10190,43.22A,14,48.316667,3.833333
10190,43.22A,14,48.25,3.733333
10190,43.22A,14,48.216667,3.916667
10190,43.22A,14,48.25,3.95
10190,43.22A,14,"",""
10190,43.22A,14,48.266667,3.9
10190,43.22A,14,48.283333,3.866667
10190,43.22A,14,48.266667,3.816667
10190,43.22A,14,48.216667,3.85
10190,43.22A,14,48.266667,3.866667
10190,43.22A,14,48.216667,3.883333
10190,67.05,14,48.283333,3.7
10190,67.05,14,48.3,3.766667
10190,67.05,14,48.333333,3.833333
10190,67.05,14,48.316667,3.833333
10190,67.05,14,48.25,3.733333
10190,67.05,14,48.216667,3.916667
10190,67.05,14,48.25,3.95
10190,67.05,14,"",""
10190,67.05,14,48.266667,3.9
10190,67.05,14,48.283333,3.866667
10190,67.05,14,48.266667,3.816667
10190,67.05,14,48.216667,3.85
10190,67.05,14,48.266667,3.866667
10190,67.05,14,48.216667,3.883333
10190,02.10Z,14,48.283333,3.7
10190,02.10Z,14,48.3,3.766667
10190,02.10Z,14,48.333333,3.833333
10190,02.10Z,14,48.316667,3.833333
10190,02.10Z,14,48.25,3.733333
10190,02.10Z,14,48.216667,3.916667
10190,02.10Z,14,48.25,3.95
10190,02.10Z,14,"",""
10190,02.10Z,14,48.266667,3.9
10190,02.10Z,14,48.283333,3.866667
10190,02.10Z,14,48.266667,3.816667
10190,02.10Z,14,48.216667,3.85
10190,02.10Z,14,48.266667,3.866667
10190,02.10Z,14,48.216667,3.883333
10190,01.1F,14,48.283333,3.7
10190,01.1F,14,48.3,3.766667
10190,01.1F,14,48.333333,3.833333
10190,01.1F,14,48.316667,3.833333
10190,01.1F,14,48.25,3.733333
10190,01.1F,14,48.216667,3.916667
10190,01.1F,14,48.25,3.95
10190,01.1F,14,"",""
10190,01.1F,14,48.266667,3.9
10190,01.1F,14,48.283333,3.866667
10190,01.1F,14,48.266667,3.816667
10190,01.1F,14,48.216667,3.85
10190,01.1F,14,48.266667,3.866667
10190,01.1F,14,48.216667,3.883333
10190,01.11Z,182,48.283333,3.7
10190,01.11Z,182,48.3,3.766667
10190,01.11Z,182,48.333333,3.833333
10190,01.11Z,182,48.316667,3.833333
10190,01.11Z,182,48.25,3.733333
10190,01.11Z,182,48.216667,3.916667
10190,01.11Z,182,48.25,3.95
10190,01.11Z,182,"",""
