codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
10360,47.99A,30,48.05,4.566667
10360,47.99A,30,48.1,4.616667
10360,47.99A,30,48.1,4.566667
10360,47.99A,30,48.083333,4.616667
10360,47.99A,30,48.066667,4.533333
10360,47.99A,30,48.05,4.666667
10360,92.14,6,48.05,4.566667
10360,92.14,6,48.1,4.616667
10360,92.14,6,48.1,4.566667
10360,92.14,6,48.083333,4.616667
10360,92.14,6,48.066667,4.533333
10360,92.14,6,48.05,4.666667
10360,43.22A,12,48.05,4.566667
10360,43.22A,12,48.1,4.616667
10360,43.22A,12,48.1,4.566667
10360,43.22A,12,48.083333,4.616667
10360,43.22A,12,48.066667,4.533333
10360,43.22A,12,48.05,4.666667
10360,01.1F,6,48.05,4.566667
10360,01.1F,6,48.1,4.616667
10360,01.1F,6,48.1,4.566667
10360,01.1F,6,48.083333,4.616667
10360,01.1F,6,48.066667,4.533333
10360,01.1F,6,48.05,4.666667
10360,01.11Z,12,48.05,4.566667
10360,01.11Z,12,48.1,4.616667
10360,01.11Z,12,48.1,4.566667
10360,01.11Z,12,48.083333,4.616667
10360,01.11Z,12,48.066667,4.533333
10360,01.11Z,12,48.05,4.666667
10360,28.30Z,6,48.05,4.566667
10360,28.30Z,6,48.1,4.616667
10360,28.30Z,6,48.1,4.566667
10360,28.30Z,6,48.083333,4.616667
10360,28.30Z,6,48.066667,4.533333
10360,28.30Z,6,48.05,4.666667
10360,77.01,6,48.05,4.566667
10360,77.01,6,48.1,4.616667
10360,77.01,6,48.1,4.566667
10360,77.01,6,48.083333,4.616667
10360,77.01,6,48.066667,4.533333
10360,77.01,6,48.05,4.666667
10360,44.22,6,48.05,4.566667
10360,44.22,6,48.1,4.616667
10360,44.22,6,48.1,4.566667
10360,44.22,6,48.083333,4.616667
10360,44.22,6,48.066667,4.533333
10360,44.22,6,48.05,4.666667
10360,43.99A,6,48.05,4.566667
10360,43.99A,6,48.1,4.616667
10360,43.99A,6,48.1,4.566667
10360,43.99A,6,48.083333,4.616667
10360,43.99A,6,48.066667,4.533333
10360,43.99A,6,48.05,4.666667
10360,95.29Z,6,48.05,4.566667
10360,95.29Z,6,48.1,4.616667
10360,95.29Z,6,48.1,4.566667
10360,95.29Z,6,48.083333,4.616667
10360,95.29Z,6,48.066667,4.533333
10360,95.29Z,6,48.05,4.666667
10360,64.49,6,48.05,4.566667
10360,64.49,6,48.1,4.616667
10360,64.49,6,48.1,4.566667
10360,64.49,6,48.083333,4.616667
10360,64.49,6,48.066667,4.533333
10360,64.49,6,48.05,4.666667
10360,49.32Z,6,48.05,4.566667
10360,49.32Z,6,48.1,4.616667
10360,49.32Z,6,48.1,4.566667
10360,49.32Z,6,48.083333,4.616667
10360,49.32Z,6,48.066667,4.533333
10360,49.32Z,6,48.05,4.666667
10360,45.3E,6,48.05,4.566667
10360,45.3E,6,48.1,4.616667
10360,45.3E,6,48.1,4.566667
10360,45.3E,6,48.083333,4.616667
10360,45.3E,6,48.066667,4.533333
10360,45.3E,6,48.05,4.666667
10360,45.2J,6,48.05,4.566667
10360,45.2J,6,48.1,4.616667
10360,45.2J,6,48.1,4.566667
10360,45.2J,6,48.083333,4.616667
10360,45.2J,6,48.066667,4.533333
10360,45.2J,6,48.05,4.666667
10360,55.60,18,48.05,4.566667
10360,55.60,18,48.1,4.616667
10360,55.60,18,48.1,4.566667
10360,55.60,18,48.083333,4.616667
10360,55.60,18,48.066667,4.533333
10360,55.60,18,48.05,4.666667
10360,56.30Z,6,48.05,4.566667
10360,56.30Z,6,48.1,4.616667
10360,56.30Z,6,48.1,4.566667
10360,56.30Z,6,48.083333,4.616667
10360,56.30Z,6,48.066667,4.533333
10360,56.30Z,6,48.05,4.666667
10360,56.21Z,6,48.05,4.566667
10360,56.21Z,6,48.1,4.616667
10360,56.21Z,6,48.1,4.566667
10360,56.21Z,6,48.083333,4.616667
10360,56.21Z,6,48.066667,4.533333
10360,56.21Z,6,48.05,4.666667
10360,46.49Z,6,48.05,4.566667
10360,46.49Z,6,48.1,4.616667
10360,46.49Z,6,48.1,4.566667
10360,46.49Z,6,48.083333,4.616667
10360,46.49Z,6,48.066667,4.533333
10360,46.49Z,6,48.05,4.666667
10360,47.52A,12,48.05,4.566667
10360,47.52A,12,48.1,4.616667
10360,47.52A,12,48.1,4.566667
10360,47.52A,12,48.083333,4.616667
10360,47.52A,12,48.066667,4.533333
10360,47.52A,12,48.05,4.666667
10360,73.20Z,6,48.05,4.566667
10360,73.20Z,6,48.1,4.616667
10360,73.20Z,6,48.1,4.566667
10360,73.20Z,6,48.083333,4.616667
10360,73.20Z,6,48.066667,4.533333
10360,73.20Z,6,48.05,4.666667
10360,64.20Z,18,48.05,4.566667
10360,64.20Z,18,48.1,4.616667
10360,64.20Z,18,48.1,4.566667
10360,64.20Z,18,48.083333,4.616667
10360,64.20Z,18,48.066667,4.533333
10360,64.20Z,18,48.05,4.666667
10360,86.90E,6,48.05,4.566667
10360,86.90E,6,48.1,4.616667
10360,86.90E,6,48.1,4.566667
10360,86.90E,6,48.083333,4.616667
10360,86.90E,6,48.066667,4.533333
10360,86.90E,6,48.05,4.666667
10360,00.11,6,48.05,4.566667
10360,00.11,6,48.1,4.616667
10360,00.11,6,48.1,4.566667
10360,00.11,6,48.083333,4.616667
10360,00.11,6,48.066667,4.533333
10360,00.11,6,48.05,4.666667
10360,43.32B,6,48.05,4.566667
10360,43.32B,6,48.1,4.616667
10360,43.32B,6,48.1,4.566667
10360,43.32B,6,48.083333,4.616667
10360,43.32B,6,48.066667,4.533333
10360,43.32B,6,48.05,4.666667
10360,74.10Z,6,48.05,4.566667
10360,74.10Z,6,48.1,4.616667
10360,74.10Z,6,48.1,4.566667
10360,74.10Z,6,48.083333,4.616667
10360,74.10Z,6,48.066667,4.533333
10360,74.10Z,6,48.05,4.666667
10360,81.30Z,18,48.05,4.566667
10360,81.30Z,18,48.1,4.616667
10360,81.30Z,18,48.1,4.566667
10360,81.30Z,18,48.083333,4.616667
10360,81.30Z,18,48.066667,4.533333
10360,81.30Z,18,48.05,4.666667
10360,01.4B,12,48.05,4.566667
10360,01.4B,12,48.1,4.616667
10360,01.4B,12,48.1,4.566667
10360,01.4B,12,48.083333,4.616667
10360,01.4B,12,48.066667,4.533333
10360,01.4B,12,48.05,4.666667
10360,43.99B,6,48.05,4.566667
10360,43.99B,6,48.1,4.616667
10360,43.99B,6,48.1,4.566667
10360,43.99B,6,48.083333,4.616667
10360,43.99B,6,48.066667,4.533333
10360,43.99B,6,48.05,4.666667
10360,84.11Z,30,48.05,4.566667
10360,84.11Z,30,48.1,4.616667
10360,84.11Z,30,48.1,4.566667
10360,84.11Z,30,48.083333,4.616667
10360,84.11Z,30,48.066667,4.533333
10360,84.11Z,30,48.05,4.666667
10360,90.0A,6,48.05,4.566667
10360,90.0A,6,48.1,4.616667
10360,90.0A,6,48.1,4.566667
10360,90.0A,6,48.083333,4.616667
10360,90.0A,6,48.066667,4.533333
10360,90.0A,6,48.05,4.666667
10360,13.91Z,6,48.05,4.566667
10360,13.91Z,6,48.1,4.616667
10360,13.91Z,6,48.1,4.566667
10360,13.91Z,6,48.083333,4.616667
10360,13.91Z,6,48.066667,4.533333
10360,13.91Z,6,48.05,4.666667
10360,70.2B,6,48.05,4.566667
10360,70.2B,6,48.1,4.616667
10360,70.2B,6,48.1,4.566667
10360,70.2B,6,48.083333,4.616667
10360,70.2B,6,48.066667,4.533333
10360,70.2B,6,48.05,4.666667
10360,77.14,12,48.05,4.566667
10360,77.14,12,48.1,4.616667
10360,77.14,12,48.1,4.566667
10360,77.14,12,48.083333,4.616667
10360,77.14,12,48.066667,4.533333
10360,77.14,12,48.05,4.666667
10360,55.20Z,6,48.05,4.566667
10360,55.20Z,6,48.1,4.616667
10360,55.20Z,6,48.1,4.566667
10360,55.20Z,6,48.083333,4.616667
10360,55.20Z,6,48.066667,4.533333
10360,55.20Z,6,48.05,4.666667
10360,43.22B,18,48.05,4.566667
10360,43.22B,18,48.1,4.616667
10360,43.22B,18,48.1,4.566667
10360,43.22B,18,48.083333,4.616667
10360,43.22B,18,48.066667,4.533333
10360,43.22B,18,48.05,4.666667
10360,93.12Z,18,48.05,4.566667
10360,93.12Z,18,48.1,4.616667
10360,93.12Z,18,48.1,4.566667
10360,93.12Z,18,48.083333,4.616667
10360,93.12Z,18,48.066667,4.533333
10360,93.12Z,18,48.05,4.666667
10360,43.32A,18,48.05,4.566667
10360,43.32A,18,48.1,4.616667
10360,43.32A,18,48.1,4.566667
10360,43.32A,18,48.083333,4.616667
10360,43.32A,18,48.066667,4.533333
10360,43.32A,18,48.05,4.666667
10360,25.62B,6,48.05,4.566667
10360,25.62B,6,48.1,4.616667
10360,25.62B,6,48.1,4.566667
10360,25.62B,6,48.083333,4.616667
10360,25.62B,6,48.066667,4.533333
10360,25.62B,6,48.05,4.666667
10360,74.1G,12,48.05,4.566667
10360,74.1G,12,48.1,4.616667
10360,74.1G,12,48.1,4.566667
10360,74.1G,12,48.083333,4.616667
10360,74.1G,12,48.066667,4.533333
10360,74.1G,12,48.05,4.666667
10360,69.25,6,48.05,4.566667
10360,69.25,6,48.1,4.616667
10360,69.25,6,48.1,4.566667
10360,69.25,6,48.083333,4.616667
10360,69.25,6,48.066667,4.533333
10360,69.25,6,48.05,4.666667
10360,72.19Z,6,48.05,4.566667
10360,72.19Z,6,48.1,4.616667
10360,72.19Z,6,48.1,4.566667
10360,72.19Z,6,48.083333,4.616667
10360,72.19Z,6,48.066667,4.533333
10360,72.19Z,6,48.05,4.666667
10360,70.1F,6,48.05,4.566667
10360,70.1F,6,48.1,4.616667
10360,70.1F,6,48.1,4.566667
10360,70.1F,6,48.083333,4.616667
10360,70.1F,6,48.066667,4.533333
10360,70.1F,6,48.05,4.666667
10360,96.03Z,6,48.05,4.566667
10360,96.03Z,6,48.1,4.616667
10360,96.03Z,6,48.1,4.566667
10360,96.03Z,6,48.083333,4.616667
10360,96.03Z,6,48.066667,4.533333
10360,96.03Z,6,48.05,4.666667
10360,45.2L,6,48.05,4.566667
10360,45.2L,6,48.1,4.616667
10360,45.2L,6,48.1,4.566667
10360,45.2L,6,48.083333,4.616667
10360,45.2L,6,48.066667,4.533333
10360,45.2L,6,48.05,4.666667
10360,55.70,6,48.05,4.566667
10360,55.70,6,48.1,4.616667
10360,55.70,6,48.1,4.566667
10360,55.70,6,48.083333,4.616667
10360,55.70,6,48.066667,4.533333
10360,55.70,6,48.05,4.666667
10360,35.3B,6,48.05,4.566667
10360,35.3B,6,48.1,4.616667
10360,35.3B,6,48.1,4.566667
10360,35.3B,6,48.083333,4.616667
10360,35.3B,6,48.066667,4.533333
10360,35.3B,6,48.05,4.666667
10360,74.1J,12,48.05,4.566667
10360,74.1J,12,48.1,4.616667
10360,74.1J,12,48.1,4.566667
10360,74.1J,12,48.083333,4.616667
10360,74.1J,12,48.066667,4.533333
10360,74.1J,12,48.05,4.666667
10360,43.33Z,6,48.05,4.566667
10360,43.33Z,6,48.1,4.616667
10360,43.33Z,6,48.1,4.566667
10360,43.33Z,6,48.083333,4.616667
10360,43.33Z,6,48.066667,4.533333
10360,43.33Z,6,48.05,4.666667
10360,44.21,6,48.05,4.566667
10360,44.21,6,48.1,4.616667
10360,44.21,6,48.1,4.566667
10360,44.21,6,48.083333,4.616667
10360,44.21,6,48.066667,4.533333
10360,44.21,6,48.05,4.666667
10360,96.02A,18,48.05,4.566667
10360,96.02A,18,48.1,4.616667
10360,96.02A,18,48.1,4.566667
10360,96.02A,18,48.083333,4.616667
10360,96.02A,18,48.066667,4.533333
10360,96.02A,18,48.05,4.666667
10360,86.90D,6,48.05,4.566667
10360,86.90D,6,48.1,4.616667
10360,86.90D,6,48.1,4.566667
10360,86.90D,6,48.083333,4.616667
10360,86.90D,6,48.066667,4.533333
10360,86.90D,6,48.05,4.666667
10360,51.1R,6,48.05,4.566667
10360,51.1R,6,48.1,4.616667
10360,51.1R,6,48.1,4.566667
10360,51.1R,6,48.083333,4.616667
10360,51.1R,6,48.066667,4.533333
10360,51.1R,6,48.05,4.666667
10360,85.32Z,42,48.05,4.566667
10360,85.32Z,42,48.1,4.616667
10360,85.32Z,42,48.1,4.566667
10360,85.32Z,42,48.083333,4.616667
10360,85.32Z,42,48.066667,4.533333
10360,85.32Z,42,48.05,4.666667
10360,46.19B,12,48.05,4.566667
10360,46.19B,12,48.1,4.616667
10360,46.19B,12,48.1,4.566667
10360,46.19B,12,48.083333,4.616667
10360,46.19B,12,48.066667,4.533333
10360,46.19B,12,48.05,4.666667
10360,31.09B,24,48.05,4.566667
