codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
11090,70.3A,1,43.216667,2.416667
11090,55.3A,2,43.216667,2.416667
11090,43.22A,4,43.216667,2.416667
11090,01.1F,1,43.216667,2.416667
11090,01.11Z,4,43.216667,2.416667
11090,49.41A,1,43.216667,2.416667
11090,68.20A,3,43.216667,2.416667
11090,49.32Z,1,43.216667,2.416667
11090,56.30Z,1,43.216667,2.416667
11090,95.11Z,1,43.216667,2.416667
11090,52.29A,2,43.216667,2.416667
11090,56.21Z,1,43.216667,2.416667
11090,46.49Z,1,43.216667,2.416667
11090,81.22Z,1,43.216667,2.416667
11090,43.34Z,1,43.216667,2.416667
11090,90.01Z,3,43.216667,2.416667
11090,86.90E,3,43.216667,2.416667
11090,74.90A,1,43.216667,2.416667
11090,56.10C,1,43.216667,2.416667
11090,82.11Z,1,43.216667,2.416667
11090,46.44Z,2,43.216667,2.416667
11090,81.30Z,1,43.216667,2.416667
11090,84.11Z,5,43.216667,2.416667
11090,50.1Z,1,43.216667,2.416667
11090,01.21Z,30,43.216667,2.416667
11090,70.2B,1,43.216667,2.416667
11090,01.3Z,2,43.216667,2.416667
11090,01.4A,1,43.216667,2.416667
11090,55.20Z,1,43.216667,2.416667
11090,43.32A,2,43.216667,2.416667
11090,47.11B,2,43.216667,2.416667
11090,01.24Z,4,43.216667,2.416667
11090,55.4B,1,43.216667,2.416667
11090,47.22Z,1,43.216667,2.416667
11090,96.02A,5,43.216667,2.416667
11090,86.90D,1,43.216667,2.416667
11090,46.19B,1,43.216667,2.416667
11090,45.3A,1,43.216667,2.416667
11090,47.11E,1,43.216667,2.416667
11090,94.99Z,8,43.216667,2.416667
11090,62.45,1,43.216667,2.416667
11090,79.90Z,1,43.216667,2.416667
11090,47.21Z,3,43.216667,2.416667
11090,47.72A,1,43.216667,2.416667
11090,01.1G,10,43.216667,2.416667
11090,00.00Z,1,43.216667,2.416667
11090,46.34Z,3,43.216667,2.416667
11090,55.73,1,43.216667,2.416667
11090,84.12Z,1,43.216667,2.416667
11090,43.31Z,1,43.216667,2.416667
11090,45.4C,1,43.216667,2.416667
11090,70.2C,2,43.216667,2.416667
11090,11.05Z,1,43.216667,2.416667
11090,02.40Z,1,43.216667,2.416667
11090,86.21Z,1,43.216667,2.416667
11090,96.02B,3,43.216667,2.416667
11090,71.11Z,1,43.216667,2.416667
11090,57.08,1,43.216667,2.416667
11090,47.81Z,2,43.216667,2.416667
11090,46.69C,1,43.216667,2.416667
11090,68.31Z,3,43.216667,2.416667
11090,88.10A,1,43.216667,2.416667
11090,85.59B,1,43.216667,2.416667
11090,85.59A,2,43.216667,2.416667
11090,43.99C,7,43.216667,2.416667
11090,10.71C,1,43.216667,2.416667
11090,01.61Z,1,43.216667,2.416667
11090,45.20A,2,43.216667,2.416667
11090,55.10Z,1,43.216667,2.416667
11090,41.20A,1,43.216667,2.416667
11090,13.99Z,1,43.216667,2.416667
11090,35.11Z,3,43.216667,2.416667
11090,18.12Z,1,43.216667,2.416667
11090,47.91A,2,43.216667,2.416667
11090,01.13Z,2,43.216667,2.416667
11090,01.49Z,1,43.216667,2.416667
11090,47.29Z,1,43.216667,2.416667
11090,01.1A,2,43.216667,2.416667
11090,01.19Z,3,43.216667,2.416667
11090,68.10Z,1,43.216667,2.416667
11090,66.22Z,1,43.216667,2.416667
11090,58.29C,1,43.216667,2.416667
11090,46.01,2,43.216667,2.416667
11090,32.13Z,1,43.216667,2.416667
11090,69.20Z,1,43.216667,2.416667
11090,88.99B,1,43.216667,2.416667
11090,93.29Z,3,43.216667,2.416667
11090,28.5D,1,43.216667,2.416667
11090,47.89Z,2,43.216667,2.416667
11090,73.11Z,1,43.216667,2.416667
11090,45.2V,2,43.216667,2.416667
11090,85.51Z,1,43.216667,2.416667
11090,43.21A,2,43.216667,2.416667
11090,74.90B,1,43.216667,2.416667
11090,18.13Z,1,43.216667,2.416667
11090,71.12B,1,43.216667,2.416667
11090,55.72,1,43.216667,2.416667
11090,15.20Z,1,43.216667,2.416667
11090,68.20B,22,43.216667,2.416667
11090,60.2L,1,43.216667,2.416667
11090,15.8C,1,43.216667,2.416667
