codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
11260,55.3A,10,42.933333,2.116667
11260,55.3A,10,42.933333,2.15
11260,55.3A,10,42.933333,2.183333
11260,55.3A,10,42.933333,2.216667
11260,55.3A,10,42.916667,2.2
11260,95.29Z,10,42.933333,2.116667
11260,95.29Z,10,42.933333,2.15
11260,95.29Z,10,42.933333,2.183333
11260,95.29Z,10,42.933333,2.216667
11260,95.29Z,10,42.916667,2.2
11260,68.20A,5,42.933333,2.116667
11260,68.20A,5,42.933333,2.15
11260,68.20A,5,42.933333,2.183333
11260,68.20A,5,42.933333,2.216667
11260,68.20A,5,42.916667,2.2
11260,51.3J,5,42.933333,2.116667
11260,51.3J,5,42.933333,2.15
11260,51.3J,5,42.933333,2.183333
11260,51.3J,5,42.933333,2.216667
11260,51.3J,5,42.916667,2.2
11260,95.11Z,10,42.933333,2.116667
11260,95.11Z,10,42.933333,2.15
11260,95.11Z,10,42.933333,2.183333
11260,95.11Z,10,42.933333,2.216667
11260,95.11Z,10,42.916667,2.2
11260,62.11,5,42.933333,2.116667
11260,62.11,5,42.933333,2.15
11260,62.11,5,42.933333,2.183333
11260,62.11,5,42.933333,2.216667
11260,62.11,5,42.916667,2.2
11260,01.43Z,10,42.933333,2.116667
11260,01.43Z,10,42.933333,2.15
11260,01.43Z,10,42.933333,2.183333
11260,01.43Z,10,42.933333,2.216667
11260,01.43Z,10,42.916667,2.2
11260,90.01Z,10,42.933333,2.116667
11260,90.01Z,10,42.933333,2.15
11260,90.01Z,10,42.933333,2.183333
11260,90.01Z,10,42.933333,2.216667
11260,90.01Z,10,42.916667,2.2
11260,56.10C,10,42.933333,2.116667
11260,56.10C,10,42.933333,2.15
11260,56.10C,10,42.933333,2.183333
11260,56.10C,10,42.933333,2.216667
11260,56.10C,10,42.916667,2.2
11260,46.44Z,5,42.933333,2.116667
11260,46.44Z,5,42.933333,2.15
11260,46.44Z,5,42.933333,2.183333
11260,46.44Z,5,42.933333,2.216667
11260,46.44Z,5,42.916667,2.2
11260,84.11Z,55,42.933333,2.116667
11260,84.11Z,55,42.933333,2.15
11260,84.11Z,55,42.933333,2.183333
11260,84.11Z,55,42.933333,2.216667
11260,84.11Z,55,42.916667,2.2
11260,01.21Z,15,42.933333,2.116667
11260,01.21Z,15,42.933333,2.15
11260,01.21Z,15,42.933333,2.183333
11260,01.21Z,15,42.933333,2.216667
11260,01.21Z,15,42.916667,2.2
11260,01.3Z,5,42.933333,2.116667
11260,01.3Z,5,42.933333,2.15
11260,01.3Z,5,42.933333,2.183333
11260,01.3Z,5,42.933333,2.216667
11260,01.3Z,5,42.916667,2.2
11260,69.22,5,42.933333,2.116667
11260,69.22,5,42.933333,2.15
11260,69.22,5,42.933333,2.183333
11260,69.22,5,42.933333,2.216667
11260,69.22,5,42.916667,2.2
11260,56.29B,5,42.933333,2.116667
11260,56.29B,5,42.933333,2.15
11260,56.29B,5,42.933333,2.183333
11260,56.29B,5,42.933333,2.216667
11260,56.29B,5,42.916667,2.2
11260,72.5Z,5,42.933333,2.116667
11260,72.5Z,5,42.933333,2.15
11260,72.5Z,5,42.933333,2.183333
11260,72.5Z,5,42.933333,2.216667
11260,72.5Z,5,42.916667,2.2
11260,01.24Z,5,42.933333,2.116667
11260,01.24Z,5,42.933333,2.15
11260,01.24Z,5,42.933333,2.183333
11260,01.24Z,5,42.933333,2.216667
11260,01.24Z,5,42.916667,2.2
11260,02.20Z,5,42.933333,2.116667
11260,02.20Z,5,42.933333,2.15
11260,02.20Z,5,42.933333,2.183333
11260,02.20Z,5,42.933333,2.216667
11260,02.20Z,5,42.916667,2.2
11260,56.10A,20,42.933333,2.116667
11260,56.10A,20,42.933333,2.15
11260,56.10A,20,42.933333,2.183333
11260,56.10A,20,42.933333,2.216667
11260,56.10A,20,42.916667,2.2
11260,96.02A,5,42.933333,2.116667
11260,96.02A,5,42.933333,2.15
11260,96.02A,5,42.933333,2.183333
11260,96.02A,5,42.933333,2.216667
11260,96.02A,5,42.916667,2.2
11260,69.12,5,42.933333,2.116667
11260,69.12,5,42.933333,2.15
11260,69.12,5,42.933333,2.183333
11260,69.12,5,42.933333,2.216667
11260,69.12,5,42.916667,2.2
11260,94.99Z,35,42.933333,2.116667
11260,94.99Z,35,42.933333,2.15
11260,94.99Z,35,42.933333,2.183333
11260,94.99Z,35,42.933333,2.216667
11260,94.99Z,35,42.916667,2.2
11260,02.0D,5,42.933333,2.116667
11260,02.0D,5,42.933333,2.15
11260,02.0D,5,42.933333,2.183333
11260,02.0D,5,42.933333,2.216667
11260,02.0D,5,42.916667,2.2
11260,01.28Z,5,42.933333,2.116667
11260,01.28Z,5,42.933333,2.15
11260,01.28Z,5,42.933333,2.183333
11260,01.28Z,5,42.933333,2.216667
11260,01.28Z,5,42.916667,2.2
11260,62.01Z,5,42.933333,2.116667
11260,62.01Z,5,42.933333,2.15
11260,62.01Z,5,42.933333,2.183333
11260,62.01Z,5,42.933333,2.216667
11260,62.01Z,5,42.916667,2.2
11260,01.50Z,5,42.933333,2.116667
11260,01.50Z,5,42.933333,2.15
11260,01.50Z,5,42.933333,2.183333
11260,01.50Z,5,42.933333,2.216667
11260,01.50Z,5,42.916667,2.2
11260,10.71B,5,42.933333,2.116667
11260,10.71B,5,42.933333,2.15
11260,10.71B,5,42.933333,2.183333
11260,10.71B,5,42.933333,2.216667
11260,10.71B,5,42.916667,2.2
11260,01.45Z,10,42.933333,2.116667
11260,01.45Z,10,42.933333,2.15
11260,01.45Z,10,42.933333,2.183333
11260,01.45Z,10,42.933333,2.216667
11260,01.45Z,10,42.916667,2.2
11260,77.12,5,42.933333,2.116667
11260,77.12,5,42.933333,2.15
11260,77.12,5,42.933333,2.183333
11260,77.12,5,42.933333,2.216667
11260,77.12,5,42.916667,2.2
