codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
11270,70.3A,15,43.15,1.933333
11270,70.3A,15,43.116667,1.95
11270,70.3A,15,"",""
11270,70.3A,15,43.183333,1.916667
11270,70.3A,15,43.15,1.933333
11270,70.3A,15,43.15,1.966667
11270,70.3A,15,43.233333,1.983333
11270,70.3A,15,43.183333,2.066667
11270,70.3A,15,43.2,2.1
11270,70.3A,15,43.2,2
11270,70.3A,15,43.216667,1.933333
11270,70.3A,15,43.2,1.883333
11270,70.3A,15,43.2,2.05
11270,70.3A,15,43.2,1.95
11270,70.3A,15,43.166667,2.066667
11270,55.3A,60,43.15,1.933333
11270,55.3A,60,43.116667,1.95
11270,55.3A,60,"",""
11270,55.3A,60,43.183333,1.916667
11270,55.3A,60,43.15,1.933333
11270,55.3A,60,43.15,1.966667
11270,55.3A,60,43.233333,1.983333
11270,55.3A,60,43.183333,2.066667
11270,55.3A,60,43.2,2.1
11270,55.3A,60,43.2,2
11270,55.3A,60,43.216667,1.933333
11270,55.3A,60,43.2,1.883333
11270,55.3A,60,43.2,2.05
11270,55.3A,60,43.2,1.95
11270,55.3A,60,43.166667,2.066667
11270,01.11Z,30,43.15,1.933333
11270,01.11Z,30,43.116667,1.95
11270,01.11Z,30,"",""
11270,01.11Z,30,43.183333,1.916667
11270,01.11Z,30,43.15,1.933333
11270,01.11Z,30,43.15,1.966667
11270,01.11Z,30,43.233333,1.983333
11270,01.11Z,30,43.183333,2.066667
11270,01.11Z,30,43.2,2.1
11270,01.11Z,30,43.2,2
11270,01.11Z,30,43.216667,1.933333
11270,01.11Z,30,43.2,1.883333
11270,01.11Z,30,43.2,2.05
11270,01.11Z,30,43.2,1.95
11270,01.11Z,30,43.166667,2.066667
11270,68.20A,30,43.15,1.933333
11270,68.20A,30,43.116667,1.95
11270,68.20A,30,"",""
11270,68.20A,30,43.183333,1.916667
11270,68.20A,30,43.15,1.933333
11270,68.20A,30,43.15,1.966667
11270,68.20A,30,43.233333,1.983333
11270,68.20A,30,43.183333,2.066667
11270,68.20A,30,43.2,2.1
11270,68.20A,30,43.2,2
11270,68.20A,30,43.216667,1.933333
11270,68.20A,30,43.2,1.883333
11270,68.20A,30,43.2,2.05
11270,68.20A,30,43.2,1.95
11270,68.20A,30,43.166667,2.066667
11270,56.30Z,15,43.15,1.933333
11270,56.30Z,15,43.116667,1.95
11270,56.30Z,15,"",""
11270,56.30Z,15,43.183333,1.916667
11270,56.30Z,15,43.15,1.933333
11270,56.30Z,15,43.15,1.966667
11270,56.30Z,15,43.233333,1.983333
11270,56.30Z,15,43.183333,2.066667
11270,56.30Z,15,43.2,2.1
11270,56.30Z,15,43.2,2
11270,56.30Z,15,43.216667,1.933333
11270,56.30Z,15,43.2,1.883333
11270,56.30Z,15,43.2,2.05
11270,56.30Z,15,43.2,1.95
11270,56.30Z,15,43.166667,2.066667
11270,21.08,15,43.15,1.933333
11270,21.08,15,43.116667,1.95
11270,21.08,15,"",""
11270,21.08,15,43.183333,1.916667
11270,21.08,15,43.15,1.933333
11270,21.08,15,43.15,1.966667
11270,21.08,15,43.233333,1.983333
11270,21.08,15,43.183333,2.066667
11270,21.08,15,43.2,2.1
11270,21.08,15,43.2,2
11270,21.08,15,43.216667,1.933333
11270,21.08,15,43.2,1.883333
11270,21.08,15,43.2,2.05
11270,21.08,15,43.2,1.95
11270,21.08,15,43.166667,2.066667
11270,62.11,15,43.15,1.933333
11270,62.11,15,43.116667,1.95
11270,62.11,15,"",""
11270,62.11,15,43.183333,1.916667
11270,62.11,15,43.15,1.933333
11270,62.11,15,43.15,1.966667
11270,62.11,15,43.233333,1.983333
11270,62.11,15,43.183333,2.066667
11270,62.11,15,43.2,2.1
11270,62.11,15,43.2,2
11270,62.11,15,43.216667,1.933333
11270,62.11,15,43.2,1.883333
11270,62.11,15,43.2,2.05
11270,62.11,15,43.2,1.95
11270,62.11,15,43.166667,2.066667
11270,13.30Z,15,43.15,1.933333
11270,13.30Z,15,43.116667,1.95
11270,13.30Z,15,"",""
11270,13.30Z,15,43.183333,1.916667
11270,13.30Z,15,43.15,1.933333
11270,13.30Z,15,43.15,1.966667
11270,13.30Z,15,43.233333,1.983333
11270,13.30Z,15,43.183333,2.066667
11270,13.30Z,15,43.2,2.1
11270,13.30Z,15,43.2,2
11270,13.30Z,15,43.216667,1.933333
11270,13.30Z,15,43.2,1.883333
11270,13.30Z,15,43.2,2.05
11270,13.30Z,15,43.2,1.95
11270,13.30Z,15,43.166667,2.066667
11270,79.02,15,43.15,1.933333
11270,79.02,15,43.116667,1.95
11270,79.02,15,"",""
11270,79.02,15,43.183333,1.916667
11270,79.02,15,43.15,1.933333
11270,79.02,15,43.15,1.966667
11270,79.02,15,43.233333,1.983333
11270,79.02,15,43.183333,2.066667
11270,79.02,15,43.2,2.1
11270,79.02,15,43.2,2
11270,79.02,15,43.216667,1.933333
11270,79.02,15,43.2,1.883333
11270,79.02,15,43.2,2.05
11270,79.02,15,43.2,1.95
11270,79.02,15,43.166667,2.066667
11270,90.01Z,30,43.15,1.933333
11270,90.01Z,30,43.116667,1.95
11270,90.01Z,30,"",""
11270,90.01Z,30,43.183333,1.916667
11270,90.01Z,30,43.15,1.933333
11270,90.01Z,30,43.15,1.966667
11270,90.01Z,30,43.233333,1.983333
11270,90.01Z,30,43.183333,2.066667
11270,90.01Z,30,43.2,2.1
11270,90.01Z,30,43.2,2
11270,90.01Z,30,43.216667,1.933333
11270,90.01Z,30,43.2,1.883333
11270,90.01Z,30,43.2,2.05
11270,90.01Z,30,43.2,1.95
11270,90.01Z,30,43.166667,2.066667
11270,47.82Z,15,43.15,1.933333
11270,47.82Z,15,43.116667,1.95
11270,47.82Z,15,"",""
11270,47.82Z,15,43.183333,1.916667
11270,47.82Z,15,43.15,1.933333
11270,47.82Z,15,43.15,1.966667
11270,47.82Z,15,43.233333,1.983333
11270,47.82Z,15,43.183333,2.066667
11270,47.82Z,15,43.2,2.1
11270,47.82Z,15,43.2,2
11270,47.82Z,15,43.216667,1.933333
11270,47.82Z,15,43.2,1.883333
11270,47.82Z,15,43.2,2.05
11270,47.82Z,15,43.2,1.95
11270,47.82Z,15,43.166667,2.066667
11270,15.9G,15,43.15,1.933333
11270,15.9G,15,43.116667,1.95
11270,15.9G,15,"",""
11270,15.9G,15,43.183333,1.916667
11270,15.9G,15,43.15,1.933333
11270,15.9G,15,43.15,1.966667
11270,15.9G,15,43.233333,1.983333
11270,15.9G,15,43.183333,2.066667
11270,15.9G,15,43.2,2.1
11270,15.9G,15,43.2,2
11270,15.9G,15,43.216667,1.933333
11270,15.9G,15,43.2,1.883333
11270,15.9G,15,43.2,2.05
11270,15.9G,15,43.2,1.95
11270,15.9G,15,43.166667,2.066667
11270,06.01,75,43.15,1.933333
11270,06.01,75,43.116667,1.95
11270,06.01,75,"",""
11270,06.01,75,43.183333,1.916667
11270,06.01,75,43.15,1.933333
11270,06.01,75,43.15,1.966667
11270,06.01,75,43.233333,1.983333
11270,06.01,75,43.183333,2.066667
11270,06.01,75,43.2,2.1
11270,06.01,75,43.2,2
11270,06.01,75,43.216667,1.933333
11270,06.01,75,43.2,1.883333
11270,06.01,75,43.2,2.05
11270,06.01,75,43.2,1.95
11270,06.01,75,43.166667,2.066667
11270,84.11Z,45,43.15,1.933333
11270,84.11Z,45,43.116667,1.95
11270,84.11Z,45,"",""
11270,84.11Z,45,43.183333,1.916667
11270,84.11Z,45,43.15,1.933333
11270,84.11Z,45,43.15,1.966667
11270,84.11Z,45,43.233333,1.983333
11270,84.11Z,45,43.183333,2.066667
11270,84.11Z,45,43.2,2.1
11270,84.11Z,45,43.2,2
11270,84.11Z,45,43.216667,1.933333
11270,84.11Z,45,43.2,1.883333
11270,84.11Z,45,43.2,2.05
11270,84.11Z,45,43.2,1.95
11270,84.11Z,45,43.166667,2.066667
11270,01.21Z,330,43.15,1.933333
11270,01.21Z,330,43.116667,1.95
11270,01.21Z,330,"",""
11270,01.21Z,330,43.183333,1.916667
11270,01.21Z,330,43.15,1.933333
11270,01.21Z,330,43.15,1.966667
11270,01.21Z,330,43.233333,1.983333
11270,01.21Z,330,43.183333,2.066667
11270,01.21Z,330,43.2,2.1
11270,01.21Z,330,43.2,2
11270,01.21Z,330,43.216667,1.933333
11270,01.21Z,330,43.2,1.883333
11270,01.21Z,330,43.2,2.05
11270,01.21Z,330,43.2,1.95
11270,01.21Z,330,43.166667,2.066667
11270,01.3Z,45,43.15,1.933333
11270,01.3Z,45,43.116667,1.95
11270,01.3Z,45,"",""
11270,01.3Z,45,43.183333,1.916667
11270,01.3Z,45,43.15,1.933333
11270,01.3Z,45,43.15,1.966667
11270,01.3Z,45,43.233333,1.983333
11270,01.3Z,45,43.183333,2.066667
11270,01.3Z,45,43.2,2.1
11270,01.3Z,45,43.2,2
11270,01.3Z,45,43.216667,1.933333
11270,01.3Z,45,43.2,1.883333
11270,01.3Z,45,43.2,2.05
11270,01.3Z,45,43.2,1.95
11270,01.3Z,45,43.166667,2.066667
11270,43.39Z,15,43.15,1.933333
11270,43.39Z,15,43.116667,1.95
11270,43.39Z,15,"",""
11270,43.39Z,15,43.183333,1.916667
11270,43.39Z,15,43.15,1.933333
11270,43.39Z,15,43.15,1.966667
11270,43.39Z,15,43.233333,1.983333
11270,43.39Z,15,43.183333,2.066667
11270,43.39Z,15,43.2,2.1
11270,43.39Z,15,43.2,2
11270,43.39Z,15,43.216667,1.933333
11270,43.39Z,15,43.2,1.883333
11270,43.39Z,15,43.2,2.05
11270,43.39Z,15,43.2,1.95
11270,43.39Z,15,43.166667,2.066667
11270,11.02B,15,43.15,1.933333
11270,11.02B,15,43.116667,1.95
11270,11.02B,15,"",""
11270,11.02B,15,43.183333,1.916667
11270,11.02B,15,43.15,1.933333
11270,11.02B,15,43.15,1.966667
11270,11.02B,15,43.233333,1.983333
11270,11.02B,15,43.183333,2.066667
11270,11.02B,15,43.2,2.1
11270,11.02B,15,43.2,2
11270,11.02B,15,43.216667,1.933333
11270,11.02B,15,43.2,1.883333
11270,11.02B,15,43.2,2.05
11270,11.02B,15,43.2,1.95
11270,11.02B,15,43.166667,2.066667
11270,47.11B,45,43.15,1.933333
11270,47.11B,45,43.116667,1.95
11270,47.11B,45,"",""
11270,47.11B,45,43.183333,1.916667
11270,47.11B,45,43.15,1.933333
11270,47.11B,45,43.15,1.966667
11270,47.11B,45,43.233333,1.983333
11270,47.11B,45,43.183333,2.066667
11270,47.11B,45,43.2,2.1
11270,47.11B,45,43.2,2
11270,47.11B,45,43.216667,1.933333
11270,47.11B,45,43.2,1.883333
11270,47.11B,45,43.2,2.05
11270,47.11B,45,43.2,1.95
11270,47.11B,45,43.166667,2.066667
11270,74.1J,45,43.15,1.933333
11270,74.1J,45,43.116667,1.95
11270,74.1J,45,"",""
11270,74.1J,45,43.183333,1.916667
11270,74.1J,45,43.15,1.933333
11270,74.1J,45,43.15,1.966667
11270,74.1J,45,43.233333,1.983333
11270,74.1J,45,43.183333,2.066667
11270,74.1J,45,43.2,2.1
11270,74.1J,45,43.2,2
11270,74.1J,45,43.216667,1.933333
11270,74.1J,45,43.2,1.883333
11270,74.1J,45,43.2,2.05
11270,74.1J,45,43.2,1.95
11270,74.1J,45,43.166667,2.066667
11270,86.90D,15,43.15,1.933333
11270,86.90D,15,43.116667,1.95
11270,86.90D,15,"",""
11270,86.90D,15,43.183333,1.916667
11270,86.90D,15,43.15,1.933333
11270,86.90D,15,43.15,1.966667
11270,86.90D,15,43.233333,1.983333
11270,86.90D,15,43.183333,2.066667
11270,86.90D,15,43.2,2.1
11270,86.90D,15,43.2,2
11270,86.90D,15,43.216667,1.933333
11270,86.90D,15,43.2,1.883333
11270,86.90D,15,43.2,2.05
11270,86.90D,15,43.2,1.95
11270,86.90D,15,43.166667,2.066667
11270,70.1C,30,43.15,1.933333
11270,70.1C,30,43.116667,1.95
11270,70.1C,30,"",""
11270,70.1C,30,43.183333,1.916667
11270,70.1C,30,43.15,1.933333
11270,70.1C,30,43.15,1.966667
11270,70.1C,30,43.233333,1.983333
11270,70.1C,30,43.183333,2.066667
11270,70.1C,30,43.2,2.1
11270,70.1C,30,43.2,2
11270,70.1C,30,43.216667,1.933333
11270,70.1C,30,43.2,1.883333
11270,70.1C,30,43.2,2.05
11270,70.1C,30,43.2,1.95
11270,70.1C,30,43.166667,2.066667
11270,94.99Z,15,43.15,1.933333
11270,94.99Z,15,43.116667,1.95
11270,94.99Z,15,"",""
11270,94.99Z,15,43.183333,1.916667
11270,94.99Z,15,43.15,1.933333
11270,94.99Z,15,43.15,1.966667
11270,94.99Z,15,43.233333,1.983333
11270,94.99Z,15,43.183333,2.066667
11270,94.99Z,15,43.2,2.1
11270,94.99Z,15,43.2,2
11270,94.99Z,15,43.216667,1.933333
11270,94.99Z,15,43.2,1.883333
11270,94.99Z,15,43.2,2.05
11270,94.99Z,15,43.2,1.95
11270,94.99Z,15,43.166667,2.066667
11270,01.1G,120,43.15,1.933333
11270,01.1G,120,43.116667,1.95
11270,01.1G,120,"",""
11270,01.1G,120,43.183333,1.916667
11270,01.1G,120,43.15,1.933333
11270,01.1G,120,43.15,1.966667
11270,01.1G,120,43.233333,1.983333
11270,01.1G,120,43.183333,2.066667
11270,01.1G,120,43.2,2.1
11270,01.1G,120,43.2,2
11270,01.1G,120,43.216667,1.933333
11270,01.1G,120,43.2,1.883333
11270,01.1G,120,43.2,2.05
11270,01.1G,120,43.2,1.95
11270,01.1G,120,43.166667,2.066667
11270,46.34Z,15,43.15,1.933333
11270,46.34Z,15,43.116667,1.95
11270,46.34Z,15,"",""
11270,46.34Z,15,43.183333,1.916667
11270,46.34Z,15,43.15,1.933333
