codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
11320,47.99A,7,43.383333,1.9
11320,47.99A,7,43.416667,1.883333
11320,47.99A,7,43.4,1.85
11320,47.99A,7,43.366667,1.816667
11320,47.99A,7,43.433333,1.866667
11320,47.99A,7,43.333333,1.866667
11320,47.99A,7,43.366667,1.866667
11320,43.22A,14,43.383333,1.9
11320,43.22A,14,43.416667,1.883333
11320,43.22A,14,43.4,1.85
11320,43.22A,14,43.366667,1.816667
11320,43.22A,14,43.433333,1.866667
11320,43.22A,14,43.333333,1.866667
11320,43.22A,14,43.366667,1.866667
11320,47.79Z,7,43.383333,1.9
11320,47.79Z,7,43.416667,1.883333
11320,47.79Z,7,43.4,1.85
11320,47.79Z,7,43.366667,1.816667
11320,47.79Z,7,43.433333,1.866667
11320,47.79Z,7,43.333333,1.866667
11320,47.79Z,7,43.366667,1.866667
11320,01.11Z,42,43.383333,1.9
11320,01.11Z,42,43.416667,1.883333
11320,01.11Z,42,43.4,1.85
11320,01.11Z,42,43.366667,1.816667
11320,01.11Z,42,43.433333,1.866667
11320,01.11Z,42,43.333333,1.866667
11320,01.11Z,42,43.366667,1.866667
11320,95.29Z,7,43.383333,1.9
11320,95.29Z,7,43.416667,1.883333
11320,95.29Z,7,43.4,1.85
11320,95.29Z,7,43.366667,1.816667
11320,95.29Z,7,43.433333,1.866667
11320,95.29Z,7,43.333333,1.866667
11320,95.29Z,7,43.366667,1.866667
11320,55.60,7,43.383333,1.9
11320,55.60,7,43.416667,1.883333
11320,55.60,7,43.4,1.85
11320,55.60,7,43.366667,1.816667
11320,55.60,7,43.433333,1.866667
11320,55.60,7,43.333333,1.866667
11320,55.60,7,43.366667,1.866667
11320,36.00Z,7,43.383333,1.9
11320,36.00Z,7,43.416667,1.883333
11320,36.00Z,7,43.4,1.85
11320,36.00Z,7,43.366667,1.816667
11320,36.00Z,7,43.433333,1.866667
11320,36.00Z,7,43.333333,1.866667
