codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
11390,47.99A,15,43.433333,2.266667
11390,47.99A,15,43.366667,2.3
11390,47.99A,15,43.35,2.266667
11390,47.99A,15,43.4,2.316667
11390,47.99A,15,43.383333,2.3
11390,58.19Z,5,43.433333,2.266667
11390,58.19Z,5,43.366667,2.3
11390,58.19Z,5,43.35,2.266667
11390,58.19Z,5,43.4,2.316667
11390,58.19Z,5,43.383333,2.3
11390,43.22A,5,43.433333,2.266667
11390,43.22A,5,43.366667,2.3
11390,43.22A,5,43.35,2.266667
11390,43.22A,5,43.4,2.316667
11390,43.22A,5,43.383333,2.3
11390,01.11Z,25,43.433333,2.266667
11390,01.11Z,25,43.366667,2.3
11390,01.11Z,25,43.35,2.266667
11390,01.11Z,25,43.4,2.316667
11390,01.11Z,25,43.383333,2.3
11390,47.79Z,5,43.433333,2.266667
11390,47.79Z,5,43.366667,2.3
11390,47.79Z,5,43.35,2.266667
11390,47.79Z,5,43.4,2.316667
11390,47.79Z,5,43.383333,2.3
11390,65.02,5,43.433333,2.266667
11390,65.02,5,43.366667,2.3
11390,65.02,5,43.35,2.266667
11390,65.02,5,43.4,2.316667
11390,65.02,5,43.383333,2.3
11390,49.41A,5,43.433333,2.266667
11390,49.41A,5,43.366667,2.3
11390,49.41A,5,43.35,2.266667
11390,49.41A,5,43.4,2.316667
11390,49.41A,5,43.383333,2.3
11390,52.4Z,5,43.433333,2.266667
11390,52.4Z,5,43.366667,2.3
11390,52.4Z,5,43.35,2.266667
11390,52.4Z,5,43.4,2.316667
11390,52.4Z,5,43.383333,2.3
11390,95.29Z,10,43.433333,2.266667
11390,95.29Z,10,43.366667,2.3
11390,95.29Z,10,43.35,2.266667
11390,95.29Z,10,43.4,2.316667
11390,95.29Z,10,43.383333,2.3
11390,92.3A,5,43.433333,2.266667
11390,92.3A,5,43.366667,2.3
11390,92.3A,5,43.35,2.266667
11390,92.3A,5,43.4,2.316667
11390,92.3A,5,43.383333,2.3
11390,68.20A,20,43.433333,2.266667
11390,68.20A,20,43.366667,2.3
11390,68.20A,20,43.35,2.266667
11390,68.20A,20,43.4,2.316667
11390,68.20A,20,43.383333,2.3
11390,56.30Z,15,43.433333,2.266667
11390,56.30Z,15,43.366667,2.3
11390,56.30Z,15,43.35,2.266667
11390,56.30Z,15,43.4,2.316667
11390,56.30Z,15,43.383333,2.3
11390,95.11Z,5,43.433333,2.266667
11390,95.11Z,5,43.366667,2.3
11390,95.11Z,5,43.35,2.266667
11390,95.11Z,5,43.4,2.316667
11390,95.11Z,5,43.383333,2.3
11390,56.21Z,5,43.433333,2.266667
11390,56.21Z,5,43.366667,2.3
11390,56.21Z,5,43.35,2.266667
11390,56.21Z,5,43.4,2.316667
11390,56.21Z,5,43.383333,2.3
11390,62.11,5,43.433333,2.266667
11390,62.11,5,43.366667,2.3
11390,62.11,5,43.35,2.266667
11390,62.11,5,43.4,2.316667
11390,62.11,5,43.383333,2.3
11390,01.47Z,5,43.433333,2.266667
11390,01.47Z,5,43.366667,2.3
11390,01.47Z,5,43.35,2.266667
11390,01.47Z,5,43.4,2.316667
11390,01.47Z,5,43.383333,2.3
11390,43.34Z,10,43.433333,2.266667
11390,43.34Z,10,43.366667,2.3
11390,43.34Z,10,43.35,2.266667
11390,43.34Z,10,43.4,2.316667
11390,43.34Z,10,43.383333,2.3
11390,93.19Z,5,43.433333,2.266667
11390,93.19Z,5,43.366667,2.3
11390,93.19Z,5,43.35,2.266667
11390,93.19Z,5,43.4,2.316667
11390,93.19Z,5,43.383333,2.3
11390,90.01Z,10,43.433333,2.266667
11390,90.01Z,10,43.366667,2.3
11390,90.01Z,10,43.35,2.266667
11390,90.01Z,10,43.4,2.316667
11390,90.01Z,10,43.383333,2.3
11390,47.82Z,5,43.433333,2.266667
11390,47.82Z,5,43.366667,2.3
11390,47.82Z,5,43.35,2.266667
11390,47.82Z,5,43.4,2.316667
11390,47.82Z,5,43.383333,2.3
11390,56.10C,25,43.433333,2.266667
11390,56.10C,25,43.366667,2.3
11390,56.10C,25,43.35,2.266667
11390,56.10C,25,43.4,2.316667
11390,56.10C,25,43.383333,2.3
11390,52.4R,5,43.433333,2.266667
11390,52.4R,5,43.366667,2.3
11390,52.4R,5,43.35,2.266667
11390,52.4R,5,43.4,2.316667
11390,52.4R,5,43.383333,2.3
11390,10.32Z,5,43.433333,2.266667
11390,10.32Z,5,43.366667,2.3
11390,10.32Z,5,43.35,2.266667
11390,10.32Z,5,43.4,2.316667
11390,10.32Z,5,43.383333,2.3
11390,81.30Z,15,43.433333,2.266667
11390,81.30Z,15,43.366667,2.3
11390,81.30Z,15,43.35,2.266667
11390,81.30Z,15,43.4,2.316667
11390,81.30Z,15,43.383333,2.3
11390,84.11Z,60,43.433333,2.266667
11390,84.11Z,60,43.366667,2.3
11390,84.11Z,60,43.35,2.266667
11390,84.11Z,60,43.4,2.316667
11390,84.11Z,60,43.383333,2.3
11390,64.42,5,43.433333,2.266667
11390,64.42,5,43.366667,2.3
11390,64.42,5,43.35,2.266667
11390,64.42,5,43.4,2.316667
11390,64.42,5,43.383333,2.3
11390,77.08,5,43.433333,2.266667
11390,77.08,5,43.366667,2.3
11390,77.08,5,43.35,2.266667
11390,77.08,5,43.4,2.316667
11390,77.08,5,43.383333,2.3
11390,01.21Z,525,43.433333,2.266667
11390,01.21Z,525,43.366667,2.3
11390,01.21Z,525,43.35,2.266667
11390,01.21Z,525,43.4,2.316667
11390,01.21Z,525,43.383333,2.3
11390,01.3Z,25,43.433333,2.266667
11390,01.3Z,25,43.366667,2.3
11390,01.3Z,25,43.35,2.266667
11390,01.3Z,25,43.4,2.316667
11390,01.3Z,25,43.383333,2.3
11390,43.39Z,5,43.433333,2.266667
11390,43.39Z,5,43.366667,2.3
11390,43.39Z,5,43.35,2.266667
11390,43.39Z,5,43.4,2.316667
11390,43.39Z,5,43.383333,2.3
11390,55.20Z,10,43.433333,2.266667
11390,55.20Z,10,43.366667,2.3
11390,55.20Z,10,43.35,2.266667
11390,55.20Z,10,43.4,2.316667
11390,55.20Z,10,43.383333,2.3
11390,93.12Z,15,43.433333,2.266667
11390,93.12Z,15,43.366667,2.3
11390,93.12Z,15,43.35,2.266667
11390,93.12Z,15,43.4,2.316667
11390,93.12Z,15,43.383333,2.3
11390,11.02B,5,43.433333,2.266667
11390,11.02B,5,43.366667,2.3
11390,11.02B,5,43.35,2.266667
11390,11.02B,5,43.4,2.316667
11390,11.02B,5,43.383333,2.3
11390,25.62B,15,43.433333,2.266667
11390,25.62B,15,43.366667,2.3
11390,25.62B,15,43.35,2.266667
11390,25.62B,15,43.4,2.316667
11390,25.62B,15,43.383333,2.3
11390,67.09,5,43.433333,2.266667
11390,67.09,5,43.366667,2.3
11390,67.09,5,43.35,2.266667
11390,67.09,5,43.4,2.316667
11390,67.09,5,43.383333,2.3
11390,74.30Z,10,43.433333,2.266667
11390,74.30Z,10,43.366667,2.3
11390,74.30Z,10,43.35,2.266667
11390,74.30Z,10,43.4,2.316667
11390,74.30Z,10,43.383333,2.3
11390,47.11B,20,43.433333,2.266667
11390,47.11B,20,43.366667,2.3
11390,47.11B,20,43.35,2.266667
11390,47.11B,20,43.4,2.316667
11390,47.11B,20,43.383333,2.3
11390,01.24Z,5,43.433333,2.266667
11390,01.24Z,5,43.366667,2.3
11390,01.24Z,5,43.35,2.266667
11390,01.24Z,5,43.4,2.316667
11390,01.24Z,5,43.383333,2.3
11390,55.4B,10,43.433333,2.266667
11390,55.4B,10,43.366667,2.3
11390,55.4B,10,43.35,2.266667
11390,55.4B,10,43.4,2.316667
11390,55.4B,10,43.383333,2.3
11390,52.6E,10,43.433333,2.266667
11390,52.6E,10,43.366667,2.3
11390,52.6E,10,43.35,2.266667
11390,52.6E,10,43.4,2.316667
11390,52.6E,10,43.383333,2.3
11390,56.10A,20,43.433333,2.266667
11390,56.10A,20,43.366667,2.3
11390,56.10A,20,43.35,2.266667
11390,56.10A,20,43.4,2.316667
11390,56.10A,20,43.383333,2.3
11390,86.90D,25,43.433333,2.266667
11390,86.90D,25,43.366667,2.3
11390,86.90D,25,43.35,2.266667
11390,86.90D,25,43.4,2.316667
11390,86.90D,25,43.383333,2.3
11390,96.02A,10,43.433333,2.266667
11390,96.02A,10,43.366667,2.3
11390,96.02A,10,43.35,2.266667
11390,96.02A,10,43.4,2.316667
11390,96.02A,10,43.383333,2.3
11390,46.19B,10,43.433333,2.266667
11390,46.19B,10,43.366667,2.3
11390,46.19B,10,43.35,2.266667
11390,46.19B,10,43.4,2.316667
11390,46.19B,10,43.383333,2.3
11390,43.91B,5,43.433333,2.266667
11390,43.91B,5,43.366667,2.3
11390,43.91B,5,43.35,2.266667
11390,43.91B,5,43.4,2.316667
11390,43.91B,5,43.383333,2.3
11390,94.99Z,55,43.433333,2.266667
11390,94.99Z,55,43.366667,2.3
11390,94.99Z,55,43.35,2.266667
11390,94.99Z,55,43.4,2.316667
11390,94.99Z,55,43.383333,2.3
11390,86.22C,5,43.433333,2.266667
11390,86.22C,5,43.366667,2.3
11390,86.22C,5,43.35,2.266667
11390,86.22C,5,43.4,2.316667
11390,86.22C,5,43.383333,2.3
11390,67.01,10,43.433333,2.266667
11390,67.01,10,43.366667,2.3
11390,67.01,10,43.35,2.266667
11390,67.01,10,43.4,2.316667
11390,67.01,10,43.383333,2.3
11390,00.00Z,5,43.433333,2.266667
11390,00.00Z,5,43.366667,2.3
11390,00.00Z,5,43.35,2.266667
11390,00.00Z,5,43.4,2.316667
11390,00.00Z,5,43.383333,2.3
11390,01.1G,155,43.433333,2.266667
11390,01.1G,155,43.366667,2.3
11390,01.1G,155,43.35,2.266667
11390,01.1G,155,43.4,2.316667
11390,01.1G,155,43.383333,2.3
11390,46.34Z,5,43.433333,2.266667
11390,46.34Z,5,43.366667,2.3
11390,46.34Z,5,43.35,2.266667
11390,46.34Z,5,43.4,2.316667
11390,46.34Z,5,43.383333,2.3
11390,62.43,10,43.433333,2.266667
11390,62.43,10,43.366667,2.3
11390,62.43,10,43.35,2.266667
11390,62.43,10,43.4,2.316667
11390,62.43,10,43.383333,2.3
11390,55.73,5,43.433333,2.266667
11390,55.73,5,43.366667,2.3
