codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
12220,47.99A,16,44.45,2.2
12220,47.99A,16,44.5,2.216667
12220,47.99A,16,44.45,2.25
12220,47.99A,16,44.5,2.133333
12220,47.99A,16,44.483333,2.233333
12220,47.99A,16,"",""
12220,47.99A,16,44.55,2.166667
12220,47.99A,16,44.516667,2.183333
12220,55.3A,24,44.45,2.2
12220,55.3A,24,44.5,2.216667
12220,55.3A,24,44.45,2.25
12220,55.3A,24,44.5,2.133333
12220,55.3A,24,44.483333,2.233333
12220,55.3A,24,"",""
12220,55.3A,24,44.55,2.166667
12220,55.3A,24,44.516667,2.183333
12220,01.44Z,8,44.45,2.2
12220,01.44Z,8,44.5,2.216667
12220,01.44Z,8,44.45,2.25
12220,01.44Z,8,44.5,2.133333
12220,01.44Z,8,44.483333,2.233333
12220,01.44Z,8,"",""
12220,01.44Z,8,44.55,2.166667
12220,01.44Z,8,44.516667,2.183333
12220,14.39Z,8,44.45,2.2
12220,14.39Z,8,44.5,2.216667
12220,14.39Z,8,44.45,2.25
12220,14.39Z,8,44.5,2.133333
12220,14.39Z,8,44.483333,2.233333
12220,14.39Z,8,"",""
12220,14.39Z,8,44.55,2.166667
12220,14.39Z,8,44.516667,2.183333
12220,68.20A,16,44.45,2.2
12220,68.20A,16,44.5,2.216667
12220,68.20A,16,44.45,2.25
12220,68.20A,16,44.5,2.133333
12220,68.20A,16,44.483333,2.233333
12220,68.20A,16,"",""
12220,68.20A,16,44.55,2.166667
12220,68.20A,16,44.516667,2.183333
12220,62.11,8,44.45,2.2
12220,62.11,8,44.5,2.216667
12220,62.11,8,44.45,2.25
12220,62.11,8,44.5,2.133333
12220,62.11,8,44.483333,2.233333
12220,62.11,8,"",""
12220,62.11,8,44.55,2.166667
12220,62.11,8,44.516667,2.183333
12220,11.07B,8,44.45,2.2
12220,11.07B,8,44.5,2.216667
12220,11.07B,8,44.45,2.25
12220,11.07B,8,44.5,2.133333
12220,11.07B,8,44.483333,2.233333
12220,11.07B,8,"",""
12220,11.07B,8,44.55,2.166667
12220,11.07B,8,44.516667,2.183333
12220,93.19Z,8,44.45,2.2
12220,93.19Z,8,44.5,2.216667
12220,93.19Z,8,44.45,2.25
12220,93.19Z,8,44.5,2.133333
12220,93.19Z,8,44.483333,2.233333
12220,93.19Z,8,"",""
12220,93.19Z,8,44.55,2.166667
12220,93.19Z,8,44.516667,2.183333
12220,90.01Z,64,44.45,2.2
12220,90.01Z,64,44.5,2.216667
12220,90.01Z,64,44.45,2.25
12220,90.01Z,64,44.5,2.133333
12220,90.01Z,64,44.483333,2.233333
12220,90.01Z,64,"",""
12220,90.01Z,64,44.55,2.166667
12220,90.01Z,64,44.516667,2.183333
12220,01.43Z,16,44.45,2.2
12220,01.43Z,16,44.5,2.216667
12220,01.43Z,16,44.45,2.25
12220,01.43Z,16,44.5,2.133333
12220,01.43Z,16,44.483333,2.233333
12220,01.43Z,16,"",""
12220,01.43Z,16,44.55,2.166667
12220,01.43Z,16,44.516667,2.183333
12220,74.10Z,8,44.45,2.2
12220,74.10Z,8,44.5,2.216667
12220,74.10Z,8,44.45,2.25
12220,74.10Z,8,44.5,2.133333
12220,74.10Z,8,44.483333,2.233333
12220,74.10Z,8,"",""
12220,74.10Z,8,44.55,2.166667
12220,74.10Z,8,44.516667,2.183333
12220,56.10C,16,44.45,2.2
12220,56.10C,16,44.5,2.216667
12220,56.10C,16,44.45,2.25
12220,56.10C,16,44.5,2.133333
12220,56.10C,16,44.483333,2.233333
12220,56.10C,16,"",""
12220,56.10C,16,44.55,2.166667
12220,56.10C,16,44.516667,2.183333
12220,82.11Z,16,44.45,2.2
12220,82.11Z,16,44.5,2.216667
12220,82.11Z,16,44.45,2.25
12220,82.11Z,16,44.5,2.133333
12220,82.11Z,16,44.483333,2.233333
12220,82.11Z,16,"",""
12220,82.11Z,16,44.55,2.166667
12220,82.11Z,16,44.516667,2.183333
12220,43.91A,8,44.45,2.2
12220,43.91A,8,44.5,2.216667
12220,43.91A,8,44.45,2.25
12220,43.91A,8,44.5,2.133333
12220,43.91A,8,44.483333,2.233333
12220,43.91A,8,"",""
12220,43.91A,8,44.55,2.166667
12220,43.91A,8,44.516667,2.183333
12220,81.30Z,8,44.45,2.2
12220,81.30Z,8,44.5,2.216667
12220,81.30Z,8,44.45,2.25
12220,81.30Z,8,44.5,2.133333
12220,81.30Z,8,44.483333,2.233333
12220,81.30Z,8,"",""
12220,81.30Z,8,44.55,2.166667
12220,81.30Z,8,44.516667,2.183333
12220,84.11Z,24,44.45,2.2
12220,84.11Z,24,44.5,2.216667
12220,84.11Z,24,44.45,2.25
12220,84.11Z,24,44.5,2.133333
12220,84.11Z,24,44.483333,2.233333
12220,84.11Z,24,"",""
12220,84.11Z,24,44.55,2.166667
12220,84.11Z,24,44.516667,2.183333
12220,20.42Z,8,44.45,2.2
12220,20.42Z,8,44.5,2.216667
12220,20.42Z,8,44.45,2.25
12220,20.42Z,8,44.5,2.133333
12220,20.42Z,8,44.483333,2.233333
12220,20.42Z,8,"",""
12220,20.42Z,8,44.55,2.166667
12220,20.42Z,8,44.516667,2.183333
12220,70.2B,24,44.45,2.2
12220,70.2B,24,44.5,2.216667
12220,70.2B,24,44.45,2.25
