codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
14430,55.3A,18,49.166667,-0.016667
14430,55.3A,18,49.233333,-0.033333
14430,55.3A,18,49.216667,-0.016667
14430,55.3A,18,49.216667,-0.066667
14430,55.3A,18,49.166667,-0.05
14430,55.3A,18,49.266667,-
14430,55.3A,18,49.216667,-0.1
14430,55.3A,18,49.2,-
14430,55.3A,18,49.233333,-0.05
14430,55.3A,18,49.266667,-0.016667
14430,55.3A,18,49.25,0.016667
14430,55.3A,18,49.233333,-0.066667
14430,55.3A,18,49.233333,0.033333
14430,55.3A,18,49.266667,0.033333
14430,55.3A,18,49.266667,0.05
14430,55.3A,18,49.183333,-0.05
14430,55.3A,18,49.25,0.066667
14430,55.3A,18,49.25,-0.033333
14430,01.11Z,126,49.166667,-0.016667
14430,01.11Z,126,49.233333,-0.033333
14430,01.11Z,126,49.216667,-0.016667
14430,01.11Z,126,49.216667,-0.066667
14430,01.11Z,126,49.166667,-0.05
14430,01.11Z,126,49.266667,-
14430,01.11Z,126,49.216667,-0.1
14430,01.11Z,126,49.2,-
14430,01.11Z,126,49.233333,-0.05
14430,01.11Z,126,49.266667,-0.016667
14430,01.11Z,126,49.25,0.016667
14430,01.11Z,126,49.233333,-0.066667
14430,01.11Z,126,49.233333,0.033333
14430,01.11Z,126,49.266667,0.033333
14430,01.11Z,126,49.266667,0.05
14430,01.11Z,126,49.183333,-0.05
14430,01.11Z,126,49.25,0.066667
14430,01.11Z,126,49.25,-0.033333
14430,68.20A,72,49.166667,-0.016667
14430,68.20A,72,49.233333,-0.033333
14430,68.20A,72,49.216667,-0.016667
14430,68.20A,72,49.216667,-0.066667
14430,68.20A,72,49.166667,-0.05
14430,68.20A,72,49.266667,-
14430,68.20A,72,49.216667,-0.1
14430,68.20A,72,49.2,-
14430,68.20A,72,49.233333,-0.05
14430,68.20A,72,49.266667,-0.016667
14430,68.20A,72,49.25,0.016667
14430,68.20A,72,49.233333,-0.066667
14430,68.20A,72,49.233333,0.033333
14430,68.20A,72,49.266667,0.033333
14430,68.20A,72,49.266667,0.05
14430,68.20A,72,49.183333,-0.05
14430,68.20A,72,49.25,0.066667
14430,68.20A,72,49.25,-0.033333
14430,82.11Z,36,49.166667,-0.016667
14430,82.11Z,36,49.233333,-0.033333
14430,82.11Z,36,49.216667,-0.016667
14430,82.11Z,36,49.216667,-0.066667
14430,82.11Z,36,49.166667,-0.05
14430,82.11Z,36,49.266667,-
14430,82.11Z,36,49.216667,-0.1
14430,82.11Z,36,49.2,-
14430,82.11Z,36,49.233333,-0.05
14430,82.11Z,36,49.266667,-0.016667
14430,82.11Z,36,49.25,0.016667
14430,82.11Z,36,49.233333,-0.066667
14430,82.11Z,36,49.233333,0.033333
14430,82.11Z,36,49.266667,0.033333
14430,82.11Z,36,49.266667,0.05
14430,82.11Z,36,49.183333,-0.05
14430,82.11Z,36,49.25,0.066667
14430,82.11Z,36,49.25,-0.033333
14430,84.11Z,18,49.166667,-0.016667
14430,84.11Z,18,49.233333,-0.033333
14430,84.11Z,18,49.216667,-0.016667
14430,84.11Z,18,49.216667,-0.066667
14430,84.11Z,18,49.166667,-0.05
14430,84.11Z,18,49.266667,-
14430,84.11Z,18,49.216667,-0.1
14430,84.11Z,18,49.2,-
14430,84.11Z,18,49.233333,-0.05
14430,84.11Z,18,49.266667,-0.016667
14430,84.11Z,18,49.25,0.016667
14430,84.11Z,18,49.233333,-0.066667
14430,84.11Z,18,49.233333,0.033333
14430,84.11Z,18,49.266667,0.033333
14430,84.11Z,18,49.266667,0.05
