codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
14750,55.60,1,49.333333,-0.4
14750,62.11,1,49.333333,-0.4
14750,45.4J,1,49.333333,-0.4
14750,01.07,1,49.333333,-0.4
14750,01.3Z,1,49.333333,-0.4
14750,43.32A,1,49.333333,-0.4
14750,60.07,1,49.333333,-0.4
14750,74.1G,2,49.333333,-0.4
14750,70.1F,1,49.333333,-0.4
14750,52.6E,1,49.333333,-0.4
14750,01.00,1,49.333333,-0.4
14750,86.06,1,49.333333,-0.4
14750,75.1E,1,49.333333,-0.4
14750,70.2C,1,49.333333,-0.4
14750,01.2A,1,49.333333,-0.4
14750,52.5Z,1,49.333333,-0.4
14750,01.1A,1,49.333333,-0.4
14750,29.22,1,49.333333,-0.4
14750,67.1C,1,49.333333,-0.4
