codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
15120,47.99A,99,44.633333,2.433333
15120,47.99A,99,44.733333,2.466667
15120,47.99A,99,44.7,2.5
15120,47.99A,99,44.766667,2.533333
15120,47.99A,99,44.716667,2.55
15120,47.99A,99,44.75,2.516667
15120,47.99A,99,"",""
15120,47.99A,99,44.733333,2.483333
15120,47.99A,99,44.7,2.466667
15120,64.11,135,44.633333,2.433333
15120,64.11,135,44.733333,2.466667
15120,64.11,135,44.7,2.5
15120,64.11,135,44.766667,2.533333
15120,64.11,135,44.716667,2.55
15120,64.11,135,44.75,2.516667
15120,64.11,135,"",""
15120,64.11,135,44.733333,2.483333
15120,64.11,135,44.7,2.466667
15120,61.10Z,18,44.633333,2.433333
15120,61.10Z,18,44.733333,2.466667
15120,61.10Z,18,44.7,2.5
15120,61.10Z,18,44.766667,2.533333
15120,61.10Z,18,44.716667,2.55
15120,61.10Z,18,44.75,2.516667
15120,61.10Z,18,"",""
15120,61.10Z,18,44.733333,2.483333
15120,61.10Z,18,44.7,2.466667
15120,87.30A,9,44.633333,2.433333
15120,87.30A,9,44.733333,2.466667
15120,87.30A,9,44.7,2.5
15120,87.30A,9,44.766667,2.533333
15120,87.30A,9,44.716667,2.55
15120,87.30A,9,44.75,2.516667
15120,87.30A,9,"",""
15120,87.30A,9,44.733333,2.483333
15120,87.30A,9,44.7,2.466667
15120,55.3A,126,44.633333,2.433333
15120,55.3A,126,44.733333,2.466667
15120,55.3A,126,44.7,2.5
15120,55.3A,126,44.766667,2.533333
15120,55.3A,126,44.716667,2.55
15120,55.3A,126,44.75,2.516667
15120,55.3A,126,"",""
15120,55.3A,126,44.733333,2.483333
15120,55.3A,126,44.7,2.466667
15120,46.45Z,18,44.633333,2.433333
15120,46.45Z,18,44.733333,2.466667
15120,46.45Z,18,44.7,2.5
15120,46.45Z,18,44.766667,2.533333
15120,46.45Z,18,44.716667,2.55
15120,46.45Z,18,44.75,2.516667
15120,46.45Z,18,"",""
15120,46.45Z,18,44.733333,2.483333
15120,46.45Z,18,44.7,2.466667
15120,65.12Z,36,44.633333,2.433333
15120,65.12Z,36,44.733333,2.466667
15120,65.12Z,36,44.7,2.5
