codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
16190,47.99A,13,45.383333,0.233333
16190,47.99A,13,"",""
16190,47.99A,13,45.383333,0.116667
16190,47.99A,13,45.416667,0.116667
16190,47.99A,13,45.4,0.15
16190,47.99A,13,45.4,-0.016667
16190,47.99A,13,45.416667,0.05
16190,47.99A,13,"",""
16190,47.99A,13,45.383333,0.166667
16190,47.99A,13,45.416667,0.016667
16190,47.99A,13,45.4,0.083333
16190,47.99A,13,"",""
16190,47.99A,13,45.45,0.15
16190,64.11,13,45.383333,0.233333
16190,64.11,13,"",""
16190,64.11,13,45.383333,0.116667
16190,64.11,13,45.416667,0.116667
16190,64.11,13,45.4,0.15
16190,64.11,13,45.4,-0.016667
16190,64.11,13,45.416667,0.05
16190,64.11,13,"",""
16190,64.11,13,45.383333,0.166667
16190,64.11,13,45.416667,0.016667
16190,64.11,13,45.4,0.083333
16190,64.11,13,"",""
16190,64.11,13,45.45,0.15
16190,47.04,13,45.383333,0.233333
16190,47.04,13,"",""
16190,47.04,13,45.383333,0.116667
16190,47.04,13,45.416667,0.116667
16190,47.04,13,45.4,0.15
16190,47.04,13,45.4,-0.016667
16190,47.04,13,45.416667,0.05
16190,47.04,13,"",""
16190,47.04,13,45.383333,0.166667
16190,47.04,13,45.416667,0.016667
16190,47.04,13,45.4,0.083333
16190,47.04,13,"",""
16190,47.04,13,45.45,0.15
16190,93.0D,13,45.383333,0.233333
16190,93.0D,13,"",""
16190,93.0D,13,45.383333,0.116667
16190,93.0D,13,45.416667,0.116667
16190,93.0D,13,45.4,0.15
16190,93.0D,13,45.4,-0.016667
16190,93.0D,13,45.416667,0.05
16190,93.0D,13,"",""
16190,93.0D,13,45.383333,0.166667
16190,93.0D,13,45.416667,0.016667
16190,93.0D,13,45.4,0.083333
16190,93.0D,13,"",""
16190,93.0D,13,45.45,0.15
16190,01.11Z,247,45.383333,0.233333
16190,01.11Z,247,"",""
16190,01.11Z,247,45.383333,0.116667
16190,01.11Z,247,45.416667,0.116667
16190,01.11Z,247,45.4,0.15
16190,01.11Z,247,45.4,-0.016667
16190,01.11Z,247,45.416667,0.05
16190,01.11Z,247,"",""
16190,01.11Z,247,45.383333,0.166667
16190,01.11Z,247,45.416667,0.016667
16190,01.11Z,247,45.4,0.083333
16190,01.11Z,247,"",""
16190,01.11Z,247,45.45,0.15
16190,68.20A,26,45.383333,0.233333
16190,68.20A,26,"",""
16190,68.20A,26,45.383333,0.116667
16190,68.20A,26,45.416667,0.116667
16190,68.20A,26,45.4,0.15
16190,68.20A,26,45.4,-0.016667
16190,68.20A,26,45.416667,0.05
16190,68.20A,26,"",""
16190,68.20A,26,45.383333,0.166667
16190,68.20A,26,45.416667,0.016667
16190,68.20A,26,45.4,0.083333
16190,68.20A,26,"",""
16190,68.20A,26,45.45,0.15
16190,56.30Z,26,45.383333,0.233333
16190,56.30Z,26,"",""
16190,56.30Z,26,45.383333,0.116667
16190,56.30Z,26,45.416667,0.116667
16190,56.30Z,26,45.4,0.15
16190,56.30Z,26,45.4,-0.016667
16190,56.30Z,26,45.416667,0.05
16190,56.30Z,26,"",""
16190,56.30Z,26,45.383333,0.166667
16190,56.30Z,26,45.416667,0.016667
16190,56.30Z,26,45.4,0.083333
16190,56.30Z,26,"",""
16190,56.30Z,26,45.45,0.15
16190,21.08,13,45.383333,0.233333
16190,21.08,13,"",""
16190,21.08,13,45.383333,0.116667
16190,21.08,13,45.416667,0.116667
16190,21.08,13,45.4,0.15
16190,21.08,13,45.4,-0.016667
16190,21.08,13,45.416667,0.05
16190,21.08,13,"",""
16190,21.08,13,45.383333,0.166667
16190,21.08,13,45.416667,0.016667
16190,21.08,13,45.4,0.083333
16190,21.08,13,"",""
16190,21.08,13,45.45,0.15
16190,47.77Z,13,45.383333,0.233333
16190,47.77Z,13,"",""
16190,47.77Z,13,45.383333,0.116667
16190,47.77Z,13,45.416667,0.116667
16190,47.77Z,13,45.4,0.15
16190,47.77Z,13,45.4,-0.016667
16190,47.77Z,13,45.416667,0.05
16190,47.77Z,13,"",""
16190,47.77Z,13,45.383333,0.166667
16190,47.77Z,13,45.416667,0.016667
16190,47.77Z,13,45.4,0.083333
16190,47.77Z,13,"",""
16190,47.77Z,13,45.45,0.15
16190,43.34Z,13,45.383333,0.233333
16190,43.34Z,13,"",""
16190,43.34Z,13,45.383333,0.116667
16190,43.34Z,13,45.416667,0.116667
16190,43.34Z,13,45.4,0.15
16190,43.34Z,13,45.4,-0.016667
16190,43.34Z,13,45.416667,0.05
16190,43.34Z,13,"",""
16190,43.34Z,13,45.383333,0.166667
16190,43.34Z,13,45.416667,0.016667
16190,43.34Z,13,45.4,0.083333
16190,43.34Z,13,"",""
16190,43.34Z,13,45.45,0.15
16190,81.30Z,13,45.383333,0.233333
16190,81.30Z,13,"",""
16190,81.30Z,13,45.383333,0.116667
16190,81.30Z,13,45.416667,0.116667
16190,81.30Z,13,45.4,0.15
16190,81.30Z,13,45.4,-0.016667
16190,81.30Z,13,45.416667,0.05
16190,81.30Z,13,"",""
16190,81.30Z,13,45.383333,0.166667
16190,81.30Z,13,45.416667,0.016667
16190,81.30Z,13,45.4,0.083333
16190,81.30Z,13,"",""
16190,81.30Z,13,45.45,0.15
