codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
16410,55.60,8,45.6,0.35
16410,55.60,8,45.633333,0.266667
16410,55.60,8,45.6,0.25
16410,55.60,8,45.616667,0.316667
16410,55.60,8,45.566667,0.216667
16410,55.60,8,45.6,0.316667
16410,55.60,8,45.533333,0.2
16410,55.60,8,45.55,0.283333
16410,01.80,16,45.6,0.35
16410,01.80,16,45.633333,0.266667
16410,01.80,16,45.6,0.25
16410,01.80,16,45.616667,0.316667
16410,01.80,16,45.566667,0.216667
16410,01.80,16,45.6,0.316667
16410,01.80,16,45.533333,0.2
16410,01.80,16,45.55,0.283333
16410,90.12,8,45.6,0.35
16410,90.12,8,45.633333,0.266667
16410,90.12,8,45.6,0.25
16410,90.12,8,45.616667,0.316667
16410,90.12,8,45.566667,0.216667
16410,90.12,8,45.6,0.316667
16410,90.12,8,45.533333,0.2
16410,90.12,8,45.55,0.283333
16410,85.04,8,45.6,0.35
16410,85.04,8,45.633333,0.266667
16410,85.04,8,45.6,0.25
16410,85.04,8,45.616667,0.316667
16410,85.04,8,45.566667,0.216667
16410,85.04,8,45.6,0.316667
16410,85.04,8,45.533333,0.2
16410,85.04,8,45.55,0.283333
16410,55.73,16,45.6,0.35
16410,55.73,16,45.633333,0.266667
16410,55.73,16,45.6,0.25
16410,55.73,16,45.616667,0.316667
16410,55.73,16,45.566667,0.216667
16410,55.73,16,45.6,0.316667
16410,55.73,16,45.533333,0.2
16410,55.73,16,45.55,0.283333
16410,55.71,8,45.6,0.35
16410,55.71,8,45.633333,0.266667
16410,55.71,8,45.6,0.25
16410,55.71,8,45.616667,0.316667
16410,55.71,8,45.566667,0.216667
16410,55.71,8,45.6,0.316667
16410,55.71,8,45.533333,0.2
16410,55.71,8,45.55,0.283333
16410,57.01,8,45.6,0.35
16410,57.01,8,45.633333,0.266667
16410,57.01,8,45.6,0.25
16410,57.01,8,45.616667,0.316667
16410,57.01,8,45.566667,0.216667
16410,57.01,8,45.6,0.316667
16410,57.01,8,45.533333,0.2
16410,57.01,8,45.55,0.283333
16410,45.1A,16,45.6,0.35
16410,45.1A,16,45.633333,0.266667
16410,45.1A,16,45.6,0.25
16410,45.1A,16,45.616667,0.316667
16410,45.1A,16,45.566667,0.216667
16410,45.1A,16,45.6,0.316667
16410,45.1A,16,45.533333,0.2
16410,45.1A,16,45.55,0.283333
16410,60.09,8,45.6,0.35
16410,60.09,8,45.633333,0.266667
16410,60.09,8,45.6,0.25
16410,60.09,8,45.616667,0.316667
16410,60.09,8,45.566667,0.216667
16410,60.09,8,45.6,0.316667
16410,60.09,8,45.533333,0.2
16410,60.09,8,45.55,0.283333
16410,01.1A,16,45.6,0.35
16410,01.1A,16,45.633333,0.266667
16410,01.1A,16,45.6,0.25
16410,01.1A,16,45.616667,0.316667
16410,01.1A,16,45.566667,0.216667
16410,01.1A,16,45.6,0.316667
16410,01.1A,16,45.533333,0.2
16410,01.1A,16,45.55,0.283333
16410,50.5Z,16,45.6,0.35
16410,50.5Z,16,45.633333,0.266667
16410,50.5Z,16,45.6,0.25
16410,50.5Z,16,45.616667,0.316667
16410,50.5Z,16,45.566667,0.216667
16410,50.5Z,16,45.6,0.316667
16410,50.5Z,16,45.533333,0.2
16410,50.5Z,16,45.55,0.283333
16410,49.42Z,8,45.6,0.35
16410,49.42Z,8,45.633333,0.266667
16410,49.42Z,8,45.6,0.25
16410,49.42Z,8,45.616667,0.316667
16410,49.42Z,8,45.566667,0.216667
16410,49.42Z,8,45.6,0.316667
16410,49.42Z,8,45.533333,0.2
16410,49.42Z,8,45.55,0.283333
16410,55.72,8,45.6,0.35
16410,55.72,8,45.633333,0.266667
16410,55.72,8,45.6,0.25
16410,55.72,8,45.616667,0.316667
16410,55.72,8,45.566667,0.216667
16410,55.72,8,45.6,0.316667
16410,55.72,8,45.533333,0.2
16410,55.72,8,45.55,0.283333
