codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
17130,33.20A,17,45.358333,-0.341667
17130,33.20A,17,"",""
17130,33.20A,17,45.3,-0.333333
17130,33.20A,17,45.3,-0.416667
17130,33.20A,17,45.35,-0.483333
17130,33.20A,17,45.333333,-0.45
17130,33.20A,17,"",""
17130,33.20A,17,45.283333,-0.4
17130,33.20A,17,45.35,-0.316667
17130,33.20A,17,45.283333,-0.35
17130,33.20A,17,45.316667,-0.366667
17130,33.20A,17,45.316667,-0.416667
17130,33.20A,17,45.333333,-0.483333
17130,33.20A,17,45.25,-0.383333
17130,33.20A,17,45.366667,-0.366667
17130,33.20A,17,45.333333,-0.416667
17130,33.20A,17,45.316667,-0.466667
17130,64.11,34,45.358333,-0.341667
17130,64.11,34,"",""
17130,64.11,34,45.3,-0.333333
17130,64.11,34,45.3,-0.416667
17130,64.11,34,45.35,-0.483333
17130,64.11,34,45.333333,-0.45
17130,64.11,34,"",""
17130,64.11,34,45.283333,-0.4
17130,64.11,34,45.35,-0.316667
17130,64.11,34,45.283333,-0.35
17130,64.11,34,45.316667,-0.366667
17130,64.11,34,45.316667,-0.416667
17130,64.11,34,45.333333,-0.483333
17130,64.11,34,45.25,-0.383333
17130,64.11,34,45.366667,-0.366667
17130,64.11,34,45.333333,-0.416667
17130,64.11,34,45.316667,-0.466667
17130,45.3H,17,45.358333,-0.341667
17130,45.3H,17,"",""
17130,45.3H,17,45.3,-0.333333
17130,45.3H,17,45.3,-0.416667
17130,45.3H,17,45.35,-0.483333
17130,45.3H,17,45.333333,-0.45
17130,45.3H,17,"",""
17130,45.3H,17,45.283333,-0.4
17130,45.3H,17,45.35,-0.316667
17130,45.3H,17,45.283333,-0.35
17130,45.3H,17,45.316667,-0.366667
17130,45.3H,17,45.316667,-0.416667
17130,45.3H,17,45.333333,-0.483333
17130,45.3H,17,45.25,-0.383333
17130,45.3H,17,45.366667,-0.366667
17130,45.3H,17,45.333333,-0.416667
17130,45.3H,17,45.316667,-0.466667
17130,01.11Z,187,45.358333,-0.341667
17130,01.11Z,187,"",""
17130,01.11Z,187,45.3,-0.333333
17130,01.11Z,187,45.3,-0.416667
17130,01.11Z,187,45.35,-0.483333
17130,01.11Z,187,45.333333,-0.45
17130,01.11Z,187,"",""
17130,01.11Z,187,45.283333,-0.4
17130,01.11Z,187,45.35,-0.316667
17130,01.11Z,187,45.283333,-0.35
17130,01.11Z,187,45.316667,-0.366667
17130,01.11Z,187,45.316667,-0.416667
17130,01.11Z,187,45.333333,-0.483333
17130,01.11Z,187,45.25,-0.383333
17130,01.11Z,187,45.366667,-0.366667
17130,01.11Z,187,45.333333,-0.416667
17130,01.11Z,187,45.316667,-0.466667
17130,49.41A,17,45.358333,-0.341667
17130,49.41A,17,"",""
17130,49.41A,17,45.3,-0.333333
17130,49.41A,17,45.3,-0.416667
17130,49.41A,17,45.35,-0.483333
17130,49.41A,17,45.333333,-0.45
17130,49.41A,17,"",""
17130,49.41A,17,45.283333,-0.4
17130,49.41A,17,45.35,-0.316667
17130,49.41A,17,45.283333,-0.35
17130,49.41A,17,45.316667,-0.366667
17130,49.41A,17,45.316667,-0.416667
17130,49.41A,17,45.333333,-0.483333
17130,49.41A,17,45.25,-0.383333
17130,49.41A,17,45.366667,-0.366667
17130,49.41A,17,45.333333,-0.416667
17130,49.41A,17,45.316667,-0.466667
17130,55.40,17,45.358333,-0.341667
17130,55.40,17,"",""
17130,55.40,17,45.3,-0.333333
17130,55.40,17,45.3,-0.416667
17130,55.40,17,45.35,-0.483333
17130,55.40,17,45.333333,-0.45
17130,55.40,17,"",""
17130,55.40,17,45.283333,-0.4
17130,55.40,17,45.35,-0.316667
17130,55.40,17,45.283333,-0.35
17130,55.40,17,45.316667,-0.366667
17130,55.40,17,45.316667,-0.416667
17130,55.40,17,45.333333,-0.483333
17130,55.40,17,45.25,-0.383333
17130,55.40,17,45.366667,-0.366667
17130,55.40,17,45.333333,-0.416667
17130,55.40,17,45.316667,-0.466667
17130,68.20A,17,45.358333,-0.341667
17130,68.20A,17,"",""
17130,68.20A,17,45.3,-0.333333
17130,68.20A,17,45.3,-0.416667
17130,68.20A,17,45.35,-0.483333
17130,68.20A,17,45.333333,-0.45
17130,68.20A,17,"",""
17130,68.20A,17,45.283333,-0.4
17130,68.20A,17,45.35,-0.316667
17130,68.20A,17,45.283333,-0.35
17130,68.20A,17,45.316667,-0.366667
17130,68.20A,17,45.316667,-0.416667
17130,68.20A,17,45.333333,-0.483333
17130,68.20A,17,45.25,-0.383333
17130,68.20A,17,45.366667,-0.366667
17130,68.20A,17,45.333333,-0.416667
17130,68.20A,17,45.316667,-0.466667
17130,51.3J,17,45.358333,-0.341667
17130,51.3J,17,"",""
17130,51.3J,17,45.3,-0.333333
17130,51.3J,17,45.3,-0.416667
17130,51.3J,17,45.35,-0.483333
17130,51.3J,17,45.333333,-0.45
17130,51.3J,17,"",""
17130,51.3J,17,45.283333,-0.4
17130,51.3J,17,45.35,-0.316667
17130,51.3J,17,45.283333,-0.35
17130,51.3J,17,45.316667,-0.366667
17130,51.3J,17,45.316667,-0.416667
17130,51.3J,17,45.333333,-0.483333
17130,51.3J,17,45.25,-0.383333
17130,51.3J,17,45.366667,-0.366667
17130,51.3J,17,45.333333,-0.416667
17130,51.3J,17,45.316667,-0.466667
17130,56.30Z,34,45.358333,-0.341667
17130,56.30Z,34,"",""
17130,56.30Z,34,45.3,-0.333333
17130,56.30Z,34,45.3,-0.416667
17130,56.30Z,34,45.35,-0.483333
17130,56.30Z,34,45.333333,-0.45
17130,56.30Z,34,"",""
17130,56.30Z,34,45.283333,-0.4
17130,56.30Z,34,45.35,-0.316667
17130,56.30Z,34,45.283333,-0.35
17130,56.30Z,34,45.316667,-0.366667
17130,56.30Z,34,45.316667,-0.416667
17130,56.30Z,34,45.333333,-0.483333
17130,56.30Z,34,45.25,-0.383333
17130,56.30Z,34,45.366667,-0.366667
17130,56.30Z,34,45.333333,-0.416667
17130,56.30Z,34,45.316667,-0.466667
17130,36.00Z,17,45.358333,-0.341667
17130,36.00Z,17,"",""
17130,36.00Z,17,45.3,-0.333333
17130,36.00Z,17,45.3,-0.416667
17130,36.00Z,17,45.35,-0.483333
17130,36.00Z,17,45.333333,-0.45
17130,36.00Z,17,"",""
17130,36.00Z,17,45.283333,-0.4
17130,36.00Z,17,45.35,-0.316667
17130,36.00Z,17,45.283333,-0.35
17130,36.00Z,17,45.316667,-0.366667
17130,36.00Z,17,45.316667,-0.416667
17130,36.00Z,17,45.333333,-0.483333
17130,36.00Z,17,45.25,-0.383333
17130,36.00Z,17,45.366667,-0.366667
17130,36.00Z,17,45.333333,-0.416667
17130,36.00Z,17,45.316667,-0.466667
17130,93.19Z,34,45.358333,-0.341667
17130,93.19Z,34,"",""
17130,93.19Z,34,45.3,-0.333333
17130,93.19Z,34,45.3,-0.416667
17130,93.19Z,34,45.35,-0.483333
17130,93.19Z,34,45.333333,-0.45
17130,93.19Z,34,"",""
17130,93.19Z,34,45.283333,-0.4
17130,93.19Z,34,45.35,-0.316667
17130,93.19Z,34,45.283333,-0.35
17130,93.19Z,34,45.316667,-0.366667
17130,93.19Z,34,45.316667,-0.416667
17130,93.19Z,34,45.333333,-0.483333
17130,93.19Z,34,45.25,-0.383333
17130,93.19Z,34,45.366667,-0.366667
17130,93.19Z,34,45.333333,-0.416667
17130,93.19Z,34,45.316667,-0.466667
17130,64.20Z,17,45.358333,-0.341667
17130,64.20Z,17,"",""
17130,64.20Z,17,45.3,-0.333333
17130,64.20Z,17,45.3,-0.416667
17130,64.20Z,17,45.35,-0.483333
17130,64.20Z,17,45.333333,-0.45
17130,64.20Z,17,"",""
17130,64.20Z,17,45.283333,-0.4
17130,64.20Z,17,45.35,-0.316667
17130,64.20Z,17,45.283333,-0.35
17130,64.20Z,17,45.316667,-0.366667
17130,64.20Z,17,45.316667,-0.416667
17130,64.20Z,17,45.333333,-0.483333
17130,64.20Z,17,45.25,-0.383333
17130,64.20Z,17,45.366667,-0.366667
17130,64.20Z,17,45.333333,-0.416667
17130,64.20Z,17,45.316667,-0.466667
17130,86.90E,34,45.358333,-0.341667
17130,86.90E,34,"",""
17130,86.90E,34,45.3,-0.333333
17130,86.90E,34,45.3,-0.416667
17130,86.90E,34,45.35,-0.483333
17130,86.90E,34,45.333333,-0.45
17130,86.90E,34,"",""
17130,86.90E,34,45.283333,-0.4
17130,86.90E,34,45.35,-0.316667
17130,86.90E,34,45.283333,-0.35
17130,86.90E,34,45.316667,-0.366667
17130,86.90E,34,45.316667,-0.416667
17130,86.90E,34,45.333333,-0.483333
17130,86.90E,34,45.25,-0.383333
17130,86.90E,34,45.366667,-0.366667
17130,86.90E,34,45.333333,-0.416667
17130,86.90E,34,45.316667,-0.466667
17130,01.43Z,51,45.358333,-0.341667
17130,01.43Z,51,"",""
17130,01.43Z,51,45.3,-0.333333
17130,01.43Z,51,45.3,-0.416667
17130,01.43Z,51,45.35,-0.483333
17130,01.43Z,51,45.333333,-0.45
17130,01.43Z,51,"",""
17130,01.43Z,51,45.283333,-0.4
17130,01.43Z,51,45.35,-0.316667
17130,01.43Z,51,45.283333,-0.35
17130,01.43Z,51,45.316667,-0.366667
17130,01.43Z,51,45.316667,-0.416667
17130,01.43Z,51,45.333333,-0.483333
17130,01.43Z,51,45.25,-0.383333
17130,01.43Z,51,45.366667,-0.366667
17130,01.43Z,51,45.333333,-0.416667
17130,01.43Z,51,45.316667,-0.466667
17130,29.3C,17,45.358333,-0.341667
17130,29.3C,17,"",""
17130,29.3C,17,45.3,-0.333333
17130,29.3C,17,45.3,-0.416667
17130,29.3C,17,45.35,-0.483333
17130,29.3C,17,45.333333,-0.45
17130,29.3C,17,"",""
17130,29.3C,17,45.283333,-0.4
17130,29.3C,17,45.35,-0.316667
17130,29.3C,17,45.283333,-0.35
17130,29.3C,17,45.316667,-0.366667
17130,29.3C,17,45.316667,-0.416667
17130,29.3C,17,45.333333,-0.483333
17130,29.3C,17,45.25,-0.383333
17130,29.3C,17,45.366667,-0.366667
17130,29.3C,17,45.333333,-0.416667
17130,29.3C,17,45.316667,-0.466667
17130,47.82Z,17,45.358333,-0.341667
17130,47.82Z,17,"",""
17130,47.82Z,17,45.3,-0.333333
17130,47.82Z,17,45.3,-0.416667
17130,47.82Z,17,45.35,-0.483333
17130,47.82Z,17,45.333333,-0.45
17130,47.82Z,17,"",""
17130,47.82Z,17,45.283333,-0.4
17130,47.82Z,17,45.35,-0.316667
17130,47.82Z,17,45.283333,-0.35
17130,47.82Z,17,45.316667,-0.366667
17130,47.82Z,17,45.316667,-0.416667
17130,47.82Z,17,45.333333,-0.483333
17130,47.82Z,17,45.25,-0.383333
17130,47.82Z,17,45.366667,-0.366667
17130,47.82Z,17,45.333333,-0.416667
17130,47.82Z,17,45.316667,-0.466667
17130,43.32B,34,45.358333,-0.341667
17130,43.32B,34,"",""
17130,43.32B,34,45.3,-0.333333
17130,43.32B,34,45.3,-0.416667
17130,43.32B,34,45.35,-0.483333
17130,43.32B,34,45.333333,-0.45
17130,43.32B,34,"",""
17130,43.32B,34,45.283333,-0.4
17130,43.32B,34,45.35,-0.316667
17130,43.32B,34,45.283333,-0.35
17130,43.32B,34,45.316667,-0.366667
17130,43.32B,34,45.316667,-0.416667
17130,43.32B,34,45.333333,-0.483333
17130,43.32B,34,45.25,-0.383333
17130,43.32B,34,45.366667,-0.366667
17130,43.32B,34,45.333333,-0.416667
17130,43.32B,34,45.316667,-0.466667
17130,74.10Z,17,45.358333,-0.341667
17130,74.10Z,17,"",""
17130,74.10Z,17,45.3,-0.333333
17130,74.10Z,17,45.3,-0.416667
17130,74.10Z,17,45.35,-0.483333
17130,74.10Z,17,45.333333,-0.45
17130,74.10Z,17,"",""
17130,74.10Z,17,45.283333,-0.4
17130,74.10Z,17,45.35,-0.316667
17130,74.10Z,17,45.283333,-0.35
17130,74.10Z,17,45.316667,-0.366667
17130,74.10Z,17,45.316667,-0.416667
17130,74.10Z,17,45.333333,-0.483333
17130,74.10Z,17,45.25,-0.383333
17130,74.10Z,17,45.366667,-0.366667
17130,74.10Z,17,45.333333,-0.416667
17130,74.10Z,17,45.316667,-0.466667
17130,87.20A,17,45.358333,-0.341667
17130,87.20A,17,"",""
17130,87.20A,17,45.3,-0.333333
17130,87.20A,17,45.3,-0.416667
17130,87.20A,17,45.35,-0.483333
17130,87.20A,17,45.333333,-0.45
17130,87.20A,17,"",""
17130,87.20A,17,45.283333,-0.4
17130,87.20A,17,45.35,-0.316667
17130,87.20A,17,45.283333,-0.35
17130,87.20A,17,45.316667,-0.366667
17130,87.20A,17,45.316667,-0.416667
17130,87.20A,17,45.333333,-0.483333
17130,87.20A,17,45.25,-0.383333
17130,87.20A,17,45.366667,-0.366667
17130,87.20A,17,45.333333,-0.416667
17130,87.20A,17,45.316667,-0.466667
17130,01.4B,17,45.358333,-0.341667
17130,01.4B,17,"",""
17130,01.4B,17,45.3,-0.333333
17130,01.4B,17,45.3,-0.416667
17130,01.4B,17,45.35,-0.483333
17130,01.4B,17,45.333333,-0.45
17130,01.4B,17,"",""
17130,01.4B,17,45.283333,-0.4
17130,01.4B,17,45.35,-0.316667
17130,01.4B,17,45.283333,-0.35
17130,01.4B,17,45.316667,-0.366667
17130,01.4B,17,45.316667,-0.416667
17130,01.4B,17,45.333333,-0.483333
17130,01.4B,17,45.25,-0.383333
17130,01.4B,17,45.366667,-0.366667
17130,01.4B,17,45.333333,-0.416667
17130,01.4B,17,45.316667,-0.466667
17130,84.11Z,51,45.358333,-0.341667
17130,84.11Z,51,"",""
