codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
17160,43.22A,34,45.833333,-0.316667
17160,43.22A,34,45.833333,-0.266667
17160,43.22A,34,"",""
17160,43.22A,34,45.816667,-0.35
17160,43.22A,34,45.866667,-0.316667
17160,43.22A,34,45.833333,-0.233333
17160,43.22A,34,45.916667,-0.266667
17160,43.22A,34,45.933333,-0.25
17160,43.22A,34,45.883333,-0.366667
17160,43.22A,34,45.866667,-0.25
17160,43.22A,34,45.933333,-0.3
17160,43.22A,34,45.916667,-0.216667
17160,43.22A,34,45.833333,-0.366667
17160,43.22A,34,45.816667,-0.25
17160,43.22A,34,45.866667,-0.35
17160,43.22A,34,45.816667,-0.216667
17160,43.22A,34,45.883333,-0.316667
17160,11.01Z,17,45.833333,-0.316667
17160,11.01Z,17,45.833333,-0.266667
17160,11.01Z,17,"",""
17160,11.01Z,17,45.816667,-0.35
17160,11.01Z,17,45.866667,-0.316667
17160,11.01Z,17,45.833333,-0.233333
17160,11.01Z,17,45.916667,-0.266667
17160,11.01Z,17,45.933333,-0.25
17160,11.01Z,17,45.883333,-0.366667
17160,11.01Z,17,45.866667,-0.25
17160,11.01Z,17,45.933333,-0.3
17160,11.01Z,17,45.916667,-0.216667
17160,11.01Z,17,45.833333,-0.366667
17160,11.01Z,17,45.816667,-0.25
17160,11.01Z,17,45.866667,-0.35
17160,11.01Z,17,45.816667,-0.216667
17160,11.01Z,17,45.883333,-0.316667
17160,01.11Z,340,45.833333,-0.316667
17160,01.11Z,340,45.833333,-0.266667
17160,01.11Z,340,"",""
17160,01.11Z,340,45.816667,-0.35
17160,01.11Z,340,45.866667,-0.316667
17160,01.11Z,340,45.833333,-0.233333
17160,01.11Z,340,45.916667,-0.266667
17160,01.11Z,340,45.933333,-0.25
17160,01.11Z,340,45.883333,-0.366667
17160,01.11Z,340,45.866667,-0.25
17160,01.11Z,340,45.933333,-0.3
17160,01.11Z,340,45.916667,-0.216667
17160,01.11Z,340,45.833333,-0.366667
17160,01.11Z,340,45.816667,-0.25
17160,01.11Z,340,45.866667,-0.35
17160,01.11Z,340,45.816667,-0.216667
17160,01.11Z,340,45.883333,-0.316667
17160,47.79Z,34,45.833333,-0.316667
17160,47.79Z,34,45.833333,-0.266667
17160,47.79Z,34,"",""
17160,47.79Z,34,45.816667,-0.35
17160,47.79Z,34,45.866667,-0.316667
17160,47.79Z,34,45.833333,-0.233333
17160,47.79Z,34,45.916667,-0.266667
17160,47.79Z,34,45.933333,-0.25
17160,47.79Z,34,45.883333,-0.366667
17160,47.79Z,34,45.866667,-0.25
17160,47.79Z,34,45.933333,-0.3
17160,47.79Z,34,45.916667,-0.216667
17160,47.79Z,34,45.833333,-0.366667
17160,47.79Z,34,45.816667,-0.25
17160,47.79Z,34,45.866667,-0.35
17160,47.79Z,34,45.816667,-0.216667
17160,47.79Z,34,45.883333,-0.316667
17160,92.3A,17,45.833333,-0.316667
17160,92.3A,17,45.833333,-0.266667
17160,92.3A,17,"",""
17160,92.3A,17,45.816667,-0.35
17160,92.3A,17,45.866667,-0.316667
17160,92.3A,17,45.833333,-0.233333
17160,92.3A,17,45.916667,-0.266667
17160,92.3A,17,45.933333,-0.25
17160,92.3A,17,45.883333,-0.366667
17160,92.3A,17,45.866667,-0.25
17160,92.3A,17,45.933333,-0.3
17160,92.3A,17,45.916667,-0.216667
17160,92.3A,17,45.833333,-0.366667
17160,92.3A,17,45.816667,-0.25
17160,92.3A,17,45.866667,-0.35
17160,92.3A,17,45.816667,-0.216667
17160,92.3A,17,45.883333,-0.316667
17160,68.20A,374,45.833333,-0.316667
17160,68.20A,374,45.833333,-0.266667
17160,68.20A,374,"",""
17160,68.20A,374,45.816667,-0.35
17160,68.20A,374,45.866667,-0.316667
17160,68.20A,374,45.833333,-0.233333
17160,68.20A,374,45.916667,-0.266667
17160,68.20A,374,45.933333,-0.25
17160,68.20A,374,45.883333,-0.366667
17160,68.20A,374,45.866667,-0.25
17160,68.20A,374,45.933333,-0.3
17160,68.20A,374,45.916667,-0.216667
17160,68.20A,374,45.833333,-0.366667
17160,68.20A,374,45.816667,-0.25
17160,68.20A,374,45.866667,-0.35
17160,68.20A,374,45.816667,-0.216667
17160,68.20A,374,45.883333,-0.316667
17160,52.22Z,17,45.833333,-0.316667
17160,52.22Z,17,45.833333,-0.266667
17160,52.22Z,17,"",""
17160,52.22Z,17,45.816667,-0.35
17160,52.22Z,17,45.866667,-0.316667
17160,52.22Z,17,45.833333,-0.233333
17160,52.22Z,17,45.916667,-0.266667
17160,52.22Z,17,45.933333,-0.25
17160,52.22Z,17,45.883333,-0.366667
17160,52.22Z,17,45.866667,-0.25
17160,52.22Z,17,45.933333,-0.3
17160,52.22Z,17,45.916667,-0.216667
17160,52.22Z,17,45.833333,-0.366667
17160,52.22Z,17,45.816667,-0.25
