codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
17250,55.3A,13,45.883333,-0.9
17250,55.3A,13,45.783333,-0.783333
17250,55.3A,13,45.8,-0.85
17250,55.3A,13,45.816667,-0.783333
17250,55.3A,13,"",""
17250,55.3A,13,"",""
17250,55.3A,13,45.866667,-0.8
17250,55.3A,13,45.833333,-0.883333
17250,55.3A,13,45.816667,-0.733333
17250,55.3A,13,45.8,-0.766667
17250,55.3A,13,45.883333,-0.85
17250,55.3A,13,45.866667,-0.766667
17250,55.3A,13,45.866667,-0.833333
17250,11.01Z,26,45.883333,-0.9
17250,11.01Z,26,45.783333,-0.783333
17250,11.01Z,26,45.8,-0.85
17250,11.01Z,26,45.816667,-0.783333
17250,11.01Z,26,"",""
17250,11.01Z,26,"",""
17250,11.01Z,26,45.866667,-0.8
17250,11.01Z,26,45.833333,-0.883333
17250,11.01Z,26,45.816667,-0.733333
17250,11.01Z,26,45.8,-0.766667
17250,11.01Z,26,45.883333,-0.85
17250,11.01Z,26,45.866667,-0.766667
17250,11.01Z,26,45.866667,-0.833333
17250,01.11Z,156,45.883333,-0.9
17250,01.11Z,156,45.783333,-0.783333
17250,01.11Z,156,45.8,-0.85
17250,01.11Z,156,45.816667,-0.783333
17250,01.11Z,156,"",""
17250,01.11Z,156,"",""
17250,01.11Z,156,45.866667,-0.8
17250,01.11Z,156,45.833333,-0.883333
17250,01.11Z,156,45.816667,-0.733333
17250,01.11Z,156,45.8,-0.766667
17250,01.11Z,156,45.883333,-0.85
17250,01.11Z,156,45.866667,-0.766667
17250,01.11Z,156,45.866667,-0.833333
17250,47.79Z,13,45.883333,-0.9
17250,47.79Z,13,45.783333,-0.783333
17250,47.79Z,13,45.8,-0.85
17250,47.79Z,13,45.816667,-0.783333
17250,47.79Z,13,"",""
17250,47.79Z,13,"",""
17250,47.79Z,13,45.866667,-0.8
17250,47.79Z,13,45.833333,-0.883333
17250,47.79Z,13,45.816667,-0.733333
17250,47.79Z,13,45.8,-0.766667
17250,47.79Z,13,45.883333,-0.85
17250,47.79Z,13,45.866667,-0.766667
17250,47.79Z,13,45.866667,-0.833333
17250,49.41A,13,45.883333,-0.9
17250,49.41A,13,45.783333,-0.783333
17250,49.41A,13,45.8,-0.85
17250,49.41A,13,45.816667,-0.783333
17250,49.41A,13,"",""
17250,49.41A,13,"",""
17250,49.41A,13,45.866667,-0.8
17250,49.41A,13,45.833333,-0.883333
17250,49.41A,13,45.816667,-0.733333
17250,49.41A,13,45.8,-0.766667
17250,49.41A,13,45.883333,-0.85
17250,49.41A,13,45.866667,-0.766667
17250,49.41A,13,45.866667,-0.833333
17250,95.29Z,26,45.883333,-0.9
17250,95.29Z,26,45.783333,-0.783333
17250,95.29Z,26,45.8,-0.85
17250,95.29Z,26,45.816667,-0.783333
17250,95.29Z,26,"",""
17250,95.29Z,26,"",""
17250,95.29Z,26,45.866667,-0.8
17250,95.29Z,26,45.833333,-0.883333
17250,95.29Z,26,45.816667,-0.733333
17250,95.29Z,26,45.8,-0.766667
17250,95.29Z,26,45.883333,-0.85
17250,95.29Z,26,45.866667,-0.766667
17250,95.29Z,26,45.866667,-0.833333
17250,68.20A,156,45.883333,-0.9
17250,68.20A,156,45.783333,-0.783333
17250,68.20A,156,45.8,-0.85
17250,68.20A,156,45.816667,-0.783333
17250,68.20A,156,"",""
17250,68.20A,156,"",""
17250,68.20A,156,45.866667,-0.8
17250,68.20A,156,45.833333,-0.883333
17250,68.20A,156,45.816667,-0.733333
17250,68.20A,156,45.8,-0.766667
17250,68.20A,156,45.883333,-0.85
17250,68.20A,156,45.866667,-0.766667
17250,68.20A,156,45.866667,-0.833333
17250,64.49,39,45.883333,-0.9
17250,64.49,39,45.783333,-0.783333
17250,64.49,39,45.8,-0.85
17250,64.49,39,45.816667,-0.783333
17250,64.49,39,"",""
17250,64.49,39,"",""
17250,64.49,39,45.866667,-0.8
17250,64.49,39,45.833333,-0.883333
17250,64.49,39,45.816667,-0.733333
17250,64.49,39,45.8,-0.766667
17250,64.49,39,45.883333,-0.85
17250,64.49,39,45.866667,-0.766667
17250,64.49,39,45.866667,-0.833333
17250,49.32Z,13,45.883333,-0.9
17250,49.32Z,13,45.783333,-0.783333
17250,49.32Z,13,45.8,-0.85
17250,49.32Z,13,45.816667,-0.783333
17250,49.32Z,13,"",""
17250,49.32Z,13,"",""
17250,49.32Z,13,45.866667,-0.8
17250,49.32Z,13,45.833333,-0.883333
17250,49.32Z,13,45.816667,-0.733333
17250,49.32Z,13,45.8,-0.766667
17250,49.32Z,13,45.883333,-0.85
17250,49.32Z,13,45.866667,-0.766667
17250,49.32Z,13,45.866667,-0.833333
17250,45.3E,13,45.883333,-0.9
17250,45.3E,13,45.783333,-0.783333
17250,45.3E,13,45.8,-0.85
17250,45.3E,13,45.816667,-0.783333
17250,45.3E,13,"",""
17250,45.3E,13,"",""
17250,45.3E,13,45.866667,-0.8
17250,45.3E,13,45.833333,-0.883333
17250,45.3E,13,45.816667,-0.733333
17250,45.3E,13,45.8,-0.766667
17250,45.3E,13,45.883333,-0.85
17250,45.3E,13,45.866667,-0.766667
17250,45.3E,13,45.866667,-0.833333
17250,55.60,26,45.883333,-0.9
17250,55.60,26,45.783333,-0.783333
17250,55.60,26,45.8,-0.85
17250,55.60,26,45.816667,-0.783333
17250,55.60,26,"",""
17250,55.60,26,"",""
17250,55.60,26,45.866667,-0.8
17250,55.60,26,45.833333,-0.883333
17250,55.60,26,45.816667,-0.733333
17250,55.60,26,45.8,-0.766667
17250,55.60,26,45.883333,-0.85
17250,55.60,26,45.866667,-0.766667
17250,55.60,26,45.866667,-0.833333
17250,56.30Z,26,45.883333,-0.9
17250,56.30Z,26,45.783333,-0.783333
17250,56.30Z,26,45.8,-0.85
17250,56.30Z,26,45.816667,-0.783333
17250,56.30Z,26,"",""
17250,56.30Z,26,"",""
17250,56.30Z,26,45.866667,-0.8
17250,56.30Z,26,45.833333,-0.883333
17250,56.30Z,26,45.816667,-0.733333
17250,56.30Z,26,45.8,-0.766667
17250,56.30Z,26,45.883333,-0.85
17250,56.30Z,26,45.866667,-0.766667
17250,56.30Z,26,45.866667,-0.833333
17250,74.5A,13,45.883333,-0.9
17250,74.5A,13,45.783333,-0.783333
17250,74.5A,13,45.8,-0.85
17250,74.5A,13,45.816667,-0.783333
17250,74.5A,13,"",""
17250,74.5A,13,"",""
17250,74.5A,13,45.866667,-0.8
17250,74.5A,13,45.833333,-0.883333
17250,74.5A,13,45.816667,-0.733333
17250,74.5A,13,45.8,-0.766667
17250,74.5A,13,45.883333,-0.85
17250,74.5A,13,45.866667,-0.766667
17250,74.5A,13,45.866667,-0.833333
17250,62.11,13,45.883333,-0.9
17250,62.11,13,45.783333,-0.783333
17250,62.11,13,45.8,-0.85
17250,62.11,13,45.816667,-0.783333
17250,62.11,13,"",""
17250,62.11,13,"",""
17250,62.11,13,45.866667,-0.8
17250,62.11,13,45.833333,-0.883333
17250,62.11,13,45.816667,-0.733333
17250,62.11,13,45.8,-0.766667
17250,62.11,13,45.883333,-0.85
17250,62.11,13,45.866667,-0.766667
17250,62.11,13,45.866667,-0.833333
17250,43.34Z,78,45.883333,-0.9
17250,43.34Z,78,45.783333,-0.783333
17250,43.34Z,78,45.8,-0.85
