codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
17390,93.21,1,45.766667,-1.133333
17390,01.11Z,9,45.766667,-1.133333
17390,95.29Z,1,45.766667,-1.133333
17390,68.20A,3,45.766667,-1.133333
17390,93.19Z,1,45.766667,-1.133333
17390,90.01Z,3,45.766667,-1.133333
17390,64.42,1,45.766667,-1.133333
17390,84.11Z,1,45.766667,-1.133333
17390,01.21Z,11,45.766667,-1.133333
17390,70.2B,1,45.766667,-1.133333
17390,01.4A,1,45.766667,-1.133333
17390,43.32A,2,45.766667,-1.133333
17390,56.29B,1,45.766667,-1.133333
17390,60.07,1,45.766667,-1.133333
17390,46.17B,1,45.766667,-1.133333
17390,52.6E,1,45.766667,-1.133333
17390,01.80,2,45.766667,-1.133333
17390,43.91B,1,45.766667,-1.133333
17390,14.13Z,1,45.766667,-1.133333
17390,38.50,1,45.766667,-1.133333
17390,01.1G,4,45.766667,-1.133333
17390,55.73,1,45.766667,-1.133333
17390,67.07,1,45.766667,-1.133333
17390,64.48,1,45.766667,-1.133333
17390,96.04Z,1,45.766667,-1.133333
17390,96.09Z,2,45.766667,-1.133333
17390,81.21Z,1,45.766667,-1.133333
17390,35.11Z,2,45.766667,-1.133333
17390,01.13Z,1,45.766667,-1.133333
17390,01.1A,7,45.766667,-1.133333
17390,70.22Z,1,45.766667,-1.133333
17390,47.25Z,1,45.766667,-1.133333
17390,88.99B,1,45.766667,-1.133333
17390,28.5D,1,45.766667,-1.133333
17390,47.89Z,1,45.766667,-1.133333
17390,43.21A,1,45.766667,-1.133333
17390,21.01,1,45.766667,-1.133333
17390,68.20B,1,45.766667,-1.133333
