codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
18110,47.99A,50,47.183333,2.466667
18110,47.99A,50,47.166667,2.4
18110,47.99A,50,47.233333,2.416667
18110,47.99A,50,47.2,2.416667
18110,47.99A,50,47.183333,2.433333
18110,47.99A,50,47.15,2.35
18110,47.99A,50,47.233333,2.45
18110,47.99A,50,47.183333,2.433333
18110,47.99A,50,47.15,2.433333
18110,47.99A,50,47.216667,2.316667
18110,55.3A,20,47.183333,2.466667
18110,55.3A,20,47.166667,2.4
18110,55.3A,20,47.233333,2.416667
18110,55.3A,20,47.2,2.416667
18110,55.3A,20,47.183333,2.433333
18110,55.3A,20,47.15,2.35
18110,55.3A,20,47.233333,2.45
18110,55.3A,20,47.183333,2.433333
18110,55.3A,20,47.15,2.433333
18110,55.3A,20,47.216667,2.316667
18110,43.22A,50,47.183333,2.466667
18110,43.22A,50,47.166667,2.4
18110,43.22A,50,47.233333,2.416667
18110,43.22A,50,47.2,2.416667
18110,43.22A,50,47.183333,2.433333
18110,43.22A,50,47.15,2.35
18110,43.22A,50,47.233333,2.45
18110,43.22A,50,47.183333,2.433333
18110,43.22A,50,47.15,2.433333
18110,43.22A,50,47.216667,2.316667
18110,51.9B,10,47.183333,2.466667
18110,51.9B,10,47.166667,2.4
18110,51.9B,10,47.233333,2.416667
18110,51.9B,10,47.2,2.416667
18110,51.9B,10,47.183333,2.433333
18110,51.9B,10,47.15,2.35
18110,51.9B,10,47.233333,2.45
18110,51.9B,10,47.183333,2.433333
18110,51.9B,10,47.15,2.433333
18110,51.9B,10,47.216667,2.316667
18110,93.0D,20,47.183333,2.466667
18110,93.0D,20,47.166667,2.4
18110,93.0D,20,47.233333,2.416667
18110,93.0D,20,47.2,2.416667
18110,93.0D,20,47.183333,2.433333
18110,93.0D,20,47.15,2.35
18110,93.0D,20,47.233333,2.45
18110,93.0D,20,47.183333,2.433333
18110,93.0D,20,47.15,2.433333
18110,93.0D,20,47.216667,2.316667
18110,02.10Z,30,47.183333,2.466667
18110,02.10Z,30,47.166667,2.4
18110,02.10Z,30,47.233333,2.416667
18110,02.10Z,30,47.2,2.416667
18110,02.10Z,30,47.183333,2.433333
18110,02.10Z,30,47.15,2.35
18110,02.10Z,30,47.233333,2.45
18110,02.10Z,30,47.183333,2.433333
18110,02.10Z,30,47.15,2.433333
18110,02.10Z,30,47.216667,2.316667
18110,14.39Z,10,47.183333,2.466667
18110,14.39Z,10,47.166667,2.4
18110,14.39Z,10,47.233333,2.416667
18110,14.39Z,10,47.2,2.416667
18110,14.39Z,10,47.183333,2.433333
18110,14.39Z,10,47.15,2.35
18110,14.39Z,10,47.233333,2.45
18110,14.39Z,10,47.183333,2.433333
18110,14.39Z,10,47.15,2.433333
18110,14.39Z,10,47.216667,2.316667
18110,01.11Z,240,47.183333,2.466667
18110,01.11Z,240,47.166667,2.4
18110,01.11Z,240,47.233333,2.416667
18110,01.11Z,240,47.2,2.416667
18110,01.11Z,240,47.183333,2.433333
18110,01.11Z,240,47.15,2.35
18110,01.11Z,240,47.233333,2.45
18110,01.11Z,240,47.183333,2.433333
18110,01.11Z,240,47.15,2.433333
18110,01.11Z,240,47.216667,2.316667
18110,47.79Z,10,47.183333,2.466667
18110,47.79Z,10,47.166667,2.4
18110,47.79Z,10,47.233333,2.416667
18110,47.79Z,10,47.2,2.416667
18110,47.79Z,10,47.183333,2.433333
18110,47.79Z,10,47.15,2.35
18110,47.79Z,10,47.233333,2.45
18110,47.79Z,10,47.183333,2.433333
18110,47.79Z,10,47.15,2.433333
18110,47.79Z,10,47.216667,2.316667
18110,49.41A,10,47.183333,2.466667
18110,49.41A,10,47.166667,2.4
18110,49.41A,10,47.233333,2.416667
18110,49.41A,10,47.2,2.416667
18110,49.41A,10,47.183333,2.433333
18110,49.41A,10,47.15,2.35
18110,49.41A,10,47.233333,2.45
18110,49.41A,10,47.183333,2.433333
18110,49.41A,10,47.15,2.433333
18110,49.41A,10,47.216667,2.316667
18110,52.4Z,30,47.183333,2.466667
18110,52.4Z,30,47.166667,2.4
18110,52.4Z,30,47.233333,2.416667
18110,52.4Z,30,47.2,2.416667
18110,52.4Z,30,47.183333,2.433333
18110,52.4Z,30,47.15,2.35
18110,52.4Z,30,47.233333,2.45
18110,52.4Z,30,47.183333,2.433333
18110,52.4Z,30,47.15,2.433333
18110,52.4Z,30,47.216667,2.316667
18110,95.29Z,10,47.183333,2.466667
18110,95.29Z,10,47.166667,2.4
18110,95.29Z,10,47.233333,2.416667
18110,95.29Z,10,47.2,2.416667
18110,95.29Z,10,47.183333,2.433333
18110,95.29Z,10,47.15,2.35
18110,95.29Z,10,47.233333,2.45
18110,95.29Z,10,47.183333,2.433333
18110,95.29Z,10,47.15,2.433333
18110,95.29Z,10,47.216667,2.316667
18110,68.20A,80,47.183333,2.466667
18110,68.20A,80,47.166667,2.4
18110,68.20A,80,47.233333,2.416667
18110,68.20A,80,47.2,2.416667
18110,68.20A,80,47.183333,2.433333
18110,68.20A,80,47.15,2.35
18110,68.20A,80,47.233333,2.45
18110,68.20A,80,47.183333,2.433333
18110,68.20A,80,47.15,2.433333
18110,68.20A,80,47.216667,2.316667
18110,45.3E,20,47.183333,2.466667
18110,45.3E,20,47.166667,2.4
18110,45.3E,20,47.233333,2.416667
18110,45.3E,20,47.2,2.416667
18110,45.3E,20,47.183333,2.433333
18110,45.3E,20,47.15,2.35
18110,45.3E,20,47.233333,2.45
18110,45.3E,20,47.183333,2.433333
18110,45.3E,20,47.15,2.433333
18110,45.3E,20,47.216667,2.316667
18110,55.60,50,47.183333,2.466667
18110,55.60,50,47.166667,2.4
18110,55.60,50,47.233333,2.416667
18110,55.60,50,47.2,2.416667
18110,55.60,50,47.183333,2.433333
18110,55.60,50,47.15,2.35
18110,55.60,50,47.233333,2.45
18110,55.60,50,47.183333,2.433333
