codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
18120,47.99A,10,47.133333,2.166667
18120,47.99A,10,47.1,2.183333
18120,47.99A,10,47.166667,2.05
18120,47.99A,10,47.15,2
18120,47.99A,10,47.116667,2.05
18120,47.99A,10,47.066667,2.116667
18120,47.99A,10,47.075,2.058333
18120,47.99A,10,47.116667,2.05
18120,47.99A,10,47.116667,2.1
18120,47.99A,10,47.15,2.133333
18120,55.3A,20,47.133333,2.166667
18120,55.3A,20,47.1,2.183333
18120,55.3A,20,47.166667,2.05
18120,55.3A,20,47.15,2
18120,55.3A,20,47.116667,2.05
18120,55.3A,20,47.066667,2.116667
18120,55.3A,20,47.075,2.058333
18120,55.3A,20,47.116667,2.05
18120,55.3A,20,47.116667,2.1
18120,55.3A,20,47.15,2.133333
18120,43.22A,10,47.133333,2.166667
18120,43.22A,10,47.1,2.183333
18120,43.22A,10,47.166667,2.05
18120,43.22A,10,47.15,2
18120,43.22A,10,47.116667,2.05
18120,43.22A,10,47.066667,2.116667
18120,43.22A,10,47.075,2.058333
18120,43.22A,10,47.116667,2.05
18120,43.22A,10,47.116667,2.1
18120,43.22A,10,47.15,2.133333
18120,67.05,10,47.133333,2.166667
18120,67.05,10,47.1,2.183333
18120,67.05,10,47.166667,2.05
18120,67.05,10,47.15,2
18120,67.05,10,47.116667,2.05
18120,67.05,10,47.066667,2.116667
18120,67.05,10,47.075,2.058333
18120,67.05,10,47.116667,2.05
18120,67.05,10,47.116667,2.1
18120,67.05,10,47.15,2.133333
18120,02.10Z,10,47.133333,2.166667
18120,02.10Z,10,47.1,2.183333
18120,02.10Z,10,47.166667,2.05
18120,02.10Z,10,47.15,2
18120,02.10Z,10,47.116667,2.05
18120,02.10Z,10,47.066667,2.116667
18120,02.10Z,10,47.075,2.058333
18120,02.10Z,10,47.116667,2.05
18120,02.10Z,10,47.116667,2.1
18120,02.10Z,10,47.15,2.133333
18120,01.11Z,160,47.133333,2.166667
18120,01.11Z,160,47.1,2.183333
18120,01.11Z,160,47.166667,2.05
18120,01.11Z,160,47.15,2
18120,01.11Z,160,47.116667,2.05
18120,01.11Z,160,47.066667,2.116667
18120,01.11Z,160,47.075,2.058333
18120,01.11Z,160,47.116667,2.05
18120,01.11Z,160,47.116667,2.1
18120,01.11Z,160,47.15,2.133333
18120,68.20A,10,47.133333,2.166667
18120,68.20A,10,47.1,2.183333
18120,68.20A,10,47.166667,2.05
18120,68.20A,10,47.15,2
18120,68.20A,10,47.116667,2.05
18120,68.20A,10,47.066667,2.116667
18120,68.20A,10,47.075,2.058333
18120,68.20A,10,47.116667,2.05
18120,68.20A,10,47.116667,2.1
18120,68.20A,10,47.15,2.133333
18120,49.32Z,10,47.133333,2.166667
18120,49.32Z,10,47.1,2.183333
18120,49.32Z,10,47.166667,2.05
18120,49.32Z,10,47.15,2
18120,49.32Z,10,47.116667,2.05
18120,49.32Z,10,47.066667,2.116667
18120,49.32Z,10,47.075,2.058333
18120,49.32Z,10,47.116667,2.05
18120,49.32Z,10,47.116667,2.1
18120,49.32Z,10,47.15,2.133333
18120,45.3E,10,47.133333,2.166667
18120,45.3E,10,47.1,2.183333
18120,45.3E,10,47.166667,2.05
18120,45.3E,10,47.15,2
18120,45.3E,10,47.116667,2.05
18120,45.3E,10,47.066667,2.116667
18120,45.3E,10,47.075,2.058333
18120,45.3E,10,47.116667,2.05
18120,45.3E,10,47.116667,2.1
18120,45.3E,10,47.15,2.133333
18120,55.60,20,47.133333,2.166667
18120,55.60,20,47.1,2.183333
18120,55.60,20,47.166667,2.05
18120,55.60,20,47.15,2
18120,55.60,20,47.116667,2.05
18120,55.60,20,47.066667,2.116667
18120,55.60,20,47.075,2.058333
18120,55.60,20,47.116667,2.05
18120,55.60,20,47.116667,2.1
18120,55.60,20,47.15,2.133333
18120,56.30Z,10,47.133333,2.166667
18120,56.30Z,10,47.1,2.183333
18120,56.30Z,10,47.166667,2.05
18120,56.30Z,10,47.15,2
18120,56.30Z,10,47.116667,2.05
