codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
18220,47.99A,40,47.183333,2.516667
18220,47.99A,40,47.133333,2.55
18220,47.99A,40,47.216667,2.633333
18220,47.99A,40,47.183333,2.616667
18220,47.99A,40,47.233333,2.55
18220,47.99A,40,47.233333,2.6
18220,47.99A,40,47.2,2.566667
18220,47.99A,40,47.116667,2.616667
18220,47.99A,40,47.183333,2.716667
18220,47.99A,40,47.216667,2.583333
18220,25.73B,10,47.183333,2.516667
18220,25.73B,10,47.133333,2.55
18220,25.73B,10,47.216667,2.633333
18220,25.73B,10,47.183333,2.616667
18220,25.73B,10,47.233333,2.55
18220,25.73B,10,47.233333,2.6
18220,25.73B,10,47.2,2.566667
18220,25.73B,10,47.116667,2.616667
18220,25.73B,10,47.183333,2.716667
18220,25.73B,10,47.216667,2.583333
18220,02.10Z,20,47.183333,2.516667
18220,02.10Z,20,47.133333,2.55
18220,02.10Z,20,47.216667,2.633333
18220,02.10Z,20,47.183333,2.616667
18220,02.10Z,20,47.233333,2.55
18220,02.10Z,20,47.233333,2.6
18220,02.10Z,20,47.2,2.566667
18220,02.10Z,20,47.116667,2.616667
18220,02.10Z,20,47.183333,2.716667
18220,02.10Z,20,47.216667,2.583333
18220,01.11Z,20,47.183333,2.516667
18220,01.11Z,20,47.133333,2.55
18220,01.11Z,20,47.216667,2.633333
18220,01.11Z,20,47.183333,2.616667
18220,01.11Z,20,47.233333,2.55
18220,01.11Z,20,47.233333,2.6
18220,01.11Z,20,47.2,2.566667
18220,01.11Z,20,47.116667,2.616667
18220,01.11Z,20,47.183333,2.716667
18220,01.11Z,20,47.216667,2.583333
18220,95.29Z,10,47.183333,2.516667
18220,95.29Z,10,47.133333,2.55
18220,95.29Z,10,47.216667,2.633333
18220,95.29Z,10,47.183333,2.616667
18220,95.29Z,10,47.233333,2.55
18220,95.29Z,10,47.233333,2.6
18220,95.29Z,10,47.2,2.566667
18220,95.29Z,10,47.116667,2.616667
18220,95.29Z,10,47.183333,2.716667
18220,95.29Z,10,47.216667,2.583333
18220,55.31,10,47.183333,2.516667
18220,55.31,10,47.133333,2.55
18220,55.31,10,47.216667,2.633333
18220,55.31,10,47.183333,2.616667
18220,55.31,10,47.233333,2.55
18220,55.31,10,47.233333,2.6
18220,55.31,10,47.2,2.566667
18220,55.31,10,47.116667,2.616667
18220,55.31,10,47.183333,2.716667
18220,55.31,10,47.216667,2.583333
18220,55.60,20,47.183333,2.516667
18220,55.60,20,47.133333,2.55
18220,55.60,20,47.216667,2.633333
18220,55.60,20,47.183333,2.616667
18220,55.60,20,47.233333,2.55
18220,55.60,20,47.233333,2.6
18220,55.60,20,47.2,2.566667
18220,55.60,20,47.116667,2.616667
18220,55.60,20,47.183333,2.716667
18220,55.60,20,47.216667,2.583333
18220,56.21Z,10,47.183333,2.516667
18220,56.21Z,10,47.133333,2.55
18220,56.21Z,10,47.216667,2.633333
18220,56.21Z,10,47.183333,2.616667
18220,56.21Z,10,47.233333,2.55
18220,56.21Z,10,47.233333,2.6
18220,56.21Z,10,47.2,2.566667
18220,56.21Z,10,47.116667,2.616667
18220,56.21Z,10,47.183333,2.716667
18220,56.21Z,10,47.216667,2.583333
18220,62.11,10,47.183333,2.516667
18220,62.11,10,47.133333,2.55
18220,62.11,10,47.216667,2.633333
18220,62.11,10,47.183333,2.616667
18220,62.11,10,47.233333,2.55
18220,62.11,10,47.233333,2.6
18220,62.11,10,47.2,2.566667
18220,62.11,10,47.116667,2.616667
18220,62.11,10,47.183333,2.716667
18220,62.11,10,47.216667,2.583333
18220,47.77Z,10,47.183333,2.516667
18220,47.77Z,10,47.133333,2.55
18220,47.77Z,10,47.216667,2.633333
18220,47.77Z,10,47.183333,2.616667
18220,47.77Z,10,47.233333,2.55
18220,47.77Z,10,47.233333,2.6
18220,47.77Z,10,47.2,2.566667
18220,47.77Z,10,47.116667,2.616667
18220,47.77Z,10,47.183333,2.716667
18220,47.77Z,10,47.216667,2.583333
18220,81.22Z,10,47.183333,2.516667
18220,81.22Z,10,47.133333,2.55
18220,81.22Z,10,47.216667,2.633333
18220,81.22Z,10,47.183333,2.616667
18220,81.22Z,10,47.233333,2.55
18220,81.22Z,10,47.233333,2.6
18220,81.22Z,10,47.2,2.566667
18220,81.22Z,10,47.116667,2.616667
18220,81.22Z,10,47.183333,2.716667
18220,81.22Z,10,47.216667,2.583333
18220,90.01Z,10,47.183333,2.516667
18220,90.01Z,10,47.133333,2.55
18220,90.01Z,10,47.216667,2.633333
18220,90.01Z,10,47.183333,2.616667
18220,90.01Z,10,47.233333,2.55
