codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
19220,47.99A,27,45.133333,2.033333
19220,47.99A,27,45.133333,2.1
19220,47.99A,27,45.133333,2.133333
19220,47.99A,27,45.066667,2.083333
19220,47.99A,27,45.083333,2.116667
19220,47.99A,27,45.166667,2.2
19220,47.99A,27,45.183333,2.1
19220,47.99A,27,45.216667,2.066667
19220,47.99A,27,45.2,2.166667
19220,01.56,9,45.133333,2.033333
19220,01.56,9,45.133333,2.1
19220,01.56,9,45.133333,2.133333
19220,01.56,9,45.066667,2.083333
19220,01.56,9,45.083333,2.116667
19220,01.56,9,45.166667,2.2
19220,01.56,9,45.183333,2.1
19220,01.56,9,45.216667,2.066667
19220,01.56,9,45.2,2.166667
19220,43.22A,9,45.133333,2.033333
19220,43.22A,9,45.133333,2.1
19220,43.22A,9,45.133333,2.133333
19220,43.22A,9,45.066667,2.083333
19220,43.22A,9,45.083333,2.116667
19220,43.22A,9,45.166667,2.2
19220,43.22A,9,45.183333,2.1
19220,43.22A,9,45.216667,2.066667
19220,43.22A,9,45.2,2.166667
19220,02.10Z,54,45.133333,2.033333
19220,02.10Z,54,45.133333,2.1
19220,02.10Z,54,45.133333,2.133333
19220,02.10Z,54,45.066667,2.083333
19220,02.10Z,54,45.083333,2.116667
19220,02.10Z,54,45.166667,2.2
19220,02.10Z,54,45.183333,2.1
19220,02.10Z,54,45.216667,2.066667
19220,02.10Z,54,45.2,2.166667
19220,01.11Z,108,45.133333,2.033333
19220,01.11Z,108,45.133333,2.1
19220,01.11Z,108,45.133333,2.133333
19220,01.11Z,108,45.066667,2.083333
19220,01.11Z,108,45.083333,2.116667
19220,01.11Z,108,45.166667,2.2
19220,01.11Z,108,45.183333,2.1
19220,01.11Z,108,45.216667,2.066667
19220,01.11Z,108,45.2,2.166667
19220,38.22Z,9,45.133333,2.033333
19220,38.22Z,9,45.133333,2.1
19220,38.22Z,9,45.133333,2.133333
19220,38.22Z,9,45.066667,2.083333
19220,38.22Z,9,45.083333,2.116667
19220,38.22Z,9,45.166667,2.2
19220,38.22Z,9,45.183333,2.1
19220,38.22Z,9,45.216667,2.066667
19220,38.22Z,9,45.2,2.166667
19220,95.29Z,9,45.133333,2.033333
19220,95.29Z,9,45.133333,2.1
19220,95.29Z,9,45.133333,2.133333
19220,95.29Z,9,45.066667,2.083333
19220,95.29Z,9,45.083333,2.116667
19220,95.29Z,9,45.166667,2.2
19220,95.29Z,9,45.183333,2.1
19220,95.29Z,9,45.216667,2.066667
19220,95.29Z,9,45.2,2.166667
19220,68.20A,27,45.133333,2.033333
19220,68.20A,27,45.133333,2.1
19220,68.20A,27,45.133333,2.133333
19220,68.20A,27,45.066667,2.083333
19220,68.20A,27,45.083333,2.116667
19220,68.20A,27,45.166667,2.2
19220,68.20A,27,45.183333,2.1
19220,68.20A,27,45.216667,2.066667
19220,68.20A,27,45.2,2.166667
19220,45.3E,9,45.133333,2.033333
19220,45.3E,9,45.133333,2.1
19220,45.3E,9,45.133333,2.133333
19220,45.3E,9,45.066667,2.083333
19220,45.3E,9,45.083333,2.116667
19220,45.3E,9,45.166667,2.2
19220,45.3E,9,45.183333,2.1
19220,45.3E,9,45.216667,2.066667
19220,45.3E,9,45.2,2.166667
19220,55.60,9,45.133333,2.033333
19220,55.60,9,45.133333,2.1
19220,55.60,9,45.133333,2.133333
19220,55.60,9,45.066667,2.083333
19220,55.60,9,45.083333,2.116667
19220,55.60,9,45.166667,2.2
19220,55.60,9,45.183333,2.1
19220,55.60,9,45.216667,2.066667
19220,55.60,9,45.2,2.166667
19220,62.11,9,45.133333,2.033333
19220,62.11,9,45.133333,2.1
19220,62.11,9,45.133333,2.133333
19220,62.11,9,45.066667,2.083333
19220,62.11,9,45.083333,2.116667
19220,62.11,9,45.166667,2.2
19220,62.11,9,45.183333,2.1
19220,62.11,9,45.216667,2.066667
19220,62.11,9,45.2,2.166667
19220,50.2Z,18,45.133333,2.033333
19220,50.2Z,18,45.133333,2.1
19220,50.2Z,18,45.133333,2.133333
19220,50.2Z,18,45.066667,2.083333
19220,50.2Z,18,45.083333,2.116667
19220,50.2Z,18,45.166667,2.2
19220,50.2Z,18,45.183333,2.1
19220,50.2Z,18,45.216667,2.066667
19220,50.2Z,18,45.2,2.166667
19220,43.34Z,27,45.133333,2.033333
19220,43.34Z,27,45.133333,2.1
19220,43.34Z,27,45.133333,2.133333
19220,43.34Z,27,45.066667,2.083333
19220,43.34Z,27,45.083333,2.116667
19220,43.34Z,27,45.166667,2.2
19220,43.34Z,27,45.183333,2.1
19220,43.34Z,27,45.216667,2.066667
19220,43.34Z,27,45.2,2.166667
19220,64.20Z,9,45.133333,2.033333
19220,64.20Z,9,45.133333,2.1
19220,64.20Z,9,45.133333,2.133333
19220,64.20Z,9,45.066667,2.083333
19220,64.20Z,9,45.083333,2.116667
19220,64.20Z,9,45.166667,2.2
