codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
21200,47.99A,78,47.033333,4.883333
21200,47.99A,78,46.983333,4.9
21200,47.99A,78,47.016667,4.916667
21200,47.99A,78,46.983333,4.85
21200,47.99A,78,46.983333,4.95
21200,47.99A,78,47,4.966667
21200,47.99A,78,47,4.866667
21200,47.99A,78,47,4.9
21200,47.99A,78,47.05,4.866667
21200,47.99A,78,46.966667,4.966667
21200,47.99A,78,47.05,4.766667
21200,47.99A,78,46.983333,4.833333
21200,47.99A,78,47.033333,4.833333
21200,33.20A,13,47.033333,4.883333
21200,33.20A,13,46.983333,4.9
21200,33.20A,13,47.016667,4.916667
21200,33.20A,13,46.983333,4.85
21200,33.20A,13,46.983333,4.95
21200,33.20A,13,47,4.966667
21200,33.20A,13,47,4.866667
21200,33.20A,13,47,4.9
21200,33.20A,13,47.05,4.866667
21200,33.20A,13,46.966667,4.966667
21200,33.20A,13,47.05,4.766667
21200,33.20A,13,46.983333,4.833333
21200,33.20A,13,47.033333,4.833333
21200,35.4A,13,47.033333,4.883333
21200,35.4A,13,46.983333,4.9
21200,35.4A,13,47.016667,4.916667
21200,35.4A,13,46.983333,4.85
21200,35.4A,13,46.983333,4.95
21200,35.4A,13,47,4.966667
21200,35.4A,13,47,4.866667
21200,35.4A,13,47,4.9
21200,35.4A,13,47.05,4.866667
21200,35.4A,13,46.966667,4.966667
21200,35.4A,13,47.05,4.766667
21200,35.4A,13,46.983333,4.833333
21200,35.4A,13,47.033333,4.833333
21200,64.11,13,47.033333,4.883333
21200,64.11,13,46.983333,4.9
21200,64.11,13,47.016667,4.916667
21200,64.11,13,46.983333,4.85
21200,64.11,13,46.983333,4.95
21200,64.11,13,47,4.966667
21200,64.11,13,47,4.866667
21200,64.11,13,47,4.9
21200,64.11,13,47.05,4.866667
21200,64.11,13,46.966667,4.966667
21200,64.11,13,47.05,4.766667
21200,64.11,13,46.983333,4.833333
21200,64.11,13,47.033333,4.833333
21200,55.3A,13,47.033333,4.883333
21200,55.3A,13,46.983333,4.9
21200,55.3A,13,47.016667,4.916667
21200,55.3A,13,46.983333,4.85
21200,55.3A,13,46.983333,4.95
21200,55.3A,13,47,4.966667
21200,55.3A,13,47,4.866667
21200,55.3A,13,47,4.9
21200,55.3A,13,47.05,4.866667
21200,55.3A,13,46.966667,4.966667
21200,55.3A,13,47.05,4.766667
21200,55.3A,13,46.983333,4.833333
21200,55.3A,13,47.033333,4.833333
21200,46.45Z,26,47.033333,4.883333
21200,46.45Z,26,46.983333,4.9
21200,46.45Z,26,47.016667,4.916667
21200,46.45Z,26,46.983333,4.85
21200,46.45Z,26,46.983333,4.95
21200,46.45Z,26,47,4.966667
21200,46.45Z,26,47,4.866667
21200,46.45Z,26,47,4.9
21200,46.45Z,26,47.05,4.866667
21200,46.45Z,26,46.966667,4.966667
21200,46.45Z,26,47.05,4.766667
21200,46.45Z,26,46.983333,4.833333
21200,46.45Z,26,47.033333,4.833333
21200,43.22A,65,47.033333,4.883333
21200,43.22A,65,46.983333,4.9
21200,43.22A,65,47.016667,4.916667
21200,43.22A,65,46.983333,4.85
21200,43.22A,65,46.983333,4.95
21200,43.22A,65,47,4.966667
21200,43.22A,65,47,4.866667
21200,43.22A,65,47,4.9
21200,43.22A,65,47.05,4.866667
21200,43.22A,65,46.966667,4.966667
21200,43.22A,65,47.05,4.766667
21200,43.22A,65,46.983333,4.833333
21200,43.22A,65,47.033333,4.833333
21200,93.0D,13,47.033333,4.883333
21200,93.0D,13,46.983333,4.9
21200,93.0D,13,47.016667,4.916667
21200,93.0D,13,46.983333,4.85
21200,93.0D,13,46.983333,4.95
21200,93.0D,13,47,4.966667
21200,93.0D,13,47,4.866667
21200,93.0D,13,47,4.9
21200,93.0D,13,47.05,4.866667
21200,93.0D,13,46.966667,4.966667
21200,93.0D,13,47.05,4.766667
21200,93.0D,13,46.983333,4.833333
21200,93.0D,13,47.033333,4.833333
21200,47.79Z,39,47.033333,4.883333
21200,47.79Z,39,46.983333,4.9
21200,47.79Z,39,47.016667,4.916667
21200,47.79Z,39,46.983333,4.85
21200,47.79Z,39,46.983333,4.95
21200,47.79Z,39,47,4.966667
21200,47.79Z,39,47,4.866667
21200,47.79Z,39,47,4.9
21200,47.79Z,39,47.05,4.866667
21200,47.79Z,39,46.966667,4.966667
21200,47.79Z,39,47.05,4.766667
21200,47.79Z,39,46.983333,4.833333
