codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
21220,47.99A,48,47.266667,4.85
21220,47.99A,48,47.2,4.85
21220,47.99A,48,"",""
21220,47.99A,48,47.166667,4.9
21220,47.99A,48,47.2,5.016667
21220,47.99A,48,47.183333,4.9
21220,47.99A,48,47.233333,4.866667
21220,47.99A,48,47.2,4.966667
21220,47.99A,48,"",""
21220,47.99A,48,47.183333,4.883333
21220,47.99A,48,47.233333,4.95
21220,47.99A,48,47.25,4.966667
21220,47.99A,48,47.183333,5.033333
21220,47.99A,48,47.166667,4.783333
21220,47.99A,48,47.166667,4.883333
21220,47.99A,48,47.2,4.916667
21220,47.99A,48,47.166667,4.85
21220,47.99A,48,47.25,4.883333
21220,47.99A,48,"",""
21220,47.99A,48,47.183333,4.95
21220,47.99A,48,47.233333,4.9
21220,47.99A,48,47.2,5.05
21220,47.99A,48,47.233333,4.966667
21220,47.99A,48,47.183333,4.85
21220,01.11Z,24,47.266667,4.85
21220,01.11Z,24,47.2,4.85
21220,01.11Z,24,"",""
21220,01.11Z,24,47.166667,4.9
21220,01.11Z,24,47.2,5.016667
21220,01.11Z,24,47.183333,4.9
21220,01.11Z,24,47.233333,4.866667
21220,01.11Z,24,47.2,4.966667
21220,01.11Z,24,"",""
21220,01.11Z,24,47.183333,4.883333
21220,01.11Z,24,47.233333,4.95
21220,01.11Z,24,47.25,4.966667
21220,01.11Z,24,47.183333,5.033333
21220,01.11Z,24,47.166667,4.783333
21220,01.11Z,24,47.166667,4.883333
21220,01.11Z,24,47.2,4.916667
21220,01.11Z,24,47.166667,4.85
21220,01.11Z,24,47.25,4.883333
21220,01.11Z,24,"",""
21220,01.11Z,24,47.183333,4.95
21220,01.11Z,24,47.233333,4.9
21220,01.11Z,24,47.2,5.05
21220,01.11Z,24,47.233333,4.966667
21220,01.11Z,24,47.183333,4.85
21220,68.20A,24,47.266667,4.85
21220,68.20A,24,47.2,4.85
21220,68.20A,24,"",""
21220,68.20A,24,47.166667,4.9
21220,68.20A,24,47.2,5.016667
21220,68.20A,24,47.183333,4.9
21220,68.20A,24,47.233333,4.866667
21220,68.20A,24,47.2,4.966667
21220,68.20A,24,"",""
21220,68.20A,24,47.183333,4.883333
21220,68.20A,24,47.233333,4.95
21220,68.20A,24,47.25,4.966667
21220,68.20A,24,47.183333,5.033333
21220,68.20A,24,47.166667,4.783333
21220,68.20A,24,47.166667,4.883333
21220,68.20A,24,47.2,4.916667
21220,68.20A,24,47.166667,4.85
21220,68.20A,24,47.25,4.883333
21220,68.20A,24,"",""
21220,68.20A,24,47.183333,4.95
21220,68.20A,24,47.233333,4.9
21220,68.20A,24,47.2,5.05
21220,68.20A,24,47.233333,4.966667
21220,68.20A,24,47.183333,4.85
21220,45.2R,48,47.266667,4.85
21220,45.2R,48,47.2,4.85
21220,45.2R,48,"",""
21220,45.2R,48,47.166667,4.9
21220,45.2R,48,47.2,5.016667
21220,45.2R,48,47.183333,4.9
21220,45.2R,48,47.233333,4.866667
21220,45.2R,48,47.2,4.966667
21220,45.2R,48,"",""
21220,45.2R,48,47.183333,4.883333
21220,45.2R,48,47.233333,4.95
21220,45.2R,48,47.25,4.966667
21220,45.2R,48,47.183333,5.033333
21220,45.2R,48,47.166667,4.783333
21220,45.2R,48,47.166667,4.883333
21220,45.2R,48,47.2,4.916667
21220,45.2R,48,47.166667,4.85
21220,45.2R,48,47.25,4.883333
21220,45.2R,48,"",""
21220,45.2R,48,47.183333,4.95
21220,45.2R,48,47.233333,4.9
21220,45.2R,48,47.2,5.05
21220,45.2R,48,47.233333,4.966667
21220,45.2R,48,47.183333,4.85
21220,55.60,24,47.266667,4.85
21220,55.60,24,47.2,4.85
21220,55.60,24,"",""
21220,55.60,24,47.166667,4.9
21220,55.60,24,47.2,5.016667
21220,55.60,24,47.183333,4.9
21220,55.60,24,47.233333,4.866667
21220,55.60,24,47.2,4.966667
21220,55.60,24,"",""
21220,55.60,24,47.183333,4.883333
21220,55.60,24,47.233333,4.95
21220,55.60,24,47.25,4.966667
21220,55.60,24,47.183333,5.033333
21220,55.60,24,47.166667,4.783333
21220,55.60,24,47.166667,4.883333
21220,55.60,24,47.2,4.916667
21220,55.60,24,47.166667,4.85
21220,55.60,24,47.25,4.883333
21220,55.60,24,"",""
21220,55.60,24,47.183333,4.95
21220,55.60,24,47.233333,4.9
21220,55.60,24,47.2,5.05
21220,55.60,24,47.233333,4.966667
21220,55.60,24,47.183333,4.85
21220,56.21Z,24,47.266667,4.85
21220,56.21Z,24,47.2,4.85
21220,56.21Z,24,"",""
21220,56.21Z,24,47.166667,4.9
21220,56.21Z,24,47.2,5.016667
21220,56.21Z,24,47.183333,4.9
21220,56.21Z,24,47.233333,4.866667
21220,56.21Z,24,47.2,4.966667
21220,56.21Z,24,"",""
21220,56.21Z,24,47.183333,4.883333
21220,56.21Z,24,47.233333,4.95
21220,56.21Z,24,47.25,4.966667
21220,56.21Z,24,47.183333,5.033333
21220,56.21Z,24,47.166667,4.783333
21220,56.21Z,24,47.166667,4.883333
21220,56.21Z,24,47.2,4.916667
21220,56.21Z,24,47.166667,4.85
21220,56.21Z,24,47.25,4.883333
21220,56.21Z,24,"",""
21220,56.21Z,24,47.183333,4.95
21220,56.21Z,24,47.233333,4.9
21220,56.21Z,24,47.2,5.05
21220,56.21Z,24,47.233333,4.966667
21220,56.21Z,24,47.183333,4.85
21220,84.11Z,48,47.266667,4.85
21220,84.11Z,48,47.2,4.85
21220,84.11Z,48,"",""
21220,84.11Z,48,47.166667,4.9
21220,84.11Z,48,47.2,5.016667
21220,84.11Z,48,47.183333,4.9
21220,84.11Z,48,47.233333,4.866667
21220,84.11Z,48,47.2,4.966667
21220,84.11Z,48,"",""
21220,84.11Z,48,47.183333,4.883333
21220,84.11Z,48,47.233333,4.95
21220,84.11Z,48,47.25,4.966667
21220,84.11Z,48,47.183333,5.033333
21220,84.11Z,48,47.166667,4.783333
21220,84.11Z,48,47.166667,4.883333
21220,84.11Z,48,47.2,4.916667
21220,84.11Z,48,47.166667,4.85
21220,84.11Z,48,47.25,4.883333
21220,84.11Z,48,"",""
21220,84.11Z,48,47.183333,4.95
21220,84.11Z,48,47.233333,4.9
21220,84.11Z,48,47.2,5.05
21220,84.11Z,48,47.233333,4.966667
21220,84.11Z,48,47.183333,4.85
21220,70.2B,24,47.266667,4.85
21220,70.2B,24,47.2,4.85
21220,70.2B,24,"",""
21220,70.2B,24,47.166667,4.9
21220,70.2B,24,47.2,5.016667
