codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
21430,47.99A,26,47.15,4.266667
21430,47.99A,26,47.166667,4.333333
21430,47.99A,26,47.216667,4.366667
21430,47.99A,26,47.116667,4.283333
21430,47.99A,26,47.133333,4.15
21430,47.99A,26,47.15,4.35
21430,47.99A,26,47.133333,4.35
21430,47.99A,26,47.2,4.283333
21430,47.99A,26,47.183333,4.366667
21430,47.99A,26,47.2,4.35
21430,47.99A,26,47.183333,4.3
21430,47.99A,26,"",""
21430,47.99A,26,47.133333,4.316667
21430,43.22A,13,47.15,4.266667
21430,43.22A,13,47.166667,4.333333
21430,43.22A,13,47.216667,4.366667
21430,43.22A,13,47.116667,4.283333
21430,43.22A,13,47.133333,4.15
21430,43.22A,13,47.15,4.35
21430,43.22A,13,47.133333,4.35
21430,43.22A,13,47.2,4.283333
21430,43.22A,13,47.183333,4.366667
21430,43.22A,13,47.2,4.35
21430,43.22A,13,47.183333,4.3
21430,43.22A,13,"",""
21430,43.22A,13,47.133333,4.316667
21430,01.11Z,52,47.15,4.266667
21430,01.11Z,52,47.166667,4.333333
21430,01.11Z,52,47.216667,4.366667
21430,01.11Z,52,47.116667,4.283333
21430,01.11Z,52,47.133333,4.15
21430,01.11Z,52,47.15,4.35
21430,01.11Z,52,47.133333,4.35
21430,01.11Z,52,47.2,4.283333
21430,01.11Z,52,47.183333,4.366667
21430,01.11Z,52,47.2,4.35
21430,01.11Z,52,47.183333,4.3
21430,01.11Z,52,"",""
21430,01.11Z,52,47.133333,4.316667
21430,55.60,13,47.15,4.266667
21430,55.60,13,47.166667,4.333333
21430,55.60,13,47.216667,4.366667
21430,55.60,13,47.116667,4.283333
21430,55.60,13,47.133333,4.15
21430,55.60,13,47.15,4.35
21430,55.60,13,47.133333,4.35
21430,55.60,13,47.2,4.283333
21430,55.60,13,47.183333,4.366667
21430,55.60,13,47.2,4.35
21430,55.60,13,47.183333,4.3
21430,55.60,13,"",""
21430,55.60,13,47.133333,4.316667
21430,72.2Z,13,47.15,4.266667
21430,72.2Z,13,47.166667,4.333333
21430,72.2Z,13,47.216667,4.366667
21430,72.2Z,13,47.116667,4.283333
21430,72.2Z,13,47.133333,4.15
21430,72.2Z,13,47.15,4.35
