codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
21500,47.99A,232,47.566667,4.283333
21500,47.99A,232,47.55,4.3
21500,47.99A,232,47.65,4.433333
21500,47.99A,232,47.583333,4.266667
21500,47.99A,232,47.733333,4.416667
21500,47.99A,232,"",""
21500,47.99A,232,47.6,4.266667
21500,47.99A,232,47.666667,4.25
21500,47.99A,232,47.6,4.25
21500,47.99A,232,"",""
21500,47.99A,232,47.75,4.383333
21500,47.99A,232,"",""
21500,47.99A,232,47.566667,4.216667
21500,47.99A,232,47.583333,4.333333
21500,47.99A,232,47.616667,4.333333
21500,47.99A,232,47.616667,4.366667
21500,47.99A,232,47.616667,4.45
21500,47.99A,232,47.583333,4.216667
21500,47.99A,232,47.6,4.383333
21500,47.99A,232,47.7,4.433333
21500,47.99A,232,47.6,4.466667
21500,47.99A,232,47.616667,4.316667
21500,47.99A,232,47.6,4.4
21500,47.99A,232,47.55,4.35
21500,47.99A,232,47.65,4.283333
21500,47.99A,232,47.583333,4.4
21500,47.99A,232,"",""
21500,47.99A,232,47.716667,4.283333
21500,47.99A,232,47.7,4.316667
21500,55.3A,29,47.566667,4.283333
21500,55.3A,29,47.55,4.3
21500,55.3A,29,47.65,4.433333
21500,55.3A,29,47.583333,4.266667
21500,55.3A,29,47.733333,4.416667
21500,55.3A,29,"",""
21500,55.3A,29,47.6,4.266667
21500,55.3A,29,47.666667,4.25
21500,55.3A,29,47.6,4.25
21500,55.3A,29,"",""
21500,55.3A,29,47.75,4.383333
21500,55.3A,29,"",""
21500,55.3A,29,47.566667,4.216667
21500,55.3A,29,47.583333,4.333333
21500,55.3A,29,47.616667,4.333333
21500,55.3A,29,47.616667,4.366667
21500,55.3A,29,47.616667,4.45
21500,55.3A,29,47.583333,4.216667
21500,55.3A,29,47.6,4.383333
21500,55.3A,29,47.7,4.433333
21500,55.3A,29,47.6,4.466667
21500,55.3A,29,47.616667,4.316667
21500,55.3A,29,47.6,4.4
