codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
21520,01.11Z,20,47.95,4.8
21520,01.11Z,20,47.95,4.766667
21520,01.11Z,20,"",""
21520,01.11Z,20,47.9,4.883333
21520,01.11Z,20,47.883333,4.9
21520,01.11Z,20,"",""
21520,01.11Z,20,47.983333,4.7805
21520,01.11Z,20,47.916667,4.733333
21520,01.11Z,20,47.933333,4.816667
21520,01.11Z,20,47.916667,4.716667
21520,68.20A,30,47.95,4.8
21520,68.20A,30,47.95,4.766667
21520,68.20A,30,"",""
21520,68.20A,30,47.9,4.883333
21520,68.20A,30,47.883333,4.9
21520,68.20A,30,"",""
21520,68.20A,30,47.983333,4.7805
21520,68.20A,30,47.916667,4.733333
21520,68.20A,30,47.933333,4.816667
21520,68.20A,30,47.916667,4.716667
21520,55.60,10,47.95,4.8
21520,55.60,10,47.95,4.766667
21520,55.60,10,"",""
21520,55.60,10,47.9,4.883333
21520,55.60,10,47.883333,4.9
21520,55.60,10,"",""
21520,55.60,10,47.983333,4.7805
21520,55.60,10,47.916667,4.733333
21520,55.60,10,47.933333,4.816667
21520,55.60,10,47.916667,4.716667
21520,85.1C,10,47.95,4.8
21520,85.1C,10,47.95,4.766667
21520,85.1C,10,"",""
21520,85.1C,10,47.9,4.883333
21520,85.1C,10,47.883333,4.9
21520,85.1C,10,"",""
21520,85.1C,10,47.983333,4.7805
21520,85.1C,10,47.916667,4.733333
21520,85.1C,10,47.933333,4.816667
21520,85.1C,10,47.916667,4.716667
21520,50.2Z,10,47.95,4.8
21520,50.2Z,10,47.95,4.766667
21520,50.2Z,10,"",""
21520,50.2Z,10,47.9,4.883333
21520,50.2Z,10,47.883333,4.9
21520,50.2Z,10,"",""
21520,50.2Z,10,47.983333,4.7805
21520,50.2Z,10,47.916667,4.733333
21520,50.2Z,10,47.933333,4.816667
21520,50.2Z,10,47.916667,4.716667
21520,45.4J,10,47.95,4.8
21520,45.4J,10,47.95,4.766667
21520,45.4J,10,"",""
21520,45.4J,10,47.9,4.883333
21520,45.4J,10,47.883333,4.9
21520,45.4J,10,"",""
21520,45.4J,10,47.983333,4.7805
21520,45.4J,10,47.916667,4.733333
21520,45.4J,10,47.933333,4.816667
21520,45.4J,10,47.916667,4.716667
