codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
22190,47.99A,13,48.533333,-2.783333
22190,70.3A,1,48.533333,-2.783333
22190,34.2A,1,48.533333,-2.783333
22190,64.11,2,48.533333,-2.783333
22190,65.12Z,1,48.533333,-2.783333
22190,55.3A,2,48.533333,-2.783333
22190,43.22A,6,48.533333,-2.783333
22190,47.04,1,48.533333,-2.783333
22190,67.05,1,48.533333,-2.783333
22190,41.10A,1,48.533333,-2.783333
22190,93.0D,1,48.533333,-2.783333
22190,01.11Z,8,48.533333,-2.783333
22190,01.60,2,48.533333,-2.783333
22190,47.79Z,1,48.533333,-2.783333
22190,49.41A,2,48.533333,-2.783333
22190,92.3A,1,48.533333,-2.783333
22190,52.4Z,1,48.533333,-2.783333
22190,95.29Z,6,48.533333,-2.783333
22190,68.20A,18,48.533333,-2.783333
22190,55.40,3,48.533333,-2.783333
22190,64.49,1,48.533333,-2.783333
22190,45.3E,4,48.533333,-2.783333
22190,55.60,6,48.533333,-2.783333
22190,45.2J,1,48.533333,-2.783333
22190,56.30Z,8,48.533333,-2.783333
22190,01.2E,2,48.533333,-2.783333
22190,52.29A,1,48.533333,-2.783333
22190,95.11Z,4,48.533333,-2.783333
22190,62.11,1,48.533333,-2.783333
22190,85.1C,1,48.533333,-2.783333
22190,46.49Z,2,48.533333,-2.783333
22190,50.2Z,1,48.533333,-2.783333
22190,45.4J,1,48.533333,-2.783333
22190,01.47Z,3,48.533333,-2.783333
22190,13.30Z,2,48.533333,-2.783333
22190,81.22Z,1,48.533333,-2.783333
22190,43.34Z,15,48.533333,-2.783333
22190,88.99A,1,48.533333,-2.783333
22190,95.21Z,2,48.533333,-2.783333
22190,93.19Z,3,48.533333,-2.783333
22190,52.4X,1,48.533333,-2.783333
22190,64.20Z,7,48.533333,-2.783333
22190,86.90E,22,48.533333,-2.783333
22190,90.01Z,7,48.533333,-2.783333
22190,01.43Z,1,48.533333,-2.783333
22190,82.20Z,1,48.533333,-2.783333
22190,47.82Z,4,48.533333,-2.783333
22190,47.75Z,1,48.533333,-2.783333
22190,94.91Z,2,48.533333,-2.783333
22190,74.10Z,6,48.533333,-2.783333
22190,56.10C,3,48.533333,-2.783333
22190,74.90A,1,48.533333,-2.783333
22190,52.4R,1,48.533333,-2.783333
22190,43.91A,8,48.533333,-2.783333
22190,81.30Z,27,48.533333,-2.783333
22190,01.4B,5,48.533333,-2.783333
22190,84.11Z,14,48.533333,-2.783333
22190,29.3D,1,48.533333,-2.783333
22190,22.23Z,1,48.533333,-2.783333
22190,50.1Z,2,48.533333,-2.783333
22190,36.5Z,1,48.533333,-2.783333
22190,77.08,1,48.533333,-2.783333
22190,10.13B,5,48.533333,-2.783333
22190,01.21Z,1,48.533333,-2.783333
22190,66.30Z,1,48.533333,-2.783333
22190,64.45,1,48.533333,-2.783333
22190,70.2B,2,48.533333,-2.783333
22190,85.1G,6,48.533333,-2.783333
22190,77.14,1,48.533333,-2.783333
22190,43.39Z,4,48.533333,-2.783333
22190,01.3Z,7,48.533333,-2.783333
22190,01.4A,2,48.533333,-2.783333
22190,55.20Z,4,48.533333,-2.783333
22190,43.22B,5,48.533333,-2.783333
22190,93.12Z,10,48.533333,-2.783333
22190,43.29B,1,48.533333,-2.783333
22190,72.11Z,1,48.533333,-2.783333
22190,43.32A,18,48.533333,-2.783333
22190,56.29B,1,48.533333,-2.783333
22190,25.62B,2,48.533333,-2.783333
22190,46.22Z,1,48.533333,-2.783333
22190,74.30Z,1,48.533333,-2.783333
22190,38.32Z,1,48.533333,-2.783333
22190,47.11B,3,48.533333,-2.783333
22190,96.03Z,4,48.533333,-2.783333
22190,70.1F,1,48.533333,-2.783333
22190,47.11C,1,48.533333,-2.783333
22190,92.3B,2,48.533333,-2.783333
22190,86.10,1,48.533333,-2.783333
22190,65.06,1,48.533333,-2.783333
22190,51.8N,1,48.533333,-2.783333
22190,64.19Z,1,48.533333,-2.783333
22190,32.1B,1,48.533333,-2.783333
22190,13.92Z,3,48.533333,-2.783333
22190,55.70,1,48.533333,-2.783333
22190,86.23Z,5,48.533333,-2.783333
22190,49.39A,1,48.533333,-2.783333
22190,46.38B,1,48.533333,-2.783333
22190,62.42,2,48.533333,-2.783333
22190,52.6E,4,48.533333,-2.783333
22190,29.5E,1,48.533333,-2.783333
22190,97.22,1,48.533333,-2.783333
22190,74.1J,6,48.533333,-2.783333
22190,43.33Z,8,48.533333,-2.783333
22190,68.32B,1,48.533333,-2.783333
22190,74.20Z,4,48.533333,-2.783333
22190,37.2Z,1,48.533333,-2.783333
22190,56.10A,9,48.533333,-2.783333
22190,86.90D,31,48.533333,-2.783333
22190,96.02A,12,48.533333,-2.783333
22190,36.1E,1,48.533333,-2.783333
22190,82.19Z,1,48.533333,-2.783333
22190,46.19B,8,48.533333,-2.783333
22190,31.09B,1,48.533333,-2.783333
22190,77.31Z,5,48.533333,-2.783333
22190,85.20Z,1,48.533333,-2.783333
22190,45.3A,7,48.533333,-2.783333
22190,55.30Z,2,48.533333,-2.783333
