codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
23200,55.3A,84,45.933333,2.233333
23200,55.3A,84,"",""
23200,55.3A,84,45.933333,2.116667
23200,55.3A,84,46,2.2
23200,55.3A,84,45.916667,2.283333
23200,55.3A,84,45.983333,2.2
23200,55.3A,84,45.983333,2.233333
23200,55.3A,84,45.916667,2.25
23200,55.3A,84,45.916667,2.2
23200,55.3A,84,45.983333,2.233333
23200,55.3A,84,"",""
23200,55.3A,84,45.95,2.116667
23200,55.3A,84,45.95,2.166667
23200,55.3A,84,45.983333,2.15
23200,02.10Z,56,45.933333,2.233333
23200,02.10Z,56,"",""
23200,02.10Z,56,45.933333,2.116667
23200,02.10Z,56,46,2.2
23200,02.10Z,56,45.916667,2.283333
23200,02.10Z,56,45.983333,2.2
23200,02.10Z,56,45.983333,2.233333
23200,02.10Z,56,45.916667,2.25
23200,02.10Z,56,45.916667,2.2
23200,02.10Z,56,45.983333,2.233333
23200,02.10Z,56,"",""
23200,02.10Z,56,45.95,2.116667
23200,02.10Z,56,45.95,2.166667
23200,02.10Z,56,45.983333,2.15
23200,01.50,14,45.933333,2.233333
23200,01.50,14,"",""
23200,01.50,14,45.933333,2.116667
23200,01.50,14,46,2.2
23200,01.50,14,45.916667,2.283333
23200,01.50,14,45.983333,2.2
23200,01.50,14,45.983333,2.233333
23200,01.50,14,45.916667,2.25
23200,01.50,14,45.916667,2.2
23200,01.50,14,45.983333,2.233333
23200,01.50,14,"",""
23200,01.50,14,45.95,2.116667
23200,01.50,14,45.95,2.166667
23200,01.50,14,45.983333,2.15
23200,45.4J,14,45.933333,2.233333
23200,45.4J,14,"",""
23200,45.4J,14,45.933333,2.116667
23200,45.4J,14,46,2.2
23200,45.4J,14,45.916667,2.283333
23200,45.4J,14,45.983333,2.2
23200,45.4J,14,45.983333,2.233333
23200,45.4J,14,45.916667,2.25
23200,45.4J,14,45.916667,2.2
23200,45.4J,14,45.983333,2.233333
23200,45.4J,14,"",""
23200,45.4J,14,45.95,2.116667
23200,45.4J,14,45.95,2.166667
23200,45.4J,14,45.983333,2.15
23200,03.22Z,14,45.933333,2.233333
23200,03.22Z,14,"",""
23200,03.22Z,14,45.933333,2.116667
23200,03.22Z,14,46,2.2
23200,03.22Z,14,45.916667,2.283333
23200,03.22Z,14,45.983333,2.2
23200,03.22Z,14,45.983333,2.233333
23200,03.22Z,14,45.916667,2.25
23200,03.22Z,14,45.916667,2.2
23200,03.22Z,14,45.983333,2.233333
23200,03.22Z,14,"",""
23200,03.22Z,14,45.95,2.116667
23200,03.22Z,14,45.95,2.166667
23200,03.22Z,14,45.983333,2.15
23200,01.43Z,14,45.933333,2.233333
23200,01.43Z,14,"",""
23200,01.43Z,14,45.933333,2.116667
23200,01.43Z,14,46,2.2
23200,01.43Z,14,45.916667,2.283333
23200,01.43Z,14,45.983333,2.2
23200,01.43Z,14,45.983333,2.233333
23200,01.43Z,14,45.916667,2.25
23200,01.43Z,14,45.916667,2.2
23200,01.43Z,14,45.983333,2.233333
23200,01.43Z,14,"",""
23200,01.43Z,14,45.95,2.116667
23200,01.43Z,14,45.95,2.166667
23200,01.43Z,14,45.983333,2.15
23200,01.07,14,45.933333,2.233333
23200,01.07,14,"",""
23200,01.07,14,45.933333,2.116667
23200,01.07,14,46,2.2
23200,01.07,14,45.916667,2.283333
23200,01.07,14,45.983333,2.2
23200,01.07,14,45.983333,2.233333
23200,01.07,14,45.916667,2.25
23200,01.07,14,45.916667,2.2
23200,01.07,14,45.983333,2.233333
23200,01.07,14,"",""
23200,01.07,14,45.95,2.116667
23200,01.07,14,45.95,2.166667
23200,01.07,14,45.983333,2.15
23200,81.30Z,28,45.933333,2.233333
23200,81.30Z,28,"",""
23200,81.30Z,28,45.933333,2.116667
23200,81.30Z,28,46,2.2
23200,81.30Z,28,45.916667,2.283333
23200,81.30Z,28,45.983333,2.2
23200,81.30Z,28,45.983333,2.233333
23200,81.30Z,28,45.916667,2.25
23200,81.30Z,28,45.916667,2.2
23200,81.30Z,28,45.983333,2.233333
23200,81.30Z,28,"",""
23200,81.30Z,28,45.95,2.116667
23200,81.30Z,28,45.95,2.166667
23200,81.30Z,28,45.983333,2.15
23200,84.11Z,56,45.933333,2.233333
23200,84.11Z,56,"",""
23200,84.11Z,56,45.933333,2.116667
23200,84.11Z,56,46,2.2
23200,84.11Z,56,45.916667,2.283333
23200,84.11Z,56,45.983333,2.2
23200,84.11Z,56,45.983333,2.233333
23200,84.11Z,56,45.916667,2.25
23200,84.11Z,56,45.916667,2.2
23200,84.11Z,56,45.983333,2.233333
23200,84.11Z,56,"",""
23200,84.11Z,56,45.95,2.116667
23200,84.11Z,56,45.95,2.166667
23200,84.11Z,56,45.983333,2.15
23200,55.20Z,14,45.933333,2.233333
23200,55.20Z,14,"",""
23200,55.20Z,14,45.933333,2.116667
23200,55.20Z,14,46,2.2
23200,55.20Z,14,45.916667,2.283333
23200,55.20Z,14,45.983333,2.2
23200,55.20Z,14,45.983333,2.233333
23200,55.20Z,14,45.916667,2.25
23200,55.20Z,14,45.916667,2.2
23200,55.20Z,14,45.983333,2.233333
23200,55.20Z,14,"",""
23200,55.20Z,14,45.95,2.116667
23200,55.20Z,14,45.95,2.166667
23200,55.20Z,14,45.983333,2.15
23200,93.12Z,14,45.933333,2.233333
23200,93.12Z,14,"",""
23200,93.12Z,14,45.933333,2.116667
23200,93.12Z,14,46,2.2
23200,93.12Z,14,45.916667,2.283333
23200,93.12Z,14,45.983333,2.2
23200,93.12Z,14,45.983333,2.233333
23200,93.12Z,14,45.916667,2.25
23200,93.12Z,14,45.916667,2.2
23200,93.12Z,14,45.983333,2.233333
23200,93.12Z,14,"",""
23200,93.12Z,14,45.95,2.116667
23200,93.12Z,14,45.95,2.166667
23200,93.12Z,14,45.983333,2.15
23200,43.32A,14,45.933333,2.233333
23200,43.32A,14,"",""
23200,43.32A,14,45.933333,2.116667
23200,43.32A,14,46,2.2
23200,43.32A,14,45.916667,2.283333
23200,43.32A,14,45.983333,2.2
23200,43.32A,14,45.983333,2.233333
23200,43.32A,14,45.916667,2.25
23200,43.32A,14,45.916667,2.2
23200,43.32A,14,45.983333,2.233333
23200,43.32A,14,"",""
23200,43.32A,14,45.95,2.116667
23200,43.32A,14,45.95,2.166667
23200,43.32A,14,45.983333,2.15
23200,15.11Z,14,45.933333,2.233333
23200,15.11Z,14,"",""
23200,15.11Z,14,45.933333,2.116667
23200,15.11Z,14,46,2.2
23200,15.11Z,14,45.916667,2.283333
23200,15.11Z,14,45.983333,2.2
23200,15.11Z,14,45.983333,2.233333
23200,15.11Z,14,45.916667,2.25
23200,15.11Z,14,45.916667,2.2
23200,15.11Z,14,45.983333,2.233333
23200,15.11Z,14,"",""
23200,15.11Z,14,45.95,2.116667
23200,15.11Z,14,45.95,2.166667
23200,15.11Z,14,45.983333,2.15
23200,00.10,14,45.933333,2.233333
23200,00.10,14,"",""
23200,00.10,14,45.933333,2.116667
23200,00.10,14,46,2.2
23200,00.10,14,45.916667,2.283333
23200,00.10,14,45.983333,2.2
23200,00.10,14,45.983333,2.233333
23200,00.10,14,45.916667,2.25
23200,00.10,14,45.916667,2.2
23200,00.10,14,45.983333,2.233333
23200,00.10,14,"",""
23200,00.10,14,45.95,2.116667
23200,00.10,14,45.95,2.166667
