codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
23230,02.10Z,32,"",""
23230,02.10Z,32,46.216667,2.2
23230,02.10Z,32,46.183333,2.233333
23230,02.10Z,32,46.266667,2.3
23230,14.39Z,4,"",""
23230,14.39Z,4,46.216667,2.2
23230,14.39Z,4,46.183333,2.233333
23230,14.39Z,4,46.266667,2.3
23230,92.3A,4,"",""
23230,92.3A,4,46.216667,2.2
23230,92.3A,4,46.183333,2.233333
23230,92.3A,4,46.266667,2.3
23230,56.30Z,4,"",""
23230,56.30Z,4,46.216667,2.2
23230,56.30Z,4,46.183333,2.233333
23230,56.30Z,4,46.266667,2.3
23230,32.99Z,4,"",""
23230,32.99Z,4,46.216667,2.2
23230,32.99Z,4,46.183333,2.233333
23230,32.99Z,4,46.266667,2.3
23230,01.47Z,4,"",""
23230,01.47Z,4,46.216667,2.2
23230,01.47Z,4,46.183333,2.233333
23230,01.47Z,4,46.266667,2.3
23230,01.43Z,4,"",""
23230,01.43Z,4,46.216667,2.2
23230,01.43Z,4,46.183333,2.233333
23230,01.43Z,4,46.266667,2.3
23230,90.01Z,8,"",""
23230,90.01Z,8,46.216667,2.2
23230,90.01Z,8,46.183333,2.233333
23230,90.01Z,8,46.266667,2.3
23230,56.10C,4,"",""
23230,56.10C,4,46.216667,2.2
23230,56.10C,4,46.183333,2.233333
23230,56.10C,4,46.266667,2.3
23230,43.91A,4,"",""
23230,43.91A,4,46.216667,2.2
23230,43.91A,4,46.183333,2.233333
23230,43.91A,4,46.266667,2.3
23230,81.30Z,4,"",""
23230,81.30Z,4,46.216667,2.2
23230,81.30Z,4,46.183333,2.233333
23230,81.30Z,4,46.266667,2.3
23230,84.11Z,12,"",""
23230,84.11Z,12,46.216667,2.2
23230,84.11Z,12,46.183333,2.233333
23230,84.11Z,12,46.266667,2.3
23230,66.30Z,4,"",""
23230,66.30Z,4,46.216667,2.2
23230,66.30Z,4,46.183333,2.233333
23230,66.30Z,4,46.266667,2.3
23230,55.20Z,4,"",""
23230,55.20Z,4,46.216667,2.2
23230,55.20Z,4,46.183333,2.233333
23230,55.20Z,4,46.266667,2.3
23230,93.12Z,8,"",""
23230,93.12Z,8,46.216667,2.2
23230,93.12Z,8,46.183333,2.233333
23230,93.12Z,8,46.266667,2.3
23230,43.22B,4,"",""
23230,43.22B,4,46.216667,2.2
23230,43.22B,4,46.183333,2.233333
23230,43.22B,4,46.266667,2.3
23230,43.32A,4,"",""
23230,43.32A,4,46.216667,2.2
23230,43.32A,4,46.183333,2.233333
23230,43.32A,4,46.266667,2.3
23230,15.11Z,4,"",""
23230,15.11Z,4,46.216667,2.2
23230,15.11Z,4,46.183333,2.233333
23230,15.11Z,4,46.266667,2.3
23230,25.62B,4,"",""
23230,25.62B,4,46.216667,2.2
23230,25.62B,4,46.183333,2.233333
23230,25.62B,4,46.266667,2.3
23230,74.1G,8,"",""
23230,74.1G,8,46.216667,2.2
23230,74.1G,8,46.183333,2.233333
23230,74.1G,8,46.266667,2.3
23230,01.24Z,4,"",""
23230,01.24Z,4,46.216667,2.2
23230,01.24Z,4,46.183333,2.233333
23230,01.24Z,4,46.266667,2.3
23230,02.20Z,24,"",""
23230,02.20Z,24,46.216667,2.2
23230,02.20Z,24,46.183333,2.233333
23230,02.20Z,24,46.266667,2.3
23230,74.1J,12,"",""
23230,74.1J,12,46.216667,2.2
23230,74.1J,12,46.183333,2.233333
23230,74.1J,12,46.266667,2.3
23230,01.25Z,4,"",""
23230,01.25Z,4,46.216667,2.2
23230,01.25Z,4,46.183333,2.233333
23230,01.25Z,4,46.266667,2.3
23230,45.3A,4,"",""
23230,45.3A,4,46.216667,2.2
23230,45.3A,4,46.183333,2.233333
23230,45.3A,4,46.266667,2.3
23230,69.12,4,"",""
23230,69.12,4,46.216667,2.2
23230,69.12,4,46.183333,2.233333
23230,69.12,4,46.266667,2.3
23230,43.91B,4,"",""
23230,43.91B,4,46.216667,2.2
23230,43.91B,4,46.183333,2.233333
23230,43.91B,4,46.266667,2.3
23230,94.99Z,8,"",""
23230,94.99Z,8,46.216667,2.2
23230,94.99Z,8,46.183333,2.233333
23230,94.99Z,8,46.266667,2.3
23230,14.13Z,4,"",""
