codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
24150,64.11,42,44.833333,0.666667
24150,64.11,42,44.85,0.65
24150,64.11,42,"",""
24150,64.11,42,44.833333,0.766667
24150,64.11,42,44.866667,0.783333
24150,64.11,42,44.816667,0.666667
24150,64.11,42,44.833333,0.733333
24150,64.11,42,44.833333,0.7
24150,64.11,42,44.866667,0.666667
24150,64.11,42,44.85,0.816667
24150,64.11,42,44.8,0.85
24150,64.11,42,44.8,0.733333
24150,64.11,42,44.85,0.683333
24150,64.11,42,44.85,0.8
24150,70.3A,14,44.833333,0.666667
24150,70.3A,14,44.85,0.65
24150,70.3A,14,"",""
24150,70.3A,14,44.833333,0.766667
24150,70.3A,14,44.866667,0.783333
24150,70.3A,14,44.816667,0.666667
24150,70.3A,14,44.833333,0.733333
24150,70.3A,14,44.833333,0.7
24150,70.3A,14,44.866667,0.666667
24150,70.3A,14,44.85,0.816667
24150,70.3A,14,44.8,0.85
24150,70.3A,14,44.8,0.733333
24150,70.3A,14,44.85,0.683333
24150,70.3A,14,44.85,0.8
24150,55.3A,28,44.833333,0.666667
24150,55.3A,28,44.85,0.65
24150,55.3A,28,"",""
24150,55.3A,28,44.833333,0.766667
24150,55.3A,28,44.866667,0.783333
24150,55.3A,28,44.816667,0.666667
24150,55.3A,28,44.833333,0.733333
24150,55.3A,28,44.833333,0.7
24150,55.3A,28,44.866667,0.666667
24150,55.3A,28,44.85,0.816667
24150,55.3A,28,44.8,0.85
24150,55.3A,28,44.8,0.733333
24150,55.3A,28,44.85,0.683333
24150,55.3A,28,44.85,0.8
24150,01.56,14,44.833333,0.666667
24150,01.56,14,44.85,0.65
24150,01.56,14,"",""
24150,01.56,14,44.833333,0.766667
24150,01.56,14,44.866667,0.783333
24150,01.56,14,44.816667,0.666667
24150,01.56,14,44.833333,0.733333
24150,01.56,14,44.833333,0.7
24150,01.56,14,44.866667,0.666667
24150,01.56,14,44.85,0.816667
24150,01.56,14,44.8,0.85
24150,01.56,14,44.8,0.733333
24150,01.56,14,44.85,0.683333
24150,01.56,14,44.85,0.8
24150,43.22A,14,44.833333,0.666667
24150,43.22A,14,44.85,0.65
24150,43.22A,14,"",""
24150,43.22A,14,44.833333,0.766667
24150,43.22A,14,44.866667,0.783333
24150,43.22A,14,44.816667,0.666667
24150,43.22A,14,44.833333,0.733333
24150,43.22A,14,44.833333,0.7
24150,43.22A,14,44.866667,0.666667
24150,43.22A,14,44.85,0.816667
24150,43.22A,14,44.8,0.85
24150,43.22A,14,44.8,0.733333
24150,43.22A,14,44.85,0.683333
24150,43.22A,14,44.85,0.8
24150,93.0D,14,44.833333,0.666667
24150,93.0D,14,44.85,0.65
24150,93.0D,14,"",""
24150,93.0D,14,44.833333,0.766667
24150,93.0D,14,44.866667,0.783333
24150,93.0D,14,44.816667,0.666667
24150,93.0D,14,44.833333,0.733333
24150,93.0D,14,44.833333,0.7
24150,93.0D,14,44.866667,0.666667
24150,93.0D,14,44.85,0.816667
24150,93.0D,14,44.8,0.85
24150,93.0D,14,44.8,0.733333
24150,93.0D,14,44.85,0.683333
24150,93.0D,14,44.85,0.8
24150,01.1F,42,44.833333,0.666667
24150,01.1F,42,44.85,0.65
24150,01.1F,42,"",""
24150,01.1F,42,44.833333,0.766667
24150,01.1F,42,44.866667,0.783333
24150,01.1F,42,44.816667,0.666667
24150,01.1F,42,44.833333,0.733333
24150,01.1F,42,44.833333,0.7
24150,01.1F,42,44.866667,0.666667
24150,01.1F,42,44.85,0.816667
24150,01.1F,42,44.8,0.85
24150,01.1F,42,44.8,0.733333
24150,01.1F,42,44.85,0.683333
24150,01.1F,42,44.85,0.8
24150,11.01Z,14,44.833333,0.666667
24150,11.01Z,14,44.85,0.65
24150,11.01Z,14,"",""
24150,11.01Z,14,44.833333,0.766667
24150,11.01Z,14,44.866667,0.783333
24150,11.01Z,14,44.816667,0.666667
24150,11.01Z,14,44.833333,0.733333
24150,11.01Z,14,44.833333,0.7
24150,11.01Z,14,44.866667,0.666667
24150,11.01Z,14,44.85,0.816667
24150,11.01Z,14,44.8,0.85
24150,11.01Z,14,44.8,0.733333
24150,11.01Z,14,44.85,0.683333
24150,11.01Z,14,44.85,0.8
24150,01.11Z,126,44.833333,0.666667
24150,01.11Z,126,44.85,0.65
24150,01.11Z,126,"",""
24150,01.11Z,126,44.833333,0.766667
24150,01.11Z,126,44.866667,0.783333
24150,01.11Z,126,44.816667,0.666667
24150,01.11Z,126,44.833333,0.733333
24150,01.11Z,126,44.833333,0.7
