codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
24210,64.11,39,45.133333,1.066667
24210,64.11,39,45.166667,1.15
24210,64.11,39,45.2,1.083333
24210,64.11,39,45.15,1.166667
24210,64.11,39,45.183333,0.95
24210,64.11,39,45.166667,0.983333
24210,64.11,39,"",""
24210,64.11,39,45.2,1.033333
24210,64.11,39,45.133333,0.983333
24210,64.11,39,45.2,1
24210,64.11,39,45.1,1.066667
24210,64.11,39,45.15,1.116667
24210,64.11,39,45.15,1.016667
24210,70.3A,26,45.133333,1.066667
24210,70.3A,26,45.166667,1.15
24210,70.3A,26,45.2,1.083333
24210,70.3A,26,45.15,1.166667
24210,70.3A,26,45.183333,0.95
24210,70.3A,26,45.166667,0.983333
24210,70.3A,26,"",""
24210,70.3A,26,45.2,1.033333
24210,70.3A,26,45.133333,0.983333
24210,70.3A,26,45.2,1
24210,70.3A,26,45.1,1.066667
24210,70.3A,26,45.15,1.116667
24210,70.3A,26,45.15,1.016667
24210,55.3A,39,45.133333,1.066667
24210,55.3A,39,45.166667,1.15
24210,55.3A,39,45.2,1.083333
24210,55.3A,39,45.15,1.166667
24210,55.3A,39,45.183333,0.95
24210,55.3A,39,45.166667,0.983333
24210,55.3A,39,"",""
24210,55.3A,39,45.2,1.033333
24210,55.3A,39,45.133333,0.983333
24210,55.3A,39,45.2,1
24210,55.3A,39,45.1,1.066667
24210,55.3A,39,45.15,1.116667
24210,55.3A,39,45.15,1.016667
24210,65.12Z,13,45.133333,1.066667
24210,65.12Z,13,45.166667,1.15
24210,65.12Z,13,45.2,1.083333
24210,65.12Z,13,45.15,1.166667
24210,65.12Z,13,45.183333,0.95
24210,65.12Z,13,45.166667,0.983333
24210,65.12Z,13,"",""
24210,65.12Z,13,45.2,1.033333
24210,65.12Z,13,45.133333,0.983333
24210,65.12Z,13,45.2,1
24210,65.12Z,13,45.1,1.066667
24210,65.12Z,13,45.15,1.116667
24210,65.12Z,13,45.15,1.016667
24210,43.22A,26,45.133333,1.066667
24210,43.22A,26,45.166667,1.15
24210,43.22A,26,45.2,1.083333
24210,43.22A,26,45.15,1.166667
24210,43.22A,26,45.183333,0.95
24210,43.22A,26,45.166667,0.983333
24210,43.22A,26,"",""
24210,43.22A,26,45.2,1.033333
24210,43.22A,26,45.133333,0.983333
24210,43.22A,26,45.2,1
24210,43.22A,26,45.1,1.066667
24210,43.22A,26,45.15,1.116667
24210,43.22A,26,45.15,1.016667
24210,93.0D,13,45.133333,1.066667
24210,93.0D,13,45.166667,1.15
24210,93.0D,13,45.2,1.083333
24210,93.0D,13,45.15,1.166667
24210,93.0D,13,45.183333,0.95
24210,93.0D,13,45.166667,0.983333
24210,93.0D,13,"",""
24210,93.0D,13,45.2,1.033333
24210,93.0D,13,45.133333,0.983333
24210,93.0D,13,45.2,1
24210,93.0D,13,45.1,1.066667
24210,93.0D,13,45.15,1.116667
24210,93.0D,13,45.15,1.016667
24210,02.10Z,13,45.133333,1.066667
24210,02.10Z,13,45.166667,1.15
24210,02.10Z,13,45.2,1.083333
24210,02.10Z,13,45.15,1.166667
24210,02.10Z,13,45.183333,0.95
24210,02.10Z,13,45.166667,0.983333
24210,02.10Z,13,"",""
24210,02.10Z,13,45.2,1.033333
24210,02.10Z,13,45.133333,0.983333
24210,02.10Z,13,45.2,1
24210,02.10Z,13,45.1,1.066667
24210,02.10Z,13,45.15,1.116667
24210,02.10Z,13,45.15,1.016667
24210,47.79Z,104,45.133333,1.066667
24210,47.79Z,104,45.166667,1.15
24210,47.79Z,104,45.2,1.083333
24210,47.79Z,104,45.15,1.166667
24210,47.79Z,104,45.183333,0.95
24210,47.79Z,104,45.166667,0.983333
24210,47.79Z,104,"",""
24210,47.79Z,104,45.2,1.033333
24210,47.79Z,104,45.133333,0.983333
24210,47.79Z,104,45.2,1
24210,47.79Z,104,45.1,1.066667
24210,47.79Z,104,45.15,1.116667
24210,47.79Z,104,45.15,1.016667
24210,00.97,13,45.133333,1.066667
24210,00.97,13,45.166667,1.15
24210,00.97,13,45.2,1.083333
24210,00.97,13,45.15,1.166667
24210,00.97,13,45.183333,0.95
24210,00.97,13,45.166667,0.983333
24210,00.97,13,"",""
24210,00.97,13,45.2,1.033333
24210,00.97,13,45.133333,0.983333
24210,00.97,13,45.2,1
24210,00.97,13,45.1,1.066667
24210,00.97,13,45.15,1.116667
24210,00.97,13,45.15,1.016667
24210,01.11Z,39,45.133333,1.066667
24210,01.11Z,39,45.166667,1.15
24210,01.11Z,39,45.2,1.083333
24210,01.11Z,39,45.15,1.166667
24210,01.11Z,39,45.183333,0.95
24210,01.11Z,39,45.166667,0.983333
24210,01.11Z,39,"",""
24210,01.11Z,39,45.2,1.033333
24210,01.11Z,39,45.133333,0.983333
24210,01.11Z,39,45.2,1
24210,01.11Z,39,45.1,1.066667
24210,01.11Z,39,45.15,1.116667
24210,01.11Z,39,45.15,1.016667
24210,23.19Z,13,45.133333,1.066667
24210,23.19Z,13,45.166667,1.15
24210,23.19Z,13,45.2,1.083333
24210,23.19Z,13,45.15,1.166667
24210,23.19Z,13,45.183333,0.95
24210,23.19Z,13,45.166667,0.983333
24210,23.19Z,13,"",""
24210,23.19Z,13,45.2,1.033333
24210,23.19Z,13,45.133333,0.983333
24210,23.19Z,13,45.2,1
24210,23.19Z,13,45.1,1.066667
24210,23.19Z,13,45.15,1.116667
24210,23.19Z,13,45.15,1.016667
24210,84.11,13,45.133333,1.066667
24210,84.11,13,45.166667,1.15
24210,84.11,13,45.2,1.083333
24210,84.11,13,45.15,1.166667
24210,84.11,13,45.183333,0.95
24210,84.11,13,45.166667,0.983333
24210,84.11,13,"",""
24210,84.11,13,45.2,1.033333
24210,84.11,13,45.133333,0.983333
24210,84.11,13,45.2,1
24210,84.11,13,45.1,1.066667
24210,84.11,13,45.15,1.116667
24210,84.11,13,45.15,1.016667
24210,77.01,13,45.133333,1.066667
24210,77.01,13,45.166667,1.15
24210,77.01,13,45.2,1.083333
24210,77.01,13,45.15,1.166667
24210,77.01,13,45.183333,0.95
24210,77.01,13,45.166667,0.983333
24210,77.01,13,"",""
24210,77.01,13,45.2,1.033333
24210,77.01,13,45.133333,0.983333
24210,77.01,13,45.2,1
24210,77.01,13,45.1,1.066667
24210,77.01,13,45.15,1.116667
24210,77.01,13,45.15,1.016667
24210,95.29Z,13,45.133333,1.066667
24210,95.29Z,13,45.166667,1.15
24210,95.29Z,13,45.2,1.083333
24210,95.29Z,13,45.15,1.166667
24210,95.29Z,13,45.183333,0.95
24210,95.29Z,13,45.166667,0.983333
24210,95.29Z,13,"",""
24210,95.29Z,13,45.2,1.033333
24210,95.29Z,13,45.133333,0.983333
24210,95.29Z,13,45.2,1
24210,95.29Z,13,45.1,1.066667
24210,95.29Z,13,45.15,1.116667
24210,95.29Z,13,45.15,1.016667
24210,46.36Z,13,45.133333,1.066667
24210,46.36Z,13,45.166667,1.15
24210,46.36Z,13,45.2,1.083333
24210,46.36Z,13,45.15,1.166667
24210,46.36Z,13,45.183333,0.95
24210,46.36Z,13,45.166667,0.983333
24210,46.36Z,13,"",""
24210,46.36Z,13,45.2,1.033333
24210,46.36Z,13,45.133333,0.983333
24210,46.36Z,13,45.2,1
24210,46.36Z,13,45.1,1.066667
24210,46.36Z,13,45.15,1.116667
24210,46.36Z,13,45.15,1.016667
24210,92.3A,13,45.133333,1.066667
24210,92.3A,13,45.166667,1.15
24210,92.3A,13,45.2,1.083333
24210,92.3A,13,45.15,1.166667
24210,92.3A,13,45.183333,0.95
24210,92.3A,13,45.166667,0.983333
24210,92.3A,13,"",""
24210,92.3A,13,45.2,1.033333
24210,92.3A,13,45.133333,0.983333
24210,92.3A,13,45.2,1
