codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
24230,47.99A,30,44.85,0.116667
24230,47.99A,30,"",""
24230,47.99A,30,44.833333,0.083333
24230,47.99A,30,44.866667,0.033333
24230,47.99A,30,44.833333,0.166667
24230,47.99A,30,44.866667,0.166667
24230,47.99A,30,44.85,0.066667
24230,47.99A,30,44.883333,0.15
24230,47.99A,30,44.85,0.033333
24230,47.99A,30,"",""
24230,55.3A,10,44.85,0.116667
24230,55.3A,10,"",""
24230,55.3A,10,44.833333,0.083333
24230,55.3A,10,44.866667,0.033333
24230,55.3A,10,44.833333,0.166667
24230,55.3A,10,44.866667,0.166667
24230,55.3A,10,44.85,0.066667
24230,55.3A,10,44.883333,0.15
24230,55.3A,10,44.85,0.033333
24230,55.3A,10,"",""
24230,02.10Z,20,44.85,0.116667
24230,02.10Z,20,"",""
24230,02.10Z,20,44.833333,0.083333
24230,02.10Z,20,44.866667,0.033333
24230,02.10Z,20,44.833333,0.166667
24230,02.10Z,20,44.866667,0.166667
24230,02.10Z,20,44.85,0.066667
24230,02.10Z,20,44.883333,0.15
24230,02.10Z,20,44.85,0.033333
24230,02.10Z,20,"",""
24230,01.11Z,30,44.85,0.116667
24230,01.11Z,30,"",""
24230,01.11Z,30,44.833333,0.083333
24230,01.11Z,30,44.866667,0.033333
24230,01.11Z,30,44.833333,0.166667
24230,01.11Z,30,44.866667,0.166667
24230,01.11Z,30,44.85,0.066667
24230,01.11Z,30,44.883333,0.15
24230,01.11Z,30,44.85,0.033333
24230,01.11Z,30,"",""
24230,68.20A,10,44.85,0.116667
24230,68.20A,10,"",""
24230,68.20A,10,44.833333,0.083333
24230,68.20A,10,44.866667,0.033333
24230,68.20A,10,44.833333,0.166667
24230,68.20A,10,44.866667,0.166667
24230,68.20A,10,44.85,0.066667
24230,68.20A,10,44.883333,0.15
24230,68.20A,10,44.85,0.033333
24230,68.20A,10,"",""
24230,55.60,30,44.85,0.116667
24230,55.60,30,"",""
24230,55.60,30,44.833333,0.083333
24230,55.60,30,44.866667,0.033333
24230,55.60,30,44.833333,0.166667
24230,55.60,30,44.866667,0.166667
24230,55.60,30,44.85,0.066667
24230,55.60,30,44.883333,0.15
24230,55.60,30,44.85,0.033333
24230,55.60,30,"",""
24230,56.30Z,10,44.85,0.116667
24230,56.30Z,10,"",""
24230,56.30Z,10,44.833333,0.083333
24230,56.30Z,10,44.866667,0.033333
24230,56.30Z,10,44.833333,0.166667
24230,56.30Z,10,44.866667,0.166667
24230,56.30Z,10,44.85,0.066667
24230,56.30Z,10,44.883333,0.15
24230,56.30Z,10,44.85,0.033333
24230,56.30Z,10,"",""
