codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
24290,67.05,11,45.116667,1.15
24290,67.05,11,45.016667,1.116667
24290,67.05,11,45,1.1
24290,67.05,11,45.016667,1.1
24290,67.05,11,45.066667,1.266667
24290,67.05,11,"",""
24290,67.05,11,45.116667,1.2
24290,67.05,11,45.016667,1.183333
24290,67.05,11,45.066667,1.1
24290,67.05,11,45.1,1.133333
24290,67.05,11,45.083333,1.2
24290,01.11Z,77,45.116667,1.15
24290,01.11Z,77,45.016667,1.116667
24290,01.11Z,77,45,1.1
24290,01.11Z,77,45.016667,1.1
24290,01.11Z,77,45.066667,1.266667
24290,01.11Z,77,"",""
24290,01.11Z,77,45.116667,1.2
24290,01.11Z,77,45.016667,1.183333
24290,01.11Z,77,45.066667,1.1
24290,01.11Z,77,45.1,1.133333
24290,01.11Z,77,45.083333,1.2
24290,49.41A,11,45.116667,1.15
24290,49.41A,11,45.016667,1.116667
24290,49.41A,11,45,1.1
24290,49.41A,11,45.016667,1.1
24290,49.41A,11,45.066667,1.266667
24290,49.41A,11,"",""
24290,49.41A,11,45.116667,1.2
24290,49.41A,11,45.016667,1.183333
24290,49.41A,11,45.066667,1.1
24290,49.41A,11,45.1,1.133333
24290,49.41A,11,45.083333,1.2
24290,95.29Z,11,45.116667,1.15
24290,95.29Z,11,45.016667,1.116667
24290,95.29Z,11,45,1.1
24290,95.29Z,11,45.016667,1.1
24290,95.29Z,11,45.066667,1.266667
24290,95.29Z,11,"",""
24290,95.29Z,11,45.116667,1.2
24290,95.29Z,11,45.016667,1.183333
24290,95.29Z,11,45.066667,1.1
24290,95.29Z,11,45.1,1.133333
24290,95.29Z,11,45.083333,1.2
24290,68.20A,11,45.116667,1.15
24290,68.20A,11,45.016667,1.116667
24290,68.20A,11,45,1.1
24290,68.20A,11,45.016667,1.1
24290,68.20A,11,45.066667,1.266667
24290,68.20A,11,"",""
24290,68.20A,11,45.116667,1.2
24290,68.20A,11,45.016667,1.183333
24290,68.20A,11,45.066667,1.1
24290,68.20A,11,45.1,1.133333
24290,68.20A,11,45.083333,1.2
24290,55.40,11,45.116667,1.15
24290,55.40,11,45.016667,1.116667
24290,55.40,11,45,1.1
24290,55.40,11,45.016667,1.1
24290,55.40,11,45.066667,1.266667
24290,55.40,11,"",""
24290,55.40,11,45.116667,1.2
24290,55.40,11,45.016667,1.183333
24290,55.40,11,45.066667,1.1
24290,55.40,11,45.1,1.133333
24290,55.40,11,45.083333,1.2
24290,36.00Z,11,45.116667,1.15
24290,36.00Z,11,45.016667,1.116667
24290,36.00Z,11,45,1.1
24290,36.00Z,11,45.016667,1.1
24290,36.00Z,11,45.066667,1.266667
24290,36.00Z,11,"",""
24290,36.00Z,11,45.116667,1.2
24290,36.00Z,11,45.016667,1.183333
24290,36.00Z,11,45.066667,1.1
24290,36.00Z,11,45.1,1.133333
24290,36.00Z,11,45.083333,1.2
24290,56.21Z,11,45.116667,1.15
24290,56.21Z,11,45.016667,1.116667
24290,56.21Z,11,45,1.1
24290,56.21Z,11,45.016667,1.1
24290,56.21Z,11,45.066667,1.266667
24290,56.21Z,11,"",""
24290,56.21Z,11,45.116667,1.2
24290,56.21Z,11,45.016667,1.183333
24290,56.21Z,11,45.066667,1.1
24290,56.21Z,11,45.1,1.133333
24290,56.21Z,11,45.083333,1.2
24290,62.11,11,45.116667,1.15
24290,62.11,11,45.016667,1.116667
24290,62.11,11,45,1.1
24290,62.11,11,45.016667,1.1
24290,62.11,11,45.066667,1.266667
24290,62.11,11,"",""
24290,62.11,11,45.116667,1.2
24290,62.11,11,45.016667,1.183333
24290,62.11,11,45.066667,1.1
24290,62.11,11,45.1,1.133333
24290,62.11,11,45.083333,1.2
24290,01.47Z,44,45.116667,1.15
24290,01.47Z,44,45.016667,1.116667
24290,01.47Z,44,45,1.1
24290,01.47Z,44,45.016667,1.1
24290,01.47Z,44,45.066667,1.266667
24290,01.47Z,44,"",""
24290,01.47Z,44,45.116667,1.2
24290,01.47Z,44,45.016667,1.183333
24290,01.47Z,44,45.066667,1.1
24290,01.47Z,44,45.1,1.133333
24290,01.47Z,44,45.083333,1.2
24290,90.01Z,11,45.116667,1.15
24290,90.01Z,11,45.016667,1.116667
24290,90.01Z,11,45,1.1
24290,90.01Z,11,45.016667,1.1
24290,90.01Z,11,45.066667,1.266667
24290,90.01Z,11,"",""
24290,90.01Z,11,45.116667,1.2
24290,90.01Z,11,45.016667,1.183333
24290,90.01Z,11,45.066667,1.1
24290,90.01Z,11,45.1,1.133333
24290,90.01Z,11,45.083333,1.2
24290,84.11Z,33,45.116667,1.15
24290,84.11Z,33,45.016667,1.116667
24290,84.11Z,33,45,1.1
24290,84.11Z,33,45.016667,1.1
24290,84.11Z,33,45.066667,1.266667
24290,84.11Z,33,"",""
24290,84.11Z,33,45.116667,1.2
24290,84.11Z,33,45.016667,1.183333
24290,84.11Z,33,45.066667,1.1
24290,84.11Z,33,45.1,1.133333
24290,84.11Z,33,45.083333,1.2
24290,10.13B,11,45.116667,1.15
24290,10.13B,11,45.016667,1.116667
24290,10.13B,11,45,1.1
24290,10.13B,11,45.016667,1.1
24290,10.13B,11,45.066667,1.266667
24290,10.13B,11,"",""
24290,10.13B,11,45.116667,1.2
24290,10.13B,11,45.016667,1.183333
24290,10.13B,11,45.066667,1.1
24290,10.13B,11,45.1,1.133333
24290,10.13B,11,45.083333,1.2
24290,95.11,11,45.116667,1.15
24290,95.11,11,45.016667,1.116667
24290,95.11,11,45,1.1
24290,95.11,11,45.016667,1.1
24290,95.11,11,45.066667,1.266667
24290,95.11,11,"",""
24290,95.11,11,45.116667,1.2
24290,95.11,11,45.016667,1.183333
24290,95.11,11,45.066667,1.1
24290,95.11,11,45.1,1.133333
24290,95.11,11,45.083333,1.2
24290,01.3Z,66,45.116667,1.15
24290,01.3Z,66,45.016667,1.116667
24290,01.3Z,66,45,1.1
24290,01.3Z,66,45.016667,1.1
24290,01.3Z,66,45.066667,1.266667
24290,01.3Z,66,"",""
24290,01.3Z,66,45.116667,1.2
24290,01.3Z,66,45.016667,1.183333
24290,01.3Z,66,45.066667,1.1
24290,01.3Z,66,45.1,1.133333
24290,01.3Z,66,45.083333,1.2
24290,43.39Z,11,45.116667,1.15
24290,43.39Z,11,45.016667,1.116667
24290,43.39Z,11,45,1.1
24290,43.39Z,11,45.016667,1.1
24290,43.39Z,11,45.066667,1.266667
24290,43.39Z,11,"",""
24290,43.39Z,11,45.116667,1.2
24290,43.39Z,11,45.016667,1.183333
24290,43.39Z,11,45.066667,1.1
24290,43.39Z,11,45.1,1.133333
24290,43.39Z,11,45.083333,1.2
24290,55.20Z,22,45.116667,1.15
24290,55.20Z,22,45.016667,1.116667
24290,55.20Z,22,45,1.1
24290,55.20Z,22,45.016667,1.1
24290,55.20Z,22,45.066667,1.266667
24290,55.20Z,22,"",""
24290,55.20Z,22,45.116667,1.2
24290,55.20Z,22,45.016667,1.183333
24290,55.20Z,22,45.066667,1.1
24290,55.20Z,22,45.1,1.133333
24290,55.20Z,22,45.083333,1.2
24290,69.22,11,45.116667,1.15
24290,69.22,11,45.016667,1.116667
24290,69.22,11,45,1.1
24290,69.22,11,45.016667,1.1
24290,69.22,11,45.066667,1.266667
24290,69.22,11,"",""
24290,69.22,11,45.116667,1.2
24290,69.22,11,45.016667,1.183333
24290,69.22,11,45.066667,1.1
24290,69.22,11,45.1,1.133333
24290,69.22,11,45.083333,1.2
24290,47.11B,11,45.116667,1.15
24290,47.11B,11,45.016667,1.116667
24290,47.11B,11,45,1.1
24290,47.11B,11,45.016667,1.1
24290,47.11B,11,45.066667,1.266667
24290,47.11B,11,"",""
24290,47.11B,11,45.116667,1.2
24290,47.11B,11,45.016667,1.183333
24290,47.11B,11,45.066667,1.1
24290,47.11B,11,45.1,1.133333
24290,47.11B,11,45.083333,1.2
24290,01.24Z,11,45.116667,1.15
24290,01.24Z,11,45.016667,1.116667
24290,01.24Z,11,45,1.1
24290,01.24Z,11,45.016667,1.1
24290,01.24Z,11,45.066667,1.266667
24290,01.24Z,11,"",""
24290,01.24Z,11,45.116667,1.2
24290,01.24Z,11,45.016667,1.183333
24290,01.24Z,11,45.066667,1.1
24290,01.24Z,11,45.1,1.133333
24290,01.24Z,11,45.083333,1.2
24290,13.92Z,11,45.116667,1.15
24290,13.92Z,11,45.016667,1.116667
24290,13.92Z,11,45,1.1
24290,13.92Z,11,45.016667,1.1
24290,13.92Z,11,45.066667,1.266667
24290,13.92Z,11,"",""
24290,13.92Z,11,45.116667,1.2
24290,13.92Z,11,45.016667,1.183333
24290,13.92Z,11,45.066667,1.1
24290,13.92Z,11,45.1,1.133333
24290,13.92Z,11,45.083333,1.2
24290,74.1J,11,45.116667,1.15
24290,74.1J,11,45.016667,1.116667
24290,74.1J,11,45,1.1
24290,74.1J,11,45.016667,1.1
24290,74.1J,11,45.066667,1.266667
24290,74.1J,11,"",""
24290,74.1J,11,45.116667,1.2
24290,74.1J,11,45.016667,1.183333
24290,74.1J,11,45.066667,1.1
24290,74.1J,11,45.1,1.133333
24290,74.1J,11,45.083333,1.2
24290,86.90D,22,45.116667,1.15
24290,86.90D,22,45.016667,1.116667
24290,86.90D,22,45,1.1
24290,86.90D,22,45.016667,1.1
24290,86.90D,22,45.066667,1.266667
24290,86.90D,22,"",""
24290,86.90D,22,45.116667,1.2
24290,86.90D,22,45.016667,1.183333
24290,86.90D,22,45.066667,1.1
24290,86.90D,22,45.1,1.133333
24290,86.90D,22,45.083333,1.2
24290,82.19Z,11,45.116667,1.15
24290,82.19Z,11,45.016667,1.116667
24290,82.19Z,11,45,1.1
24290,82.19Z,11,45.016667,1.1
24290,82.19Z,11,45.066667,1.266667
24290,82.19Z,11,"",""
24290,82.19Z,11,45.116667,1.2
24290,82.19Z,11,45.016667,1.183333
24290,82.19Z,11,45.066667,1.1
24290,82.19Z,11,45.1,1.133333
24290,82.19Z,11,45.083333,1.2
24290,46.19B,11,45.116667,1.15
24290,46.19B,11,45.016667,1.116667
24290,46.19B,11,45,1.1
24290,46.19B,11,45.016667,1.1
24290,46.19B,11,45.066667,1.266667
24290,46.19B,11,"",""
24290,46.19B,11,45.116667,1.2
24290,46.19B,11,45.016667,1.183333
24290,46.19B,11,45.066667,1.1
24290,46.19B,11,45.1,1.133333
24290,46.19B,11,45.083333,1.2
24290,01.25Z,55,45.116667,1.15
24290,01.25Z,55,45.016667,1.116667
24290,01.25Z,55,45,1.1
24290,01.25Z,55,45.016667,1.1
24290,01.25Z,55,45.066667,1.266667
24290,01.25Z,55,"",""
24290,01.25Z,55,45.116667,1.2
24290,01.25Z,55,45.016667,1.183333
24290,01.25Z,55,45.066667,1.1
24290,01.25Z,55,45.1,1.133333
24290,01.25Z,55,45.083333,1.2
24290,94.99Z,66,45.116667,1.15
24290,94.99Z,66,45.016667,1.116667
24290,94.99Z,66,45,1.1
24290,94.99Z,66,45.016667,1.1
24290,94.99Z,66,45.066667,1.266667
24290,94.99Z,66,"",""
24290,94.99Z,66,45.116667,1.2
24290,94.99Z,66,45.016667,1.183333
24290,94.99Z,66,45.066667,1.1
24290,94.99Z,66,45.1,1.133333
24290,94.99Z,66,45.083333,1.2
24290,15.12Z,11,45.116667,1.15
24290,15.12Z,11,45.016667,1.116667
24290,15.12Z,11,45,1.1
24290,15.12Z,11,45.016667,1.1
24290,15.12Z,11,45.066667,1.266667
24290,15.12Z,11,"",""
24290,15.12Z,11,45.116667,1.2
24290,15.12Z,11,45.016667,1.183333
24290,15.12Z,11,45.066667,1.1
24290,15.12Z,11,45.1,1.133333
24290,15.12Z,11,45.083333,1.2
24290,55.71,11,45.116667,1.15
24290,55.71,11,45.016667,1.116667
24290,55.71,11,45,1.1
24290,55.71,11,45.016667,1.1
24290,55.71,11,45.066667,1.266667
24290,55.71,11,"",""
24290,55.71,11,45.116667,1.2
24290,55.71,11,45.016667,1.183333
24290,55.71,11,45.066667,1.1
24290,55.71,11,45.1,1.133333
24290,55.71,11,45.083333,1.2
24290,01.50Z,44,45.116667,1.15
24290,01.50Z,44,45.016667,1.116667
24290,01.50Z,44,45,1.1
24290,01.50Z,44,45.016667,1.1
24290,01.50Z,44,45.066667,1.266667
24290,01.50Z,44,"",""
24290,01.50Z,44,45.116667,1.2
24290,01.50Z,44,45.016667,1.183333
24290,01.50Z,44,45.066667,1.1
24290,01.50Z,44,45.1,1.133333
24290,01.50Z,44,45.083333,1.2
24290,55.2E,11,45.116667,1.15
24290,55.2E,11,45.016667,1.116667
24290,55.2E,11,45,1.1
24290,55.2E,11,45.016667,1.1
24290,55.2E,11,45.066667,1.266667
24290,55.2E,11,"",""
24290,55.2E,11,45.116667,1.2
24290,55.2E,11,45.016667,1.183333
24290,55.2E,11,45.066667,1.1
24290,55.2E,11,45.1,1.133333
24290,55.2E,11,45.083333,1.2
24290,69.21,11,45.116667,1.15
24290,69.21,11,45.016667,1.116667
24290,69.21,11,45,1.1
24290,69.21,11,45.016667,1.1
24290,69.21,11,45.066667,1.266667
24290,69.21,11,"",""
24290,69.21,11,45.116667,1.2
24290,69.21,11,45.016667,1.183333
24290,69.21,11,45.066667,1.1
24290,69.21,11,45.1,1.133333
24290,69.21,11,45.083333,1.2
24290,02.40Z,11,45.116667,1.15
24290,02.40Z,11,45.016667,1.116667
24290,02.40Z,11,45,1.1
24290,02.40Z,11,45.016667,1.1
24290,02.40Z,11,45.066667,1.266667
24290,02.40Z,11,"",""
24290,02.40Z,11,45.116667,1.2
24290,02.40Z,11,45.016667,1.183333
24290,02.40Z,11,45.066667,1.1
24290,02.40Z,11,45.1,1.133333
24290,02.40Z,11,45.083333,1.2
24290,45.1A,11,45.116667,1.15
24290,45.1A,11,45.016667,1.116667
24290,45.1A,11,45,1.1
24290,45.1A,11,45.016667,1.1
24290,45.1A,11,45.066667,1.266667
24290,45.1A,11,"",""
24290,45.1A,11,45.116667,1.2
24290,45.1A,11,45.016667,1.183333
24290,45.1A,11,45.066667,1.1
24290,45.1A,11,45.1,1.133333
24290,45.1A,11,45.083333,1.2
24290,67.07,11,45.116667,1.15
24290,67.07,11,45.016667,1.116667
24290,67.07,11,45,1.1
24290,67.07,11,45.016667,1.1
24290,67.07,11,45.066667,1.266667
24290,67.07,11,"",""
24290,67.07,11,45.116667,1.2
24290,67.07,11,45.016667,1.183333
24290,67.07,11,45.066667,1.1
24290,67.07,11,45.1,1.133333
24290,67.07,11,45.083333,1.2
24290,48.01,11,45.116667,1.15
