codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
24390,47.99A,11,45.266667,1.066667
24390,47.99A,11,"",""
24390,47.99A,11,45.25,1.216667
24390,47.99A,11,45.216667,1.133333
24390,47.99A,11,45.2,1.15
24390,47.99A,11,45.25,1.15
24390,47.99A,11,45.216667,1.116667
24390,47.99A,11,45.25,1.25
24390,47.99A,11,45.283333,1.116667
24390,47.99A,11,45.283333,1.166667
24390,47.99A,11,45.233333,1.2
24390,55.3A,11,45.266667,1.066667
24390,55.3A,11,"",""
24390,55.3A,11,45.25,1.216667
24390,55.3A,11,45.216667,1.133333
24390,55.3A,11,45.2,1.15
24390,55.3A,11,45.25,1.15
24390,55.3A,11,45.216667,1.116667
24390,55.3A,11,45.25,1.25
24390,55.3A,11,45.283333,1.116667
24390,55.3A,11,45.283333,1.166667
24390,55.3A,11,45.233333,1.2
24390,43.22A,11,45.266667,1.066667
24390,43.22A,11,"",""
24390,43.22A,11,45.25,1.216667
24390,43.22A,11,45.216667,1.133333
24390,43.22A,11,45.2,1.15
24390,43.22A,11,45.25,1.15
24390,43.22A,11,45.216667,1.116667
24390,43.22A,11,45.25,1.25
24390,43.22A,11,45.283333,1.116667
24390,43.22A,11,45.283333,1.166667
24390,43.22A,11,45.233333,1.2
24390,02.10Z,11,45.266667,1.066667
24390,02.10Z,11,"",""
24390,02.10Z,11,45.25,1.216667
24390,02.10Z,11,45.216667,1.133333
24390,02.10Z,11,45.2,1.15
24390,02.10Z,11,45.25,1.15
24390,02.10Z,11,45.216667,1.116667
24390,02.10Z,11,45.25,1.25
24390,02.10Z,11,45.283333,1.116667
24390,02.10Z,11,45.283333,1.166667
24390,02.10Z,11,45.233333,1.2
24390,01.11Z,22,45.266667,1.066667
24390,01.11Z,22,"",""
24390,01.11Z,22,45.25,1.216667
24390,01.11Z,22,45.216667,1.133333
24390,01.11Z,22,45.2,1.15
24390,01.11Z,22,45.25,1.15
24390,01.11Z,22,45.216667,1.116667
24390,01.11Z,22,45.25,1.25
24390,01.11Z,22,45.283333,1.116667
24390,01.11Z,22,45.283333,1.166667
24390,01.11Z,22,45.233333,1.2
24390,68.20A,22,45.266667,1.066667
24390,68.20A,22,"",""
24390,68.20A,22,45.25,1.216667
24390,68.20A,22,45.216667,1.133333
24390,68.20A,22,45.2,1.15
24390,68.20A,22,45.25,1.15
24390,68.20A,22,45.216667,1.116667
24390,68.20A,22,45.25,1.25
24390,68.20A,22,45.283333,1.116667
24390,68.20A,22,45.283333,1.166667
24390,68.20A,22,45.233333,1.2
24390,64.49,11,45.266667,1.066667
24390,64.49,11,"",""
24390,64.49,11,45.25,1.216667
24390,64.49,11,45.216667,1.133333
24390,64.49,11,45.2,1.15
24390,64.49,11,45.25,1.15
24390,64.49,11,45.216667,1.116667
24390,64.49,11,45.25,1.25
24390,64.49,11,45.283333,1.116667
24390,64.49,11,45.283333,1.166667
24390,64.49,11,45.233333,1.2
24390,56.21Z,11,45.266667,1.066667
24390,56.21Z,11,"",""
24390,56.21Z,11,45.25,1.216667
24390,56.21Z,11,45.216667,1.133333
24390,56.21Z,11,45.2,1.15
24390,56.21Z,11,45.25,1.15
24390,56.21Z,11,45.216667,1.116667
