codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
24460,47.99A,12,45.316667,0.783333
24460,47.99A,12,45.35,0.866667
24460,47.99A,12,45.3,0.816667
24460,47.99A,12,45.316667,0.75
24460,47.99A,12,45.283333,0.75
24460,47.99A,12,45.25,0.683333
24460,45.20B,6,45.316667,0.783333
24460,45.20B,6,45.35,0.866667
24460,45.20B,6,45.3,0.816667
24460,45.20B,6,45.316667,0.75
24460,45.20B,6,45.283333,0.75
24460,45.20B,6,45.25,0.683333
24460,46.45Z,6,45.316667,0.783333
24460,46.45Z,6,45.35,0.866667
24460,46.45Z,6,45.3,0.816667
24460,46.45Z,6,45.316667,0.75
24460,46.45Z,6,45.283333,0.75
24460,46.45Z,6,45.25,0.683333
24460,55.3A,18,45.316667,0.783333
24460,55.3A,18,45.35,0.866667
24460,55.3A,18,45.3,0.816667
24460,55.3A,18,45.316667,0.75
24460,55.3A,18,45.283333,0.75
24460,55.3A,18,45.25,0.683333
24460,43.22A,12,45.316667,0.783333
24460,43.22A,12,45.35,0.866667
24460,43.22A,12,45.3,0.816667
24460,43.22A,12,45.316667,0.75
24460,43.22A,12,45.283333,0.75
24460,43.22A,12,45.25,0.683333
24460,11.01Z,6,45.316667,0.783333
24460,11.01Z,6,45.35,0.866667
24460,11.01Z,6,45.3,0.816667
24460,11.01Z,6,45.316667,0.75
24460,11.01Z,6,45.283333,0.75
24460,11.01Z,6,45.25,0.683333
24460,01.1F,6,45.316667,0.783333
24460,01.1F,6,45.35,0.866667
24460,01.1F,6,45.3,0.816667
24460,01.1F,6,45.316667,0.75
24460,01.1F,6,45.283333,0.75
24460,01.1F,6,45.25,0.683333
24460,01.11Z,78,45.316667,0.783333
24460,01.11Z,78,45.35,0.866667
24460,01.11Z,78,45.3,0.816667
24460,01.11Z,78,45.316667,0.75
24460,01.11Z,78,45.283333,0.75
24460,01.11Z,78,45.25,0.683333
24460,47.79Z,6,45.316667,0.783333
24460,47.79Z,6,45.35,0.866667
24460,47.79Z,6,45.3,0.816667
24460,47.79Z,6,45.316667,0.75
24460,47.79Z,6,45.283333,0.75
24460,47.79Z,6,45.25,0.683333
24460,95.29Z,6,45.316667,0.783333
24460,95.29Z,6,45.35,0.866667
24460,95.29Z,6,45.3,0.816667
24460,95.29Z,6,45.316667,0.75
24460,95.29Z,6,45.283333,0.75
24460,95.29Z,6,45.25,0.683333
24460,68.20A,24,45.316667,0.783333
24460,68.20A,24,45.35,0.866667
24460,68.20A,24,45.3,0.816667
24460,68.20A,24,45.316667,0.75
24460,68.20A,24,45.283333,0.75
24460,68.20A,24,45.25,0.683333
24460,55.40,6,45.316667,0.783333
24460,55.40,6,45.35,0.866667
24460,55.40,6,45.3,0.816667
24460,55.40,6,45.316667,0.75
24460,55.40,6,45.283333,0.75
24460,55.40,6,45.25,0.683333
24460,49.32Z,6,45.316667,0.783333
