codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
25270,45.20B,11,46.9,6.05
25270,45.20B,11,46.933333,6.033333
25270,45.20B,11,46.983333,6.183333
25270,45.20B,11,46.95,5.983333
25270,45.20B,11,46.983333,6.033333
25270,45.20B,11,46.95,6.133333
25270,45.20B,11,46.966667,6.083333
25270,45.20B,11,46.966667,6.05
25270,45.20B,11,46.95,6.016667
25270,45.20B,11,46.933333,6.166667
25270,45.20B,11,46.916667,6
25270,02.10Z,22,46.9,6.05
25270,02.10Z,22,46.933333,6.033333
25270,02.10Z,22,46.983333,6.183333
25270,02.10Z,22,46.95,5.983333
25270,02.10Z,22,46.983333,6.033333
25270,02.10Z,22,46.95,6.133333
25270,02.10Z,22,46.966667,6.083333
25270,02.10Z,22,46.966667,6.05
25270,02.10Z,22,46.95,6.016667
25270,02.10Z,22,46.933333,6.166667
25270,02.10Z,22,46.916667,6
25270,95.29Z,11,46.9,6.05
25270,95.29Z,11,46.933333,6.033333
25270,95.29Z,11,46.983333,6.183333
25270,95.29Z,11,46.95,5.983333
25270,95.29Z,11,46.983333,6.033333
25270,95.29Z,11,46.95,6.133333
25270,95.29Z,11,46.966667,6.083333
25270,95.29Z,11,46.966667,6.05
25270,95.29Z,11,46.95,6.016667
25270,95.29Z,11,46.933333,6.166667
25270,95.29Z,11,46.916667,6
25270,74.5A,11,46.9,6.05
25270,74.5A,11,46.933333,6.033333
25270,74.5A,11,46.983333,6.183333
25270,74.5A,11,46.95,5.983333
25270,74.5A,11,46.983333,6.033333
25270,74.5A,11,46.95,6.133333
25270,74.5A,11,46.966667,6.083333
25270,74.5A,11,46.966667,6.05
25270,74.5A,11,46.95,6.016667
25270,74.5A,11,46.933333,6.166667
25270,74.5A,11,46.916667,6
25270,90.01Z,11,46.9,6.05
25270,90.01Z,11,46.933333,6.033333
25270,90.01Z,11,46.983333,6.183333
25270,90.01Z,11,46.95,5.983333
25270,90.01Z,11,46.983333,6.033333
25270,90.01Z,11,46.95,6.133333
25270,90.01Z,11,46.966667,6.083333
25270,90.01Z,11,46.966667,6.05
25270,90.01Z,11,46.95,6.016667
25270,90.01Z,11,46.933333,6.166667
25270,90.01Z,11,46.916667,6
25270,82.11Z,11,46.9,6.05
25270,82.11Z,11,46.933333,6.033333
25270,82.11Z,11,46.983333,6.183333
25270,82.11Z,11,46.95,5.983333
25270,82.11Z,11,46.983333,6.033333
25270,82.11Z,11,46.95,6.133333
25270,82.11Z,11,46.966667,6.083333
25270,82.11Z,11,46.966667,6.05
25270,82.11Z,11,46.95,6.016667
25270,82.11Z,11,46.933333,6.166667
25270,82.11Z,11,46.916667,6
25270,84.11Z,77,46.9,6.05
25270,84.11Z,77,46.933333,6.033333
25270,84.11Z,77,46.983333,6.183333
25270,84.11Z,77,46.95,5.983333
25270,84.11Z,77,46.983333,6.033333
25270,84.11Z,77,46.95,6.133333
25270,84.11Z,77,46.966667,6.083333
25270,84.11Z,77,46.966667,6.05
25270,84.11Z,77,46.95,6.016667
25270,84.11Z,77,46.933333,6.166667
25270,84.11Z,77,46.916667,6
25270,15.5C,11,46.9,6.05
25270,15.5C,11,46.933333,6.033333
25270,15.5C,11,46.983333,6.183333
25270,15.5C,11,46.95,5.983333
25270,15.5C,11,46.983333,6.033333
25270,15.5C,11,46.95,6.133333
25270,15.5C,11,46.966667,6.083333
25270,15.5C,11,46.966667,6.05
25270,15.5C,11,46.95,6.016667
25270,15.5C,11,46.933333,6.166667
25270,15.5C,11,46.916667,6
25270,85.1G,11,46.9,6.05
25270,85.1G,11,46.933333,6.033333
25270,85.1G,11,46.983333,6.183333
25270,85.1G,11,46.95,5.983333
25270,85.1G,11,46.983333,6.033333
25270,85.1G,11,46.95,6.133333
25270,85.1G,11,46.966667,6.083333
25270,85.1G,11,46.966667,6.05
25270,85.1G,11,46.95,6.016667
25270,85.1G,11,46.933333,6.166667
25270,85.1G,11,46.916667,6
25270,43.32A,11,46.9,6.05
25270,43.32A,11,46.933333,6.033333
25270,43.32A,11,46.983333,6.183333
25270,43.32A,11,46.95,5.983333
25270,43.32A,11,46.983333,6.033333
25270,43.32A,11,46.95,6.133333
25270,43.32A,11,46.966667,6.083333
25270,43.32A,11,46.966667,6.05
25270,43.32A,11,46.95,6.016667
25270,43.32A,11,46.933333,6.166667
25270,43.32A,11,46.916667,6
25270,02.20Z,33,46.9,6.05
25270,02.20Z,33,46.933333,6.033333
25270,02.20Z,33,46.983333,6.183333
25270,02.20Z,33,46.95,5.983333
25270,02.20Z,33,46.983333,6.033333
25270,02.20Z,33,46.95,6.133333
25270,02.20Z,33,46.966667,6.083333
25270,02.20Z,33,46.966667,6.05
25270,02.20Z,33,46.95,6.016667
25270,02.20Z,33,46.933333,6.166667
25270,02.20Z,33,46.916667,6
25270,86.90D,22,46.9,6.05
25270,86.90D,22,46.933333,6.033333
25270,86.90D,22,46.983333,6.183333
25270,86.90D,22,46.95,5.983333
25270,86.90D,22,46.983333,6.033333
25270,86.90D,22,46.95,6.133333
25270,86.90D,22,46.966667,6.083333
25270,86.90D,22,46.966667,6.05
25270,86.90D,22,46.95,6.016667
25270,86.90D,22,46.933333,6.166667
25270,86.90D,22,46.916667,6
25270,51.1R,11,46.9,6.05
25270,51.1R,11,46.933333,6.033333
25270,51.1R,11,46.983333,6.183333
25270,51.1R,11,46.95,5.983333
25270,51.1R,11,46.983333,6.033333
25270,51.1R,11,46.95,6.133333
25270,51.1R,11,46.966667,6.083333
25270,51.1R,11,46.966667,6.05
25270,51.1R,11,46.95,6.016667
25270,51.1R,11,46.933333,6.166667
25270,51.1R,11,46.916667,6
25270,46.19B,11,46.9,6.05
25270,46.19B,11,46.933333,6.033333
25270,46.19B,11,46.983333,6.183333
25270,46.19B,11,46.95,5.983333
25270,46.19B,11,46.983333,6.033333
25270,46.19B,11,46.95,6.133333
25270,46.19B,11,46.966667,6.083333
25270,46.19B,11,46.966667,6.05
25270,46.19B,11,46.95,6.016667
25270,46.19B,11,46.933333,6.166667
25270,46.19B,11,46.916667,6
25270,55.3B,11,46.9,6.05
25270,55.3B,11,46.933333,6.033333
25270,55.3B,11,46.983333,6.183333
25270,55.3B,11,46.95,5.983333
25270,55.3B,11,46.983333,6.033333
25270,55.3B,11,46.95,6.133333
25270,55.3B,11,46.966667,6.083333
25270,55.3B,11,46.966667,6.05
25270,55.3B,11,46.95,6.016667
25270,55.3B,11,46.933333,6.166667
25270,55.3B,11,46.916667,6
25270,46.76Z,11,46.9,6.05
25270,46.76Z,11,46.933333,6.033333
25270,46.76Z,11,46.983333,6.183333
25270,46.76Z,11,46.95,5.983333
25270,46.76Z,11,46.983333,6.033333
25270,46.76Z,11,46.95,6.133333
25270,46.76Z,11,46.966667,6.083333
25270,46.76Z,11,46.966667,6.05
25270,46.76Z,11,46.95,6.016667
25270,46.76Z,11,46.933333,6.166667
25270,46.76Z,11,46.916667,6
25270,67.2Z,11,46.9,6.05
25270,67.2Z,11,46.933333,6.033333
25270,67.2Z,11,46.983333,6.183333
25270,67.2Z,11,46.95,5.983333
25270,67.2Z,11,46.983333,6.033333
25270,67.2Z,11,46.95,6.133333
25270,67.2Z,11,46.966667,6.083333
25270,67.2Z,11,46.966667,6.05
25270,67.2Z,11,46.95,6.016667
25270,67.2Z,11,46.933333,6.166667
25270,67.2Z,11,46.916667,6
25270,02.0B,11,46.9,6.05
25270,02.0B,11,46.933333,6.033333
25270,02.0B,11,46.983333,6.183333
25270,02.0B,11,46.95,5.983333
25270,02.0B,11,46.983333,6.033333
25270,02.0B,11,46.95,6.133333
25270,02.0B,11,46.966667,6.083333
25270,02.0B,11,46.966667,6.05
25270,02.0B,11,46.95,6.016667
25270,02.0B,11,46.933333,6.166667
25270,02.0B,11,46.916667,6
25270,62.01Z,11,46.9,6.05
25270,62.01Z,11,46.933333,6.033333
25270,62.01Z,11,46.983333,6.183333
25270,62.01Z,11,46.95,5.983333
25270,62.01Z,11,46.983333,6.033333
25270,62.01Z,11,46.95,6.133333
25270,62.01Z,11,46.966667,6.083333
25270,62.01Z,11,46.966667,6.05
25270,62.01Z,11,46.95,6.016667
25270,62.01Z,11,46.933333,6.166667
25270,62.01Z,11,46.916667,6
25270,42.99Z,22,46.9,6.05
25270,42.99Z,22,46.933333,6.033333
25270,42.99Z,22,46.983333,6.183333
25270,42.99Z,22,46.95,5.983333
25270,42.99Z,22,46.983333,6.033333
25270,42.99Z,22,46.95,6.133333
25270,42.99Z,22,46.966667,6.083333
25270,42.99Z,22,46.966667,6.05
25270,42.99Z,22,46.95,6.016667
25270,42.99Z,22,46.933333,6.166667
25270,42.99Z,22,46.916667,6
25270,01.50Z,11,46.9,6.05
25270,01.50Z,11,46.933333,6.033333
25270,01.50Z,11,46.983333,6.183333
