codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
25290,45.20B,6,"",""
25290,45.20B,6,47.1,6.15
25290,45.20B,6,47.083333,6.116667
25290,45.20B,6,47.1,6.016667
25290,45.20B,6,47.116667,6.033333
25290,45.20B,6,47.1,6.033333
25290,92.3A,6,"",""
25290,92.3A,6,47.1,6.15
25290,92.3A,6,47.083333,6.116667
25290,92.3A,6,47.1,6.016667
25290,92.3A,6,47.116667,6.033333
25290,92.3A,6,47.1,6.033333
25290,43.34Z,6,"",""
25290,43.34Z,6,47.1,6.15
25290,43.34Z,6,47.083333,6.116667
25290,43.34Z,6,47.1,6.016667
25290,43.34Z,6,47.116667,6.033333
25290,43.34Z,6,47.1,6.033333
25290,84.11Z,24,"",""
25290,84.11Z,24,47.1,6.15
25290,84.11Z,24,47.083333,6.116667
25290,84.11Z,24,47.1,6.016667
25290,84.11Z,24,47.116667,6.033333
25290,84.11Z,24,47.1,6.033333
25290,74.30Z,6,"",""
25290,74.30Z,6,47.1,6.15
25290,74.30Z,6,47.083333,6.116667
25290,74.30Z,6,47.1,6.016667
25290,74.30Z,6,47.116667,6.033333
25290,74.30Z,6,47.1,6.033333
25290,57.02,6,"",""
25290,57.02,6,47.1,6.15
25290,57.02,6,47.083333,6.116667
25290,57.02,6,47.1,6.016667
25290,57.02,6,47.116667,6.033333
25290,57.02,6,47.1,6.033333
25290,02.20Z,6,"",""
25290,02.20Z,6,47.1,6.15
25290,02.20Z,6,47.083333,6.116667
25290,02.20Z,6,47.1,6.016667
25290,02.20Z,6,47.116667,6.033333
25290,02.20Z,6,47.1,6.033333
25290,52.2L,6,"",""
25290,52.2L,6,47.1,6.15
25290,52.2L,6,47.083333,6.116667
25290,52.2L,6,47.1,6.016667
25290,52.2L,6,47.116667,6.033333
25290,52.2L,6,47.1,6.033333
25290,70.2C,6,"",""
25290,70.2C,6,47.1,6.15
25290,70.2C,6,47.083333,6.116667
25290,70.2C,6,47.1,6.016667
25290,70.2C,6,47.116667,6.033333
25290,70.2C,6,47.1,6.033333
25290,01.2A,18,"",""
25290,01.2A,18,47.1,6.15
25290,01.2A,18,47.083333,6.116667
25290,01.2A,18,47.1,6.016667
25290,01.2A,18,47.116667,6.033333
25290,01.2A,18,47.1,6.033333
25290,01.41Z,6,"",""
25290,01.41Z,6,47.1,6.15
25290,01.41Z,6,47.083333,6.116667
25290,01.41Z,6,47.1,6.016667
25290,01.41Z,6,47.116667,6.033333
25290,01.41Z,6,47.1,6.033333
25290,55.10Z,6,"",""
25290,55.10Z,6,47.1,6.15
25290,55.10Z,6,47.083333,6.116667
25290,55.10Z,6,47.1,6.016667
25290,55.10Z,6,47.116667,6.033333
25290,55.10Z,6,47.1,6.033333
25290,52.4L,6,"",""
25290,52.4L,6,47.1,6.15
25290,52.4L,6,47.083333,6.116667
25290,52.4L,6,47.1,6.016667
25290,52.4L,6,47.116667,6.033333
25290,52.4L,6,47.1,6.033333
25290,88.99B,6,"",""
25290,88.99B,6,47.1,6.15
25290,88.99B,6,47.083333,6.116667
25290,88.99B,6,47.1,6.016667
25290,88.99B,6,47.116667,6.033333
25290,88.99B,6,47.1,6.033333
25290,45.2V,6,"",""
25290,45.2V,6,47.1,6.15
25290,45.2V,6,47.083333,6.116667
25290,45.2V,6,47.1,6.016667
25290,45.2V,6,47.116667,6.033333
25290,45.2V,6,47.1,6.033333
25290,71.12B,6,"",""
25290,71.12B,6,47.1,6.15
25290,71.12B,6,47.083333,6.116667
25290,71.12B,6,47.1,6.016667
25290,71.12B,6,47.116667,6.033333
25290,71.12B,6,47.1,6.033333
