codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
25300,47.99A,26,46.933333,6.316667
25300,47.99A,26,"",""
25300,47.99A,26,46.883333,6.266667
25300,47.99A,26,46.9,6.366667
25300,47.99A,26,46.833333,6.416667
25300,47.99A,26,46.95,6.45
25300,47.99A,26,46.883333,6.383333
25300,47.99A,26,46.916667,6.316667
25300,47.99A,26,46.883333,6.316667
25300,47.99A,26,46.933333,6.35
25300,47.99A,26,46.916667,6.316667
25300,47.99A,26,46.916667,6.266667
25300,47.99A,26,46.95,6.383333
25300,55.3A,13,46.933333,6.316667
25300,55.3A,13,"",""
25300,55.3A,13,46.883333,6.266667
25300,55.3A,13,46.9,6.366667
25300,55.3A,13,46.833333,6.416667
25300,55.3A,13,46.95,6.45
25300,55.3A,13,46.883333,6.383333
25300,55.3A,13,46.916667,6.316667
25300,55.3A,13,46.883333,6.316667
25300,55.3A,13,46.933333,6.35
25300,55.3A,13,46.916667,6.316667
25300,55.3A,13,46.916667,6.266667
25300,55.3A,13,46.95,6.383333
25300,43.22A,13,46.933333,6.316667
25300,43.22A,13,"",""
25300,43.22A,13,46.883333,6.266667
25300,43.22A,13,46.9,6.366667
25300,43.22A,13,46.833333,6.416667
25300,43.22A,13,46.95,6.45
25300,43.22A,13,46.883333,6.383333
25300,43.22A,13,46.916667,6.316667
25300,43.22A,13,46.883333,6.316667
25300,43.22A,13,46.933333,6.35
25300,43.22A,13,46.916667,6.316667
25300,43.22A,13,46.916667,6.266667
25300,43.22A,13,46.95,6.383333
25300,46.23Z,13,46.933333,6.316667
25300,46.23Z,13,"",""
25300,46.23Z,13,46.883333,6.266667
25300,46.23Z,13,46.9,6.366667
25300,46.23Z,13,46.833333,6.416667
25300,46.23Z,13,46.95,6.45
25300,46.23Z,13,46.883333,6.383333
25300,46.23Z,13,46.916667,6.316667
25300,46.23Z,13,46.883333,6.316667
25300,46.23Z,13,46.933333,6.35
25300,46.23Z,13,46.916667,6.316667
25300,46.23Z,13,46.916667,6.266667
25300,46.23Z,13,46.95,6.383333
25300,56.30Z,13,46.933333,6.316667
25300,56.30Z,13,"",""
25300,56.30Z,13,46.883333,6.266667
25300,56.30Z,13,46.9,6.366667
25300,56.30Z,13,46.833333,6.416667
25300,56.30Z,13,46.95,6.45
25300,56.30Z,13,46.883333,6.383333
25300,56.30Z,13,46.916667,6.316667
25300,56.30Z,13,46.883333,6.316667
25300,56.30Z,13,46.933333,6.35
25300,56.30Z,13,46.916667,6.316667
25300,56.30Z,13,46.916667,6.266667
25300,56.30Z,13,46.95,6.383333
25300,01.2E,26,46.933333,6.316667
25300,01.2E,26,"",""
25300,01.2E,26,46.883333,6.266667
25300,01.2E,26,46.9,6.366667
25300,01.2E,26,46.833333,6.416667
25300,01.2E,26,46.95,6.45
25300,01.2E,26,46.883333,6.383333
25300,01.2E,26,46.916667,6.316667
25300,01.2E,26,46.883333,6.316667
25300,01.2E,26,46.933333,6.35
25300,01.2E,26,46.916667,6.316667
25300,01.2E,26,46.916667,6.266667
25300,01.2E,26,46.95,6.383333
25300,45.4J,13,46.933333,6.316667
25300,45.4J,13,"",""
25300,45.4J,13,46.883333,6.266667
25300,45.4J,13,46.9,6.366667
25300,45.4J,13,46.833333,6.416667
25300,45.4J,13,46.95,6.45
25300,45.4J,13,46.883333,6.383333
25300,45.4J,13,46.916667,6.316667
25300,45.4J,13,46.883333,6.316667
25300,45.4J,13,46.933333,6.35
25300,45.4J,13,46.916667,6.316667
25300,45.4J,13,46.916667,6.266667
25300,45.4J,13,46.95,6.383333
25300,43.34Z,13,46.933333,6.316667
25300,43.34Z,13,"",""
25300,43.34Z,13,46.883333,6.266667
25300,43.34Z,13,46.9,6.366667
25300,43.34Z,13,46.833333,6.416667
25300,43.34Z,13,46.95,6.45
25300,43.34Z,13,46.883333,6.383333
25300,43.34Z,13,46.916667,6.316667
25300,43.34Z,13,46.883333,6.316667
25300,43.34Z,13,46.933333,6.35
25300,43.34Z,13,46.916667,6.316667
25300,43.34Z,13,46.916667,6.266667
25300,43.34Z,13,46.95,6.383333
25300,86.90E,13,46.933333,6.316667
25300,86.90E,13,"",""
25300,86.90E,13,46.883333,6.266667
25300,86.90E,13,46.9,6.366667
25300,86.90E,13,46.833333,6.416667
25300,86.90E,13,46.95,6.45
25300,86.90E,13,46.883333,6.383333
25300,86.90E,13,46.916667,6.316667
25300,86.90E,13,46.883333,6.316667
25300,86.90E,13,46.933333,6.35
25300,86.90E,13,46.916667,6.316667
25300,86.90E,13,46.916667,6.266667
25300,86.90E,13,46.95,6.383333
25300,84.11Z,39,46.933333,6.316667
25300,84.11Z,39,"",""
25300,84.11Z,39,46.883333,6.266667
25300,84.11Z,39,46.9,6.366667
25300,84.11Z,39,46.833333,6.416667
25300,84.11Z,39,46.95,6.45
25300,84.11Z,39,46.883333,6.383333
25300,84.11Z,39,46.916667,6.316667
25300,84.11Z,39,46.883333,6.316667
25300,84.11Z,39,46.933333,6.35
25300,84.11Z,39,46.916667,6.316667
25300,84.11Z,39,46.916667,6.266667
25300,84.11Z,39,46.95,6.383333
25300,15.5C,13,46.933333,6.316667
25300,15.5C,13,"",""
25300,15.5C,13,46.883333,6.266667
25300,15.5C,13,46.9,6.366667
25300,15.5C,13,46.833333,6.416667
25300,15.5C,13,46.95,6.45
25300,15.5C,13,46.883333,6.383333
25300,15.5C,13,46.916667,6.316667
25300,15.5C,13,46.883333,6.316667
25300,15.5C,13,46.933333,6.35
25300,15.5C,13,46.916667,6.316667
25300,15.5C,13,46.916667,6.266667
25300,15.5C,13,46.95,6.383333
25300,43.12B,13,46.933333,6.316667
25300,43.12B,13,"",""
25300,43.12B,13,46.883333,6.266667
25300,43.12B,13,46.9,6.366667
25300,43.12B,13,46.833333,6.416667
25300,43.12B,13,46.95,6.45
25300,43.12B,13,46.883333,6.383333
25300,43.12B,13,46.916667,6.316667
25300,43.12B,13,46.883333,6.316667
25300,43.12B,13,46.933333,6.35
25300,43.12B,13,46.916667,6.316667
