codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
25430,01.11Z,24,47.316667,6.65
25430,01.11Z,24,47.35,6.616667
25430,01.11Z,24,47.316667,6.5
25430,01.11Z,24,47.35,6.6
25430,01.11Z,24,47.3,6.466667
25430,01.11Z,24,47.3,6.6
25430,01.11Z,24,47.3,6.583333
25430,01.11Z,24,47.316667,6.516667
25430,01.11Z,24,47.316667,6.583333
25430,01.11Z,24,47.333333,6.55
25430,01.11Z,24,47.333333,6.55
25430,01.11Z,24,47.316667,6.6
25430,84.11Z,24,47.316667,6.65
25430,84.11Z,24,47.35,6.616667
25430,84.11Z,24,47.316667,6.5
25430,84.11Z,24,47.35,6.6
25430,84.11Z,24,47.3,6.466667
25430,84.11Z,24,47.3,6.6
25430,84.11Z,24,47.3,6.583333
25430,84.11Z,24,47.316667,6.516667
25430,84.11Z,24,47.316667,6.583333
25430,84.11Z,24,47.333333,6.55
25430,84.11Z,24,47.333333,6.55
25430,84.11Z,24,47.316667,6.6
25430,90.12,12,47.316667,6.65
25430,90.12,12,47.35,6.616667
25430,90.12,12,47.316667,6.5
25430,90.12,12,47.35,6.6
25430,90.12,12,47.3,6.466667
25430,90.12,12,47.3,6.6
25430,90.12,12,47.3,6.583333
25430,90.12,12,47.316667,6.516667
25430,90.12,12,47.316667,6.583333
25430,90.12,12,47.333333,6.55
25430,90.12,12,47.333333,6.55
25430,90.12,12,47.316667,6.6
25430,47.64Z,12,47.316667,6.65
25430,47.64Z,12,47.35,6.616667
25430,47.64Z,12,47.316667,6.5
25430,47.64Z,12,47.35,6.6
25430,47.64Z,12,47.3,6.466667
25430,47.64Z,12,47.3,6.6
25430,47.64Z,12,47.3,6.583333
25430,47.64Z,12,47.316667,6.516667
25430,47.64Z,12,47.316667,6.583333
25430,47.64Z,12,47.333333,6.55
25430,47.64Z,12,47.333333,6.55
25430,47.64Z,12,47.316667,6.6
25430,84.12Z,12,47.316667,6.65
25430,84.12Z,12,47.35,6.616667
25430,84.12Z,12,47.316667,6.5
25430,84.12Z,12,47.35,6.6
25430,84.12Z,12,47.3,6.466667
25430,84.12Z,12,47.3,6.6
25430,84.12Z,12,47.3,6.583333
25430,84.12Z,12,47.316667,6.516667
25430,84.12Z,12,47.316667,6.583333
25430,84.12Z,12,47.333333,6.55
25430,84.12Z,12,47.333333,6.55
25430,84.12Z,12,47.316667,6.6
25430,01.2A,12,47.316667,6.65
25430,01.2A,12,47.35,6.616667
25430,01.2A,12,47.316667,6.5
25430,01.2A,12,47.35,6.6
25430,01.2A,12,47.3,6.466667
25430,01.2A,12,47.3,6.6
25430,01.2A,12,47.3,6.583333
25430,01.2A,12,47.316667,6.516667
25430,01.2A,12,47.316667,6.583333
25430,01.2A,12,47.333333,6.55
25430,01.2A,12,47.333333,6.55
25430,01.2A,12,47.316667,6.6
25430,46.14Z,12,47.316667,6.65
25430,46.14Z,12,47.35,6.616667
25430,46.14Z,12,47.316667,6.5
25430,46.14Z,12,47.35,6.6
25430,46.14Z,12,47.3,6.466667
25430,46.14Z,12,47.3,6.6
25430,46.14Z,12,47.3,6.583333
25430,46.14Z,12,47.316667,6.516667
25430,46.14Z,12,47.316667,6.583333
25430,46.14Z,12,47.333333,6.55
25430,46.14Z,12,47.333333,6.55
25430,46.14Z,12,47.316667,6.6
25430,01.41Z,24,47.316667,6.65
25430,01.41Z,24,47.35,6.616667
25430,01.41Z,24,47.316667,6.5
25430,01.41Z,24,47.35,6.6
25430,01.41Z,24,47.3,6.466667
25430,01.41Z,24,47.3,6.6
25430,01.41Z,24,47.3,6.583333
25430,01.41Z,24,47.316667,6.516667
25430,01.41Z,24,47.316667,6.583333
25430,01.41Z,24,47.333333,6.55
25430,01.41Z,24,47.333333,6.55
25430,01.41Z,24,47.316667,6.6
25430,01.61Z,12,47.316667,6.65
25430,01.61Z,12,47.35,6.616667
25430,01.61Z,12,47.316667,6.5
25430,01.61Z,12,47.35,6.6
25430,01.61Z,12,47.3,6.466667
25430,01.61Z,12,47.3,6.6
25430,01.61Z,12,47.3,6.583333
25430,01.61Z,12,47.316667,6.516667
25430,01.61Z,12,47.316667,6.583333
25430,01.61Z,12,47.333333,6.55
25430,01.61Z,12,47.333333,6.55
25430,01.61Z,12,47.316667,6.6
25430,01.1A,12,47.316667,6.65
25430,01.1A,12,47.35,6.616667
25430,01.1A,12,47.316667,6.5
25430,01.1A,12,47.35,6.6
25430,01.1A,12,47.3,6.466667
25430,01.1A,12,47.3,6.6
25430,01.1A,12,47.3,6.583333
25430,01.1A,12,47.316667,6.516667
25430,01.1A,12,47.316667,6.583333
25430,01.1A,12,47.333333,6.55
25430,01.1A,12,47.333333,6.55
25430,01.1A,12,47.316667,6.6
25430,68.32A,12,47.316667,6.65
25430,68.32A,12,47.35,6.616667
25430,68.32A,12,47.316667,6.5
25430,68.32A,12,47.35,6.6
25430,68.32A,12,47.3,6.466667
25430,68.32A,12,47.3,6.6
25430,68.32A,12,47.3,6.583333
25430,68.32A,12,47.316667,6.516667
25430,68.32A,12,47.316667,6.583333
25430,68.32A,12,47.333333,6.55
25430,68.32A,12,47.333333,6.55
25430,68.32A,12,47.316667,6.6
25430,88.99B,12,47.316667,6.65
25430,88.99B,12,47.35,6.616667
25430,88.99B,12,47.316667,6.5
25430,88.99B,12,47.35,6.6
25430,88.99B,12,47.3,6.466667
25430,88.99B,12,47.3,6.6
25430,88.99B,12,47.3,6.583333
25430,88.99B,12,47.316667,6.516667
25430,88.99B,12,47.316667,6.583333
25430,88.99B,12,47.333333,6.55
25430,88.99B,12,47.333333,6.55
25430,88.99B,12,47.316667,6.6
