codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
25460,47.99A,2,47.5,6.866667
25460,52.4Z,1,47.5,6.866667
25460,55.60,1,47.5,6.866667
25460,36.00Z,2,47.5,6.866667
25460,50.2Z,1,47.5,6.866667
25460,93.19Z,1,47.5,6.866667
25460,01.43Z,1,47.5,6.866667
25460,49.05,1,47.5,6.866667
25460,84.11Z,7,47.5,6.866667
25460,01.21Z,1,47.5,6.866667
25460,43.32A,1,47.5,6.866667
25460,57.02,1,47.5,6.866667
25460,02.20Z,1,47.5,6.866667
25460,74.1J,1,47.5,6.866667
25460,56.10A,2,47.5,6.866667
25460,86.90D,1,47.5,6.866667
25460,51.1R,1,47.5,6.866667
25460,46.19B,1,47.5,6.866667
25460,94.99Z,1,47.5,6.866667
25460,47.76Z,1,47.5,6.866667
25460,82.99Z,1,47.5,6.866667
25460,47.78C,1,47.5,6.866667
25460,00.00Z,1,47.5,6.866667
25460,01.50Z,1,47.5,6.866667
25460,84.12Z,1,47.5,6.866667
25460,90.03A,1,47.5,6.866667
25460,86.21Z,1,47.5,6.866667
25460,01.41Z,3,47.5,6.866667
25460,01.42Z,1,47.5,6.866667
25460,85.59B,2,47.5,6.866667
25460,88.10B,2,47.5,6.866667
25460,45.20A,1,47.5,6.866667
25460,96.09Z,2,47.5,6.866667
25460,74.4A,1,47.5,6.866667
25460,93.0B,1,47.5,6.866667
25460,47.29Z,1,47.5,6.866667
25460,90.02Z,1,47.5,6.866667
25460,01.46Z,1,47.5,6.866667
25460,70.22Z,2,47.5,6.866667
25460,88.99B,2,47.5,6.866667
25460,93.29Z,1,47.5,6.866667
25460,59.09,1,47.5,6.866667
25460,43.21A,1,47.5,6.866667
25460,74.90B,2,47.5,6.866667
25460,71.12B,2,47.5,6.866667
25460,68.20B,7,47.5,6.866667
