codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
25510,47.99A,21,47.233333,6.45
25510,47.99A,21,47.216667,6.55
25510,47.99A,21,47.25,6.55
25510,47.99A,21,47.183333,6.516667
25510,47.99A,21,47.2,6.45
25510,47.99A,21,47.216667,6.466667
25510,47.99A,21,47.2,6.466667
25510,43.22A,21,47.233333,6.45
25510,43.22A,21,47.216667,6.55
25510,43.22A,21,47.25,6.55
25510,43.22A,21,47.183333,6.516667
25510,43.22A,21,47.2,6.45
25510,43.22A,21,47.216667,6.466667
25510,43.22A,21,47.2,6.466667
25510,43.11Z,7,47.233333,6.45
25510,43.11Z,7,47.216667,6.55
25510,43.11Z,7,47.25,6.55
25510,43.11Z,7,47.183333,6.516667
25510,43.11Z,7,47.2,6.45
25510,43.11Z,7,47.216667,6.466667
25510,43.11Z,7,47.2,6.466667
25510,01.1F,7,47.233333,6.45
25510,01.1F,7,47.216667,6.55
25510,01.1F,7,47.25,6.55
25510,01.1F,7,47.183333,6.516667
25510,01.1F,7,47.2,6.45
25510,01.1F,7,47.216667,6.466667
25510,01.1F,7,47.2,6.466667
25510,01.11Z,7,47.233333,6.45
25510,01.11Z,7,47.216667,6.55
25510,01.11Z,7,47.25,6.55
25510,01.11Z,7,47.183333,6.516667
25510,01.11Z,7,47.2,6.45
25510,01.11Z,7,47.216667,6.466667
25510,01.11Z,7,47.2,6.466667
25510,55.40,7,47.233333,6.45
25510,55.40,7,47.216667,6.55
25510,55.40,7,47.25,6.55
25510,55.40,7,47.183333,6.516667
25510,55.40,7,47.2,6.45
25510,55.40,7,47.216667,6.466667
25510,55.40,7,47.2,6.466667
25510,45.3E,7,47.233333,6.45
25510,45.3E,7,47.216667,6.55
25510,45.3E,7,47.25,6.55
25510,45.3E,7,47.183333,6.516667
25510,45.3E,7,47.2,6.45
25510,45.3E,7,47.216667,6.466667
25510,45.3E,7,47.2,6.466667
25510,85.1C,7,47.233333,6.45
25510,85.1C,7,47.216667,6.55
25510,85.1C,7,47.25,6.55
25510,85.1C,7,47.183333,6.516667
25510,85.1C,7,47.2,6.45
25510,85.1C,7,47.216667,6.466667
25510,85.1C,7,47.2,6.466667
25510,45.4J,7,47.233333,6.45
25510,45.4J,7,47.216667,6.55
25510,45.4J,7,47.25,6.55
25510,45.4J,7,47.183333,6.516667
25510,45.4J,7,47.2,6.45
25510,45.4J,7,47.216667,6.466667
25510,45.4J,7,47.2,6.466667
25510,43.34Z,7,47.233333,6.45
25510,43.34Z,7,47.216667,6.55
25510,43.34Z,7,47.25,6.55
25510,43.34Z,7,47.183333,6.516667
25510,43.34Z,7,47.2,6.45
25510,43.34Z,7,47.216667,6.466667
25510,43.34Z,7,47.2,6.466667
25510,64.20Z,21,47.233333,6.45
25510,64.20Z,21,47.216667,6.55
25510,64.20Z,21,47.25,6.55
25510,64.20Z,21,47.183333,6.516667
25510,64.20Z,21,47.2,6.45
25510,64.20Z,21,47.216667,6.466667
25510,64.20Z,21,47.2,6.466667
25510,52.7H,7,47.233333,6.45
25510,52.7H,7,47.216667,6.55
25510,52.7H,7,47.25,6.55
25510,52.7H,7,47.183333,6.516667
25510,52.7H,7,47.2,6.45
25510,52.7H,7,47.216667,6.466667
25510,52.7H,7,47.2,6.466667
25510,01.43Z,14,47.233333,6.45
25510,01.43Z,14,47.216667,6.55
25510,01.43Z,14,47.25,6.55
25510,01.43Z,14,47.183333,6.516667
25510,01.43Z,14,47.2,6.45
25510,01.43Z,14,47.216667,6.466667
25510,01.43Z,14,47.2,6.466667
25510,47.75Z,7,47.233333,6.45
25510,47.75Z,7,47.216667,6.55
25510,47.75Z,7,47.25,6.55
25510,47.75Z,7,47.183333,6.516667
25510,47.75Z,7,47.2,6.45
25510,47.75Z,7,47.216667,6.466667
25510,47.75Z,7,47.2,6.466667
25510,56.10C,14,47.233333,6.45
25510,56.10C,14,47.216667,6.55
25510,56.10C,14,47.25,6.55
25510,56.10C,14,47.183333,6.516667
25510,56.10C,14,47.2,6.45
25510,56.10C,14,47.216667,6.466667
25510,56.10C,14,47.2,6.466667
25510,81.30Z,7,47.233333,6.45
25510,81.30Z,7,47.216667,6.55
25510,81.30Z,7,47.25,6.55
25510,81.30Z,7,47.183333,6.516667
25510,81.30Z,7,47.2,6.45
25510,81.30Z,7,47.216667,6.466667
25510,81.30Z,7,47.2,6.466667
25510,84.11Z,21,47.233333,6.45
25510,84.11Z,21,47.216667,6.55
25510,84.11Z,21,47.25,6.55
25510,84.11Z,21,47.183333,6.516667
25510,84.11Z,21,47.2,6.45
25510,84.11Z,21,47.216667,6.466667
25510,84.11Z,21,47.2,6.466667
25510,46.12B,7,47.233333,6.45
25510,46.12B,7,47.216667,6.55
25510,46.12B,7,47.25,6.55
25510,46.12B,7,47.183333,6.516667
25510,46.12B,7,47.2,6.45
25510,46.12B,7,47.216667,6.466667
25510,46.12B,7,47.2,6.466667
25510,60.2P,7,47.233333,6.45
25510,60.2P,7,47.216667,6.55
25510,60.2P,7,47.25,6.55
25510,60.2P,7,47.183333,6.516667
25510,60.2P,7,47.2,6.45
25510,60.2P,7,47.216667,6.466667
25510,60.2P,7,47.2,6.466667
25510,43.22B,7,47.233333,6.45
25510,43.22B,7,47.216667,6.55
25510,43.22B,7,47.25,6.55
25510,43.22B,7,47.183333,6.516667
25510,43.22B,7,47.2,6.45
25510,43.22B,7,47.216667,6.466667
25510,43.22B,7,47.2,6.466667
25510,93.12Z,7,47.233333,6.45
25510,93.12Z,7,47.216667,6.55
25510,93.12Z,7,47.25,6.55
25510,93.12Z,7,47.183333,6.516667
25510,93.12Z,7,47.2,6.45
25510,93.12Z,7,47.216667,6.466667
25510,93.12Z,7,47.2,6.466667
25510,56.10A,7,47.233333,6.45
25510,56.10A,7,47.216667,6.55
25510,56.10A,7,47.25,6.55
25510,56.10A,7,47.183333,6.516667
25510,56.10A,7,47.2,6.45
25510,56.10A,7,47.216667,6.466667
25510,56.10A,7,47.2,6.466667
25510,96.02A,7,47.233333,6.45
25510,96.02A,7,47.216667,6.55
25510,96.02A,7,47.25,6.55
25510,96.02A,7,47.183333,6.516667
25510,96.02A,7,47.2,6.45
25510,96.02A,7,47.216667,6.466667
25510,96.02A,7,47.2,6.466667
25510,70.1C,7,47.233333,6.45
25510,70.1C,7,47.216667,6.55
25510,70.1C,7,47.25,6.55
25510,70.1C,7,47.183333,6.516667
25510,70.1C,7,47.2,6.45
25510,70.1C,7,47.216667,6.466667
25510,70.1C,7,47.2,6.466667
25510,77.29Z,7,47.233333,6.45
25510,77.29Z,7,47.216667,6.55
25510,77.29Z,7,47.25,6.55
25510,77.29Z,7,47.183333,6.516667
25510,77.29Z,7,47.2,6.45
25510,77.29Z,7,47.216667,6.466667
25510,77.29Z,7,47.2,6.466667
25510,66.12Z,7,47.233333,6.45
25510,66.12Z,7,47.216667,6.55
25510,66.12Z,7,47.25,6.55
25510,66.12Z,7,47.183333,6.516667
25510,66.12Z,7,47.2,6.45
25510,66.12Z,7,47.216667,6.466667
25510,66.12Z,7,47.2,6.466667
25510,02.0B,7,47.233333,6.45
25510,02.0B,7,47.216667,6.55
25510,02.0B,7,47.25,6.55
25510,02.0B,7,47.183333,6.516667
25510,02.0B,7,47.2,6.45
25510,02.0B,7,47.216667,6.466667
25510,02.0B,7,47.2,6.466667
25510,63.11Z,7,47.233333,6.45
25510,63.11Z,7,47.216667,6.55
25510,63.11Z,7,47.25,6.55
25510,63.11Z,7,47.183333,6.516667
25510,63.11Z,7,47.2,6.45
25510,63.11Z,7,47.216667,6.466667
25510,63.11Z,7,47.2,6.466667
25510,62.01Z,7,47.233333,6.45
25510,62.01Z,7,47.216667,6.55
25510,62.01Z,7,47.25,6.55
25510,62.01Z,7,47.183333,6.516667
25510,62.01Z,7,47.2,6.45
25510,62.01Z,7,47.216667,6.466667
25510,62.01Z,7,47.2,6.466667
25510,43.31Z,14,47.233333,6.45
25510,43.31Z,14,47.216667,6.55
25510,43.31Z,14,47.25,6.55
25510,43.31Z,14,47.183333,6.516667
