codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
25580,47.99A,1024,"",""
25580,47.99A,1024,47.1,6.3
25580,47.99A,1024,47.1,6.366667
25580,47.99A,1024,47.116667,6.383333
25580,47.99A,1024,47.1,6.333333
25580,47.99A,1024,"",""
25580,47.99A,1024,47.133333,6.283333
25580,47.99A,1024,47.15,6.266667
25580,47.99A,1024,47.083333,6.316667
25580,47.99A,1024,47.083333,6.316667
25580,47.99A,1024,47.1,6.25
25580,47.99A,1024,47.116667,6.2
25580,47.99A,1024,47.083333,6.25
25580,47.99A,1024,47.116667,6.25
25580,47.99A,1024,"",""
25580,47.99A,1024,47.1,6.233333
25580,45.20B,16,"",""
25580,45.20B,16,47.1,6.3
25580,45.20B,16,47.1,6.366667
25580,45.20B,16,47.116667,6.383333
25580,45.20B,16,47.1,6.333333
25580,45.20B,16,"",""
25580,45.20B,16,47.133333,6.283333
25580,45.20B,16,47.15,6.266667
25580,45.20B,16,47.083333,6.316667
25580,45.20B,16,47.083333,6.316667
25580,45.20B,16,47.1,6.25
25580,45.20B,16,47.116667,6.2
25580,45.20B,16,47.083333,6.25
25580,45.20B,16,47.116667,6.25
25580,45.20B,16,"",""
25580,45.20B,16,47.1,6.233333
25580,33.20A,16,"",""
25580,33.20A,16,47.1,6.3
25580,33.20A,16,47.1,6.366667
25580,33.20A,16,47.116667,6.383333
25580,33.20A,16,47.1,6.333333
25580,33.20A,16,"",""
25580,33.20A,16,47.133333,6.283333
25580,33.20A,16,47.15,6.266667
25580,33.20A,16,47.083333,6.316667
25580,33.20A,16,47.083333,6.316667
25580,33.20A,16,47.1,6.25
25580,33.20A,16,47.116667,6.2
25580,33.20A,16,47.083333,6.25
25580,33.20A,16,47.116667,6.25
25580,33.20A,16,"",""
25580,33.20A,16,47.1,6.233333
25580,64.11,400,"",""
25580,64.11,400,47.1,6.3
25580,64.11,400,47.1,6.366667
25580,64.11,400,47.116667,6.383333
25580,64.11,400,47.1,6.333333
25580,64.11,400,"",""
25580,64.11,400,47.133333,6.283333
25580,64.11,400,47.15,6.266667
25580,64.11,400,47.083333,6.316667
25580,64.11,400,47.083333,6.316667
25580,64.11,400,47.1,6.25
25580,64.11,400,47.116667,6.2
25580,64.11,400,47.083333,6.25
25580,64.11,400,47.116667,6.25
25580,64.11,400,"",""
25580,64.11,400,47.1,6.233333
25580,93.0A,16,"",""
25580,93.0A,16,47.1,6.3
25580,93.0A,16,47.1,6.366667
25580,93.0A,16,47.116667,6.383333
25580,93.0A,16,47.1,6.333333
25580,93.0A,16,"",""
25580,93.0A,16,47.133333,6.283333
25580,93.0A,16,47.15,6.266667
25580,93.0A,16,47.083333,6.316667
25580,93.0A,16,47.083333,6.316667
25580,93.0A,16,47.1,6.25
25580,93.0A,16,47.116667,6.2
25580,93.0A,16,47.083333,6.25
25580,93.0A,16,47.116667,6.25
25580,93.0A,16,"",""
25580,93.0A,16,47.1,6.233333
25580,70.3A,16,"",""
25580,70.3A,16,47.1,6.3
25580,70.3A,16,47.1,6.366667
25580,70.3A,16,47.116667,6.383333
25580,70.3A,16,47.1,6.333333
25580,70.3A,16,"",""
25580,70.3A,16,47.133333,6.283333
25580,70.3A,16,47.15,6.266667
25580,70.3A,16,47.083333,6.316667
25580,70.3A,16,47.083333,6.316667
25580,70.3A,16,47.1,6.25
25580,70.3A,16,47.116667,6.2
25580,70.3A,16,47.083333,6.25
25580,70.3A,16,47.116667,6.25
25580,70.3A,16,"",""
25580,70.3A,16,47.1,6.233333
25580,55.3A,288,"",""
25580,55.3A,288,47.1,6.3
25580,55.3A,288,47.1,6.366667
25580,55.3A,288,47.116667,6.383333
25580,55.3A,288,47.1,6.333333
25580,55.3A,288,"",""
25580,55.3A,288,47.133333,6.283333
25580,55.3A,288,47.15,6.266667
25580,55.3A,288,47.083333,6.316667
25580,55.3A,288,47.083333,6.316667
25580,55.3A,288,47.1,6.25
25580,55.3A,288,47.116667,6.2
25580,55.3A,288,47.083333,6.25
25580,55.3A,288,47.116667,6.25
25580,55.3A,288,"",""
25580,55.3A,288,47.1,6.233333
25580,65.12Z,64,"",""
25580,65.12Z,64,47.1,6.3
25580,65.12Z,64,47.1,6.366667
25580,65.12Z,64,47.116667,6.383333
25580,65.12Z,64,47.1,6.333333
25580,65.12Z,64,"",""
25580,65.12Z,64,47.133333,6.283333
25580,65.12Z,64,47.15,6.266667
25580,65.12Z,64,47.083333,6.316667
25580,65.12Z,64,47.083333,6.316667
25580,65.12Z,64,47.1,6.25
25580,65.12Z,64,47.116667,6.2
25580,65.12Z,64,47.083333,6.25
25580,65.12Z,64,47.116667,6.25
25580,65.12Z,64,"",""
25580,65.12Z,64,47.1,6.233333
25580,43.22A,144,"",""
25580,43.22A,144,47.1,6.3
25580,43.22A,144,47.1,6.366667
25580,43.22A,144,47.116667,6.383333
25580,43.22A,144,47.1,6.333333
25580,43.22A,144,"",""
25580,43.22A,144,47.133333,6.283333
25580,43.22A,144,47.15,6.266667
25580,43.22A,144,47.083333,6.316667
25580,43.22A,144,47.083333,6.316667
25580,43.22A,144,47.1,6.25
25580,43.22A,144,47.116667,6.2
25580,43.22A,144,47.083333,6.25
25580,43.22A,144,47.116667,6.25
25580,43.22A,144,"",""
25580,43.22A,144,47.1,6.233333
25580,47.04,32,"",""
25580,47.04,32,47.1,6.3
25580,47.04,32,47.1,6.366667
25580,47.04,32,47.116667,6.383333
25580,47.04,32,47.1,6.333333
25580,47.04,32,"",""
25580,47.04,32,47.133333,6.283333
25580,47.04,32,47.15,6.266667
25580,47.04,32,47.083333,6.316667
25580,47.04,32,47.083333,6.316667
25580,47.04,32,47.1,6.25
25580,47.04,32,47.116667,6.2
25580,47.04,32,47.083333,6.25
25580,47.04,32,47.116667,6.25
25580,47.04,32,"",""
25580,47.04,32,47.1,6.233333
25580,41.10A,16,"",""
25580,41.10A,16,47.1,6.3
25580,41.10A,16,47.1,6.366667
25580,41.10A,16,47.116667,6.383333
25580,41.10A,16,47.1,6.333333
25580,41.10A,16,"",""
25580,41.10A,16,47.133333,6.283333
25580,41.10A,16,47.15,6.266667
25580,41.10A,16,47.083333,6.316667
25580,41.10A,16,47.083333,6.316667
25580,41.10A,16,47.1,6.25
25580,41.10A,16,47.116667,6.2
25580,41.10A,16,47.083333,6.25
25580,41.10A,16,47.116667,6.25
25580,41.10A,16,"",""
25580,41.10A,16,47.1,6.233333
25580,67.05,16,"",""
25580,67.05,16,47.1,6.3
25580,67.05,16,47.1,6.366667
25580,67.05,16,47.116667,6.383333
25580,67.05,16,47.1,6.333333
25580,67.05,16,"",""
25580,67.05,16,47.133333,6.283333
25580,67.05,16,47.15,6.266667
25580,67.05,16,47.083333,6.316667
25580,67.05,16,47.083333,6.316667
25580,67.05,16,47.1,6.25
25580,67.05,16,47.116667,6.2
25580,67.05,16,47.083333,6.25
25580,67.05,16,47.116667,6.25
25580,67.05,16,"",""
25580,67.05,16,47.1,6.233333
25580,28.11,16,"",""
25580,28.11,16,47.1,6.3
25580,28.11,16,47.1,6.366667
25580,28.11,16,47.116667,6.383333
25580,28.11,16,47.1,6.333333
25580,28.11,16,"",""
25580,28.11,16,47.133333,6.283333
