codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
25630,15.5A,1,47.5,6.766667
25630,01.43Z,1,47.5,6.766667
25630,84.11Z,1,47.5,6.766667
25630,70.2B,1,47.5,6.766667
25630,43.32A,1,47.5,6.766667
25630,96.02A,1,47.5,6.766667
25630,43.91B,1,47.5,6.766667
25630,90.12,1,47.5,6.766667
25630,55.71,1,47.5,6.766667
25630,43.31Z,1,47.5,6.766667
25630,45.4C,1,47.5,6.766667
25630,02.40Z,1,47.5,6.766667
25630,47.78B,1,47.5,6.766667
25630,85.3K,1,47.5,6.766667
25630,01.41Z,9,47.5,6.766667
25630,96.09Z,1,47.5,6.766667
25630,01.1A,1,47.5,6.766667
25630,47.99B,1,47.5,6.766667
25630,10.51C,1,47.5,6.766667
25630,68.20B,6,47.5,6.766667
