codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
26100,47.99A,5,45.05,5.05
26100,01.11Z,5,45.05,5.05
26100,68.20A,2,45.05,5.05
26100,01.50,1,45.05,5.05
26100,01.47Z,2,45.05,5.05
26100,64.20Z,1,45.05,5.05
26100,01.43Z,3,45.05,5.05
26100,90.01Z,1,45.05,5.05
26100,86.90E,1,45.05,5.05
26100,47.82Z,1,45.05,5.05
26100,74.10Z,1,45.05,5.05
26100,56.10C,1,45.05,5.05
26100,43.91A,1,45.05,5.05
26100,81.30Z,1,45.05,5.05
26100,84.11Z,5,45.05,5.05
26100,90.0A,1,45.05,5.05
26100,01.3Z,3,45.05,5.05
26100,55.20Z,2,45.05,5.05
26100,43.22B,1,45.05,5.05
26100,93.12Z,2,45.05,5.05
26100,43.32A,1,45.05,5.05
26100,74.30Z,1,45.05,5.05
26100,37.00Z,1,45.05,5.05
26100,52.6E,3,45.05,5.05
26100,43.33Z,1,45.05,5.05
26100,56.10A,2,45.05,5.05
26100,86.90D,3,45.05,5.05
26100,46.19B,1,45.05,5.05
26100,01.00,1,45.05,5.05
26100,94.99Z,6,45.05,5.05
26100,70.10Z,1,45.05,5.05
26100,01.63,1,45.05,5.05
26100,23.41Z,1,45.05,5.05
26100,59.11B,1,45.05,5.05
26100,02.0B,2,45.05,5.05
26100,62.01Z,1,45.05,5.05
26100,01.50Z,4,45.05,5.05
26100,01.45Z,2,45.05,5.05
26100,45.4C,1,45.05,5.05
26100,43.99D,1,45.05,5.05
26100,90.03A,3,45.05,5.05
26100,45.1A,1,45.05,5.05
26100,46.39B,1,45.05,5.05
26100,46.90Z,1,45.05,5.05
26100,01.2A,2,45.05,5.05
26100,55.10,1,45.05,5.05
26100,86.21Z,1,45.05,5.05
26100,62.21,1,45.05,5.05
26100,01.2C,3,45.05,5.05
26100,47.81Z,1,45.05,5.05
26100,68.31Z,2,45.05,5.05
26100,01.41Z,1,45.05,5.05
26100,01.42Z,8,45.05,5.05
26100,57.10,1,45.05,5.05
26100,85.59A,1,45.05,5.05
26100,43.99C,3,45.05,5.05
26100,41.0Z,1,45.05,5.05
26100,01.61Z,3,45.05,5.05
26100,45.20A,1,45.05,5.05
26100,96.04Z,2,45.05,5.05
26100,41.20A,1,45.05,5.05
26100,20.3Z,1,45.05,5.05
26100,47.91A,2,45.05,5.05
26100,46.73A,1,45.05,5.05
26100,67.08,1,45.05,5.05
26100,74.2A,1,45.05,5.05
26100,01.49Z,2,45.05,5.05
26100,01.1A,4,45.05,5.05
26100,71.3A,1,45.05,5.05
26100,86.90F,3,45.05,5.05
26100,70.22Z,2,45.05,5.05
26100,01.62Z,2,45.05,5.05
26100,71.20B,1,45.05,5.05
26100,66.22Z,1,45.05,5.05
26100,47.91B,1,45.05,5.05
26100,52.4N,1,45.05,5.05
26100,92.6C,1,45.05,5.05
26100,43.21A,2,45.05,5.05
26100,53.10Z,1,45.05,5.05
26100,21.03,1,45.05,5.05
26100,71.12B,1,45.05,5.05
26100,74.8F,1,45.05,5.05
26100,68.20B,8,45.05,5.05
