codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
26210,47.99A,18,45.283333,4.95
26210,47.99A,18,45.283333,4.983333
26210,47.99A,18,45.3,5
26210,47.99A,18,45.283333,5.033333
26210,47.99A,18,45.316667,5
26210,47.99A,18,45.316667,4.916667
26210,33.20A,12,45.283333,4.95
26210,33.20A,12,45.283333,4.983333
26210,33.20A,12,45.3,5
26210,33.20A,12,45.283333,5.033333
26210,33.20A,12,45.316667,5
26210,33.20A,12,45.316667,4.916667
26210,55.3A,30,45.283333,4.95
26210,55.3A,30,45.283333,4.983333
26210,55.3A,30,45.3,5
26210,55.3A,30,45.283333,5.033333
26210,55.3A,30,45.316667,5
26210,55.3A,30,45.316667,4.916667
26210,43.22A,24,45.283333,4.95
26210,43.22A,24,45.283333,4.983333
26210,43.22A,24,45.3,5
26210,43.22A,24,45.283333,5.033333
26210,43.22A,24,45.316667,5
26210,43.22A,24,45.316667,4.916667
26210,02.10Z,6,45.283333,4.95
26210,02.10Z,6,45.283333,4.983333
26210,02.10Z,6,45.3,5
26210,02.10Z,6,45.283333,5.033333
26210,02.10Z,6,45.316667,5
26210,02.10Z,6,45.316667,4.916667
26210,00.97,6,45.283333,4.95
26210,00.97,6,45.283333,4.983333
26210,00.97,6,45.3,5
26210,00.97,6,45.283333,5.033333
26210,00.97,6,45.316667,5
26210,00.97,6,45.316667,4.916667
26210,01.11Z,144,45.283333,4.95
26210,01.11Z,144,45.283333,4.983333
26210,01.11Z,144,45.3,5
26210,01.11Z,144,45.283333,5.033333
26210,01.11Z,144,45.316667,5
26210,01.11Z,144,45.316667,4.916667
26210,47.79Z,6,45.283333,4.95
26210,47.79Z,6,45.283333,4.983333
26210,47.79Z,6,45.3,5
26210,47.79Z,6,45.283333,5.033333
26210,47.79Z,6,45.316667,5
26210,47.79Z,6,45.316667,4.916667
26210,49.41A,6,45.283333,4.95
26210,49.41A,6,45.283333,4.983333
26210,49.41A,6,45.3,5
26210,49.41A,6,45.283333,5.033333
26210,49.41A,6,45.316667,5
26210,49.41A,6,45.316667,4.916667
26210,95.29Z,6,45.283333,4.95
26210,95.29Z,6,45.283333,4.983333
26210,95.29Z,6,45.3,5
26210,95.29Z,6,45.283333,5.033333
26210,95.29Z,6,45.316667,5
26210,95.29Z,6,45.316667,4.916667
